,nlayers,testAccuracy,learningrate,layerForm,nstart,dropoutFn,valAccuracy,dR,activationFn
0,2,0.1428571343421936,10.0,cone,256,<function dropout at 0x7f8b13d10a60>,0.19259259998798373,0.0,3
1,2,0.1428571343421936,10.0,cone,256,<function dropout at 0x7f8b13d10a60>,0.18518519401550296,0.5,3
2,2,0.1428571343421936,10.0,cone,512,<function dropout at 0x7f8b13d10a60>,0.18518519401550296,0.0,3
3,2,0.1428571343421936,10.0,cone,512,<function dropout at 0x7f8b13d10a60>,0.18888889700174336,0.5,3
4,2,0.1428571343421936,10.0,cone,1024,<function dropout at 0x7f8b13d10a60>,0.18518519401550296,0.0,3
5,2,0.1428571343421936,10.0,cone,1024,<function dropout at 0x7f8b13d10a60>,0.18518519401550296,0.5,3
6,2,0.1428571343421936,1.0,cone,256,<function dropout at 0x7f8b13d10a60>,0.18518519401550296,0.0,3
7,2,0.1428571343421936,1.0,cone,256,<function dropout at 0x7f8b13d10a60>,0.18518519401550296,0.5,3
8,2,0.1428571492433548,1.0,cone,512,<function dropout at 0x7f8b13d10a60>,0.11111111193895339,0.0,3
9,2,0.1428571343421936,1.0,cone,512,<function dropout at 0x7f8b13d10a60>,0.18518519401550296,0.5,3
10,2,0.1428571343421936,1.0,cone,1024,<function dropout at 0x7f8b13d10a60>,0.18518519401550296,0.0,3
11,2,0.1428571343421936,1.0,cone,1024,<function dropout at 0x7f8b13d10a60>,0.18518519401550296,0.5,3
12,2,0.2866666316986084,0.1,cone,256,<function dropout at 0x7f8b13d10a60>,0.8851851880550383,0.0,3
13,2,0.2795238196849823,0.1,cone,256,<function dropout at 0x7f8b13d10a60>,0.8666666507720946,0.5,3
14,2,0.2438095211982727,0.1,cone,512,<function dropout at 0x7f8b13d10a60>,0.8481481254100798,0.0,3
15,2,0.2933333218097687,0.1,cone,512,<function dropout at 0x7f8b13d10a60>,0.8592592418193816,0.5,3
16,2,0.26571425795555115,0.1,cone,1024,<function dropout at 0x7f8b13d10a60>,0.8851851880550383,0.0,3
17,2,0.2928571403026581,0.1,cone,1024,<function dropout at 0x7f8b13d10a60>,0.8777777731418609,0.5,3
18,2,0.16904762387275696,0.01,cone,256,<function dropout at 0x7f8b13d10a60>,0.8518518209457396,0.0,3
19,2,0.30190473794937134,0.01,cone,256,<function dropout at 0x7f8b13d10a60>,0.8481481194496153,0.5,3
20,2,0.2685714066028595,0.01,cone,512,<function dropout at 0x7f8b13d10a60>,0.8888888955116271,0.0,3
21,2,0.29523807764053345,0.01,cone,512,<function dropout at 0x7f8b13d10a60>,0.8888888955116271,0.5,3
22,2,0.21999996900558472,0.01,cone,1024,<function dropout at 0x7f8b13d10a60>,0.8925926029682159,0.0,3
23,2,0.28761905431747437,0.01,cone,1024,<function dropout at 0x7f8b13d10a60>,0.8925926029682159,0.5,3
24,3,0.1428571343421936,10.0,cone,256,<function dropout at 0x7f8b13d10a60>,0.18518519401550296,0.0,3
25,3,0.1428571343421936,10.0,cone,256,<function dropout at 0x7f8b13d10a60>,0.18518519401550296,0.5,3
26,3,0.1428571343421936,10.0,cone,512,<function dropout at 0x7f8b13d10a60>,0.18518519401550296,0.0,3
27,3,0.1428571343421936,10.0,cone,512,<function dropout at 0x7f8b13d10a60>,0.18518519401550296,0.5,3
28,3,0.1428571343421936,10.0,cone,1024,<function dropout at 0x7f8b13d10a60>,0.18518519401550296,0.0,3
29,3,0.1428571343421936,10.0,cone,1024,<function dropout at 0x7f8b13d10a60>,0.18518519401550296,0.5,3
30,3,0.1428571343421936,1.0,cone,256,<function dropout at 0x7f8b13d10a60>,0.18518519401550296,0.0,3
31,3,0.1428571343421936,1.0,cone,256,<function dropout at 0x7f8b13d10a60>,0.18518519401550296,0.5,3
32,3,0.1428571343421936,1.0,cone,512,<function dropout at 0x7f8b13d10a60>,0.18518519401550296,0.0,3
33,3,0.1428571343421936,1.0,cone,512,<function dropout at 0x7f8b13d10a60>,0.18518519401550296,0.5,3
34,3,0.1428571343421936,1.0,cone,1024,<function dropout at 0x7f8b13d10a60>,0.18888889700174336,0.0,3
35,3,0.1428571343421936,1.0,cone,1024,<function dropout at 0x7f8b13d10a60>,0.18518519401550296,0.5,3
36,3,0.2747619152069092,0.1,cone,256,<function dropout at 0x7f8b13d10a60>,0.8370370149612426,0.0,3
37,3,0.2923809587955475,0.1,cone,256,<function dropout at 0x7f8b13d10a60>,0.8592592537403106,0.5,3
38,3,0.2909523844718933,0.1,cone,512,<function dropout at 0x7f8b13d10a60>,0.8888888955116271,0.0,3
39,3,0.28952381014823914,0.1,cone,512,<function dropout at 0x7f8b13d10a60>,0.8703703582286834,0.5,3
40,3,0.28190475702285767,0.1,cone,1024,<function dropout at 0x7f8b13d10a60>,0.8888888955116271,0.0,3
