,nlayers,dropoutFn,activationFn,layerForm,dR,nstart,testAccuracy,valAccuracy,learningrate
0,2,<function dropout at 0x7f75876eea60>,3,rect,0.0,256,0.35227274894714355,0.23793103396892554,10.0
1,2,<function dropout at 0x7f75876eea60>,3,rect,0.0,256,0.35227274894714355,0.23793103396892554,1.0
2,2,<function dropout at 0x7f75876eea60>,3,rect,0.0,256,0.9431818723678589,0.9965517222881316,0.1
3,2,<function dropout at 0x7f75876eea60>,3,rect,0.0,256,0.9204545021057129,0.8965517282485961,0.01
4,2,<function dropout at 0x7f75876eea60>,3,rect,0.0,512,0.35227274894714355,0.23793103396892554,10.0
5,2,<function dropout at 0x7f75876eea60>,3,rect,0.0,512,0.35227274894714355,0.17241379618644717,1.0
6,2,<function dropout at 0x7f75876eea60>,3,rect,0.0,512,0.9318182468414307,0.9827586114406585,0.1
7,2,<function dropout at 0x7f75876eea60>,3,rect,0.0,512,0.9204545021057129,0.9310344457626342,0.01
8,2,<function dropout at 0x7f75876eea60>,3,rect,0.0,1024,0.35227274894714355,0.23103448450565342,10.0
9,2,<function dropout at 0x7f75876eea60>,3,rect,0.0,1024,0.35227274894714355,0.23793103396892554,1.0
10,2,<function dropout at 0x7f75876eea60>,3,rect,0.0,1024,0.9545454978942871,0.9931034445762633,0.1
11,2,<function dropout at 0x7f75876eea60>,3,rect,0.0,1024,0.8977272510528564,0.9310344457626342,0.01
12,2,<function dropout at 0x7f75876eea60>,3,rect,0.5,256,0.35227274894714355,0.22068965733051304,10.0
13,2,<function dropout at 0x7f75876eea60>,3,rect,0.5,256,0.35227274894714355,0.23793103396892554,1.0
14,2,<function dropout at 0x7f75876eea60>,3,rect,0.5,256,0.9318181276321411,0.9689655005931853,0.1
15,2,<function dropout at 0x7f75876eea60>,3,rect,0.5,256,0.8863636255264282,0.8275861740112304,0.01
16,2,<function dropout at 0x7f75876eea60>,3,rect,0.5,512,0.35227274894714355,0.23793103396892554,10.0
17,2,<function dropout at 0x7f75876eea60>,3,rect,0.5,512,0.35227274894714355,0.17586207091808323,1.0
18,2,<function dropout at 0x7f75876eea60>,3,rect,0.5,512,0.9204546213150024,0.9827586114406585,0.1
19,2,<function dropout at 0x7f75876eea60>,3,rect,0.5,512,0.8977272510528564,0.8965517282485961,0.01
20,2,<function dropout at 0x7f75876eea60>,3,rect,0.5,1024,0.35227274894714355,0.17241379618644717,10.0
21,2,<function dropout at 0x7f75876eea60>,3,rect,0.5,1024,0.35227274894714355,0.17241379618644717,1.0
22,2,<function dropout at 0x7f75876eea60>,3,rect,0.5,1024,0.9090908765792847,0.9862068891525267,0.1
23,2,<function dropout at 0x7f75876eea60>,3,rect,0.5,1024,0.9090908765792847,0.9310344457626342,0.01
24,3,<function dropout at 0x7f75876eea60>,3,rect,0.0,256,0.35227274894714355,0.17241379618644717,10.0
25,3,<function dropout at 0x7f75876eea60>,3,rect,0.0,256,0.35227274894714355,0.23793103396892554,1.0
26,3,<function dropout at 0x7f75876eea60>,3,rect,0.0,256,0.9431818127632141,0.9724137783050536,0.1
27,3,<function dropout at 0x7f75876eea60>,3,rect,0.0,256,0.8977273106575012,0.8965517282485961,0.01
28,3,<function dropout at 0x7f75876eea60>,3,rect,0.0,512,0.35227274894714355,0.17241379618644717,10.0
29,3,<function dropout at 0x7f75876eea60>,3,rect,0.0,512,0.35227274894714355,0.17241379618644717,1.0
30,3,<function dropout at 0x7f75876eea60>,3,rect,0.0,512,0.9318181872367859,0.9862068891525267,0.1
31,3,<function dropout at 0x7f75876eea60>,3,rect,0.0,512,0.8863636255264282,0.8965517282485961,0.01
32,3,<function dropout at 0x7f75876eea60>,3,rect,0.0,1024,0.35227274894714355,0.17241379618644717,10.0
33,3,<function dropout at 0x7f75876eea60>,3,rect,0.0,1024,0.35227274894714355,0.17241379618644717,1.0
34,3,<function dropout at 0x7f75876eea60>,3,rect,0.0,1024,0.9659091234207153,0.9551723897457122,0.1
35,3,<function dropout at 0x7f75876eea60>,3,rect,0.0,1024,0.9431818127632141,0.965517222881317,0.01
36,3,<function dropout at 0x7f75876eea60>,3,rect,0.5,256,0.35227274894714355,0.17241379618644717,10.0
37,3,<function dropout at 0x7f75876eea60>,3,rect,0.5,256,0.35227274894714355,0.17241379618644717,1.0
38,3,<function dropout at 0x7f75876eea60>,3,rect,0.5,256,0.9204545021057129,0.9758620560169219,0.1
39,3,<function dropout at 0x7f75876eea60>,3,rect,0.5,256,0.8409091234207153,0.8275861740112304,0.01
40,3,<function dropout at 0x7f75876eea60>,3,rect,0.5,512,0.35227274894714355,0.17241379618644717,10.0
41,3,<function dropout at 0x7f75876eea60>,3,rect,0.5,512,0.35227274894714355,0.17241379618644717,1.0
42,3,<function dropout at 0x7f75876eea60>,3,rect,0.5,512,0.9204546213150024,0.965517222881317,0.1
43,3,<function dropout at 0x7f75876eea60>,3,rect,0.5,512,0.8977272510528564,0.8965517282485961,0.01
44,3,<function dropout at 0x7f75876eea60>,3,rect,0.5,1024,0.35227274894714355,0.17241379618644717,10.0
45,3,<function dropout at 0x7f75876eea60>,3,rect,0.5,1024,0.35227274894714355,0.17241379618644717,1.0
46,3,<function dropout at 0x7f75876eea60>,3,rect,0.5,1024,0.9318181276321411,0.9724137783050536,0.1
47,3,<function dropout at 0x7f75876eea60>,3,rect,0.5,1024,0.9090908765792847,0.8965517282485961,0.01
48,4,<function dropout at 0x7f75876eea60>,3,rect,0.0,256,0.35227274894714355,0.17241379618644717,10.0
49,4,<function dropout at 0x7f75876eea60>,3,rect,0.0,256,0.35227274894714355,0.17241379618644717,1.0
50,4,<function dropout at 0x7f75876eea60>,3,rect,0.0,256,0.9431818723678589,0.9827586114406585,0.1
51,4,<function dropout at 0x7f75876eea60>,3,rect,0.0,256,0.9545454978942871,0.965517222881317,0.01
52,4,<function dropout at 0x7f75876eea60>,3,rect,0.0,512,0.35227274894714355,0.17241379618644717,10.0
53,4,<function dropout at 0x7f75876eea60>,3,rect,0.0,512,0.35227274894714355,0.17241379618644717,1.0
54,4,<function dropout at 0x7f75876eea60>,3,rect,0.0,512,0.9545454978942871,0.9793103337287902,0.1
55,4,<function dropout at 0x7f75876eea60>,3,rect,0.0,512,0.9204545617103577,0.9310344457626342,0.01
56,4,<function dropout at 0x7f75876eea60>,3,rect,0.0,1024,0.35227274894714355,0.17241379618644717,10.0
57,4,<function dropout at 0x7f75876eea60>,3,rect,0.0,1024,0.35227274894714355,0.17241379618644717,1.0
58,4,<function dropout at 0x7f75876eea60>,3,rect,0.0,1024,0.9090909361839294,0.92413792014122,0.1
59,4,<function dropout at 0x7f75876eea60>,3,rect,0.0,1024,0.9545454978942871,0.9206896305084228,0.01
60,4,<function dropout at 0x7f75876eea60>,3,rect,0.5,256,0.35227274894714355,0.17241379618644717,10.0
61,4,<function dropout at 0x7f75876eea60>,3,rect,0.5,256,0.35227274894714355,0.17241379618644717,1.0
