,dropoutFn,layerForm,learningrate,nlayers,nstart,testAccuracy,valAccuracy,dR,activationFn
0,<function dropout at 0x7fbe6a934a60>,rect,10.0,2,256,0.08021390438079834,0.5833333730697632,0.0,3
1,<function dropout at 0x7fbe6a934a60>,rect,10.0,2,256,0.08021390438079834,0.5833333730697632,0.5,3
2,<function dropout at 0x7fbe6a934a60>,rect,10.0,2,512,0.08021390438079834,0.5833333730697632,0.0,3
3,<function dropout at 0x7fbe6a934a60>,rect,10.0,2,512,0.08021390438079834,0.5833333730697632,0.5,3
4,<function dropout at 0x7fbe6a934a60>,rect,10.0,2,1024,0.08021390438079834,0.5833333730697632,0.0,3
5,<function dropout at 0x7fbe6a934a60>,rect,10.0,2,1024,0.08021390438079834,0.5833333730697632,0.5,3
6,<function dropout at 0x7fbe6a934a60>,rect,10.0,3,256,0.08021390438079834,0.5833333730697632,0.0,3
7,<function dropout at 0x7fbe6a934a60>,rect,10.0,3,256,0.08021390438079834,0.5833333730697632,0.5,3
8,<function dropout at 0x7fbe6a934a60>,rect,10.0,3,512,0.08021390438079834,0.5833333730697632,0.0,3
9,<function dropout at 0x7fbe6a934a60>,rect,10.0,3,512,0.08021390438079834,0.5833333730697632,0.5,3
10,<function dropout at 0x7fbe6a934a60>,rect,10.0,3,1024,0.08021390438079834,0.5833333730697632,0.0,3
11,<function dropout at 0x7fbe6a934a60>,rect,10.0,3,1024,0.08021390438079834,0.5833333730697632,0.5,3
12,<function dropout at 0x7fbe6a934a60>,rect,10.0,4,256,0.08021390438079834,0.5833333730697632,0.0,3
13,<function dropout at 0x7fbe6a934a60>,rect,10.0,4,256,0.08021390438079834,0.5833333730697632,0.5,3
14,<function dropout at 0x7fbe6a934a60>,rect,10.0,4,512,0.08021390438079834,0.5833333730697632,0.0,3
15,<function dropout at 0x7fbe6a934a60>,rect,10.0,4,512,0.08021390438079834,0.5833333730697632,0.5,3
16,<function dropout at 0x7fbe6a934a60>,rect,10.0,4,1024,0.08021390438079834,0.5833333730697632,0.0,3
17,<function dropout at 0x7fbe6a934a60>,rect,10.0,4,1024,0.08021390438079834,0.5833333730697632,0.5,3
18,<function dropout at 0x7fbe6a934a60>,rect,10.0,8,256,0.08021390438079834,0.5833333730697632,0.0,3
19,<function dropout at 0x7fbe6a934a60>,rect,10.0,8,256,0.08021390438079834,0.5833333730697632,0.5,3
20,<function dropout at 0x7fbe6a934a60>,rect,10.0,8,512,0.08021390438079834,0.5833333730697632,0.0,3
21,<function dropout at 0x7fbe6a934a60>,rect,10.0,8,512,0.08021390438079834,0.5833333730697632,0.5,3
22,<function dropout at 0x7fbe6a934a60>,rect,10.0,8,1024,0.08021390438079834,0.5833333730697632,0.0,3
23,<function dropout at 0x7fbe6a934a60>,rect,10.0,8,1024,0.08021390438079834,0.5833333730697632,0.5,3
24,<function dropout at 0x7fbe6a934a60>,rect,10.0,16,256,0.08021390438079834,0.5833333730697632,0.0,3
25,<function dropout at 0x7fbe6a934a60>,rect,10.0,16,256,0.08021390438079834,0.5833333730697632,0.5,3
26,<function dropout at 0x7fbe6a934a60>,rect,10.0,16,512,0.08021390438079834,0.5833333730697632,0.0,3
27,<function dropout at 0x7fbe6a934a60>,rect,10.0,16,512,0.08021390438079834,0.5833333730697632,0.5,3
28,<function dropout at 0x7fbe6a934a60>,rect,10.0,16,1024,0.08021390438079834,0.5833333730697632,0.0,3
29,<function dropout at 0x7fbe6a934a60>,rect,10.0,16,1024,0.08021390438079834,0.5833333730697632,0.5,3
30,<function dropout at 0x7fbe6a934a60>,rect,10.0,32,256,0.08021390438079834,0.5833333730697632,0.0,3
31,<function dropout at 0x7fbe6a934a60>,rect,10.0,32,256,0.08021390438079834,0.5833333730697632,0.5,3
32,<function dropout at 0x7fbe6a934a60>,rect,10.0,32,512,0.08021390438079834,0.5833333730697632,0.0,3
33,<function dropout at 0x7fbe6a934a60>,rect,10.0,32,512,0.08021390438079834,0.5833333730697632,0.5,3
34,<function dropout at 0x7fbe6a934a60>,rect,10.0,32,1024,0.08021390438079834,0.5833333730697632,0.0,3
35,<function dropout at 0x7fbe6a934a60>,rect,10.0,32,1024,0.08021390438079834,0.5833333730697632,0.5,3
36,<function dropout at 0x7fbe6a934a60>,rect,1.0,2,256,0.08021390438079834,0.5833333730697632,0.0,3
37,<function dropout at 0x7fbe6a934a60>,rect,1.0,2,256,0.08021390438079834,0.5833333730697632,0.5,3
38,<function dropout at 0x7fbe6a934a60>,rect,1.0,2,512,0.08021390438079834,0.5833333730697632,0.0,3
39,<function dropout at 0x7fbe6a934a60>,rect,1.0,2,512,0.08021390438079834,0.5833333730697632,0.5,3
40,<function dropout at 0x7fbe6a934a60>,rect,1.0,2,1024,0.08021390438079834,0.5833333730697632,0.0,3
41,<function dropout at 0x7fbe6a934a60>,rect,1.0,2,1024,0.08021390438079834,0.5833333730697632,0.5,3
42,<function dropout at 0x7fbe6a934a60>,rect,1.0,3,256,0.08021390438079834,0.5833333730697632,0.0,3
43,<function dropout at 0x7fbe6a934a60>,rect,1.0,3,256,0.08021390438079834,0.5833333730697632,0.5,3
44,<function dropout at 0x7fbe6a934a60>,rect,1.0,3,512,0.08021390438079834,0.5833333730697632,0.0,3
45,<function dropout at 0x7fbe6a934a60>,rect,1.0,3,512,0.08021390438079834,0.5833333730697632,0.5,3
46,<function dropout at 0x7fbe6a934a60>,rect,1.0,3,1024,0.08021390438079834,0.5833333730697632,0.0,3
47,<function dropout at 0x7fbe6a934a60>,rect,1.0,3,1024,0.08021390438079834,0.5833333730697632,0.5,3
48,<function dropout at 0x7fbe6a934a60>,rect,1.0,4,256,0.08021390438079834,0.5833333730697632,0.0,3
49,<function dropout at 0x7fbe6a934a60>,rect,1.0,4,256,0.08021390438079834,0.5833333730697632,0.5,3
50,<function dropout at 0x7fbe6a934a60>,rect,1.0,4,512,0.08021390438079834,0.5833333730697632,0.0,3
