,testAccuracy,dR,nstart,nlayers,layerForm,learningrate,dropoutFn,activationFn,valAccuracy
0,0.7647058963775635,0.0,256,2,cone,10.0,<function dropout at 0x7f9b192bda60>,3,0.8152173757553102
1,0.7647058963775635,0.0,256,2,cone,1.0,<function dropout at 0x7f9b192bda60>,3,0.8152173757553102
2,0.7860962152481079,0.0,256,2,cone,0.1,<function dropout at 0x7f9b192bda60>,3,0.7945652067661284
3,0.7914438247680664,0.0,256,2,cone,0.01,<function dropout at 0x7f9b192bda60>,3,0.7510869562625885
4,0.7647058963775635,0.0,256,3,cone,10.0,<function dropout at 0x7f9b192bda60>,3,0.8152173757553102
5,0.7647057771682739,0.0,256,3,cone,1.0,<function dropout at 0x7f9b192bda60>,3,0.6260869413614274
6,0.7807486057281494,0.0,256,3,cone,0.1,<function dropout at 0x7f9b192bda60>,3,0.791304337978363
7,0.7860962152481079,0.0,256,3,cone,0.01,<function dropout at 0x7f9b192bda60>,3,0.7391304373741148
8,0.7647058963775635,0.0,256,4,cone,10.0,<function dropout at 0x7f9b192bda60>,3,0.8152173757553102
9,0.7647058367729187,0.0,256,4,cone,1.0,<function dropout at 0x7f9b192bda60>,3,0.752173897624016
10,0.7700534462928772,0.0,256,4,cone,0.1,<function dropout at 0x7f9b192bda60>,3,0.7923912942409514
11,0.7967914342880249,0.0,256,4,cone,0.01,<function dropout at 0x7f9b192bda60>,3,0.7934782505035399
12,0.7647058963775635,0.0,256,8,cone,10.0,<function dropout at 0x7f9b192bda60>,3,0.8152173757553102
13,0.7647058367729187,0.0,256,8,cone,1.0,<function dropout at 0x7f9b192bda60>,3,0.8152173757553102
14,0.8074865341186523,0.0,256,8,cone,0.1,<function dropout at 0x7f9b192bda60>,3,0.7934782505035399
15,0.7914438247680664,0.0,256,8,cone,0.01,<function dropout at 0x7f9b192bda60>,3,0.776086950302124
16,0.7647058963775635,0.0,256,16,cone,10.0,<function dropout at 0x7f9b192bda60>,3,0.8152173757553102
17,0.7433154582977295,0.0,256,16,cone,1.0,<function dropout at 0x7f9b192bda60>,3,0.7749999940395356
18,0.7914438247680664,0.0,256,16,cone,0.1,<function dropout at 0x7f9b192bda60>,3,0.7836956441402435
19,0.7807486057281494,0.0,256,16,cone,0.01,<function dropout at 0x7f9b192bda60>,3,0.7847826004028322
20,0.7647057771682739,0.0,256,32,cone,10.0,<function dropout at 0x7f9b192bda60>,3,0.6891304194927217
21,0.7647058367729187,0.0,256,32,cone,1.0,<function dropout at 0x7f9b192bda60>,3,0.8152173757553102
22,0.7647058367729187,0.0,256,32,cone,0.1,<function dropout at 0x7f9b192bda60>,3,0.8152173757553102
23,0.7647058367729187,0.0,256,32,cone,0.01,<function dropout at 0x7f9b192bda60>,3,0.8152173757553102
24,0.7647058367729187,0.0,512,2,cone,10.0,<function dropout at 0x7f9b192bda60>,3,0.8152173757553102
25,0.7647058963775635,0.0,512,2,cone,1.0,<function dropout at 0x7f9b192bda60>,3,0.8152173757553102
26,0.7914438843727112,0.0,512,2,cone,0.1,<function dropout at 0x7f9b192bda60>,3,0.7923912942409514
27,0.7807486057281494,0.0,512,2,cone,0.01,<function dropout at 0x7f9b192bda60>,3,0.782608687877655
28,0.7647058367729187,0.0,512,3,cone,10.0,<function dropout at 0x7f9b192bda60>,3,0.8152173757553102
29,0.7647058367729187,0.0,512,3,cone,1.0,<function dropout at 0x7f9b192bda60>,3,0.8152173757553102
30,0.7967914342880249,0.0,512,3,cone,0.1,<function dropout at 0x7f9b192bda60>,3,0.7923912942409514
31,0.7967914342880249,0.0,512,3,cone,0.01,<function dropout at 0x7f9b192bda60>,3,0.7858695566654206
32,0.7647058367729187,0.0,512,4,cone,10.0,<function dropout at 0x7f9b192bda60>,3,0.8152173757553102
33,0.7647058367729187,0.0,512,4,cone,1.0,<function dropout at 0x7f9b192bda60>,3,0.6326086834073067
34,0.7647058367729187,0.0,512,4,cone,0.1,<function dropout at 0x7f9b192bda60>,3,0.79347825050354
35,0.7967913746833801,0.0,512,4,cone,0.01,<function dropout at 0x7f9b192bda60>,3,0.7923912942409514
36,0.7647058963775635,0.0,512,8,cone,10.0,<function dropout at 0x7f9b192bda60>,3,0.8152173757553102
37,0.7647058367729187,0.0,512,8,cone,1.0,<function dropout at 0x7f9b192bda60>,3,0.8152173757553102
38,0.7860962152481079,0.0,512,8,cone,0.1,<function dropout at 0x7f9b192bda60>,3,0.7902173817157746
39,0.7914438247680664,0.0,512,8,cone,0.01,<function dropout at 0x7f9b192bda60>,3,0.791304337978363
40,0.7647058367729187,0.0,512,16,cone,10.0,<function dropout at 0x7f9b192bda60>,3,0.6891304194927217
41,0.7647058367729187,0.0,512,16,cone,1.0,<function dropout at 0x7f9b192bda60>,3,0.8152173757553102
42,0.759358286857605,0.0,512,16,cone,0.1,<function dropout at 0x7f9b192bda60>,3,0.773913037776947
43,0.7914437651634216,0.0,512,16,cone,0.01,<function dropout at 0x7f9b192bda60>,3,0.7880434691905975
44,0.7647058367729187,0.0,512,32,cone,10.0,<function dropout at 0x7f9b192bda60>,3,0.8152173757553102
45,0.7647058963775635,0.0,512,32,cone,1.0,<function dropout at 0x7f9b192bda60>,3,0.8152173757553102
46,0.7647058367729187,0.0,512,32,cone,0.1,<function dropout at 0x7f9b192bda60>,3,0.810869550704956
47,0.7433154582977295,0.0,512,32,cone,0.01,<function dropout at 0x7f9b192bda60>,3,0.7913043379783631
48,0.7647058963775635,0.0,1024,2,cone,10.0,<function dropout at 0x7f9b192bda60>,3,0.8152173757553102
49,0.7647058963775635,0.0,1024,2,cone,1.0,<function dropout at 0x7f9b192bda60>,3,0.8152173757553102
50,0.8021389842033386,0.0,1024,2,cone,0.1,<function dropout at 0x7f9b192bda60>,3,0.7902173817157745
51,0.7700533866882324,0.0,1024,2,cone,0.01,<function dropout at 0x7f9b192bda60>,3,0.791304337978363
52,0.7647058367729187,0.0,1024,3,cone,10.0,<function dropout at 0x7f9b192bda60>,3,0.8152173757553102
53,0.7647058963775635,0.0,1024,3,cone,1.0,<function dropout at 0x7f9b192bda60>,3,0.6891304194927217
54,0.7807486653327942,0.0,1024,3,cone,0.1,<function dropout at 0x7f9b192bda60>,3,0.7934782505035399
55,0.759358286857605,0.0,1024,3,cone,0.01,<function dropout at 0x7f9b192bda60>,3,0.791304337978363
56,0.7647058963775635,0.0,1024,4,cone,10.0,<function dropout at 0x7f9b192bda60>,3,0.8152173757553102
57,0.7647058963775635,0.0,1024,4,cone,1.0,<function dropout at 0x7f9b192bda60>,3,0.8152173757553102
58,0.7967914342880249,0.0,1024,4,cone,0.1,<function dropout at 0x7f9b192bda60>,3,0.795652163028717
59,0.7700534462928772,0.0,1024,4,cone,0.01,<function dropout at 0x7f9b192bda60>,3,0.7923912942409514
60,0.7647058367729187,0.0,1024,8,cone,10.0,<function dropout at 0x7f9b192bda60>,3,0.8152173757553102
61,0.7647057771682739,0.0,1024,8,cone,1.0,<function dropout at 0x7f9b192bda60>,3,0.8152173757553102
62,0.7540106773376465,0.0,1024,8,cone,0.1,<function dropout at 0x7f9b192bda60>,3,0.802173900604248
63,0.7700534462928772,0.0,1024,8,cone,0.01,<function dropout at 0x7f9b192bda60>,3,0.7847826004028321
64,0.7647058367729187,0.0,1024,16,cone,10.0,<function dropout at 0x7f9b192bda60>,3,0.8152173757553102
65,0.7379679083824158,0.0,1024,16,cone,1.0,<function dropout at 0x7f9b192bda60>,3,0.7967391192913056
66,0.759358286857605,0.0,1024,16,cone,0.1,<function dropout at 0x7f9b192bda60>,3,0.7695652127265932
67,0.8128341436386108,0.0,1024,16,cone,0.01,<function dropout at 0x7f9b192bda60>,3,0.8032608568668365
68,0.7647057771682739,0.0,1024,32,cone,10.0,<function dropout at 0x7f9b192bda60>,3,0.6891304194927217
69,0.7647058963775635,0.0,1024,32,cone,1.0,<function dropout at 0x7f9b192bda60>,3,0.8152173757553102
70,0.7647057771682739,0.0,1024,32,cone,0.1,<function dropout at 0x7f9b192bda60>,3,0.8076086819171906
71,0.7754010558128357,0.0,1024,32,cone,0.01,<function dropout at 0x7f9b192bda60>,3,0.791304337978363
72,0.7647058367729187,0.5,256,2,cone,10.0,<function dropout at 0x7f9b192bda60>,3,0.8152173757553102
73,0.7647058367729187,0.5,256,2,cone,1.0,<function dropout at 0x7f9b192bda60>,3,0.8152173757553102
74,0.7860962152481079,0.5,256,2,cone,0.1,<function dropout at 0x7f9b192bda60>,3,0.8010869443416595
75,0.7700534462928772,0.5,256,2,cone,0.01,<function dropout at 0x7f9b192bda60>,3,0.739130437374115
76,0.7647058963775635,0.5,256,3,cone,10.0,<function dropout at 0x7f9b192bda60>,3,0.8152173757553102
77,0.7647058367729187,0.5,256,3,cone,1.0,<function dropout at 0x7f9b192bda60>,3,0.8152173757553102
78,0.7700533866882324,0.5,256,3,cone,0.1,<function dropout at 0x7f9b192bda60>,3,0.8271738946437837
