,nlayers,dropoutFn,valAccuracy,learningrate,nstart,dR,activationFn,testAccuracy,layerForm
0,2,<function dropout at 0x7f9a7b199a60>,0.2972973287105561,10.0,256,0.0,3,0.250980406999588,rect
1,2,<function dropout at 0x7f9a7b199a60>,0.2972973287105561,10.0,256,0.5,3,0.2509804368019104,rect
2,2,<function dropout at 0x7f9a7b199a60>,0.3315315634012223,10.0,512,0.0,3,0.250980406999588,rect
3,2,<function dropout at 0x7f9a7b199a60>,0.2972973287105561,10.0,512,0.5,3,0.250980406999588,rect
4,2,<function dropout at 0x7f9a7b199a60>,0.2972973287105561,10.0,1024,0.0,3,0.250980406999588,rect
5,2,<function dropout at 0x7f9a7b199a60>,0.2972973287105561,10.0,1024,0.5,3,0.250980406999588,rect
6,2,<function dropout at 0x7f9a7b199a60>,0.3648648977279664,1.0,256,0.0,3,0.250980406999588,rect
7,2,<function dropout at 0x7f9a7b199a60>,0.3315315634012223,1.0,256,0.5,3,0.250980406999588,rect
8,2,<function dropout at 0x7f9a7b199a60>,0.3315315634012223,1.0,512,0.0,3,0.250980406999588,rect
9,2,<function dropout at 0x7f9a7b199a60>,0.2972973287105561,1.0,512,0.5,3,0.250980406999588,rect
10,2,<function dropout at 0x7f9a7b199a60>,0.3315315634012223,1.0,1024,0.0,3,0.250980406999588,rect
11,2,<function dropout at 0x7f9a7b199a60>,0.3315315634012223,1.0,1024,0.5,3,0.250980406999588,rect
12,2,<function dropout at 0x7f9a7b199a60>,0.924324369430542,0.1,256,0.0,3,0.9490196108818054,rect
13,2,<function dropout at 0x7f9a7b199a60>,0.9045045614242553,0.1,256,0.5,3,0.9019607901573181,rect
14,2,<function dropout at 0x7f9a7b199a60>,0.9045045495033265,0.1,512,0.0,3,0.9411764740943909,rect
15,2,<function dropout at 0x7f9a7b199a60>,0.9036036491394043,0.1,512,0.5,3,0.9254902005195618,rect
16,2,<function dropout at 0x7f9a7b199a60>,0.9117117583751677,0.1,1024,0.0,3,0.9215686321258545,rect
17,2,<function dropout at 0x7f9a7b199a60>,0.9000000298023224,0.1,1024,0.5,3,0.8941176533699036,rect
18,2,<function dropout at 0x7f9a7b199a60>,0.8945946276187898,0.01,256,0.0,3,0.9019607901573181,rect
19,2,<function dropout at 0x7f9a7b199a60>,0.9117117404937742,0.01,256,0.5,3,0.886274516582489,rect
