,dR,learningrate,dropoutFn,layerForm,valAccuracy,nstart,activationFn,nlayers,testAccuracy
0,0.0,10.0,<function dropout at 0x7f0692bb6a60>,cone,0.22222222387790677,256,3,2,0.31578946113586426
1,0.0,10.0,<function dropout at 0x7f0692bb6a60>,cone,0.22222222387790677,256,3,3,0.31578946113586426
2,0.0,10.0,<function dropout at 0x7f0692bb6a60>,cone,0.22222222387790677,256,3,4,0.31578946113586426
3,0.0,10.0,<function dropout at 0x7f0692bb6a60>,cone,0.22222222387790677,256,3,8,0.31578946113586426
4,0.0,10.0,<function dropout at 0x7f0692bb6a60>,cone,0.36666667163372035,256,3,16,0.3684210777282715
5,0.0,10.0,<function dropout at 0x7f0692bb6a60>,cone,0.22222222387790677,256,3,32,0.31578946113586426
6,0.0,10.0,<function dropout at 0x7f0692bb6a60>,cone,0.22222222387790677,512,3,2,0.31578946113586426
7,0.0,10.0,<function dropout at 0x7f0692bb6a60>,cone,0.22222222387790677,512,3,3,0.31578946113586426
8,0.0,10.0,<function dropout at 0x7f0692bb6a60>,cone,0.22222222387790677,512,3,4,0.31578946113586426
9,0.0,10.0,<function dropout at 0x7f0692bb6a60>,cone,0.22222222387790677,512,3,8,0.31578946113586426
10,0.0,10.0,<function dropout at 0x7f0692bb6a60>,cone,0.22222222387790677,512,3,16,0.31578946113586426
11,0.0,10.0,<function dropout at 0x7f0692bb6a60>,cone,0.22222222387790677,512,3,32,0.31578946113586426
12,0.0,10.0,<function dropout at 0x7f0692bb6a60>,cone,0.22222222387790677,1024,3,2,0.31578946113586426
13,0.0,10.0,<function dropout at 0x7f0692bb6a60>,cone,0.22222222387790677,1024,3,3,0.31578946113586426
14,0.0,10.0,<function dropout at 0x7f0692bb6a60>,cone,0.22222222387790677,1024,3,4,0.31578946113586426
15,0.0,10.0,<function dropout at 0x7f0692bb6a60>,cone,0.22222222387790677,1024,3,8,0.31578946113586426
16,0.0,10.0,<function dropout at 0x7f0692bb6a60>,cone,0.3777777820825577,1024,3,16,0.3684210777282715
17,0.0,10.0,<function dropout at 0x7f0692bb6a60>,cone,0.22222222387790677,1024,3,32,0.31578946113586426
18,0.0,1.0,<function dropout at 0x7f0692bb6a60>,cone,0.35555556714534753,256,3,2,0.31578946113586426
19,0.0,1.0,<function dropout at 0x7f0692bb6a60>,cone,0.33333334326744074,256,3,3,0.31578946113586426
20,0.0,1.0,<function dropout at 0x7f0692bb6a60>,cone,0.3333333387970924,256,3,4,0.31578946113586426
21,0.0,1.0,<function dropout at 0x7f0692bb6a60>,cone,0.3333333373069763,256,3,8,0.31578946113586426
22,0.0,1.0,<function dropout at 0x7f0692bb6a60>,cone,0.355555559694767,256,3,16,0.3684210777282715
23,0.0,1.0,<function dropout at 0x7f0692bb6a60>,cone,0.4000000029802322,256,3,32,0.3684210777282715
24,0.0,1.0,<function dropout at 0x7f0692bb6a60>,cone,0.344444453716278,512,3,2,0.31578946113586426
25,0.0,1.0,<function dropout at 0x7f0692bb6a60>,cone,0.24444444626569745,512,3,3,0.31578946113586426
