,activationFn,valAccuracy,nlayers,learningrate,dR,testAccuracy,layerForm,dropoutFn,nstart
0,3,0.36842104792594915,2,10.0,0.0,0.2083333432674408,cone,<function dropout at 0x7f8e2cf1ca60>,256
1,3,0.36842104792594915,2,10.0,0.0,0.2083333432674408,cone,<function dropout at 0x7f8e2cf1ca60>,512
2,3,0.36842104792594915,2,10.0,0.0,0.2083333432674408,cone,<function dropout at 0x7f8e2cf1ca60>,1024
3,3,0.36842104792594915,2,10.0,0.5,0.2083333432674408,cone,<function dropout at 0x7f8e2cf1ca60>,256
4,3,0.37368420660495766,2,10.0,0.5,0.2083333432674408,cone,<function dropout at 0x7f8e2cf1ca60>,512
5,3,0.36842104792594915,2,10.0,0.5,0.2083333432674408,cone,<function dropout at 0x7f8e2cf1ca60>,1024
6,3,0.36842104792594915,2,1.0,0.0,0.2083333432674408,cone,<function dropout at 0x7f8e2cf1ca60>,256
7,3,0.36842104792594915,2,1.0,0.0,0.2083333432674408,cone,<function dropout at 0x7f8e2cf1ca60>,512
8,3,0.36842104792594915,2,1.0,0.0,0.2083333432674408,cone,<function dropout at 0x7f8e2cf1ca60>,1024
9,3,0.36842104792594915,2,1.0,0.5,0.2083333432674408,cone,<function dropout at 0x7f8e2cf1ca60>,256
10,3,0.36842104792594915,2,1.0,0.5,0.2083333432674408,cone,<function dropout at 0x7f8e2cf1ca60>,512
11,3,0.36842104792594915,2,1.0,0.5,0.2083333432674408,cone,<function dropout at 0x7f8e2cf1ca60>,1024
12,3,0.4210526347160339,2,0.1,0.0,0.4583333432674408,cone,<function dropout at 0x7f8e2cf1ca60>,256
13,3,0.36315791904926303,2,0.1,0.0,0.4583333432674408,cone,<function dropout at 0x7f8e2cf1ca60>,512
14,3,0.4578947305679321,2,0.1,0.0,0.4375,cone,<function dropout at 0x7f8e2cf1ca60>,1024
15,3,0.34736842513084415,2,0.1,0.5,0.5,cone,<function dropout at 0x7f8e2cf1ca60>,256
16,3,0.41578947603702543,2,0.1,0.5,0.4791666865348816,cone,<function dropout at 0x7f8e2cf1ca60>,512
17,3,0.4526315808296204,2,0.1,0.5,0.4583333432674408,cone,<function dropout at 0x7f8e2cf1ca60>,1024
18,3,0.3157894611358642,2,0.01,0.0,0.4791666865348816,cone,<function dropout at 0x7f8e2cf1ca60>,256
19,3,0.3684210777282715,2,0.01,0.0,0.5416666865348816,cone,<function dropout at 0x7f8e2cf1ca60>,512
20,3,0.5000000059604646,2,0.01,0.0,0.4375000298023224,cone,<function dropout at 0x7f8e2cf1ca60>,1024
21,3,0.4736842215061188,2,0.01,0.5,0.4791666865348816,cone,<function dropout at 0x7f8e2cf1ca60>,256
22,3,0.3157894909381866,2,0.01,0.5,0.4791666865348816,cone,<function dropout at 0x7f8e2cf1ca60>,512
23,3,0.33157895803451537,2,0.01,0.5,0.4791666865348816,cone,<function dropout at 0x7f8e2cf1ca60>,1024
24,3,0.36842104792594915,3,10.0,0.0,0.2083333432674408,cone,<function dropout at 0x7f8e2cf1ca60>,256
25,3,0.36842104792594915,3,10.0,0.0,0.2083333432674408,cone,<function dropout at 0x7f8e2cf1ca60>,512
26,3,0.36842104792594915,3,10.0,0.0,0.2083333432674408,cone,<function dropout at 0x7f8e2cf1ca60>,1024
27,3,0.36842104792594915,3,10.0,0.5,0.2083333432674408,cone,<function dropout at 0x7f8e2cf1ca60>,256
28,3,0.36842104792594915,3,10.0,0.5,0.2083333432674408,cone,<function dropout at 0x7f8e2cf1ca60>,512
29,3,0.36842104792594915,3,10.0,0.5,0.2083333432674408,cone,<function dropout at 0x7f8e2cf1ca60>,1024
30,3,0.2052631609141827,3,1.0,0.0,0.3333333432674408,cone,<function dropout at 0x7f8e2cf1ca60>,256
31,3,0.36842104792594915,3,1.0,0.0,0.2083333432674408,cone,<function dropout at 0x7f8e2cf1ca60>,512
32,3,0.36842104792594915,3,1.0,0.0,0.2083333432674408,cone,<function dropout at 0x7f8e2cf1ca60>,1024
33,3,0.36842104792594915,3,1.0,0.5,0.2083333432674408,cone,<function dropout at 0x7f8e2cf1ca60>,256
34,3,0.36842104792594915,3,1.0,0.5,0.2083333432674408,cone,<function dropout at 0x7f8e2cf1ca60>,512
35,3,0.36842104792594915,3,1.0,0.5,0.2083333432674408,cone,<function dropout at 0x7f8e2cf1ca60>,1024
36,3,0.47368419170379644,3,0.1,0.0,0.3958333730697632,cone,<function dropout at 0x7f8e2cf1ca60>,256
37,3,0.4210526347160339,3,0.1,0.0,0.4166666865348816,cone,<function dropout at 0x7f8e2cf1ca60>,512
38,3,0.5052631735801697,3,0.1,0.0,0.4375,cone,<function dropout at 0x7f8e2cf1ca60>,1024
39,3,0.40000000894069665,3,0.1,0.5,0.5,cone,<function dropout at 0x7f8e2cf1ca60>,256
40,3,0.37368421256542206,3,0.1,0.5,0.4375000298023224,cone,<function dropout at 0x7f8e2cf1ca60>,512
41,3,0.45789473354816446,3,0.1,0.5,0.4166666865348816,cone,<function dropout at 0x7f8e2cf1ca60>,1024
42,3,0.4684210360050202,3,0.01,0.0,0.4791666865348816,cone,<function dropout at 0x7f8e2cf1ca60>,256
43,3,0.3684210777282715,3,0.01,0.0,0.4583333432674408,cone,<function dropout at 0x7f8e2cf1ca60>,512
44,3,0.36842104792594915,3,0.01,0.0,0.4166666865348816,cone,<function dropout at 0x7f8e2cf1ca60>,1024
45,3,0.41052632331848143,3,0.01,0.5,0.4375,cone,<function dropout at 0x7f8e2cf1ca60>,256
46,3,0.3157894909381866,3,0.01,0.5,0.5,cone,<function dropout at 0x7f8e2cf1ca60>,512
47,3,0.38947369754314426,3,0.01,0.5,0.4791666865348816,cone,<function dropout at 0x7f8e2cf1ca60>,1024
48,3,0.36842104792594915,4,10.0,0.0,0.2083333432674408,cone,<function dropout at 0x7f8e2cf1ca60>,256
49,3,0.36842104792594915,4,10.0,0.0,0.2083333432674408,cone,<function dropout at 0x7f8e2cf1ca60>,512
50,3,0.36842104792594915,4,10.0,0.0,0.2083333432674408,cone,<function dropout at 0x7f8e2cf1ca60>,1024
51,3,0.36842104792594915,4,10.0,0.5,0.2083333432674408,cone,<function dropout at 0x7f8e2cf1ca60>,256
52,3,0.36842104792594915,4,10.0,0.5,0.2083333432674408,cone,<function dropout at 0x7f8e2cf1ca60>,512
53,3,0.36842104792594915,4,10.0,0.5,0.2083333432674408,cone,<function dropout at 0x7f8e2cf1ca60>,1024
54,3,0.36842104792594915,4,1.0,0.0,0.2083333432674408,cone,<function dropout at 0x7f8e2cf1ca60>,256
55,3,0.36842104792594915,4,1.0,0.0,0.2083333432674408,cone,<function dropout at 0x7f8e2cf1ca60>,512
56,3,0.36842104792594915,4,1.0,0.0,0.2083333432674408,cone,<function dropout at 0x7f8e2cf1ca60>,1024
57,3,0.36842104792594915,4,1.0,0.5,0.2083333432674408,cone,<function dropout at 0x7f8e2cf1ca60>,256
58,3,0.36842104792594915,4,1.0,0.5,0.2083333432674408,cone,<function dropout at 0x7f8e2cf1ca60>,512
59,3,0.36842104792594915,4,1.0,0.5,0.2083333432674408,cone,<function dropout at 0x7f8e2cf1ca60>,1024
60,3,0.5789473652839661,4,0.1,0.0,0.4583333432674408,cone,<function dropout at 0x7f8e2cf1ca60>,256
61,3,0.3052631735801697,4,0.1,0.0,0.4583333432674408,cone,<function dropout at 0x7f8e2cf1ca60>,512
62,3,0.4210526347160339,4,0.1,0.0,0.4583333432674408,cone,<function dropout at 0x7f8e2cf1ca60>,1024
63,3,0.30526316761970523,4,0.1,0.5,0.3958333432674408,cone,<function dropout at 0x7f8e2cf1ca60>,256
64,3,0.3631579160690308,4,0.1,0.5,0.3958333730697632,cone,<function dropout at 0x7f8e2cf1ca60>,512
65,3,0.389473682641983,4,0.1,0.5,0.4791666865348816,cone,<function dropout at 0x7f8e2cf1ca60>,1024
66,3,0.4315789520740509,4,0.01,0.0,0.4791666865348816,cone,<function dropout at 0x7f8e2cf1ca60>,256
67,3,0.3157894611358642,4,0.01,0.0,0.4791666865348816,cone,<function dropout at 0x7f8e2cf1ca60>,512
68,3,0.36315789222717293,4,0.01,0.0,0.4166666865348816,cone,<function dropout at 0x7f8e2cf1ca60>,1024
69,3,0.3157894909381866,4,0.01,0.5,0.5,cone,<function dropout at 0x7f8e2cf1ca60>,256
70,3,0.42631579637527456,4,0.01,0.5,0.4166666865348816,cone,<function dropout at 0x7f8e2cf1ca60>,512
71,3,0.4157894730567932,4,0.01,0.5,0.4791666865348816,cone,<function dropout at 0x7f8e2cf1ca60>,1024
72,3,0.36842104792594915,8,10.0,0.0,0.2083333432674408,cone,<function dropout at 0x7f8e2cf1ca60>,256
73,3,0.36842104792594915,8,10.0,0.0,0.2083333432674408,cone,<function dropout at 0x7f8e2cf1ca60>,512
74,3,0.36842104792594915,8,10.0,0.0,0.2083333432674408,cone,<function dropout at 0x7f8e2cf1ca60>,1024
75,3,0.36842104792594915,8,10.0,0.5,0.2083333432674408,cone,<function dropout at 0x7f8e2cf1ca60>,256
76,3,0.36842104792594915,8,10.0,0.5,0.2083333432674408,cone,<function dropout at 0x7f8e2cf1ca60>,512
77,3,0.36842104792594915,8,10.0,0.5,0.2083333432674408,cone,<function dropout at 0x7f8e2cf1ca60>,1024
78,3,0.36842104792594915,8,1.0,0.0,0.2083333432674408,cone,<function dropout at 0x7f8e2cf1ca60>,256
79,3,0.36842104792594915,8,1.0,0.0,0.2083333432674408,cone,<function dropout at 0x7f8e2cf1ca60>,512
80,3,0.36842104792594915,8,1.0,0.0,0.2083333432674408,cone,<function dropout at 0x7f8e2cf1ca60>,1024
81,3,0.36842104792594915,8,1.0,0.5,0.2083333432674408,cone,<function dropout at 0x7f8e2cf1ca60>,256
82,3,0.36842104792594915,8,1.0,0.5,0.2083333432674408,cone,<function dropout at 0x7f8e2cf1ca60>,512
83,3,0.36842104792594915,8,1.0,0.5,0.2083333432674408,cone,<function dropout at 0x7f8e2cf1ca60>,1024
84,3,0.384210541844368,8,0.1,0.0,0.4791666865348816,cone,<function dropout at 0x7f8e2cf1ca60>,256
85,3,0.4263157904148101,8,0.1,0.0,0.4375,cone,<function dropout at 0x7f8e2cf1ca60>,512
86,3,0.36842104792594915,8,0.1,0.0,0.4375,cone,<function dropout at 0x7f8e2cf1ca60>,1024
87,3,0.26315790414810186,8,0.1,0.5,0.3333333432674408,cone,<function dropout at 0x7f8e2cf1ca60>,256
88,3,0.3052631579339505,8,0.1,0.5,0.2083333432674408,cone,<function dropout at 0x7f8e2cf1ca60>,512
89,3,0.36842104792594915,8,0.1,0.5,0.2083333432674408,cone,<function dropout at 0x7f8e2cf1ca60>,1024
90,3,0.4684210360050202,8,0.01,0.0,0.5,cone,<function dropout at 0x7f8e2cf1ca60>,256
91,3,0.4210526347160339,8,0.01,0.0,0.4791666865348816,cone,<function dropout at 0x7f8e2cf1ca60>,512
92,3,0.3157894909381866,8,0.01,0.0,0.4583333730697632,cone,<function dropout at 0x7f8e2cf1ca60>,1024
93,3,0.23157895207405096,8,0.01,0.5,0.2083333432674408,cone,<function dropout at 0x7f8e2cf1ca60>,256
94,3,0.25789474546909336,8,0.01,0.5,0.3333333432674408,cone,<function dropout at 0x7f8e2cf1ca60>,512
95,3,0.29473683536052697,8,0.01,0.5,0.2291666865348816,cone,<function dropout at 0x7f8e2cf1ca60>,1024
96,3,0.36842104792594915,16,10.0,0.0,0.2083333432674408,cone,<function dropout at 0x7f8e2cf1ca60>,256
97,3,0.36842104792594915,16,10.0,0.0,0.2083333432674408,cone,<function dropout at 0x7f8e2cf1ca60>,512
98,3,0.36842104792594915,16,10.0,0.0,0.2083333432674408,cone,<function dropout at 0x7f8e2cf1ca60>,1024
99,3,0.36842104792594915,16,10.0,0.5,0.2083333432674408,cone,<function dropout at 0x7f8e2cf1ca60>,256
100,3,0.36842104792594915,16,10.0,0.5,0.2083333432674408,cone,<function dropout at 0x7f8e2cf1ca60>,512
101,3,0.36842104792594915,16,10.0,0.5,0.2083333432674408,cone,<function dropout at 0x7f8e2cf1ca60>,1024
