,layerForm,valAccuracy,dR,testAccuracy,nlayers,nstart,dropoutFn,activationFn,learningrate
0,cone,0.34924784898757943,0.0,0.32901236414909363,2,256,<function dropout at 0x7f441aa56a60>,3,10.0
1,cone,0.998626470565796,0.0,0.9978395700454712,2,256,<function dropout at 0x7f441aa56a60>,3,1.0
2,cone,0.9938521683216095,0.0,0.9932098388671875,2,256,<function dropout at 0x7f441aa56a60>,3,0.1
3,cone,0.9614126801490784,0.0,0.9734567403793335,2,256,<function dropout at 0x7f441aa56a60>,3,0.01
4,cone,0.3328972935676575,0.0,0.33364197611808777,2,512,<function dropout at 0x7f441aa56a60>,3,10.0
5,cone,0.33289728164672855,0.0,0.33364197611808777,2,512,<function dropout at 0x7f441aa56a60>,3,1.0
6,cone,0.9977762281894683,0.0,0.9969135522842407,2,512,<function dropout at 0x7f441aa56a60>,3,0.1
7,cone,0.972727245092392,0.0,0.9808641672134399,2,512,<function dropout at 0x7f441aa56a60>,3,0.01
8,cone,0.2923479348421097,0.0,0.31203702092170715,2,1024,<function dropout at 0x7f441aa56a60>,3,10.0
9,cone,0.3328973054885864,0.0,0.33364197611808777,2,1024,<function dropout at 0x7f441aa56a60>,3,1.0
10,cone,0.995683366060257,0.0,0.9947530031204224,2,1024,<function dropout at 0x7f441aa56a60>,3,0.1
11,cone,0.9788096368312836,0.0,0.987036943435669,2,1024,<function dropout at 0x7f441aa56a60>,3,0.01
12,cone,0.33289729654788974,0.0,0.33364197611808777,3,256,<function dropout at 0x7f441aa56a60>,3,10.0
13,cone,0.3329627007246019,0.0,0.31203702092170715,3,256,<function dropout at 0x7f441aa56a60>,3,1.0
14,cone,0.9946369647979735,0.0,0.9978393912315369,3,256,<function dropout at 0x7f441aa56a60>,3,0.1
15,cone,0.97815563082695,0.0,0.983333170413971,3,256,<function dropout at 0x7f441aa56a60>,3,0.01
16,cone,0.33289729952812197,0.0,0.33364197611808777,3,512,<function dropout at 0x7f441aa56a60>,3,10.0
17,cone,0.33289729654788974,0.0,0.33364197611808777,3,512,<function dropout at 0x7f441aa56a60>,3,1.0
18,cone,0.9981686353683472,0.0,0.9984568357467651,3,512,<function dropout at 0x7f441aa56a60>,3,0.1
19,cone,0.9843034327030181,0.0,0.9895060658454895,3,512,<function dropout at 0x7f441aa56a60>,3,0.01
20,cone,0.3328973025083542,0.0,0.33364200592041016,3,1024,<function dropout at 0x7f441aa56a60>,3,10.0
21,cone,0.3328973054885864,0.0,0.33364197611808777,3,1024,<function dropout at 0x7f441aa56a60>,3,1.0
22,cone,0.9975146353244781,0.0,0.9978394508361816,3,1024,<function dropout at 0x7f441aa56a60>,3,0.1
23,cone,0.9884237945079805,0.0,0.9938270449638367,3,1024,<function dropout at 0x7f441aa56a60>,3,0.01
24,cone,0.3328972905874253,0.0,0.33364197611808777,4,256,<function dropout at 0x7f441aa56a60>,3,10.0
25,cone,0.02550686523318291,0.0,0.025308644399046898,4,256,<function dropout at 0x7f441aa56a60>,3,1.0
26,cone,0.9982994556427002,0.0,0.9981480836868286,4,256,<function dropout at 0x7f441aa56a60>,3,0.1
27,cone,0.980117702484131,0.0,0.985802412033081,4,256,<function dropout at 0x7f441aa56a60>,3,0.01
28,cone,0.33289729952812197,0.0,0.33364197611808777,4,512,<function dropout at 0x7f441aa56a60>,3,10.0
29,cone,0.33289729952812197,0.0,0.33364197611808777,4,512,<function dropout at 0x7f441aa56a60>,3,1.0
30,cone,0.9972530305385588,0.0,0.9984567761421204,4,512,<function dropout at 0x7f441aa56a60>,3,0.1
31,cone,0.9858730971813202,0.0,0.9929012060165405,4,512,<function dropout at 0x7f441aa56a60>,3,0.01
32,cone,0.3328972935676575,0.0,0.33364197611808777,4,1024,<function dropout at 0x7f441aa56a60>,3,10.0
33,cone,0.33289729952812197,0.0,0.33364200592041016,4,1024,<function dropout at 0x7f441aa56a60>,3,1.0
34,cone,0.9977108538150787,0.0,0.9978394508361816,4,1024,<function dropout at 0x7f441aa56a60>,3,0.1
35,cone,0.9936559200286865,0.0,0.996296226978302,4,1024,<function dropout at 0x7f441aa56a60>,3,0.01
36,cone,0.33289728760719306,0.0,0.33364197611808777,8,256,<function dropout at 0x7f441aa56a60>,3,10.0
37,cone,0.3328972846269608,0.0,0.33364200592041016,8,256,<function dropout at 0x7f441aa56a60>,3,1.0
38,cone,0.9979070127010344,0.0,0.9981480836868286,8,256,<function dropout at 0x7f441aa56a60>,3,0.1
39,cone,0.988619989156723,0.0,0.9941357374191284,8,256,<function dropout at 0x7f441aa56a60>,3,0.01
40,cone,0.3328972905874253,0.0,0.33364197611808777,8,512,<function dropout at 0x7f441aa56a60>,3,10.0
41,cone,0.33289729654788974,0.0,0.33364200592041016,8,512,<function dropout at 0x7f441aa56a60>,3,1.0
42,cone,0.9981686294078826,0.0,0.9987653493881226,8,512,<function dropout at 0x7f441aa56a60>,3,0.1
43,cone,0.9935905218124389,0.0,0.9947530031204224,8,512,<function dropout at 0x7f441aa56a60>,3,0.01
44,cone,0.3328972786664964,0.0,0.33364197611808777,8,1024,<function dropout at 0x7f441aa56a60>,3,10.0
45,cone,0.3328972935676575,0.0,0.33364197611808777,8,1024,<function dropout at 0x7f441aa56a60>,3,1.0
46,cone,0.9985610604286195,0.0,0.9984567761421204,8,1024,<function dropout at 0x7f441aa56a60>,3,0.1
47,cone,0.9940483272075653,0.0,0.9947530031204224,8,1024,<function dropout at 0x7f441aa56a60>,3,0.01
48,cone,0.3328972935676575,0.0,0.33364197611808777,16,256,<function dropout at 0x7f441aa56a60>,3,10.0
49,cone,0.3328973025083542,0.0,0.33364197611808777,16,256,<function dropout at 0x7f441aa56a60>,3,1.0
50,cone,0.9987572610378267,0.0,0.999691367149353,16,256,<function dropout at 0x7f441aa56a60>,3,0.1
51,cone,0.9884891331195832,0.0,0.9916665554046631,16,256,<function dropout at 0x7f441aa56a60>,3,0.01
52,cone,0.3328972935676575,0.0,0.33364197611808777,16,512,<function dropout at 0x7f441aa56a60>,3,10.0
53,cone,0.33289729952812197,0.0,0.33364197611808777,16,512,<function dropout at 0x7f441aa56a60>,3,1.0
54,cone,0.9986918568611146,0.0,0.9981480836868286,16,512,<function dropout at 0x7f441aa56a60>,3,0.1
55,cone,0.9896009802818299,0.0,0.9932098388671875,16,512,<function dropout at 0x7f441aa56a60>,3,0.01
56,cone,0.3328973054885864,0.0,0.33364197611808777,16,1024,<function dropout at 0x7f441aa56a60>,3,10.0
57,cone,0.33289729654788974,0.0,0.33364197611808777,16,1024,<function dropout at 0x7f441aa56a60>,3,1.0
58,cone,0.9980378746986388,0.0,0.9984567165374756,16,1024,<function dropout at 0x7f441aa56a60>,3,0.1
59,cone,0.9954217612743378,0.0,0.9950616359710693,16,1024,<function dropout at 0x7f441aa56a60>,3,0.01
60,cone,0.3328973025083542,0.0,0.33364200592041016,32,256,<function dropout at 0x7f441aa56a60>,3,10.0
61,cone,0.3328973025083542,0.0,0.33364197611808777,32,256,<function dropout at 0x7f441aa56a60>,3,1.0
62,cone,0.5313930481672288,0.0,0.5966048836708069,32,256,<function dropout at 0x7f441aa56a60>,3,0.1
