,dropoutFn,activationFn,testAccuracy,valAccuracy,layerForm,nstart,learningrate,nlayers,dR
0,<function dropout at 0x7f6d7e6e0a60>,3,0.2448979616165161,0.37692308425903315,rect,256,10.0,2,0.0
1,<function dropout at 0x7f6d7e6e0a60>,3,0.2448979616165161,0.37692308425903315,rect,256,10.0,2,0.5
2,<function dropout at 0x7f6d7e6e0a60>,3,0.2448979616165161,0.34615385532379145,rect,256,10.0,3,0.0
3,<function dropout at 0x7f6d7e6e0a60>,3,0.2448979616165161,0.34615385532379145,rect,256,10.0,3,0.5
4,<function dropout at 0x7f6d7e6e0a60>,3,0.2448979616165161,0.34615385532379145,rect,256,10.0,4,0.0
5,<function dropout at 0x7f6d7e6e0a60>,3,0.2448979616165161,0.34615385532379145,rect,256,10.0,4,0.5
6,<function dropout at 0x7f6d7e6e0a60>,3,0.2448979616165161,0.34615385532379145,rect,256,10.0,8,0.0
7,<function dropout at 0x7f6d7e6e0a60>,3,0.2448979616165161,0.34615385532379145,rect,256,10.0,8,0.5
8,<function dropout at 0x7f6d7e6e0a60>,3,0.2448979616165161,0.34615385532379145,rect,256,10.0,16,0.0
9,<function dropout at 0x7f6d7e6e0a60>,3,0.2448979616165161,0.34615385532379145,rect,256,10.0,16,0.5
10,<function dropout at 0x7f6d7e6e0a60>,3,0.2448979616165161,0.34615385532379145,rect,256,10.0,32,0.0
11,<function dropout at 0x7f6d7e6e0a60>,3,0.2448979616165161,0.34615385532379145,rect,256,10.0,32,0.5
12,<function dropout at 0x7f6d7e6e0a60>,3,0.2448979616165161,0.3500000119209289,rect,256,1.0,2,0.0
13,<function dropout at 0x7f6d7e6e0a60>,3,0.2448979616165161,0.36538462638854974,rect,256,1.0,2,0.5
14,<function dropout at 0x7f6d7e6e0a60>,3,0.2448979616165161,0.37692308425903315,rect,256,1.0,3,0.0
15,<function dropout at 0x7f6d7e6e0a60>,3,0.2448979616165161,0.37692308425903315,rect,256,1.0,3,0.5
16,<function dropout at 0x7f6d7e6e0a60>,3,0.2448979616165161,0.34615385532379145,rect,256,1.0,4,0.0
17,<function dropout at 0x7f6d7e6e0a60>,3,0.2448979616165161,0.34615385532379145,rect,256,1.0,4,0.5
18,<function dropout at 0x7f6d7e6e0a60>,3,0.2448979616165161,0.34615385532379145,rect,256,1.0,8,0.0
19,<function dropout at 0x7f6d7e6e0a60>,3,0.2448979616165161,0.34615385532379145,rect,256,1.0,8,0.5
20,<function dropout at 0x7f6d7e6e0a60>,3,0.2448979616165161,0.34615385532379145,rect,256,1.0,16,0.0
