,layerForm,testAccuracy,dR,nlayers,valAccuracy,nstart,dropoutFn,learningrate,activationFn
86,cone,0.6086956262588501,0.5,3,0.6857143223285675,256,<function dropout at 0x7f657ef23a60>,0.1,3
87,cone,0.695652186870575,0.5,3,0.6000000298023224,256,<function dropout at 0x7f657ef23a60>,0.01,3
88,cone,0.21739131212234497,0.5,3,0.14285714924335477,512,<function dropout at 0x7f657ef23a60>,10.0,3
89,cone,0.21739131212234497,0.5,3,0.14285714924335477,512,<function dropout at 0x7f657ef23a60>,1.0,3
90,cone,0.5652173757553101,0.5,3,0.6857143223285675,512,<function dropout at 0x7f657ef23a60>,0.1,3
91,cone,0.43478262424468994,0.5,3,0.5714285969734192,512,<function dropout at 0x7f657ef23a60>,0.01,3
92,cone,0.21739131212234497,0.5,3,0.14285714924335477,1024,<function dropout at 0x7f657ef23a60>,10.0,3
93,cone,0.21739131212234497,0.5,3,0.20000000745058055,1024,<function dropout at 0x7f657ef23a60>,1.0,3
94,cone,0.52173912525177,0.5,3,0.6357143223285675,1024,<function dropout at 0x7f657ef23a60>,0.1,3
95,cone,0.5652173757553101,0.5,3,0.6285714685916901,1024,<function dropout at 0x7f657ef23a60>,0.01,3
96,cone,0.21739131212234497,0.5,4,0.14285714924335477,256,<function dropout at 0x7f657ef23a60>,10.0,3
97,cone,0.21739131212234497,0.5,4,0.14285714924335477,256,<function dropout at 0x7f657ef23a60>,1.0,3
98,cone,0.6086956262588501,0.5,4,0.6928571701049805,256,<function dropout at 0x7f657ef23a60>,0.1,3
99,cone,0.47826087474823,0.5,4,0.6428571939468385,256,<function dropout at 0x7f657ef23a60>,0.01,3
100,cone,0.21739131212234497,0.5,4,0.14285714924335477,512,<function dropout at 0x7f657ef23a60>,10.0,3
101,cone,0.21739131212234497,0.5,4,0.14285714924335477,512,<function dropout at 0x7f657ef23a60>,1.0,3
102,cone,0.5652173757553101,0.5,4,0.6571428775787352,512,<function dropout at 0x7f657ef23a60>,0.1,3
103,cone,0.6086956262588501,0.5,4,0.6357143223285676,512,<function dropout at 0x7f657ef23a60>,0.01,3
104,cone,0.21739131212234497,0.5,4,0.14285714924335477,1024,<function dropout at 0x7f657ef23a60>,10.0,3
105,cone,0.21739131212234497,0.5,4,0.14285714924335477,1024,<function dropout at 0x7f657ef23a60>,1.0,3
106,cone,0.5652173757553101,0.5,4,0.6428571596741676,1024,<function dropout at 0x7f657ef23a60>,0.1,3
107,cone,0.47826087474823,0.5,4,0.5642857372760773,1024,<function dropout at 0x7f657ef23a60>,0.01,3
108,cone,0.21739131212234497,0.5,8,0.14285714924335477,256,<function dropout at 0x7f657ef23a60>,10.0,3
109,cone,0.21739131212234497,0.5,8,0.14285714924335477,256,<function dropout at 0x7f657ef23a60>,1.0,3
110,cone,0.21739131212234497,0.5,8,0.20000000745058055,256,<function dropout at 0x7f657ef23a60>,0.1,3
111,cone,0.43478262424468994,0.5,8,0.7000000238418579,256,<function dropout at 0x7f657ef23a60>,0.01,3
112,cone,0.21739131212234497,0.5,8,0.14285714924335477,512,<function dropout at 0x7f657ef23a60>,10.0,3
113,cone,0.21739131212234497,0.5,8,0.14285714924335477,512,<function dropout at 0x7f657ef23a60>,1.0,3
114,cone,0.21739131212234497,0.5,8,0.19285715371370313,512,<function dropout at 0x7f657ef23a60>,0.1,3
115,cone,0.3478260934352875,0.5,8,0.28571429699659345,512,<function dropout at 0x7f657ef23a60>,0.01,3
116,cone,0.21739131212234497,0.5,8,0.14285714924335477,1024,<function dropout at 0x7f657ef23a60>,10.0,3
117,cone,0.21739131212234497,0.5,8,0.14285714924335477,1024,<function dropout at 0x7f657ef23a60>,1.0,3
118,cone,0.21739131212234497,0.5,8,0.14285714924335477,1024,<function dropout at 0x7f657ef23a60>,0.1,3
119,cone,0.3478260934352875,0.5,8,0.15714286416769024,1024,<function dropout at 0x7f657ef23a60>,0.01,3
120,cone,0.21739131212234497,0.5,16,0.14285714924335477,256,<function dropout at 0x7f657ef23a60>,10.0,3
121,cone,0.21739131212234497,0.5,16,0.14285714924335477,256,<function dropout at 0x7f657ef23a60>,1.0,3
122,cone,0.21739131212234497,0.5,16,0.20000000745058055,256,<function dropout at 0x7f657ef23a60>,0.1,3
123,cone,0.43478262424468994,0.5,16,0.7357143104076385,256,<function dropout at 0x7f657ef23a60>,0.01,3
124,cone,0.21739131212234497,0.5,16,0.14285714924335477,512,<function dropout at 0x7f657ef23a60>,10.0,3
125,cone,0.21739131212234497,0.5,16,0.14285714924335477,512,<function dropout at 0x7f657ef23a60>,1.0,3
126,cone,0.21739131212234497,0.5,16,0.14285714924335477,512,<function dropout at 0x7f657ef23a60>,0.1,3
127,cone,0.30434781312942505,0.5,16,0.47142858803272236,512,<function dropout at 0x7f657ef23a60>,0.01,3
128,cone,0.21739131212234497,0.5,16,0.14285714924335477,1024,<function dropout at 0x7f657ef23a60>,10.0,3
129,cone,0.21739131212234497,0.5,16,0.14285714924335477,1024,<function dropout at 0x7f657ef23a60>,1.0,3
130,cone,0.21739131212234497,0.5,16,0.14285714924335477,1024,<function dropout at 0x7f657ef23a60>,0.1,3
131,cone,0.5652173757553101,0.5,16,0.6000000357627869,1024,<function dropout at 0x7f657ef23a60>,0.01,3
132,cone,0.21739131212234497,0.5,32,0.14285714924335477,256,<function dropout at 0x7f657ef23a60>,10.0,3
133,cone,0.21739131212234497,0.5,32,0.14285714924335477,256,<function dropout at 0x7f657ef23a60>,1.0,3
134,cone,0.21739131212234497,0.5,32,0.3142857238650322,256,<function dropout at 0x7f657ef23a60>,0.1,3
135,cone,0.5652173757553101,0.5,32,0.7142857313156127,256,<function dropout at 0x7f657ef23a60>,0.01,3
136,cone,0.21739131212234497,0.5,32,0.14285714924335477,512,<function dropout at 0x7f657ef23a60>,10.0,3
137,cone,0.21739131212234497,0.5,32,0.14285714924335477,512,<function dropout at 0x7f657ef23a60>,1.0,3
138,cone,0.21739131212234497,0.5,32,0.14285714924335477,512,<function dropout at 0x7f657ef23a60>,0.1,3
139,cone,0.21739131212234497,0.5,32,0.20714287012815474,512,<function dropout at 0x7f657ef23a60>,0.01,3
140,cone,0.21739131212234497,0.5,32,0.14285714924335477,1024,<function dropout at 0x7f657ef23a60>,10.0,3
141,cone,0.21739131212234497,0.5,32,0.14285714924335477,1024,<function dropout at 0x7f657ef23a60>,1.0,3
142,cone,0.21739131212234497,0.5,32,0.14285714924335477,1024,<function dropout at 0x7f657ef23a60>,0.1,3
143,cone,0.21739131212234497,0.5,32,0.14285714924335477,1024,<function dropout at 0x7f657ef23a60>,0.01,3
