,nstart,dR,testAccuracy,dropoutFn,valAccuracy,learningrate,nlayers,activationFn,layerForm
0,256,0.0,0.25,<function dropout at 0x7f4824587a60>,0.3666666775941848,10.0,2,3,rect
1,256,0.0,0.25,<function dropout at 0x7f4824587a60>,0.33333334326744074,10.0,3,3,rect
2,256,0.0,0.25,<function dropout at 0x7f4824587a60>,0.33333334326744074,10.0,4,3,rect
3,256,0.0,0.25,<function dropout at 0x7f4824587a60>,0.33333334326744074,10.0,8,3,rect
4,256,0.0,0.25,<function dropout at 0x7f4824587a60>,0.33333334326744074,10.0,16,3,rect
5,256,0.0,0.25,<function dropout at 0x7f4824587a60>,0.33333334326744074,10.0,32,3,rect
6,256,0.0,0.25,<function dropout at 0x7f4824587a60>,0.33333334326744074,1.0,2,3,rect
7,256,0.0,0.25,<function dropout at 0x7f4824587a60>,0.33333334326744074,1.0,3,3,rect
8,256,0.0,0.25,<function dropout at 0x7f4824587a60>,0.33333334326744074,1.0,4,3,rect
9,256,0.0,0.25,<function dropout at 0x7f4824587a60>,0.33333334326744074,1.0,8,3,rect
10,256,0.0,0.25,<function dropout at 0x7f4824587a60>,0.33333334326744074,1.0,16,3,rect
11,256,0.0,0.25,<function dropout at 0x7f4824587a60>,0.33333334326744074,1.0,32,3,rect
12,256,0.0,0.5,<function dropout at 0x7f4824587a60>,0.3666666775941848,0.1,2,3,rect
13,256,0.0,0.5,<function dropout at 0x7f4824587a60>,0.766666680574417,0.1,3,3,rect
14,256,0.0,0.25,<function dropout at 0x7f4824587a60>,0.33333334326744074,0.1,4,3,rect
15,256,0.0,0.25,<function dropout at 0x7f4824587a60>,0.33333334326744074,0.1,8,3,rect
16,256,0.0,0.25,<function dropout at 0x7f4824587a60>,0.33333334326744074,0.1,16,3,rect
17,256,0.0,0.25,<function dropout at 0x7f4824587a60>,0.33333334326744074,0.1,32,3,rect
18,256,0.0,0.5,<function dropout at 0x7f4824587a60>,0.6666666865348815,0.01,2,3,rect
19,256,0.0,0.375,<function dropout at 0x7f4824587a60>,0.9999999999999999,0.01,3,3,rect
20,256,0.0,0.625,<function dropout at 0x7f4824587a60>,0.6666666865348815,0.01,4,3,rect
21,256,0.0,0.375,<function dropout at 0x7f4824587a60>,0.6666666865348815,0.01,8,3,rect
22,256,0.0,0.75,<function dropout at 0x7f4824587a60>,0.33333334326744074,0.01,16,3,rect
