,nstart,valAccuracy,nlayers,dR,learningrate,activationFn,layerForm,testAccuracy,dropoutFn
0,256,0.620689630508423,2,0.0,10.0,3,rect,0.571428656578064,<function dropout at 0x7fe888280a60>
1,256,0.620689630508423,2,0.0,1.0,3,rect,0.571428656578064,<function dropout at 0x7fe888280a60>
2,256,0.9948275744915007,2,0.0,0.1,3,rect,0.8991597890853882,<function dropout at 0x7fe888280a60>
3,256,0.9137930870056153,2,0.0,0.01,3,rect,0.831932783126831,<function dropout at 0x7fe888280a60>
4,256,0.620689630508423,2,0.5,10.0,3,rect,0.571428656578064,<function dropout at 0x7fe888280a60>
5,256,0.620689630508423,2,0.5,1.0,3,rect,0.571428656578064,<function dropout at 0x7fe888280a60>
6,256,0.9396551311016084,2,0.5,0.1,3,rect,0.8403362035751343,<function dropout at 0x7fe888280a60>
7,256,0.93620685338974,2,0.5,0.01,3,rect,0.8235294818878174,<function dropout at 0x7fe888280a60>
8,256,0.620689630508423,3,0.0,10.0,3,rect,0.571428656578064,<function dropout at 0x7fe888280a60>
9,256,0.620689630508423,3,0.0,1.0,3,rect,0.571428656578064,<function dropout at 0x7fe888280a60>
10,256,0.9827586352825166,3,0.0,0.1,3,rect,0.8991597890853882,<function dropout at 0x7fe888280a60>
11,256,0.9465516686439516,3,0.0,0.01,3,rect,0.8571429252624512,<function dropout at 0x7fe888280a60>
12,256,0.620689630508423,3,0.5,10.0,3,rect,0.571428656578064,<function dropout at 0x7fe888280a60>
13,256,0.620689630508423,3,0.5,1.0,3,rect,0.571428656578064,<function dropout at 0x7fe888280a60>
14,256,0.898275864124298,3,0.5,0.1,3,rect,0.8151261806488037,<function dropout at 0x7fe888280a60>
15,256,0.8620689570903777,3,0.5,0.01,3,rect,0.7983193397521973,<function dropout at 0x7fe888280a60>
16,256,0.620689630508423,4,0.0,10.0,3,rect,0.571428656578064,<function dropout at 0x7fe888280a60>
17,256,0.620689630508423,4,0.0,1.0,3,rect,0.571428656578064,<function dropout at 0x7fe888280a60>
18,256,0.984482777118683,4,0.0,0.1,3,rect,0.8823530673980713,<function dropout at 0x7fe888280a60>
19,256,0.9517240762710573,4,0.0,0.01,3,rect,0.8823529481887817,<function dropout at 0x7fe888280a60>
20,256,0.620689630508423,4,0.5,10.0,3,rect,0.571428656578064,<function dropout at 0x7fe888280a60>
21,256,0.620689630508423,4,0.5,1.0,3,rect,0.571428656578064,<function dropout at 0x7fe888280a60>
22,256,0.9293103098869325,4,0.5,0.1,3,rect,0.8655463457107544,<function dropout at 0x7fe888280a60>
23,256,0.8603448212146758,4,0.5,0.01,3,rect,0.7899160385131836,<function dropout at 0x7fe888280a60>
24,256,0.620689630508423,8,0.0,10.0,3,rect,0.571428656578064,<function dropout at 0x7fe888280a60>
25,256,0.620689630508423,8,0.0,1.0,3,rect,0.571428656578064,<function dropout at 0x7fe888280a60>
26,256,0.9827586412429811,8,0.0,0.1,3,rect,0.8823529481887817,<function dropout at 0x7fe888280a60>
27,256,0.8724138021469116,8,0.0,0.01,3,rect,0.8571429252624512,<function dropout at 0x7fe888280a60>
28,256,0.620689630508423,8,0.5,10.0,3,rect,0.571428656578064,<function dropout at 0x7fe888280a60>
29,256,0.620689630508423,8,0.5,1.0,3,rect,0.571428656578064,<function dropout at 0x7fe888280a60>
30,256,0.620689630508423,8,0.5,0.1,3,rect,0.571428656578064,<function dropout at 0x7fe888280a60>
31,256,0.7275861978530883,8,0.5,0.01,3,rect,0.6302521824836731,<function dropout at 0x7fe888280a60>
32,256,0.620689630508423,16,0.0,10.0,3,rect,0.571428656578064,<function dropout at 0x7fe888280a60>
33,256,0.620689630508423,16,0.0,1.0,3,rect,0.571428656578064,<function dropout at 0x7fe888280a60>
34,256,0.620689630508423,16,0.0,0.1,3,rect,0.571428656578064,<function dropout at 0x7fe888280a60>
35,256,0.9655171632766724,16,0.0,0.01,3,rect,0.8823529481887817,<function dropout at 0x7fe888280a60>
36,256,0.620689630508423,16,0.5,10.0,3,rect,0.571428656578064,<function dropout at 0x7fe888280a60>
37,256,0.620689630508423,16,0.5,1.0,3,rect,0.571428656578064,<function dropout at 0x7fe888280a60>
38,256,0.620689630508423,16,0.5,0.1,3,rect,0.571428656578064,<function dropout at 0x7fe888280a60>
39,256,0.5172413647174836,16,0.5,0.01,3,rect,0.4873950481414795,<function dropout at 0x7fe888280a60>
40,256,0.620689630508423,32,0.0,10.0,3,rect,0.571428656578064,<function dropout at 0x7fe888280a60>
41,256,0.620689630508423,32,0.0,1.0,3,rect,0.571428656578064,<function dropout at 0x7fe888280a60>
42,256,0.620689630508423,32,0.0,0.1,3,rect,0.571428656578064,<function dropout at 0x7fe888280a60>
43,256,0.882758641242981,32,0.0,0.01,3,rect,0.8235294818878174,<function dropout at 0x7fe888280a60>
44,256,0.620689630508423,32,0.5,10.0,3,rect,0.571428656578064,<function dropout at 0x7fe888280a60>
45,256,0.620689630508423,32,0.5,1.0,3,rect,0.571428656578064,<function dropout at 0x7fe888280a60>
46,256,0.620689630508423,32,0.5,0.1,3,rect,0.571428656578064,<function dropout at 0x7fe888280a60>
47,256,0.620689630508423,32,0.5,0.01,3,rect,0.571428656578064,<function dropout at 0x7fe888280a60>
48,512,0.620689630508423,2,0.0,10.0,3,rect,0.571428656578064,<function dropout at 0x7fe888280a60>
