,nlayers,dR,valAccuracy,nstart,learningrate,testAccuracy,dropoutFn,layerForm,activationFn
0,2,0.0,0.6792452931404114,256,10.0,0.5840708017349243,<function dropout at 0x7f5280969a60>,cone,3
1,2,0.0,0.1018867939710617,256,1.0,0.10619468986988068,<function dropout at 0x7f5280969a60>,cone,3
2,2,0.0,0.7905660390853881,256,0.1,0.6460176706314087,<function dropout at 0x7f5280969a60>,cone,3
3,2,0.0,0.8113207817077638,256,0.01,0.690265417098999,<function dropout at 0x7f5280969a60>,cone,3
4,2,0.0,0.6792452931404114,512,10.0,0.5840708017349243,<function dropout at 0x7f5280969a60>,cone,3
5,2,0.0,0.6792452931404114,512,1.0,0.5840708017349243,<function dropout at 0x7f5280969a60>,cone,3
6,2,0.0,0.7943396091461181,512,0.1,0.6725663542747498,<function dropout at 0x7f5280969a60>,cone,3
7,2,0.0,0.7924528121948241,512,0.01,0.6283186078071594,<function dropout at 0x7f5280969a60>,cone,3
8,2,0.0,0.6792452931404114,1024,10.0,0.5840708017349243,<function dropout at 0x7f5280969a60>,cone,3
9,2,0.0,0.09433962404727936,1024,1.0,0.10619468986988068,<function dropout at 0x7f5280969a60>,cone,3
10,2,0.0,0.8132075667381288,1024,0.1,0.6106194853782654,<function dropout at 0x7f5280969a60>,cone,3
11,2,0.0,0.8301886916160583,1024,0.01,0.6460176706314087,<function dropout at 0x7f5280969a60>,cone,3
12,2,0.5,0.6792452931404114,256,10.0,0.5840708017349243,<function dropout at 0x7f5280969a60>,cone,3
13,2,0.5,0.6792452931404114,256,1.0,0.5840708017349243,<function dropout at 0x7f5280969a60>,cone,3
14,2,0.5,0.82452831864357,256,0.1,0.6902654767036438,<function dropout at 0x7f5280969a60>,cone,3
15,2,0.5,0.8490566015243529,256,0.01,0.6548672318458557,<function dropout at 0x7f5280969a60>,cone,3
16,2,0.5,0.6792452931404114,512,10.0,0.5840708017349243,<function dropout at 0x7f5280969a60>,cone,3
17,2,0.5,0.6792452931404114,512,1.0,0.5840708017349243,<function dropout at 0x7f5280969a60>,cone,3
18,2,0.5,0.8283019006252289,512,0.1,0.6725663542747498,<function dropout at 0x7f5280969a60>,cone,3
19,2,0.5,0.8113207817077638,512,0.01,0.6814159154891968,<function dropout at 0x7f5280969a60>,cone,3
20,2,0.5,0.6792452931404114,1024,10.0,0.5840708017349243,<function dropout at 0x7f5280969a60>,cone,3
21,2,0.5,0.27358490973711014,1024,1.0,0.02654867246747017,<function dropout at 0x7f5280969a60>,cone,3
22,2,0.5,0.7905660510063173,1024,0.1,0.6991150379180908,<function dropout at 0x7f5280969a60>,cone,3
23,2,0.5,0.8471698105335235,1024,0.01,0.6637167930603027,<function dropout at 0x7f5280969a60>,cone,3
24,3,0.0,0.6792452931404114,256,10.0,0.5840708017349243,<function dropout at 0x7f5280969a60>,cone,3
25,3,0.0,0.04716981202363968,256,1.0,0.05309734493494034,<function dropout at 0x7f5280969a60>,cone,3
26,3,0.0,0.8301886916160583,256,0.1,0.5929203629493713,<function dropout at 0x7f5280969a60>,cone,3
27,3,0.0,0.8471698105335235,256,0.01,0.6460176706314087,<function dropout at 0x7f5280969a60>,cone,3
28,3,0.0,0.6792452931404114,512,10.0,0.5840708017349243,<function dropout at 0x7f5280969a60>,cone,3
29,3,0.0,0.6792452931404114,512,1.0,0.5840708017349243,<function dropout at 0x7f5280969a60>,cone,3
