,nlayers,activationFn,layerForm,nstart,dR,dropoutFn,testAccuracy,learningrate,valAccuracy
58,4,3,rect,512,0.0,<function dropout at 0x7f47f36efa60>,1.0,0.1,0.9999999999999999
59,4,3,rect,512,0.0,<function dropout at 0x7f47f36efa60>,1.0,0.01,0.9999999999999999
60,4,3,rect,512,0.5,<function dropout at 0x7f47f36efa60>,0.6000000238418579,10.0,0.6666666865348815
61,4,3,rect,512,0.5,<function dropout at 0x7f47f36efa60>,0.6000000238418579,1.0,0.6666666865348815
62,4,3,rect,512,0.5,<function dropout at 0x7f47f36efa60>,0.8666667342185974,0.1,0.8611111164093017
63,4,3,rect,512,0.5,<function dropout at 0x7f47f36efa60>,1.0,0.01,0.9999999999999999
64,4,3,rect,1024,0.0,<function dropout at 0x7f47f36efa60>,0.6000000238418579,10.0,0.6666666865348815
65,4,3,rect,1024,0.0,<function dropout at 0x7f47f36efa60>,0.6000000238418579,1.0,0.6666666865348815
66,4,3,rect,1024,0.0,<function dropout at 0x7f47f36efa60>,1.0,0.1,0.9999999999999999
67,4,3,rect,1024,0.0,<function dropout at 0x7f47f36efa60>,1.0,0.01,0.9999999999999999
68,4,3,rect,1024,0.5,<function dropout at 0x7f47f36efa60>,0.6000000238418579,10.0,0.6666666865348815
69,4,3,rect,1024,0.5,<function dropout at 0x7f47f36efa60>,0.6000000238418579,1.0,0.6666666865348815
70,4,3,rect,1024,0.5,<function dropout at 0x7f47f36efa60>,0.6000000238418579,0.1,0.6666666865348815
71,4,3,rect,1024,0.5,<function dropout at 0x7f47f36efa60>,1.0,0.01,0.9999999999999999
72,8,3,rect,256,0.0,<function dropout at 0x7f47f36efa60>,0.6000000238418579,10.0,0.6666666865348815
73,8,3,rect,256,0.0,<function dropout at 0x7f47f36efa60>,0.6000000238418579,1.0,0.6666666865348815
74,8,3,rect,256,0.0,<function dropout at 0x7f47f36efa60>,1.0,0.1,0.9999999999999999
75,8,3,rect,256,0.0,<function dropout at 0x7f47f36efa60>,1.0,0.01,0.9999999999999999
76,8,3,rect,256,0.5,<function dropout at 0x7f47f36efa60>,0.6000000238418579,10.0,0.6666666865348815
77,8,3,rect,256,0.5,<function dropout at 0x7f47f36efa60>,0.6000000238418579,1.0,0.6666666865348815
78,8,3,rect,256,0.5,<function dropout at 0x7f47f36efa60>,0.6000000238418579,0.1,0.6666666865348815
79,8,3,rect,256,0.5,<function dropout at 0x7f47f36efa60>,1.0,0.01,0.9999999999999999
80,8,3,rect,512,0.0,<function dropout at 0x7f47f36efa60>,0.6000000238418579,10.0,0.6666666865348815
81,8,3,rect,512,0.0,<function dropout at 0x7f47f36efa60>,0.6000000238418579,1.0,0.6666666865348815
82,8,3,rect,512,0.0,<function dropout at 0x7f47f36efa60>,1.0,0.1,0.9999999999999999
83,8,3,rect,512,0.0,<function dropout at 0x7f47f36efa60>,1.0,0.01,0.9999999999999999
84,8,3,rect,512,0.5,<function dropout at 0x7f47f36efa60>,0.6000000238418579,10.0,0.6666666865348815
85,8,3,rect,512,0.5,<function dropout at 0x7f47f36efa60>,0.6000000238418579,1.0,0.6666666865348815
86,8,3,rect,512,0.5,<function dropout at 0x7f47f36efa60>,0.6000000238418579,0.1,0.6666666865348815
87,8,3,rect,512,0.5,<function dropout at 0x7f47f36efa60>,1.0,0.01,0.9999999999999999
88,8,3,rect,1024,0.0,<function dropout at 0x7f47f36efa60>,0.6000000238418579,10.0,0.6666666865348815
89,8,3,rect,1024,0.0,<function dropout at 0x7f47f36efa60>,0.6000000238418579,1.0,0.6666666865348815
