,nstart,activationFn,nlayers,valAccuracy,layerForm,dR,dropoutFn,testAccuracy,learningrate
125,1024,3,8,0.42857146263122553,cone,0.5,<function dropout at 0x7f0448311a60>,0.25,1.0
126,1024,3,8,0.42857146263122553,cone,0.5,<function dropout at 0x7f0448311a60>,0.25,0.1
127,1024,3,8,0.40000002980232235,cone,0.5,<function dropout at 0x7f0448311a60>,0.5,0.01
128,1024,3,16,0.42857146263122553,cone,0.0,<function dropout at 0x7f0448311a60>,0.25,10.0
129,1024,3,16,0.42857146263122553,cone,0.0,<function dropout at 0x7f0448311a60>,0.25,1.0
130,1024,3,16,0.2571428745985031,cone,0.0,<function dropout at 0x7f0448311a60>,0.25,0.1
131,1024,3,16,0.42857146263122553,cone,0.0,<function dropout at 0x7f0448311a60>,0.875,0.01
132,1024,3,16,0.42857146263122553,cone,0.5,<function dropout at 0x7f0448311a60>,0.25,10.0
133,1024,3,16,0.42857146263122553,cone,0.5,<function dropout at 0x7f0448311a60>,0.25,1.0
134,1024,3,16,0.42857146263122553,cone,0.5,<function dropout at 0x7f0448311a60>,0.25,0.1
135,1024,3,16,0.42857146263122553,cone,0.5,<function dropout at 0x7f0448311a60>,0.25,0.01
136,1024,3,32,0.42857146263122553,cone,0.0,<function dropout at 0x7f0448311a60>,0.25,10.0
137,1024,3,32,0.42857146263122553,cone,0.0,<function dropout at 0x7f0448311a60>,0.25,1.0
138,1024,3,32,0.2000000104308128,cone,0.0,<function dropout at 0x7f0448311a60>,0.25,0.1
139,1024,3,32,0.42857146263122553,cone,0.0,<function dropout at 0x7f0448311a60>,0.5,0.01
140,1024,3,32,0.42857146263122553,cone,0.5,<function dropout at 0x7f0448311a60>,0.25,10.0
141,1024,3,32,0.42857146263122553,cone,0.5,<function dropout at 0x7f0448311a60>,0.25,1.0
142,1024,3,32,0.42857146263122553,cone,0.5,<function dropout at 0x7f0448311a60>,0.25,0.1
143,1024,3,32,0.42857146263122553,cone,0.5,<function dropout at 0x7f0448311a60>,0.25,0.01
