,dR,valAccuracy,layerForm,learningrate,activationFn,nlayers,nstart,testAccuracy,dropoutFn
0,0.0,0.14242424368858336,rect,10.0,3,2,256,0.07692307978868484,<function dropout at 0x7f7a1f3c2a60>
1,0.0,0.16212121248245243,rect,10.0,3,2,512,0.07692307978868484,<function dropout at 0x7f7a1f3c2a60>
2,0.0,0.14696969985961914,rect,10.0,3,2,1024,0.07692307978868484,<function dropout at 0x7f7a1f3c2a60>
3,0.0,0.12121212482452391,rect,10.0,3,3,256,0.07692307978868484,<function dropout at 0x7f7a1f3c2a60>
4,0.0,0.12121212482452391,rect,10.0,3,3,512,0.07692307978868484,<function dropout at 0x7f7a1f3c2a60>
5,0.0,0.12121212482452391,rect,10.0,3,3,1024,0.07692307978868484,<function dropout at 0x7f7a1f3c2a60>
6,0.0,0.12121212482452391,rect,10.0,3,4,256,0.07692307978868484,<function dropout at 0x7f7a1f3c2a60>
7,0.0,0.12121212482452391,rect,10.0,3,4,512,0.07692307978868484,<function dropout at 0x7f7a1f3c2a60>
8,0.0,0.12121212482452391,rect,10.0,3,4,1024,0.07692307978868484,<function dropout at 0x7f7a1f3c2a60>
9,0.0,0.12121212482452391,rect,10.0,3,8,256,0.07692307978868484,<function dropout at 0x7f7a1f3c2a60>
10,0.0,0.12121212482452391,rect,10.0,3,8,512,0.07692307978868484,<function dropout at 0x7f7a1f3c2a60>
11,0.0,0.12121212482452391,rect,10.0,3,8,1024,0.07692307978868484,<function dropout at 0x7f7a1f3c2a60>
12,0.0,0.12121212482452391,rect,10.0,3,16,256,0.07692307978868484,<function dropout at 0x7f7a1f3c2a60>
13,0.0,0.12121212482452391,rect,10.0,3,16,512,0.07692307978868484,<function dropout at 0x7f7a1f3c2a60>
14,0.0,0.12121212482452391,rect,10.0,3,16,1024,0.07692307978868484,<function dropout at 0x7f7a1f3c2a60>
15,0.0,0.12121212482452391,rect,10.0,3,32,256,0.07692307978868484,<function dropout at 0x7f7a1f3c2a60>
16,0.0,0.12121212482452391,rect,10.0,3,32,512,0.07692307978868484,<function dropout at 0x7f7a1f3c2a60>
17,0.0,0.12121212482452391,rect,10.0,3,32,1024,0.07692307978868484,<function dropout at 0x7f7a1f3c2a60>
18,0.0,0.20757576227188118,rect,1.0,3,2,256,0.07692307978868484,<function dropout at 0x7f7a1f3c2a60>
19,0.0,0.1575757622718811,rect,1.0,3,2,512,0.07692307978868484,<function dropout at 0x7f7a1f3c2a60>
20,0.0,0.14848485291004182,rect,1.0,3,2,1024,0.07692307978868484,<function dropout at 0x7f7a1f3c2a60>
21,0.0,0.14848485291004182,rect,1.0,3,3,256,0.07692307978868484,<function dropout at 0x7f7a1f3c2a60>
22,0.0,0.1575757622718811,rect,1.0,3,3,512,0.07692307978868484,<function dropout at 0x7f7a1f3c2a60>
23,0.0,0.12121212482452391,rect,1.0,3,3,1024,0.07692307978868484,<function dropout at 0x7f7a1f3c2a60>
24,0.0,0.12121212482452391,rect,1.0,3,4,256,0.07692307978868484,<function dropout at 0x7f7a1f3c2a60>
25,0.0,0.12121212482452391,rect,1.0,3,4,512,0.07692307978868484,<function dropout at 0x7f7a1f3c2a60>
26,0.0,0.12121212482452391,rect,1.0,3,4,1024,0.07692307978868484,<function dropout at 0x7f7a1f3c2a60>
27,0.0,0.12121212482452391,rect,1.0,3,8,256,0.07692307978868484,<function dropout at 0x7f7a1f3c2a60>
28,0.0,0.12121212482452391,rect,1.0,3,8,512,0.07692307978868484,<function dropout at 0x7f7a1f3c2a60>
29,0.0,0.12121212482452391,rect,1.0,3,8,1024,0.07692307978868484,<function dropout at 0x7f7a1f3c2a60>
30,0.0,0.12121212482452391,rect,1.0,3,16,256,0.07692307978868484,<function dropout at 0x7f7a1f3c2a60>
31,0.0,0.12121212482452391,rect,1.0,3,16,512,0.07692307978868484,<function dropout at 0x7f7a1f3c2a60>
32,0.0,0.12121212482452391,rect,1.0,3,16,1024,0.07692307978868484,<function dropout at 0x7f7a1f3c2a60>
33,0.0,0.12121212482452391,rect,1.0,3,32,256,0.07692307978868484,<function dropout at 0x7f7a1f3c2a60>
34,0.0,0.12121212482452391,rect,1.0,3,32,512,0.07692307978868484,<function dropout at 0x7f7a1f3c2a60>
35,0.0,0.12121212482452391,rect,1.0,3,32,1024,0.07692307978868484,<function dropout at 0x7f7a1f3c2a60>
36,0.0,0.9500000476837157,rect,0.1,3,2,256,0.9807692170143127,<function dropout at 0x7f7a1f3c2a60>
37,0.0,0.943939447402954,rect,0.1,3,2,512,0.9807692170143127,<function dropout at 0x7f7a1f3c2a60>
38,0.0,0.9378788232803345,rect,0.1,3,2,1024,0.9743589758872986,<function dropout at 0x7f7a1f3c2a60>
39,0.0,0.9424242734909057,rect,0.1,3,3,256,0.9807692170143127,<function dropout at 0x7f7a1f3c2a60>
40,0.0,0.9424242854118347,rect,0.1,3,3,512,0.9935896992683411,<function dropout at 0x7f7a1f3c2a60>
41,0.0,0.9469697475433348,rect,0.1,3,3,1024,0.9743589758872986,<function dropout at 0x7f7a1f3c2a60>
42,0.0,0.9500000476837157,rect,0.1,3,4,256,0.9743589758872986,<function dropout at 0x7f7a1f3c2a60>
43,0.0,0.954545497894287,rect,0.1,3,4,512,0.9807692170143127,<function dropout at 0x7f7a1f3c2a60>
44,0.0,0.9590909481048583,rect,0.1,3,4,1024,0.9871794581413269,<function dropout at 0x7f7a1f3c2a60>
45,0.0,0.2484848558902741,rect,0.1,3,8,256,0.07692307978868484,<function dropout at 0x7f7a1f3c2a60>
46,0.0,0.18787879049777992,rect,0.1,3,8,512,0.07692307978868484,<function dropout at 0x7f7a1f3c2a60>
47,0.0,0.14848485291004182,rect,0.1,3,8,1024,0.07692307978868484,<function dropout at 0x7f7a1f3c2a60>
48,0.0,0.1575757622718811,rect,0.1,3,16,256,0.07692307978868484,<function dropout at 0x7f7a1f3c2a60>
49,0.0,0.12121212482452391,rect,0.1,3,16,512,0.07692307978868484,<function dropout at 0x7f7a1f3c2a60>
50,0.0,0.12121212482452391,rect,0.1,3,16,1024,0.07692307978868484,<function dropout at 0x7f7a1f3c2a60>
51,0.0,0.12121212482452391,rect,0.1,3,32,256,0.07692307978868484,<function dropout at 0x7f7a1f3c2a60>
52,0.0,0.12121212482452391,rect,0.1,3,32,512,0.07692307978868484,<function dropout at 0x7f7a1f3c2a60>
53,0.0,0.12121212482452391,rect,0.1,3,32,1024,0.07692307978868484,<function dropout at 0x7f7a1f3c2a60>
54,0.0,0.8636363744735719,rect,0.01,3,2,256,0.9102564454078674,<function dropout at 0x7f7a1f3c2a60>
55,0.0,0.8787878751754762,rect,0.01,3,2,512,0.9358974695205688,<function dropout at 0x7f7a1f3c2a60>
56,0.0,0.9272727847099302,rect,0.01,3,2,1024,0.9679487347602844,<function dropout at 0x7f7a1f3c2a60>
57,0.0,0.8636363744735719,rect,0.01,3,3,256,0.9102563858032227,<function dropout at 0x7f7a1f3c2a60>
58,0.0,0.9363636970520018,rect,0.01,3,3,512,0.9487179517745972,<function dropout at 0x7f7a1f3c2a60>
59,0.0,0.9348485469818114,rect,0.01,3,3,1024,0.9551282525062561,<function dropout at 0x7f7a1f3c2a60>
60,0.0,0.9393939971923827,rect,0.01,3,4,256,0.9487179517745972,<function dropout at 0x7f7a1f3c2a60>
61,0.0,0.9348485469818114,rect,0.01,3,4,512,0.9551281929016113,<function dropout at 0x7f7a1f3c2a60>
62,0.0,0.9454545974731444,rect,0.01,3,4,1024,0.9615384936332703,<function dropout at 0x7f7a1f3c2a60>
63,0.0,0.9166667342185973,rect,0.01,3,8,256,0.9743589758872986,<function dropout at 0x7f7a1f3c2a60>
64,0.0,0.9196970462799071,rect,0.01,3,8,512,0.9679486751556396,<function dropout at 0x7f7a1f3c2a60>
65,0.0,0.954545497894287,rect,0.01,3,8,1024,0.9871794581413269,<function dropout at 0x7f7a1f3c2a60>
66,0.0,0.954545497894287,rect,0.01,3,16,256,0.9935896992683411,<function dropout at 0x7f7a1f3c2a60>
67,0.0,0.9393939971923827,rect,0.01,3,16,512,0.9743589758872986,<function dropout at 0x7f7a1f3c2a60>
