,dR,valAccuracy,layerForm,learningrate,activationFn,nlayers,nstart,testAccuracy,dropoutFn
68,0.0,0.8939393758773805,rect,0.01,3,16,1024,0.9743589758872986,<function dropout at 0x7f7a1f3c2a60>
69,0.0,0.9106061458587645,rect,0.01,3,32,256,0.9615384340286255,<function dropout at 0x7f7a1f3c2a60>
70,0.0,0.954545497894287,rect,0.01,3,32,512,0.9743589758872986,<function dropout at 0x7f7a1f3c2a60>
71,0.0,0.9196970462799071,rect,0.01,3,32,1024,0.9679487347602844,<function dropout at 0x7f7a1f3c2a60>
72,0.5,0.1575757622718811,rect,10.0,3,2,256,0.07692307978868484,<function dropout at 0x7f7a1f3c2a60>
73,0.5,0.13484848737716673,rect,10.0,3,2,512,0.07692307978868484,<function dropout at 0x7f7a1f3c2a60>
74,0.5,0.1545454561710358,rect,10.0,3,2,1024,0.07692307978868484,<function dropout at 0x7f7a1f3c2a60>
75,0.5,0.12121212482452391,rect,10.0,3,3,256,0.07692307978868484,<function dropout at 0x7f7a1f3c2a60>
76,0.5,0.12121212482452391,rect,10.0,3,3,512,0.07692307978868484,<function dropout at 0x7f7a1f3c2a60>
77,0.5,0.12121212482452391,rect,10.0,3,3,1024,0.07692307978868484,<function dropout at 0x7f7a1f3c2a60>
78,0.5,0.12121212482452391,rect,10.0,3,4,256,0.07692307978868484,<function dropout at 0x7f7a1f3c2a60>
79,0.5,0.12121212482452391,rect,10.0,3,4,512,0.07692307978868484,<function dropout at 0x7f7a1f3c2a60>
80,0.5,0.12121212482452391,rect,10.0,3,4,1024,0.07692307978868484,<function dropout at 0x7f7a1f3c2a60>
81,0.5,0.12121212482452391,rect,10.0,3,8,256,0.07692307978868484,<function dropout at 0x7f7a1f3c2a60>
82,0.5,0.12121212482452391,rect,10.0,3,8,512,0.07692307978868484,<function dropout at 0x7f7a1f3c2a60>
83,0.5,0.12121212482452391,rect,10.0,3,8,1024,0.07692307978868484,<function dropout at 0x7f7a1f3c2a60>
84,0.5,0.12121212482452391,rect,10.0,3,16,256,0.07692307978868484,<function dropout at 0x7f7a1f3c2a60>
85,0.5,0.12121212482452391,rect,10.0,3,16,512,0.07692307978868484,<function dropout at 0x7f7a1f3c2a60>
86,0.5,0.12121212482452391,rect,10.0,3,16,1024,0.07692307978868484,<function dropout at 0x7f7a1f3c2a60>
87,0.5,0.12121212482452391,rect,10.0,3,32,256,0.07692307978868484,<function dropout at 0x7f7a1f3c2a60>
88,0.5,0.12121212482452391,rect,10.0,3,32,512,0.07692307978868484,<function dropout at 0x7f7a1f3c2a60>
89,0.5,0.12121212482452391,rect,10.0,3,32,1024,0.07692307978868484,<function dropout at 0x7f7a1f3c2a60>
90,0.5,0.18484849035739903,rect,1.0,3,2,256,0.07692307978868484,<function dropout at 0x7f7a1f3c2a60>
91,0.5,0.14848485291004182,rect,1.0,3,2,512,0.07692307978868484,<function dropout at 0x7f7a1f3c2a60>
92,0.5,0.14848485291004182,rect,1.0,3,2,1024,0.07692307978868484,<function dropout at 0x7f7a1f3c2a60>
93,0.5,0.1575757622718811,rect,1.0,3,3,256,0.07692307978868484,<function dropout at 0x7f7a1f3c2a60>
94,0.5,0.12121212482452391,rect,1.0,3,3,512,0.07692307978868484,<function dropout at 0x7f7a1f3c2a60>
95,0.5,0.12121212482452391,rect,1.0,3,3,1024,0.07692307978868484,<function dropout at 0x7f7a1f3c2a60>
96,0.5,0.12121212482452391,rect,1.0,3,4,256,0.07692307978868484,<function dropout at 0x7f7a1f3c2a60>
97,0.5,0.12121212482452391,rect,1.0,3,4,512,0.07692307978868484,<function dropout at 0x7f7a1f3c2a60>
98,0.5,0.12121212482452391,rect,1.0,3,4,1024,0.07692307978868484,<function dropout at 0x7f7a1f3c2a60>
99,0.5,0.12121212482452391,rect,1.0,3,8,256,0.07692307978868484,<function dropout at 0x7f7a1f3c2a60>
100,0.5,0.12121212482452391,rect,1.0,3,8,512,0.07692307978868484,<function dropout at 0x7f7a1f3c2a60>
101,0.5,0.12121212482452391,rect,1.0,3,8,1024,0.07692307978868484,<function dropout at 0x7f7a1f3c2a60>
102,0.5,0.12121212482452391,rect,1.0,3,16,256,0.07692307978868484,<function dropout at 0x7f7a1f3c2a60>
103,0.5,0.12121212482452391,rect,1.0,3,16,512,0.07692307978868484,<function dropout at 0x7f7a1f3c2a60>
104,0.5,0.12121212482452391,rect,1.0,3,16,1024,0.07692307978868484,<function dropout at 0x7f7a1f3c2a60>
105,0.5,0.12121212482452391,rect,1.0,3,32,256,0.07692307978868484,<function dropout at 0x7f7a1f3c2a60>
106,0.5,0.12121212482452391,rect,1.0,3,32,512,0.07692307978868484,<function dropout at 0x7f7a1f3c2a60>
107,0.5,0.12121212482452391,rect,1.0,3,32,1024,0.07692307978868484,<function dropout at 0x7f7a1f3c2a60>
108,0.5,0.8984848618507386,rect,0.1,3,2,256,0.9166666865348816,<function dropout at 0x7f7a1f3c2a60>
109,0.5,0.9106060862541199,rect,0.1,3,2,512,0.9166666269302368,<function dropout at 0x7f7a1f3c2a60>
110,0.5,0.8984848618507386,rect,0.1,3,2,1024,0.9487179517745972,<function dropout at 0x7f7a1f3c2a60>
111,0.5,0.8848484992980958,rect,0.1,3,3,256,0.8910256624221802,<function dropout at 0x7f7a1f3c2a60>
112,0.5,0.9075757741928101,rect,0.1,3,3,512,0.9294872283935547,<function dropout at 0x7f7a1f3c2a60>
113,0.5,0.9045454740524292,rect,0.1,3,3,1024,0.8910256624221802,<function dropout at 0x7f7a1f3c2a60>
114,0.5,0.8939394354820253,rect,0.1,3,4,256,0.9166667461395264,<function dropout at 0x7f7a1f3c2a60>
115,0.5,0.9060606122016908,rect,0.1,3,4,512,0.9551281929016113,<function dropout at 0x7f7a1f3c2a60>
116,0.5,0.925757622718811,rect,0.1,3,4,1024,0.9679486751556396,<function dropout at 0x7f7a1f3c2a60>
117,0.5,0.8651515245437623,rect,0.1,3,8,256,0.9038461446762085,<function dropout at 0x7f7a1f3c2a60>
118,0.5,0.14848485291004182,rect,0.1,3,8,512,0.07692307978868484,<function dropout at 0x7f7a1f3c2a60>
119,0.5,0.12121212482452391,rect,0.1,3,8,1024,0.07692307978868484,<function dropout at 0x7f7a1f3c2a60>
120,0.5,0.12121212482452391,rect,0.1,3,16,256,0.07692307978868484,<function dropout at 0x7f7a1f3c2a60>
121,0.5,0.12121212482452391,rect,0.1,3,16,512,0.07692307978868484,<function dropout at 0x7f7a1f3c2a60>
122,0.5,0.12121212482452391,rect,0.1,3,16,1024,0.07692307978868484,<function dropout at 0x7f7a1f3c2a60>
123,0.5,0.12121212482452391,rect,0.1,3,32,256,0.07692307978868484,<function dropout at 0x7f7a1f3c2a60>
124,0.5,0.12121212482452391,rect,0.1,3,32,512,0.07692307978868484,<function dropout at 0x7f7a1f3c2a60>
125,0.5,0.12121212482452391,rect,0.1,3,32,1024,0.07692307978868484,<function dropout at 0x7f7a1f3c2a60>
126,0.5,0.8636363744735719,rect,0.01,3,2,256,0.9038462042808533,<function dropout at 0x7f7a1f3c2a60>
127,0.5,0.8636363744735719,rect,0.01,3,2,512,0.9038461446762085,<function dropout at 0x7f7a1f3c2a60>
128,0.5,0.8772727251052858,rect,0.01,3,2,1024,0.9294872283935547,<function dropout at 0x7f7a1f3c2a60>
129,0.5,0.8636363744735719,rect,0.01,3,3,256,0.9038462042808533,<function dropout at 0x7f7a1f3c2a60>
130,0.5,0.871212124824524,rect,0.01,3,3,512,0.9230769872665405,<function dropout at 0x7f7a1f3c2a60>
131,0.5,0.8969697117805482,rect,0.01,3,3,1024,0.9294872283935547,<function dropout at 0x7f7a1f3c2a60>
132,0.5,0.8727272748947145,rect,0.01,3,4,256,0.9102563858032227,<function dropout at 0x7f7a1f3c2a60>
133,0.5,0.8575757741928102,rect,0.01,3,4,512,0.9038461446762085,<function dropout at 0x7f7a1f3c2a60>
134,0.5,0.9030303478240967,rect,0.01,3,4,1024,0.942307710647583,<function dropout at 0x7f7a1f3c2a60>
135,0.5,0.8651515245437623,rect,0.01,3,8,256,0.8910256624221802,<function dropout at 0x7f7a1f3c2a60>
136,0.5,0.881818175315857,rect,0.01,3,8,512,0.9102563858032227,<function dropout at 0x7f7a1f3c2a60>
137,0.5,0.8757575750350953,rect,0.01,3,8,1024,0.8974359035491943,<function dropout at 0x7f7a1f3c2a60>
138,0.5,0.3515151605010033,rect,0.01,3,16,256,0.25,<function dropout at 0x7f7a1f3c2a60>
139,0.5,0.4515151590108872,rect,0.01,3,16,512,0.4294872283935547,<function dropout at 0x7f7a1f3c2a60>
140,0.5,0.1772727340459824,rect,0.01,3,16,1024,0.07692307978868484,<function dropout at 0x7f7a1f3c2a60>
141,0.5,0.12121212482452391,rect,0.01,3,32,256,0.07692307978868484,<function dropout at 0x7f7a1f3c2a60>
142,0.5,0.12121212482452391,rect,0.01,3,32,512,0.07692307978868484,<function dropout at 0x7f7a1f3c2a60>
143,0.5,0.12121212482452391,rect,0.01,3,32,1024,0.07692307978868484,<function dropout at 0x7f7a1f3c2a60>
