,dropoutFn,valAccuracy,activationFn,nstart,layerForm,nlayers,learningrate,testAccuracy,dR
0,<function dropout at 0x7fa5b96c9a60>,0.34761906266212456,3,256,rect,2,10.0,0.31976744532585144,0.0
1,<function dropout at 0x7fa5b96c9a60>,0.34761906266212456,3,256,rect,2,10.0,0.31976744532585144,0.5
2,<function dropout at 0x7fa5b96c9a60>,0.36309525370597834,3,256,rect,2,1.0,0.31976744532585144,0.0
3,<function dropout at 0x7fa5b96c9a60>,0.36309525370597834,3,256,rect,2,1.0,0.31976744532585144,0.5
4,<function dropout at 0x7fa5b96c9a60>,0.636904788017273,3,256,rect,2,0.1,0.6686046719551086,0.0
5,<function dropout at 0x7fa5b96c9a60>,0.636904788017273,3,256,rect,2,0.1,0.6511628031730652,0.5
6,<function dropout at 0x7fa5b96c9a60>,0.6226190745830538,3,256,rect,2,0.01,0.645348846912384,0.0
7,<function dropout at 0x7fa5b96c9a60>,0.6630952537059783,3,256,rect,2,0.01,0.6569767594337463,0.5
8,<function dropout at 0x7fa5b96c9a60>,0.30952382087707514,3,256,rect,3,10.0,0.31976744532585144,0.0
9,<function dropout at 0x7fa5b96c9a60>,0.30952382087707514,3,256,rect,3,10.0,0.31976744532585144,0.5
10,<function dropout at 0x7fa5b96c9a60>,0.34761906266212456,3,256,rect,3,1.0,0.31976744532585144,0.0
11,<function dropout at 0x7fa5b96c9a60>,0.34761906266212456,3,256,rect,3,1.0,0.31976744532585144,0.5
12,<function dropout at 0x7fa5b96c9a60>,0.6023810088634491,3,256,rect,3,0.1,0.5930232405662537,0.0
13,<function dropout at 0x7fa5b96c9a60>,0.6190476417541504,3,256,rect,3,0.1,0.6627907156944275,0.5
14,<function dropout at 0x7fa5b96c9a60>,0.6321428775787353,3,256,rect,3,0.01,0.6569767594337463,0.0
15,<function dropout at 0x7fa5b96c9a60>,0.6297619223594667,3,256,rect,3,0.01,0.680232584476471,0.5
16,<function dropout at 0x7fa5b96c9a60>,0.30952382087707514,3,256,rect,4,10.0,0.31976744532585144,0.0
17,<function dropout at 0x7fa5b96c9a60>,0.30952382087707514,3,256,rect,4,10.0,0.31976744532585144,0.5
18,<function dropout at 0x7fa5b96c9a60>,0.30952382087707514,3,256,rect,4,1.0,0.31976744532585144,0.0
19,<function dropout at 0x7fa5b96c9a60>,0.30952382087707514,3,256,rect,4,1.0,0.31976744532585144,0.5
20,<function dropout at 0x7fa5b96c9a60>,0.6511905074119568,3,256,rect,4,0.1,0.6511628031730652,0.0
21,<function dropout at 0x7fa5b96c9a60>,0.5976190805435181,3,256,rect,4,0.1,0.6627907156944275,0.5
22,<function dropout at 0x7fa5b96c9a60>,0.6392857611179353,3,256,rect,4,0.01,0.6279069781303406,0.0
23,<function dropout at 0x7fa5b96c9a60>,0.5714286088943482,3,256,rect,4,0.01,0.5813953280448914,0.5
24,<function dropout at 0x7fa5b96c9a60>,0.30952382087707514,3,256,rect,8,10.0,0.31976744532585144,0.0
25,<function dropout at 0x7fa5b96c9a60>,0.30952382087707514,3,256,rect,8,10.0,0.31976744532585144,0.5
26,<function dropout at 0x7fa5b96c9a60>,0.30952382087707514,3,256,rect,8,1.0,0.31976744532585144,0.0
27,<function dropout at 0x7fa5b96c9a60>,0.30952382087707514,3,256,rect,8,1.0,0.31976744532585144,0.5
28,<function dropout at 0x7fa5b96c9a60>,0.617857164144516,3,256,rect,8,0.1,0.6686046719551086,0.0
29,<function dropout at 0x7fa5b96c9a60>,0.6321428894996644,3,256,rect,8,0.1,0.6569767594337463,0.5
30,<function dropout at 0x7fa5b96c9a60>,0.6238095581531525,3,256,rect,8,0.01,0.6337209343910217,0.0
31,<function dropout at 0x7fa5b96c9a60>,0.6130952596664428,3,256,rect,8,0.01,0.5116279125213623,0.5
32,<function dropout at 0x7fa5b96c9a60>,0.30952382087707514,3,256,rect,16,10.0,0.31976744532585144,0.0
33,<function dropout at 0x7fa5b96c9a60>,0.30952382087707514,3,256,rect,16,10.0,0.31976744532585144,0.5
34,<function dropout at 0x7fa5b96c9a60>,0.30952382087707514,3,256,rect,16,1.0,0.31976744532585144,0.0
35,<function dropout at 0x7fa5b96c9a60>,0.30952382087707514,3,256,rect,16,1.0,0.31976744532585144,0.5
36,<function dropout at 0x7fa5b96c9a60>,0.34761906266212456,3,256,rect,16,0.1,0.31976744532585144,0.0
37,<function dropout at 0x7fa5b96c9a60>,0.30952382087707514,3,256,rect,16,0.1,0.31976744532585144,0.5
38,<function dropout at 0x7fa5b96c9a60>,0.6345238447189332,3,256,rect,16,0.01,0.604651153087616,0.0
39,<function dropout at 0x7fa5b96c9a60>,0.6321428835391999,3,256,rect,16,0.01,0.604651153087616,0.5
40,<function dropout at 0x7fa5b96c9a60>,0.30952382087707514,3,256,rect,32,10.0,0.31976744532585144,0.0
41,<function dropout at 0x7fa5b96c9a60>,0.30952382087707514,3,256,rect,32,10.0,0.31976744532585144,0.5
42,<function dropout at 0x7fa5b96c9a60>,0.30952382087707514,3,256,rect,32,1.0,0.31976744532585144,0.0
43,<function dropout at 0x7fa5b96c9a60>,0.30952382087707514,3,256,rect,32,1.0,0.31976744532585144,0.5
44,<function dropout at 0x7fa5b96c9a60>,0.30952382087707514,3,256,rect,32,0.1,0.31976744532585144,0.0
45,<function dropout at 0x7fa5b96c9a60>,0.30952382087707514,3,256,rect,32,0.1,0.31976744532585144,0.5
46,<function dropout at 0x7fa5b96c9a60>,0.6178571820259094,3,256,rect,32,0.01,0.6918604969978333,0.0
