,dropoutFn,dR,testAccuracy,nstart,learningrate,activationFn,nlayers,valAccuracy,layerForm
26,<function dropout at 0x7f61731caa60>,0.0,0.5,512,10.0,3,4,0.5316455960273743,rect
27,<function dropout at 0x7f61731caa60>,0.0,0.5,512,10.0,3,8,0.5316455960273743,rect
28,<function dropout at 0x7f61731caa60>,0.0,0.5,512,10.0,3,16,0.5316455960273743,rect
29,<function dropout at 0x7f61731caa60>,0.0,0.5,512,10.0,3,32,0.5316455960273743,rect
30,<function dropout at 0x7f61731caa60>,0.0,0.5,512,1.0,3,2,0.5316455960273743,rect
31,<function dropout at 0x7f61731caa60>,0.0,0.5,512,1.0,3,3,0.5316455960273743,rect
32,<function dropout at 0x7f61731caa60>,0.0,0.5,512,1.0,3,4,0.5316455960273743,rect
33,<function dropout at 0x7f61731caa60>,0.0,0.5,512,1.0,3,8,0.5316455960273743,rect
34,<function dropout at 0x7f61731caa60>,0.0,0.5,512,1.0,3,16,0.5316455960273743,rect
35,<function dropout at 0x7f61731caa60>,0.0,0.5,512,1.0,3,32,0.5316455960273743,rect
36,<function dropout at 0x7f61731caa60>,0.0,0.8645833730697632,512,0.1,3,2,0.8569620251655581,rect
37,<function dropout at 0x7f61731caa60>,0.0,0.9010417461395264,512,0.1,3,3,0.8696202635765078,rect
38,<function dropout at 0x7f61731caa60>,0.0,0.90625,512,0.1,3,4,0.8810126781463625,rect
39,<function dropout at 0x7f61731caa60>,0.0,0.5,512,0.1,3,8,0.5316455960273743,rect
40,<function dropout at 0x7f61731caa60>,0.0,0.5,512,0.1,3,16,0.5316455960273743,rect
41,<function dropout at 0x7f61731caa60>,0.0,0.5,512,0.1,3,32,0.5316455960273743,rect
42,<function dropout at 0x7f61731caa60>,0.0,0.8697917461395264,512,0.01,3,2,0.8367088437080386,rect
43,<function dropout at 0x7f61731caa60>,0.0,0.859375,512,0.01,3,3,0.8316455483436586,rect
44,<function dropout at 0x7f61731caa60>,0.0,0.8697916865348816,512,0.01,3,4,0.8417721390724184,rect
45,<function dropout at 0x7f61731caa60>,0.0,0.8958333730697632,512,0.01,3,8,0.8632911443710329,rect
46,<function dropout at 0x7f61731caa60>,0.0,0.9062500596046448,512,0.01,3,16,0.8759493827819826,rect
47,<function dropout at 0x7f61731caa60>,0.0,0.9114583730697632,512,0.01,3,32,0.8873417973518374,rect
48,<function dropout at 0x7f61731caa60>,0.0,0.5,1024,10.0,3,2,0.5316455960273743,rect
49,<function dropout at 0x7f61731caa60>,0.0,0.5,1024,10.0,3,3,0.5316455960273743,rect
50,<function dropout at 0x7f61731caa60>,0.0,0.5,1024,10.0,3,4,0.5316455960273743,rect
51,<function dropout at 0x7f61731caa60>,0.0,0.5,1024,10.0,3,8,0.5316455960273743,rect
52,<function dropout at 0x7f61731caa60>,0.0,0.5,1024,10.0,3,16,0.5316455960273743,rect
53,<function dropout at 0x7f61731caa60>,0.0,0.5,1024,10.0,3,32,0.5316455960273743,rect
54,<function dropout at 0x7f61731caa60>,0.0,0.5,1024,1.0,3,2,0.5316455960273743,rect
55,<function dropout at 0x7f61731caa60>,0.0,0.5,1024,1.0,3,3,0.5379747092723847,rect
56,<function dropout at 0x7f61731caa60>,0.0,0.5,1024,1.0,3,4,0.5316455960273743,rect
57,<function dropout at 0x7f61731caa60>,0.0,0.5,1024,1.0,3,8,0.5316455960273743,rect
58,<function dropout at 0x7f61731caa60>,0.0,0.5,1024,1.0,3,16,0.5316455960273743,rect
59,<function dropout at 0x7f61731caa60>,0.0,0.5,1024,1.0,3,32,0.5316455960273743,rect
60,<function dropout at 0x7f61731caa60>,0.0,0.8385417461395264,1024,0.1,3,2,0.8506329059600832,rect
61,<function dropout at 0x7f61731caa60>,0.0,0.9166666865348816,1024,0.1,3,3,0.8759493827819826,rect
62,<function dropout at 0x7f61731caa60>,0.0,0.8802083730697632,1024,0.1,3,4,0.8822785019874575,rect
63,<function dropout at 0x7f61731caa60>,0.0,0.5,1024,0.1,3,8,0.5316455960273743,rect
64,<function dropout at 0x7f61731caa60>,0.0,0.5,1024,0.1,3,16,0.5316455960273743,rect
65,<function dropout at 0x7f61731caa60>,0.0,0.5,1024,0.1,3,32,0.5316455960273743,rect
66,<function dropout at 0x7f61731caa60>,0.0,0.8541667461395264,1024,0.01,3,2,0.8367088437080386,rect
67,<function dropout at 0x7f61731caa60>,0.0,0.8750001192092896,1024,0.01,3,3,0.8569620251655581,rect
68,<function dropout at 0x7f61731caa60>,0.0,0.8593750596046448,1024,0.01,3,4,0.8518987298011782,rect
69,<function dropout at 0x7f61731caa60>,0.0,0.9062501192092896,1024,0.01,3,8,0.8645569682121279,rect
70,<function dropout at 0x7f61731caa60>,0.0,0.8854166865348816,1024,0.01,3,16,0.8974683880805971,rect
71,<function dropout at 0x7f61731caa60>,0.0,0.8854167461395264,1024,0.01,3,32,0.8784810304641726,rect
72,<function dropout at 0x7f61731caa60>,0.5,0.5,256,10.0,3,2,0.5316455960273743,rect
73,<function dropout at 0x7f61731caa60>,0.5,0.5,256,10.0,3,3,0.5316455960273743,rect
74,<function dropout at 0x7f61731caa60>,0.5,0.5,256,10.0,3,4,0.5316455960273743,rect
75,<function dropout at 0x7f61731caa60>,0.5,0.5,256,10.0,3,8,0.5316455960273743,rect
76,<function dropout at 0x7f61731caa60>,0.5,0.5,256,10.0,3,16,0.5316455960273743,rect
77,<function dropout at 0x7f61731caa60>,0.5,0.5,256,10.0,3,32,0.5316455960273743,rect
78,<function dropout at 0x7f61731caa60>,0.5,0.5,256,1.0,3,2,0.5379747092723847,rect
79,<function dropout at 0x7f61731caa60>,0.5,0.5,256,1.0,3,3,0.5316455960273743,rect
80,<function dropout at 0x7f61731caa60>,0.5,0.5,256,1.0,3,4,0.5316455960273743,rect
81,<function dropout at 0x7f61731caa60>,0.5,0.5,256,1.0,3,8,0.5316455960273743,rect
82,<function dropout at 0x7f61731caa60>,0.5,0.5,256,1.0,3,16,0.5316455960273743,rect
83,<function dropout at 0x7f61731caa60>,0.5,0.5,256,1.0,3,32,0.5316455960273743,rect
84,<function dropout at 0x7f61731caa60>,0.5,0.8333333730697632,256,0.1,3,2,0.8215189814567567,rect
85,<function dropout at 0x7f61731caa60>,0.5,0.8229166865348816,256,0.1,3,3,0.8177215039730074,rect
86,<function dropout at 0x7f61731caa60>,0.5,0.8437500596046448,256,0.1,3,4,0.8202531576156618,rect
87,<function dropout at 0x7f61731caa60>,0.5,0.8385417461395264,256,0.1,3,8,0.8012658119201661,rect
88,<function dropout at 0x7f61731caa60>,0.5,0.5,256,0.1,3,16,0.5316455960273743,rect
89,<function dropout at 0x7f61731caa60>,0.5,0.5,256,0.1,3,32,0.5316455960273743,rect
