,dR,nstart,valAccuracy,testAccuracy,activationFn,dropoutFn,layerForm,learningrate,nlayers
0,0.0,256,0.0,0.23076924681663513,3,<function dropout at 0x7f47505a4a60>,cone,10.0,2
1,0.0,256,0.0,0.192307710647583,3,<function dropout at 0x7f47505a4a60>,cone,10.0,3
2,0.0,256,0.0,0.192307710647583,3,<function dropout at 0x7f47505a4a60>,cone,10.0,4
3,0.0,256,0.0,0.192307710647583,3,<function dropout at 0x7f47505a4a60>,cone,10.0,8
4,0.0,256,0.0,0.192307710647583,3,<function dropout at 0x7f47505a4a60>,cone,10.0,16
5,0.0,256,0.0,0.192307710647583,3,<function dropout at 0x7f47505a4a60>,cone,10.0,32
6,0.0,256,0.14285714924335477,0.1538461595773697,3,<function dropout at 0x7f47505a4a60>,cone,1.0,2
7,0.0,256,0.21428573131561277,0.11538462340831757,3,<function dropout at 0x7f47505a4a60>,cone,1.0,3
8,0.0,256,0.0,0.192307710647583,3,<function dropout at 0x7f47505a4a60>,cone,1.0,4
9,0.0,256,0.0,0.192307710647583,3,<function dropout at 0x7f47505a4a60>,cone,1.0,8
10,0.0,256,0.0,0.192307710647583,3,<function dropout at 0x7f47505a4a60>,cone,1.0,16
11,0.0,256,0.0,0.192307710647583,3,<function dropout at 0x7f47505a4a60>,cone,1.0,32
12,0.0,256,0.6142857491970062,0.5384615659713745,3,<function dropout at 0x7f47505a4a60>,cone,0.1,2
13,0.0,256,0.6071428894996643,0.576923131942749,3,<function dropout at 0x7f47505a4a60>,cone,0.1,3
14,0.0,256,0.6071428835391999,0.5000000596046448,3,<function dropout at 0x7f47505a4a60>,cone,0.1,4
15,0.0,256,0.592857176065445,0.576923131942749,3,<function dropout at 0x7f47505a4a60>,cone,0.1,8
16,0.0,256,0.5857143074274063,0.5384615659713745,3,<function dropout at 0x7f47505a4a60>,cone,0.1,16
17,0.0,256,0.20000000968575474,0.26923078298568726,3,<function dropout at 0x7f47505a4a60>,cone,0.1,32
18,0.0,256,0.7214285969734192,0.576923131942749,3,<function dropout at 0x7f47505a4a60>,cone,0.01,2
19,0.0,256,0.6428571939468385,0.6153846979141235,3,<function dropout at 0x7f47505a4a60>,cone,0.01,3
20,0.0,256,0.5714285969734191,0.6153846979141235,3,<function dropout at 0x7f47505a4a60>,cone,0.01,4
21,0.0,256,0.6000000357627869,0.5,3,<function dropout at 0x7f47505a4a60>,cone,0.01,8
22,0.0,256,0.5714285969734191,0.576923131942749,3,<function dropout at 0x7f47505a4a60>,cone,0.01,16
23,0.0,256,0.4928571462631225,0.5384615659713745,3,<function dropout at 0x7f47505a4a60>,cone,0.01,32
24,0.0,512,0.03571428656578064,0.1538461595773697,3,<function dropout at 0x7f47505a4a60>,cone,10.0,2
25,0.0,512,0.0,0.192307710647583,3,<function dropout at 0x7f47505a4a60>,cone,10.0,3
26,0.0,512,0.0,0.192307710647583,3,<function dropout at 0x7f47505a4a60>,cone,10.0,4
27,0.0,512,0.0,0.192307710647583,3,<function dropout at 0x7f47505a4a60>,cone,10.0,8
28,0.0,512,0.0,0.192307710647583,3,<function dropout at 0x7f47505a4a60>,cone,10.0,16
29,0.0,512,0.0,0.192307710647583,3,<function dropout at 0x7f47505a4a60>,cone,10.0,32
30,0.0,512,0.028571429848670962,0.03846153989434242,3,<function dropout at 0x7f47505a4a60>,cone,1.0,2
31,0.0,512,0.014285714924335481,0.1538461595773697,3,<function dropout at 0x7f47505a4a60>,cone,1.0,3
32,0.0,512,0.0,0.192307710647583,3,<function dropout at 0x7f47505a4a60>,cone,1.0,4
33,0.0,512,0.0,0.192307710647583,3,<function dropout at 0x7f47505a4a60>,cone,1.0,8
34,0.0,512,0.0,0.192307710647583,3,<function dropout at 0x7f47505a4a60>,cone,1.0,16
35,0.0,512,0.0,0.192307710647583,3,<function dropout at 0x7f47505a4a60>,cone,1.0,32
36,0.0,512,0.6214286088943481,0.5384615659713745,3,<function dropout at 0x7f47505a4a60>,cone,0.1,2
37,0.0,512,0.6285714626312257,0.576923131942749,3,<function dropout at 0x7f47505a4a60>,cone,0.1,3
38,0.0,512,0.6000000238418578,0.5384615659713745,3,<function dropout at 0x7f47505a4a60>,cone,0.1,4
39,0.0,512,0.6071428894996643,0.5,3,<function dropout at 0x7f47505a4a60>,cone,0.1,8
40,0.0,512,0.5642857432365417,0.5384615659713745,3,<function dropout at 0x7f47505a4a60>,cone,0.1,16
41,0.0,512,0.0,0.192307710647583,3,<function dropout at 0x7f47505a4a60>,cone,0.1,32
42,0.0,512,0.6428571939468385,0.576923131942749,3,<function dropout at 0x7f47505a4a60>,cone,0.01,2
43,0.0,512,0.6357143342494966,0.576923131942749,3,<function dropout at 0x7f47505a4a60>,cone,0.01,3
44,0.0,512,0.6428571701049804,0.576923131942749,3,<function dropout at 0x7f47505a4a60>,cone,0.01,4
45,0.0,512,0.6285714745521547,0.5,3,<function dropout at 0x7f47505a4a60>,cone,0.01,8
46,0.0,512,0.5571428775787354,0.5384615659713745,3,<function dropout at 0x7f47505a4a60>,cone,0.01,16
47,0.0,512,0.5857143163681031,0.576923131942749,3,<function dropout at 0x7f47505a4a60>,cone,0.01,32
48,0.0,1024,0.014285714924335481,0.1538461595773697,3,<function dropout at 0x7f47505a4a60>,cone,10.0,2
49,0.0,1024,0.0,0.192307710647583,3,<function dropout at 0x7f47505a4a60>,cone,10.0,3
50,0.0,1024,0.0,0.192307710647583,3,<function dropout at 0x7f47505a4a60>,cone,10.0,4
51,0.0,1024,0.0,0.192307710647583,3,<function dropout at 0x7f47505a4a60>,cone,10.0,8
52,0.0,1024,0.0,0.192307710647583,3,<function dropout at 0x7f47505a4a60>,cone,10.0,16
53,0.0,1024,0.0,0.192307710647583,3,<function dropout at 0x7f47505a4a60>,cone,10.0,32
54,0.0,1024,0.21428573131561277,0.26923078298568726,3,<function dropout at 0x7f47505a4a60>,cone,1.0,2
55,0.0,1024,0.021428573131561282,0.11538462340831757,3,<function dropout at 0x7f47505a4a60>,cone,1.0,3
56,0.0,1024,0.0,0.192307710647583,3,<function dropout at 0x7f47505a4a60>,cone,1.0,4
57,0.0,1024,0.0,0.192307710647583,3,<function dropout at 0x7f47505a4a60>,cone,1.0,8
58,0.0,1024,0.0,0.192307710647583,3,<function dropout at 0x7f47505a4a60>,cone,1.0,16
59,0.0,1024,0.0,0.192307710647583,3,<function dropout at 0x7f47505a4a60>,cone,1.0,32
60,0.0,1024,0.6357143163681029,0.5000000596046448,3,<function dropout at 0x7f47505a4a60>,cone,0.1,2
61,0.0,1024,0.6500000298023224,0.5,3,<function dropout at 0x7f47505a4a60>,cone,0.1,3
62,0.0,1024,0.6000000298023225,0.5000000596046448,3,<function dropout at 0x7f47505a4a60>,cone,0.1,4
63,0.0,1024,0.47142859697341916,0.576923131942749,3,<function dropout at 0x7f47505a4a60>,cone,0.1,8
64,0.0,1024,0.5071428835391998,0.6538462042808533,3,<function dropout at 0x7f47505a4a60>,cone,0.1,16
65,0.0,1024,0.37857144773006435,0.42307695746421814,3,<function dropout at 0x7f47505a4a60>,cone,0.1,32
66,0.0,1024,0.6571428835391997,0.576923131942749,3,<function dropout at 0x7f47505a4a60>,cone,0.01,2
67,0.0,1024,0.6428571701049804,0.576923131942749,3,<function dropout at 0x7f47505a4a60>,cone,0.01,3
68,0.0,1024,0.6285714745521546,0.576923131942749,3,<function dropout at 0x7f47505a4a60>,cone,0.01,4
69,0.0,1024,0.6785714626312256,0.5384615659713745,3,<function dropout at 0x7f47505a4a60>,cone,0.01,8
70,0.0,1024,0.5428571701049804,0.576923131942749,3,<function dropout at 0x7f47505a4a60>,cone,0.01,16
71,0.0,1024,0.6714286029338836,0.5,3,<function dropout at 0x7f47505a4a60>,cone,0.01,32
72,0.5,256,0.0,0.192307710647583,3,<function dropout at 0x7f47505a4a60>,cone,10.0,2
73,0.5,256,0.0,0.192307710647583,3,<function dropout at 0x7f47505a4a60>,cone,10.0,3
74,0.5,256,0.0,0.192307710647583,3,<function dropout at 0x7f47505a4a60>,cone,10.0,4
75,0.5,256,0.0,0.192307710647583,3,<function dropout at 0x7f47505a4a60>,cone,10.0,8
76,0.5,256,0.0,0.192307710647583,3,<function dropout at 0x7f47505a4a60>,cone,10.0,16
77,0.5,256,0.0,0.192307710647583,3,<function dropout at 0x7f47505a4a60>,cone,10.0,32
78,0.5,256,0.050000001490116124,0.30769234895706177,3,<function dropout at 0x7f47505a4a60>,cone,1.0,2
