,dR,nstart,valAccuracy,testAccuracy,activationFn,dropoutFn,layerForm,learningrate,nlayers
79,0.5,256,0.0,0.192307710647583,3,<function dropout at 0x7f47505a4a60>,cone,1.0,3
80,0.5,256,0.0,0.192307710647583,3,<function dropout at 0x7f47505a4a60>,cone,1.0,4
81,0.5,256,0.0,0.192307710647583,3,<function dropout at 0x7f47505a4a60>,cone,1.0,8
82,0.5,256,0.0,0.192307710647583,3,<function dropout at 0x7f47505a4a60>,cone,1.0,16
83,0.5,256,0.0,0.192307710647583,3,<function dropout at 0x7f47505a4a60>,cone,1.0,32
84,0.5,256,0.6642857491970063,0.576923131942749,3,<function dropout at 0x7f47505a4a60>,cone,0.1,2
85,0.5,256,0.592857164144516,0.6538462042808533,3,<function dropout at 0x7f47505a4a60>,cone,0.1,3
86,0.5,256,0.4928571641445159,0.576923131942749,3,<function dropout at 0x7f47505a4a60>,cone,0.1,4
87,0.5,256,0.021428573131561282,0.11538462340831757,3,<function dropout at 0x7f47505a4a60>,cone,0.1,8
88,0.5,256,0.0,0.192307710647583,3,<function dropout at 0x7f47505a4a60>,cone,0.1,16
89,0.5,256,0.0,0.192307710647583,3,<function dropout at 0x7f47505a4a60>,cone,0.1,32
90,0.5,256,0.5642857372760772,0.5384615659713745,3,<function dropout at 0x7f47505a4a60>,cone,0.01,2
91,0.5,256,0.6857143163681031,0.5384615659713745,3,<function dropout at 0x7f47505a4a60>,cone,0.01,3
92,0.5,256,0.6571428894996644,0.5384615659713745,3,<function dropout at 0x7f47505a4a60>,cone,0.01,4
93,0.5,256,0.5142857253551483,0.46153849363327026,3,<function dropout at 0x7f47505a4a60>,cone,0.01,8
94,0.5,256,0.021428573131561282,0.0,3,<function dropout at 0x7f47505a4a60>,cone,0.01,16
95,0.5,256,0.0,0.192307710647583,3,<function dropout at 0x7f47505a4a60>,cone,0.01,32
96,0.5,512,0.0,0.192307710647583,3,<function dropout at 0x7f47505a4a60>,cone,10.0,2
97,0.5,512,0.0,0.192307710647583,3,<function dropout at 0x7f47505a4a60>,cone,10.0,3
98,0.5,512,0.0,0.192307710647583,3,<function dropout at 0x7f47505a4a60>,cone,10.0,4
99,0.5,512,0.0,0.192307710647583,3,<function dropout at 0x7f47505a4a60>,cone,10.0,8
100,0.5,512,0.0,0.192307710647583,3,<function dropout at 0x7f47505a4a60>,cone,10.0,16
101,0.5,512,0.0,0.192307710647583,3,<function dropout at 0x7f47505a4a60>,cone,10.0,32
102,0.5,512,0.03571428656578064,0.1538461595773697,3,<function dropout at 0x7f47505a4a60>,cone,1.0,2
103,0.5,512,0.0,0.192307710647583,3,<function dropout at 0x7f47505a4a60>,cone,1.0,3
104,0.5,512,0.0,0.192307710647583,3,<function dropout at 0x7f47505a4a60>,cone,1.0,4
105,0.5,512,0.0,0.192307710647583,3,<function dropout at 0x7f47505a4a60>,cone,1.0,8
106,0.5,512,0.0,0.192307710647583,3,<function dropout at 0x7f47505a4a60>,cone,1.0,16
107,0.5,512,0.0,0.192307710647583,3,<function dropout at 0x7f47505a4a60>,cone,1.0,32
108,0.5,512,0.578571456670761,0.6538462042808533,3,<function dropout at 0x7f47505a4a60>,cone,0.1,2
109,0.5,512,0.5071428716182709,0.6153846979141235,3,<function dropout at 0x7f47505a4a60>,cone,0.1,3
110,0.5,512,0.3428571581840515,0.42307692766189575,3,<function dropout at 0x7f47505a4a60>,cone,0.1,4
111,0.5,512,0.0,0.07692307978868484,3,<function dropout at 0x7f47505a4a60>,cone,0.1,8
112,0.5,512,0.0,0.192307710647583,3,<function dropout at 0x7f47505a4a60>,cone,0.1,16
113,0.5,512,0.0,0.192307710647583,3,<function dropout at 0x7f47505a4a60>,cone,0.1,32
114,0.5,512,0.6214286088943481,0.6153846979141235,3,<function dropout at 0x7f47505a4a60>,cone,0.01,2
115,0.5,512,0.5714285969734191,0.6153846979141235,3,<function dropout at 0x7f47505a4a60>,cone,0.01,3
116,0.5,512,0.6071428894996643,0.5384615659713745,3,<function dropout at 0x7f47505a4a60>,cone,0.01,4
117,0.5,512,0.535714304447174,0.3461538553237915,3,<function dropout at 0x7f47505a4a60>,cone,0.01,8
118,0.5,512,0.014285714924335481,0.1538461595773697,3,<function dropout at 0x7f47505a4a60>,cone,0.01,16
119,0.5,512,0.0,0.192307710647583,3,<function dropout at 0x7f47505a4a60>,cone,0.01,32
120,0.5,1024,0.0,0.192307710647583,3,<function dropout at 0x7f47505a4a60>,cone,10.0,2
121,0.5,1024,0.0,0.192307710647583,3,<function dropout at 0x7f47505a4a60>,cone,10.0,3
122,0.5,1024,0.0,0.192307710647583,3,<function dropout at 0x7f47505a4a60>,cone,10.0,4
123,0.5,1024,0.0,0.192307710647583,3,<function dropout at 0x7f47505a4a60>,cone,10.0,8
124,0.5,1024,0.0,0.192307710647583,3,<function dropout at 0x7f47505a4a60>,cone,10.0,16
125,0.5,1024,0.0,0.192307710647583,3,<function dropout at 0x7f47505a4a60>,cone,10.0,32
126,0.5,1024,0.014285714924335481,0.26923078298568726,3,<function dropout at 0x7f47505a4a60>,cone,1.0,2
127,0.5,1024,0.0,0.192307710647583,3,<function dropout at 0x7f47505a4a60>,cone,1.0,3
128,0.5,1024,0.0,0.192307710647583,3,<function dropout at 0x7f47505a4a60>,cone,1.0,4
129,0.5,1024,0.0,0.192307710647583,3,<function dropout at 0x7f47505a4a60>,cone,1.0,8
130,0.5,1024,0.0,0.192307710647583,3,<function dropout at 0x7f47505a4a60>,cone,1.0,16
131,0.5,1024,0.0,0.192307710647583,3,<function dropout at 0x7f47505a4a60>,cone,1.0,32
132,0.5,1024,0.578571456670761,0.5384615659713745,3,<function dropout at 0x7f47505a4a60>,cone,0.1,2
133,0.5,1024,0.4571428775787353,0.7307692766189575,3,<function dropout at 0x7f47505a4a60>,cone,0.1,3
134,0.5,1024,0.09285714998841287,0.26923078298568726,3,<function dropout at 0x7f47505a4a60>,cone,0.1,4
135,0.5,1024,0.0,0.192307710647583,3,<function dropout at 0x7f47505a4a60>,cone,0.1,8
136,0.5,1024,0.0,0.192307710647583,3,<function dropout at 0x7f47505a4a60>,cone,0.1,16
137,0.5,1024,0.0,0.192307710647583,3,<function dropout at 0x7f47505a4a60>,cone,0.1,32
138,0.5,1024,0.6571428954601288,0.576923131942749,3,<function dropout at 0x7f47505a4a60>,cone,0.01,2
139,0.5,1024,0.578571456670761,0.6538462042808533,3,<function dropout at 0x7f47505a4a60>,cone,0.01,3
140,0.5,1024,0.585714316368103,0.5384615659713745,3,<function dropout at 0x7f47505a4a60>,cone,0.01,4
141,0.5,1024,0.32142858505249017,0.1538461595773697,3,<function dropout at 0x7f47505a4a60>,cone,0.01,8
142,0.5,1024,0.03571428656578064,0.1538461595773697,3,<function dropout at 0x7f47505a4a60>,cone,0.01,16
143,0.5,1024,0.0,0.192307710647583,3,<function dropout at 0x7f47505a4a60>,cone,0.01,32
