,nlayers,valAccuracy,layerForm,learningrate,dropoutFn,dR,testAccuracy,nstart,activationFn
0,2,0.07438015937805174,cone,10.0,<function dropout at 0x7f7909815a60>,0.0,0.0804123729467392,256,3
1,2,0.07438015937805174,cone,10.0,<function dropout at 0x7f7909815a60>,0.0,0.0804123729467392,512,3
2,2,0.07438015937805174,cone,10.0,<function dropout at 0x7f7909815a60>,0.0,0.0804123729467392,1024,3
3,2,0.07438015937805174,cone,10.0,<function dropout at 0x7f7909815a60>,0.5,0.0804123729467392,256,3
4,2,0.07438015937805174,cone,10.0,<function dropout at 0x7f7909815a60>,0.5,0.0804123729467392,512,3
5,2,0.07438015937805174,cone,10.0,<function dropout at 0x7f7909815a60>,0.5,0.0804123729467392,1024,3
6,2,0.23512395471334463,cone,1.0,<function dropout at 0x7f7909815a60>,0.0,0.20000001788139343,256,3
7,2,0.3223140239715577,cone,1.0,<function dropout at 0x7f7909815a60>,0.0,0.3525773584842682,512,3
8,2,0.3223140239715577,cone,1.0,<function dropout at 0x7f7909815a60>,0.0,0.3525773286819458,1024,3
9,2,0.3223140239715577,cone,1.0,<function dropout at 0x7f7909815a60>,0.5,0.3525773286819458,256,3
10,2,0.08760329782962797,cone,1.0,<function dropout at 0x7f7909815a60>,0.5,0.0804123729467392,512,3
11,2,0.09917354583740233,cone,1.0,<function dropout at 0x7f7909815a60>,0.5,0.0804123729467392,1024,3
12,2,0.7537189900875092,cone,0.1,<function dropout at 0x7f7909815a60>,0.0,0.7628865838050842,256,3
13,2,0.7533057928085328,cone,0.1,<function dropout at 0x7f7909815a60>,0.0,0.7030928134918213,512,3
14,2,0.7628098964691163,cone,0.1,<function dropout at 0x7f7909815a60>,0.0,0.7525773048400879,1024,3
15,2,0.7264462471008302,cone,0.1,<function dropout at 0x7f7909815a60>,0.5,0.7443299293518066,256,3
16,2,0.7243801295757295,cone,0.1,<function dropout at 0x7f7909815a60>,0.5,0.7443299293518066,512,3
17,2,0.7475206255912781,cone,0.1,<function dropout at 0x7f7909815a60>,0.5,0.7670102715492249,1024,3
18,2,0.7392561733722688,cone,0.01,<function dropout at 0x7f7909815a60>,0.0,0.7422680258750916,256,3
19,2,0.7475206077098846,cone,0.01,<function dropout at 0x7f7909815a60>,0.0,0.754639208316803,512,3
20,2,0.7520660877227784,cone,0.01,<function dropout at 0x7f7909815a60>,0.0,0.7422680258750916,1024,3
21,2,0.7016528606414795,cone,0.01,<function dropout at 0x7f7909815a60>,0.5,0.7175257802009583,256,3
22,2,0.7247933745384216,cone,0.01,<function dropout at 0x7f7909815a60>,0.5,0.7422680854797363,512,3
23,2,0.7260330259799957,cone,0.01,<function dropout at 0x7f7909815a60>,0.5,0.7381443977355957,1024,3
24,3,0.07438015937805174,cone,10.0,<function dropout at 0x7f7909815a60>,0.0,0.0804123729467392,256,3
25,3,0.07438015937805174,cone,10.0,<function dropout at 0x7f7909815a60>,0.0,0.0804123729467392,512,3
26,3,0.07438015937805174,cone,10.0,<function dropout at 0x7f7909815a60>,0.0,0.0804123729467392,1024,3
27,3,0.07438015937805174,cone,10.0,<function dropout at 0x7f7909815a60>,0.5,0.0804123729467392,256,3
28,3,0.07438015937805174,cone,10.0,<function dropout at 0x7f7909815a60>,0.5,0.0804123729467392,512,3
29,3,0.07438015937805174,cone,10.0,<function dropout at 0x7f7909815a60>,0.5,0.0804123729467392,1024,3
30,3,0.23140494525432592,cone,1.0,<function dropout at 0x7f7909815a60>,0.0,0.20000001788139343,256,3
31,3,0.3223140239715577,cone,1.0,<function dropout at 0x7f7909815a60>,0.0,0.3525773286819458,512,3
32,3,0.07438015937805174,cone,1.0,<function dropout at 0x7f7909815a60>,0.0,0.0804123729467392,1024,3
33,3,0.24462808519601828,cone,1.0,<function dropout at 0x7f7909815a60>,0.5,0.20000001788139343,256,3
34,3,0.24999998658895498,cone,1.0,<function dropout at 0x7f7909815a60>,0.5,0.20000001788139343,512,3
35,3,0.07438015937805174,cone,1.0,<function dropout at 0x7f7909815a60>,0.5,0.0804123729467392,1024,3
36,3,0.7524793207645416,cone,0.1,<function dropout at 0x7f7909815a60>,0.0,0.7505154609680176,256,3
37,3,0.7557850897312164,cone,0.1,<function dropout at 0x7f7909815a60>,0.0,0.754639208316803,512,3
38,3,0.7504131913185119,cone,0.1,<function dropout at 0x7f7909815a60>,0.0,0.7422680258750916,1024,3
39,3,0.7123966753482819,cone,0.1,<function dropout at 0x7f7909815a60>,0.5,0.7113401889801025,256,3
40,3,0.7198346734046936,cone,0.1,<function dropout at 0x7f7909815a60>,0.5,0.7257731556892395,512,3
41,3,0.7376032650470733,cone,0.1,<function dropout at 0x7f7909815a60>,0.5,0.7422680258750916,1024,3
42,3,0.749173539876938,cone,0.01,<function dropout at 0x7f7909815a60>,0.0,0.7505154609680176,256,3
43,3,0.7698346734046937,cone,0.01,<function dropout at 0x7f7909815a60>,0.0,0.7587629556655884,512,3
44,3,0.7553718745708466,cone,0.01,<function dropout at 0x7f7909815a60>,0.0,0.7670103311538696,1024,3
45,3,0.6611570060253142,cone,0.01,<function dropout at 0x7f7909815a60>,0.5,0.6680412292480469,256,3
46,3,0.6884297430515289,cone,0.01,<function dropout at 0x7f7909815a60>,0.5,0.6927834749221802,512,3
47,3,0.7012396514415743,cone,0.01,<function dropout at 0x7f7909815a60>,0.5,0.717525839805603,1024,3
48,4,0.07438015937805174,cone,10.0,<function dropout at 0x7f7909815a60>,0.0,0.0804123729467392,256,3
49,4,0.07438015937805174,cone,10.0,<function dropout at 0x7f7909815a60>,0.0,0.0804123729467392,512,3
50,4,0.07438015937805174,cone,10.0,<function dropout at 0x7f7909815a60>,0.0,0.0804123729467392,1024,3
51,4,0.07438015937805174,cone,10.0,<function dropout at 0x7f7909815a60>,0.5,0.0804123729467392,256,3
52,4,0.07438015937805174,cone,10.0,<function dropout at 0x7f7909815a60>,0.5,0.0804123729467392,512,3
53,4,0.07438015937805174,cone,10.0,<function dropout at 0x7f7909815a60>,0.5,0.0804123729467392,1024,3
54,4,0.28595039397478106,cone,1.0,<function dropout at 0x7f7909815a60>,0.0,0.3525773584842682,256,3
55,4,0.07438015937805174,cone,1.0,<function dropout at 0x7f7909815a60>,0.0,0.0804123729467392,512,3
56,4,0.07438015937805174,cone,1.0,<function dropout at 0x7f7909815a60>,0.0,0.0804123729467392,1024,3
57,4,0.2685950219631196,cone,1.0,<function dropout at 0x7f7909815a60>,0.5,0.20618557929992676,256,3
58,4,0.07438015937805174,cone,1.0,<function dropout at 0x7f7909815a60>,0.5,0.0804123729467392,512,3
59,4,0.07438015937805174,cone,1.0,<function dropout at 0x7f7909815a60>,0.5,0.0804123729467392,1024,3
60,4,0.7586776673793794,cone,0.1,<function dropout at 0x7f7909815a60>,0.0,0.7360824942588806,256,3
61,4,0.7483470797538758,cone,0.1,<function dropout at 0x7f7909815a60>,0.0,0.7690722942352295,512,3
