,dR,nlayers,dropoutFn,learningrate,layerForm,valAccuracy,testAccuracy,nstart,activationFn
0,0.0,2,<function dropout at 0x7f588976aa60>,10.0,rect,0.5714285969734191,0.6438356041908264,256,3
1,0.0,2,<function dropout at 0x7f588976aa60>,10.0,rect,0.5714285969734191,0.6438356041908264,512,3
2,0.0,2,<function dropout at 0x7f588976aa60>,10.0,rect,0.5714285969734191,0.6438356041908264,1024,3
3,0.0,2,<function dropout at 0x7f588976aa60>,1.0,rect,0.5714285969734191,0.6438356041908264,256,3
4,0.0,2,<function dropout at 0x7f588976aa60>,1.0,rect,0.5714285969734191,0.6438356041908264,512,3
5,0.0,2,<function dropout at 0x7f588976aa60>,1.0,rect,0.5750000298023223,0.6438356041908264,1024,3
6,0.0,2,<function dropout at 0x7f588976aa60>,0.1,rect,0.8000000059604645,0.7808219194412231,256,3
7,0.0,2,<function dropout at 0x7f588976aa60>,0.1,rect,0.7571428656578064,0.8493150472640991,512,3
8,0.0,2,<function dropout at 0x7f588976aa60>,0.1,rect,0.7464285850524902,0.8219177722930908,1024,3
9,0.0,2,<function dropout at 0x7f588976aa60>,0.01,rect,0.8571428656578063,0.8493150472640991,256,3
10,0.0,2,<function dropout at 0x7f588976aa60>,0.01,rect,0.7928571462631225,0.8767123222351074,512,3
11,0.0,2,<function dropout at 0x7f588976aa60>,0.01,rect,0.7607142925262451,0.835616409778595,1024,3
12,0.0,3,<function dropout at 0x7f588976aa60>,10.0,rect,0.5714285969734191,0.6438356041908264,256,3
13,0.0,3,<function dropout at 0x7f588976aa60>,10.0,rect,0.5714285969734191,0.6438356041908264,512,3
14,0.0,3,<function dropout at 0x7f588976aa60>,10.0,rect,0.5714285969734191,0.6438356041908264,1024,3
15,0.0,3,<function dropout at 0x7f588976aa60>,1.0,rect,0.5714285969734191,0.6438356041908264,256,3
16,0.0,3,<function dropout at 0x7f588976aa60>,1.0,rect,0.5714285969734191,0.6438356041908264,512,3
17,0.0,3,<function dropout at 0x7f588976aa60>,1.0,rect,0.5714285969734191,0.6438356041908264,1024,3
18,0.0,3,<function dropout at 0x7f588976aa60>,0.1,rect,0.7464285731315613,0.8219177722930908,256,3
19,0.0,3,<function dropout at 0x7f588976aa60>,0.1,rect,0.7464285850524903,0.7534246444702148,512,3
20,0.0,3,<function dropout at 0x7f588976aa60>,0.1,rect,0.7250000178813935,0.8493150472640991,1024,3
21,0.0,3,<function dropout at 0x7f588976aa60>,0.01,rect,0.803571403026581,0.8219177722930908,256,3
22,0.0,3,<function dropout at 0x7f588976aa60>,0.01,rect,0.7892857372760773,0.8630136847496033,512,3
23,0.0,3,<function dropout at 0x7f588976aa60>,0.01,rect,0.764285707473755,0.8082191348075867,1024,3
24,0.0,4,<function dropout at 0x7f588976aa60>,10.0,rect,0.5714285969734191,0.6438356041908264,256,3
25,0.0,4,<function dropout at 0x7f588976aa60>,10.0,rect,0.5714285969734191,0.6438356041908264,512,3
26,0.0,4,<function dropout at 0x7f588976aa60>,10.0,rect,0.5714285969734191,0.6438356041908264,1024,3
27,0.0,4,<function dropout at 0x7f588976aa60>,1.0,rect,0.5714285969734191,0.6438356041908264,256,3
28,0.0,4,<function dropout at 0x7f588976aa60>,1.0,rect,0.5714285969734191,0.6438356041908264,512,3
29,0.0,4,<function dropout at 0x7f588976aa60>,1.0,rect,0.5714285969734191,0.6438356041908264,1024,3
30,0.0,4,<function dropout at 0x7f588976aa60>,0.1,rect,0.725000023841858,0.8082191348075867,256,3
31,0.0,4,<function dropout at 0x7f588976aa60>,0.1,rect,0.7464285850524902,0.8493150472640991,512,3
