,dR,testAccuracy,activationFn,layerForm,learningrate,nlayers,nstart,dropoutFn,valAccuracy
89,0.5,0.0804123729467392,3,rect,10.0,32,1024,<function dropout at 0x7f3adcce5a60>,0.08612440526485442
90,0.5,0.0804123729467392,3,rect,1.0,2,256,<function dropout at 0x7f3adcce5a60>,0.10526316016912458
91,0.5,0.0804123729467392,3,rect,1.0,2,512,<function dropout at 0x7f3adcce5a60>,0.10813397318124769
92,0.5,0.0804123729467392,3,rect,1.0,2,1024,<function dropout at 0x7f3adcce5a60>,0.08612440526485442
93,0.5,0.0804123729467392,3,rect,1.0,3,256,<function dropout at 0x7f3adcce5a60>,0.08612440526485442
94,0.5,0.0804123729467392,3,rect,1.0,3,512,<function dropout at 0x7f3adcce5a60>,0.08612440526485442
95,0.5,0.0804123729467392,3,rect,1.0,3,1024,<function dropout at 0x7f3adcce5a60>,0.08612440526485442
96,0.5,0.0804123729467392,3,rect,1.0,4,256,<function dropout at 0x7f3adcce5a60>,0.08612440526485442
97,0.5,0.0804123729467392,3,rect,1.0,4,512,<function dropout at 0x7f3adcce5a60>,0.08612440526485442
98,0.5,0.0804123729467392,3,rect,1.0,4,1024,<function dropout at 0x7f3adcce5a60>,0.08612440526485442
99,0.5,0.0804123729467392,3,rect,1.0,8,256,<function dropout at 0x7f3adcce5a60>,0.08612440526485442
100,0.5,0.0804123729467392,3,rect,1.0,8,512,<function dropout at 0x7f3adcce5a60>,0.08612440526485442
101,0.5,0.0804123729467392,3,rect,1.0,8,1024,<function dropout at 0x7f3adcce5a60>,0.08612440526485442
102,0.5,0.0804123729467392,3,rect,1.0,16,256,<function dropout at 0x7f3adcce5a60>,0.08612440526485442
103,0.5,0.0804123729467392,3,rect,1.0,16,512,<function dropout at 0x7f3adcce5a60>,0.08612440526485442
104,0.5,0.0804123729467392,3,rect,1.0,16,1024,<function dropout at 0x7f3adcce5a60>,0.08612440526485442
105,0.5,0.0804123729467392,3,rect,1.0,32,256,<function dropout at 0x7f3adcce5a60>,0.08612440526485442
106,0.5,0.0804123729467392,3,rect,1.0,32,512,<function dropout at 0x7f3adcce5a60>,0.08612440526485442
107,0.5,0.0804123729467392,3,rect,1.0,32,1024,<function dropout at 0x7f3adcce5a60>,0.08612440526485442
108,0.5,0.69484543800354,3,rect,0.1,2,256,<function dropout at 0x7f3adcce5a60>,0.7119617164134979
109,0.5,0.723711371421814,3,rect,0.1,2,512,<function dropout at 0x7f3adcce5a60>,0.7157894492149353
110,0.5,0.6783505082130432,3,rect,0.1,2,1024,<function dropout at 0x7f3adcce5a60>,0.7081339538097381
111,0.5,0.6948453783988953,3,rect,0.1,3,256,<function dropout at 0x7f3adcce5a60>,0.6861243784427643
112,0.5,0.7051547169685364,3,rect,0.1,3,512,<function dropout at 0x7f3adcce5a60>,0.6703349053859712
113,0.5,0.7051545977592468,3,rect,0.1,3,1024,<function dropout at 0x7f3adcce5a60>,0.7062200844287873
114,0.5,0.7360824942588806,3,rect,0.1,4,256,<function dropout at 0x7f3adcce5a60>,0.7162679314613343
115,0.5,0.7298969030380249,3,rect,0.1,4,512,<function dropout at 0x7f3adcce5a60>,0.702870798110962
116,0.5,0.6969072222709656,3,rect,0.1,4,1024,<function dropout at 0x7f3adcce5a60>,0.7138755917549134
117,0.5,0.5958763360977173,3,rect,0.1,8,256,<function dropout at 0x7f3adcce5a60>,0.5306220024824142
118,0.5,0.5546392202377319,3,rect,0.1,8,512,<function dropout at 0x7f3adcce5a60>,0.6703349113464355
119,0.5,0.0804123729467392,3,rect,0.1,8,1024,<function dropout at 0x7f3adcce5a60>,0.08612440526485442
120,0.5,0.0804123729467392,3,rect,0.1,16,256,<function dropout at 0x7f3adcce5a60>,0.08612440526485442
121,0.5,0.0804123729467392,3,rect,0.1,16,512,<function dropout at 0x7f3adcce5a60>,0.08612440526485442
122,0.5,0.0804123729467392,3,rect,0.1,16,1024,<function dropout at 0x7f3adcce5a60>,0.08612440526485442
123,0.5,0.0804123729467392,3,rect,0.1,32,256,<function dropout at 0x7f3adcce5a60>,0.08612440526485442
124,0.5,0.0804123729467392,3,rect,0.1,32,512,<function dropout at 0x7f3adcce5a60>,0.08612440526485442
125,0.5,0.0804123729467392,3,rect,0.1,32,1024,<function dropout at 0x7f3adcce5a60>,0.08612440526485442
126,0.5,0.7010309100151062,3,rect,0.01,2,256,<function dropout at 0x7f3adcce5a60>,0.6846889972686768
127,0.5,0.6969072222709656,3,rect,0.01,2,512,<function dropout at 0x7f3adcce5a60>,0.6846890091896057
128,0.5,0.7092783451080322,3,rect,0.01,2,1024,<function dropout at 0x7f3adcce5a60>,0.7071770310401917
129,0.5,0.6824742555618286,3,rect,0.01,3,256,<function dropout at 0x7f3adcce5a60>,0.6593301475048066
130,0.5,0.6412371397018433,3,rect,0.01,3,512,<function dropout at 0x7f3adcce5a60>,0.6330143690109253
131,0.5,0.639175295829773,3,rect,0.01,3,1024,<function dropout at 0x7f3adcce5a60>,0.6416267931461334
132,0.5,0.5876289010047913,3,rect,0.01,4,256,<function dropout at 0x7f3adcce5a60>,0.591866046190262
133,0.5,0.5958763360977173,3,rect,0.01,4,512,<function dropout at 0x7f3adcce5a60>,0.5933014333248139
134,0.5,0.6041237711906433,3,rect,0.01,4,1024,<function dropout at 0x7f3adcce5a60>,0.60095694065094
135,0.5,0.47422680258750916,3,rect,0.01,8,256,<function dropout at 0x7f3adcce5a60>,0.5052631616592408
136,0.5,0.4618557095527649,3,rect,0.01,8,512,<function dropout at 0x7f3adcce5a60>,0.5090909153223038
137,0.5,0.5010309815406799,3,rect,0.01,8,1024,<function dropout at 0x7f3adcce5a60>,0.5019138813018799
138,0.5,0.3505154550075531,3,rect,0.01,16,256,<function dropout at 0x7f3adcce5a60>,0.3066985636949539
139,0.5,0.03711340203881264,3,rect,0.01,16,512,<function dropout at 0x7f3adcce5a60>,0.06220095604658126
140,0.5,0.39175260066986084,3,rect,0.01,16,1024,<function dropout at 0x7f3adcce5a60>,0.236842106282711
141,0.5,0.0804123729467392,3,rect,0.01,32,256,<function dropout at 0x7f3adcce5a60>,0.08612440526485442
142,0.5,0.0804123729467392,3,rect,0.01,32,512,<function dropout at 0x7f3adcce5a60>,0.08612440526485442
143,0.5,0.0804123729467392,3,rect,0.01,32,1024,<function dropout at 0x7f3adcce5a60>,0.08612440526485442
