,valAccuracy,nstart,nlayers,dropoutFn,activationFn,learningrate,testAccuracy,layerForm,dR
0,0.2566666811704636,256,2,<function dropout at 0x7fbbc3ca5a60>,3,10.0,0.2606635093688965,rect,0.0
1,0.25555557012557983,256,2,<function dropout at 0x7fbbc3ca5a60>,3,10.0,0.2606635093688965,rect,0.5
2,0.25555557012557983,256,2,<function dropout at 0x7fbbc3ca5a60>,3,1.0,0.2606635093688965,rect,0.0
3,0.25555557012557983,256,2,<function dropout at 0x7fbbc3ca5a60>,3,1.0,0.2606635093688965,rect,0.5
4,0.8111111640930178,256,2,<function dropout at 0x7fbbc3ca5a60>,3,0.1,0.7772511839866638,rect,0.0
5,0.770000046491623,256,2,<function dropout at 0x7fbbc3ca5a60>,3,0.1,0.772511899471283,rect,0.5
6,0.7811111629009247,256,2,<function dropout at 0x7fbbc3ca5a60>,3,0.01,0.800947904586792,rect,0.0
7,0.6866667032241821,256,2,<function dropout at 0x7fbbc3ca5a60>,3,0.01,0.7535544633865356,rect,0.5
8,0.25555557012557983,256,3,<function dropout at 0x7fbbc3ca5a60>,3,10.0,0.2606635093688965,rect,0.0
9,0.25555557012557983,256,3,<function dropout at 0x7fbbc3ca5a60>,3,10.0,0.2606635093688965,rect,0.5
10,0.25555557012557983,256,3,<function dropout at 0x7fbbc3ca5a60>,3,1.0,0.2606635093688965,rect,0.0
11,0.25555557012557983,256,3,<function dropout at 0x7fbbc3ca5a60>,3,1.0,0.2606635093688965,rect,0.5
12,0.8044444859027863,256,3,<function dropout at 0x7fbbc3ca5a60>,3,0.1,0.800947904586792,rect,0.0
13,0.7444444894790649,256,3,<function dropout at 0x7fbbc3ca5a60>,3,0.1,0.7630332112312317,rect,0.5
14,0.8300000309944153,256,3,<function dropout at 0x7fbbc3ca5a60>,3,0.01,0.8199052214622498,rect,0.0
15,0.6722222805023194,256,3,<function dropout at 0x7fbbc3ca5a60>,3,0.01,0.7156397700309753,rect,0.5
16,0.25555557012557983,256,4,<function dropout at 0x7fbbc3ca5a60>,3,10.0,0.2606635093688965,rect,0.0
17,0.25555557012557983,256,4,<function dropout at 0x7fbbc3ca5a60>,3,10.0,0.2606635093688965,rect,0.5
18,0.25555557012557983,256,4,<function dropout at 0x7fbbc3ca5a60>,3,1.0,0.2606635093688965,rect,0.0
19,0.25555557012557983,256,4,<function dropout at 0x7fbbc3ca5a60>,3,1.0,0.2606635093688965,rect,0.5
20,0.795555603504181,256,4,<function dropout at 0x7fbbc3ca5a60>,3,0.1,0.7725118398666382,rect,0.0
21,0.7133333802223206,256,4,<function dropout at 0x7fbbc3ca5a60>,3,0.1,0.758293867111206,rect,0.5
22,0.8088889241218566,256,4,<function dropout at 0x7fbbc3ca5a60>,3,0.01,0.8151658773422241,rect,0.0
23,0.66777783036232,256,4,<function dropout at 0x7fbbc3ca5a60>,3,0.01,0.7251185178756714,rect,0.5
24,0.25555557012557983,256,8,<function dropout at 0x7fbbc3ca5a60>,3,10.0,0.2606635093688965,rect,0.0
25,0.25555557012557983,256,8,<function dropout at 0x7fbbc3ca5a60>,3,10.0,0.2606635093688965,rect,0.5
26,0.25555557012557983,256,8,<function dropout at 0x7fbbc3ca5a60>,3,1.0,0.2606635093688965,rect,0.0
27,0.25555557012557983,256,8,<function dropout at 0x7fbbc3ca5a60>,3,1.0,0.2606635093688965,rect,0.5
28,0.7944444954395294,256,8,<function dropout at 0x7fbbc3ca5a60>,3,0.1,0.772511899471283,rect,0.0
29,0.7011111497879028,256,8,<function dropout at 0x7fbbc3ca5a60>,3,0.1,0.720379114151001,rect,0.5
30,0.8288889229297638,256,8,<function dropout at 0x7fbbc3ca5a60>,3,0.01,0.777251124382019,rect,0.0
31,0.47666670083999635,256,8,<function dropout at 0x7fbbc3ca5a60>,3,0.01,0.5876777172088623,rect,0.5
32,0.25555557012557983,256,16,<function dropout at 0x7fbbc3ca5a60>,3,10.0,0.2606635093688965,rect,0.0
33,0.25555557012557983,256,16,<function dropout at 0x7fbbc3ca5a60>,3,10.0,0.2606635093688965,rect,0.5
34,0.25555557012557983,256,16,<function dropout at 0x7fbbc3ca5a60>,3,1.0,0.2606635093688965,rect,0.0
35,0.25555557012557983,256,16,<function dropout at 0x7fbbc3ca5a60>,3,1.0,0.2606635093688965,rect,0.5
36,0.25555557012557983,256,16,<function dropout at 0x7fbbc3ca5a60>,3,0.1,0.2606635093688965,rect,0.0
37,0.25555557012557983,256,16,<function dropout at 0x7fbbc3ca5a60>,3,0.1,0.2606635093688965,rect,0.5
38,0.8422222435474396,256,16,<function dropout at 0x7fbbc3ca5a60>,3,0.01,0.8104265332221985,rect,0.0
39,0.29555557668209076,256,16,<function dropout at 0x7fbbc3ca5a60>,3,0.01,0.3649289011955261,rect,0.5
40,0.25555557012557983,256,32,<function dropout at 0x7fbbc3ca5a60>,3,10.0,0.2606635093688965,rect,0.0
41,0.25555557012557983,256,32,<function dropout at 0x7fbbc3ca5a60>,3,10.0,0.2606635093688965,rect,0.5
42,0.25555557012557983,256,32,<function dropout at 0x7fbbc3ca5a60>,3,1.0,0.2606635093688965,rect,0.0
43,0.25555557012557983,256,32,<function dropout at 0x7fbbc3ca5a60>,3,1.0,0.2606635093688965,rect,0.5
44,0.25555557012557983,256,32,<function dropout at 0x7fbbc3ca5a60>,3,0.1,0.2606635093688965,rect,0.0
45,0.25555557012557983,256,32,<function dropout at 0x7fbbc3ca5a60>,3,0.1,0.2606635093688965,rect,0.5
46,0.7700000584125518,256,32,<function dropout at 0x7fbbc3ca5a60>,3,0.01,0.758293867111206,rect,0.0
47,0.25555557012557983,256,32,<function dropout at 0x7fbbc3ca5a60>,3,0.01,0.2606635093688965,rect,0.5
48,0.25555557012557983,512,2,<function dropout at 0x7fbbc3ca5a60>,3,10.0,0.2606635093688965,rect,0.0
49,0.25555557012557983,512,2,<function dropout at 0x7fbbc3ca5a60>,3,10.0,0.2606635093688965,rect,0.5
50,0.25555557012557983,512,2,<function dropout at 0x7fbbc3ca5a60>,3,1.0,0.2606635093688965,rect,0.0
51,0.25555557012557983,512,2,<function dropout at 0x7fbbc3ca5a60>,3,1.0,0.2606635093688965,rect,0.5
52,0.8288889288902282,512,2,<function dropout at 0x7fbbc3ca5a60>,3,0.1,0.791469156742096,rect,0.0
53,0.7922222793102265,512,2,<function dropout at 0x7fbbc3ca5a60>,3,0.1,0.8151658773422241,rect,0.5
54,0.7500000536441802,512,2,<function dropout at 0x7fbbc3ca5a60>,3,0.01,0.8151658773422241,rect,0.0
55,0.7633333683013916,512,2,<function dropout at 0x7fbbc3ca5a60>,3,0.01,0.7819905281066895,rect,0.5
56,0.25555557012557983,512,3,<function dropout at 0x7fbbc3ca5a60>,3,10.0,0.2606635093688965,rect,0.0
57,0.25555557012557983,512,3,<function dropout at 0x7fbbc3ca5a60>,3,10.0,0.2606635093688965,rect,0.5
58,0.25555557012557983,512,3,<function dropout at 0x7fbbc3ca5a60>,3,1.0,0.2606635093688965,rect,0.0
59,0.2566666811704636,512,3,<function dropout at 0x7fbbc3ca5a60>,3,1.0,0.2606635093688965,rect,0.5
60,0.8333333790302276,512,3,<function dropout at 0x7fbbc3ca5a60>,3,0.1,0.8293838500976562,rect,0.0
61,0.7500000476837156,512,3,<function dropout at 0x7fbbc3ca5a60>,3,0.1,0.7772512435913086,rect,0.5
62,0.8200000524520875,512,3,<function dropout at 0x7fbbc3ca5a60>,3,0.01,0.829383909702301,rect,0.0
63,0.6944444775581361,512,3,<function dropout at 0x7fbbc3ca5a60>,3,0.01,0.729857861995697,rect,0.5
64,0.25555557012557983,512,4,<function dropout at 0x7fbbc3ca5a60>,3,10.0,0.2606635093688965,rect,0.0
65,0.25555557012557983,512,4,<function dropout at 0x7fbbc3ca5a60>,3,10.0,0.2606635093688965,rect,0.5
66,0.25555557012557983,512,4,<function dropout at 0x7fbbc3ca5a60>,3,1.0,0.2606635093688965,rect,0.0
67,0.25555557012557983,512,4,<function dropout at 0x7fbbc3ca5a60>,3,1.0,0.2606635093688965,rect,0.5
68,0.8477778077125551,512,4,<function dropout at 0x7fbbc3ca5a60>,3,0.1,0.8388625979423523,rect,0.0
69,0.7344444870948792,512,4,<function dropout at 0x7fbbc3ca5a60>,3,0.1,0.758293867111206,rect,0.5
70,0.8322222590446472,512,4,<function dropout at 0x7fbbc3ca5a60>,3,0.01,0.7867298722267151,rect,0.0
71,0.6877778112888338,512,4,<function dropout at 0x7fbbc3ca5a60>,3,0.01,0.6966824531555176,rect,0.5
72,0.25555557012557983,512,8,<function dropout at 0x7fbbc3ca5a60>,3,10.0,0.2606635093688965,rect,0.0
73,0.25555557012557983,512,8,<function dropout at 0x7fbbc3ca5a60>,3,10.0,0.2606635093688965,rect,0.5
74,0.25555557012557983,512,8,<function dropout at 0x7fbbc3ca5a60>,3,1.0,0.2606635093688965,rect,0.0
75,0.25555557012557983,512,8,<function dropout at 0x7fbbc3ca5a60>,3,1.0,0.2606635093688965,rect,0.5
76,0.26000001430511477,512,8,<function dropout at 0x7fbbc3ca5a60>,3,0.1,0.2606635093688965,rect,0.0
77,0.2577777922153473,512,8,<function dropout at 0x7fbbc3ca5a60>,3,0.1,0.2606635093688965,rect,0.5
78,0.8477778136730196,512,8,<function dropout at 0x7fbbc3ca5a60>,3,0.01,0.8199052810668945,rect,0.0
79,0.44444448649883267,512,8,<function dropout at 0x7fbbc3ca5a60>,3,0.01,0.4265403151512146,rect,0.5
80,0.25555557012557983,512,16,<function dropout at 0x7fbbc3ca5a60>,3,10.0,0.2606635093688965,rect,0.0
81,0.25555557012557983,512,16,<function dropout at 0x7fbbc3ca5a60>,3,10.0,0.2606635093688965,rect,0.5
82,0.25555557012557983,512,16,<function dropout at 0x7fbbc3ca5a60>,3,1.0,0.2606635093688965,rect,0.0
83,0.25555557012557983,512,16,<function dropout at 0x7fbbc3ca5a60>,3,1.0,0.2606635093688965,rect,0.5
84,0.25555557012557983,512,16,<function dropout at 0x7fbbc3ca5a60>,3,0.1,0.2606635093688965,rect,0.0
85,0.25555557012557983,512,16,<function dropout at 0x7fbbc3ca5a60>,3,0.1,0.2606635093688965,rect,0.5
86,0.8111111640930176,512,16,<function dropout at 0x7fbbc3ca5a60>,3,0.01,0.7677724957466125,rect,0.0
87,0.24000001549720762,512,16,<function dropout at 0x7fbbc3ca5a60>,3,0.01,0.25592419505119324,rect,0.5
88,0.25555557012557983,512,32,<function dropout at 0x7fbbc3ca5a60>,3,10.0,0.2606635093688965,rect,0.0
89,0.25555557012557983,512,32,<function dropout at 0x7fbbc3ca5a60>,3,10.0,0.2606635093688965,rect,0.5
90,0.25555557012557983,512,32,<function dropout at 0x7fbbc3ca5a60>,3,1.0,0.2606635093688965,rect,0.0
91,0.25555557012557983,512,32,<function dropout at 0x7fbbc3ca5a60>,3,1.0,0.2606635093688965,rect,0.5
92,0.25555557012557983,512,32,<function dropout at 0x7fbbc3ca5a60>,3,0.1,0.2606635093688965,rect,0.0
93,0.25555557012557983,512,32,<function dropout at 0x7fbbc3ca5a60>,3,0.1,0.2606635093688965,rect,0.5
94,0.7477778315544129,512,32,<function dropout at 0x7fbbc3ca5a60>,3,0.01,0.7535544633865356,rect,0.0
95,0.25555557012557983,512,32,<function dropout at 0x7fbbc3ca5a60>,3,0.01,0.2606635093688965,rect,0.5
96,0.25555557012557983,1024,2,<function dropout at 0x7fbbc3ca5a60>,3,10.0,0.2606635093688965,rect,0.0
97,0.25555557012557983,1024,2,<function dropout at 0x7fbbc3ca5a60>,3,10.0,0.2606635093688965,rect,0.5
98,0.25555557012557983,1024,2,<function dropout at 0x7fbbc3ca5a60>,3,1.0,0.2606635093688965,rect,0.0
99,0.25555557012557983,1024,2,<function dropout at 0x7fbbc3ca5a60>,3,1.0,0.2606635093688965,rect,0.5
100,0.8122222542762757,1024,2,<function dropout at 0x7fbbc3ca5a60>,3,0.1,0.7582938075065613,rect,0.0
101,0.7222222685813903,1024,2,<function dropout at 0x7fbbc3ca5a60>,3,0.1,0.720379114151001,rect,0.5
102,0.8333333730697632,1024,2,<function dropout at 0x7fbbc3ca5a60>,3,0.01,0.829383909702301,rect,0.0
103,0.7711111664772035,1024,2,<function dropout at 0x7fbbc3ca5a60>,3,0.01,0.7914692163467407,rect,0.5
104,0.25555557012557983,1024,3,<function dropout at 0x7fbbc3ca5a60>,3,10.0,0.2606635093688965,rect,0.0
105,0.25555557012557983,1024,3,<function dropout at 0x7fbbc3ca5a60>,3,10.0,0.2606635093688965,rect,0.5
106,0.25555557012557983,1024,3,<function dropout at 0x7fbbc3ca5a60>,3,1.0,0.2606635093688965,rect,0.0
107,0.25555557012557983,1024,3,<function dropout at 0x7fbbc3ca5a60>,3,1.0,0.2606635093688965,rect,0.5
108,0.8311111450195312,1024,3,<function dropout at 0x7fbbc3ca5a60>,3,0.1,0.8246445655822754,rect,0.0
109,0.7788889288902282,1024,3,<function dropout at 0x7fbbc3ca5a60>,3,0.1,0.7156398296356201,rect,0.5
110,0.8477778196334841,1024,3,<function dropout at 0x7fbbc3ca5a60>,3,0.01,0.7867298722267151,rect,0.0
111,0.7277778387069702,1024,3,<function dropout at 0x7fbbc3ca5a60>,3,0.01,0.7914692163467407,rect,0.5
112,0.25555557012557983,1024,4,<function dropout at 0x7fbbc3ca5a60>,3,10.0,0.2606635093688965,rect,0.0
113,0.25555557012557983,1024,4,<function dropout at 0x7fbbc3ca5a60>,3,10.0,0.2606635093688965,rect,0.5
