,dropoutFn,nstart,valAccuracy,learningrate,layerForm,nlayers,activationFn,dR,testAccuracy
25,<function dropout at 0x7fab5d204a60>,256,0.7796703755855561,0.1,cone,2,3,0.5,0.7875000238418579
26,<function dropout at 0x7fab5d204a60>,256,0.8060439944267273,0.1,cone,3,3,0.0,0.8224999904632568
27,<function dropout at 0x7fab5d204a60>,256,0.7609890520572662,0.1,cone,3,3,0.5,0.7824999094009399
28,<function dropout at 0x7fab5d204a60>,256,0.7615384936332703,0.1,cone,4,3,0.0,0.7850000262260437
29,<function dropout at 0x7fab5d204a60>,256,0.7857143461704253,0.1,cone,4,3,0.5,0.8174999952316284
30,<function dropout at 0x7fab5d204a60>,256,0.7692308127880096,0.1,cone,8,3,0.0,0.7599999904632568
31,<function dropout at 0x7fab5d204a60>,256,0.00824175849556923,0.1,cone,8,3,0.5,0.014999999664723873
32,<function dropout at 0x7fab5d204a60>,256,0.7263736724853515,0.1,cone,16,3,0.0,0.75
33,<function dropout at 0x7fab5d204a60>,256,0.0,0.1,cone,16,3,0.5,0.009999999776482582
34,<function dropout at 0x7fab5d204a60>,256,0.7769231259822845,0.1,cone,32,3,0.0,0.7174999713897705
35,<function dropout at 0x7fab5d204a60>,256,0.0,0.1,cone,32,3,0.5,0.009999999776482582
36,<function dropout at 0x7fab5d204a60>,256,0.7000000536441804,0.01,cone,2,3,0.0,0.7324999570846558
37,<function dropout at 0x7fab5d204a60>,256,0.6208791673183441,0.01,cone,2,3,0.5,0.6274999380111694
38,<function dropout at 0x7fab5d204a60>,256,0.7412088394165038,0.01,cone,3,3,0.0,0.7150000333786011
39,<function dropout at 0x7fab5d204a60>,256,0.5461538791656494,0.01,cone,3,3,0.5,0.5774999856948853
40,<function dropout at 0x7fab5d204a60>,256,0.7890110373497009,0.01,cone,4,3,0.0,0.800000011920929
41,<function dropout at 0x7fab5d204a60>,256,0.4318681448698043,0.01,cone,4,3,0.5,0.4599999487400055
42,<function dropout at 0x7fab5d204a60>,256,0.7274725496768951,0.01,cone,8,3,0.0,0.7475000619888306
43,<function dropout at 0x7fab5d204a60>,256,0.022527473047375676,0.01,cone,8,3,0.5,0.014999998733401299
44,<function dropout at 0x7fab5d204a60>,256,0.7131868302822113,0.01,cone,16,3,0.0,0.6875
45,<function dropout at 0x7fab5d204a60>,256,0.024175825156271456,0.01,cone,16,3,0.5,0.017499998211860657
46,<function dropout at 0x7fab5d204a60>,256,0.6076923489570617,0.01,cone,32,3,0.0,0.5899999737739563
47,<function dropout at 0x7fab5d204a60>,256,0.0,0.01,cone,32,3,0.5,0.009999999776482582
48,<function dropout at 0x7fab5d204a60>,512,0.0,10.0,cone,2,3,0.0,0.009999999776482582
49,<function dropout at 0x7fab5d204a60>,512,0.0,10.0,cone,2,3,0.5,0.009999999776482582
50,<function dropout at 0x7fab5d204a60>,512,0.0,10.0,cone,3,3,0.0,0.009999999776482582
51,<function dropout at 0x7fab5d204a60>,512,0.0,10.0,cone,3,3,0.5,0.009999999776482582
52,<function dropout at 0x7fab5d204a60>,512,0.0,10.0,cone,4,3,0.0,0.009999999776482582
53,<function dropout at 0x7fab5d204a60>,512,0.0,10.0,cone,4,3,0.5,0.009999999776482582
54,<function dropout at 0x7fab5d204a60>,512,0.0,10.0,cone,8,3,0.0,0.009999999776482582
55,<function dropout at 0x7fab5d204a60>,512,0.0,10.0,cone,8,3,0.5,0.009999999776482582
56,<function dropout at 0x7fab5d204a60>,512,0.0,10.0,cone,16,3,0.0,0.009999999776482582
57,<function dropout at 0x7fab5d204a60>,512,0.0,10.0,cone,16,3,0.5,0.009999999776482582
