,nlayers,activationFn,layerForm,nstart,dR,testAccuracy,dropoutFn,valAccuracy,learningrate
0,2,3,rect,256,0.0,0.23999997973442078,<function dropout at 0x7fdbbbd36a60>,0.37499999999999994,10.0
1,2,3,rect,256,0.0,0.23999997973442078,<function dropout at 0x7fdbbbd36a60>,0.37499999999999994,1.0
2,2,3,rect,256,0.0,0.3400000035762787,<function dropout at 0x7fdbbbd36a60>,0.28125000000000006,0.1
3,2,3,rect,256,0.0,0.3399999737739563,<function dropout at 0x7fdbbbd36a60>,0.3625,0.01
4,2,3,rect,256,0.5,0.23999997973442078,<function dropout at 0x7fdbbbd36a60>,0.37499999999999994,10.0
5,2,3,rect,256,0.5,0.23999997973442078,<function dropout at 0x7fdbbbd36a60>,0.37499999999999994,1.0
6,2,3,rect,256,0.5,0.3399999737739563,<function dropout at 0x7fdbbbd36a60>,0.3,0.1
7,2,3,rect,256,0.5,0.3799999952316284,<function dropout at 0x7fdbbbd36a60>,0.24375,0.01
8,2,3,rect,512,0.0,0.23999997973442078,<function dropout at 0x7fdbbbd36a60>,0.37499999999999994,10.0
9,2,3,rect,512,0.0,0.23999997973442078,<function dropout at 0x7fdbbbd36a60>,0.37499999999999994,1.0
10,2,3,rect,512,0.0,0.3399999737739563,<function dropout at 0x7fdbbbd36a60>,0.30000000000000004,0.1
11,2,3,rect,512,0.0,0.42000001668930054,<function dropout at 0x7fdbbbd36a60>,0.425,0.01
12,2,3,rect,512,0.5,0.23999997973442078,<function dropout at 0x7fdbbbd36a60>,0.37499999999999994,10.0
13,2,3,rect,512,0.5,0.23999997973442078,<function dropout at 0x7fdbbbd36a60>,0.37499999999999994,1.0
14,2,3,rect,512,0.5,0.3400000035762787,<function dropout at 0x7fdbbbd36a60>,0.2875,0.1
15,2,3,rect,512,0.5,0.2799999713897705,<function dropout at 0x7fdbbbd36a60>,0.24375,0.01
16,2,3,rect,1024,0.0,0.23999997973442078,<function dropout at 0x7fdbbbd36a60>,0.37499999999999994,10.0
17,2,3,rect,1024,0.0,0.23999997973442078,<function dropout at 0x7fdbbbd36a60>,0.37499999999999994,1.0
18,2,3,rect,1024,0.0,0.2799999713897705,<function dropout at 0x7fdbbbd36a60>,0.28750000000000003,0.1
19,2,3,rect,1024,0.0,0.2799999713897705,<function dropout at 0x7fdbbbd36a60>,0.30625,0.01
20,2,3,rect,1024,0.5,0.23999997973442078,<function dropout at 0x7fdbbbd36a60>,0.37499999999999994,10.0
21,2,3,rect,1024,0.5,0.23999997973442078,<function dropout at 0x7fdbbbd36a60>,0.37499999999999994,1.0
22,2,3,rect,1024,0.5,0.3399999737739563,<function dropout at 0x7fdbbbd36a60>,0.25625000000000003,0.1
23,2,3,rect,1024,0.5,0.35999998450279236,<function dropout at 0x7fdbbbd36a60>,0.30625,0.01
24,3,3,rect,256,0.0,0.23999997973442078,<function dropout at 0x7fdbbbd36a60>,0.37499999999999994,10.0
25,3,3,rect,256,0.0,0.23999997973442078,<function dropout at 0x7fdbbbd36a60>,0.37499999999999994,1.0
26,3,3,rect,256,0.0,0.2799999713897705,<function dropout at 0x7fdbbbd36a60>,0.3,0.1
27,3,3,rect,256,0.0,0.3399999737739563,<function dropout at 0x7fdbbbd36a60>,0.36874999999999997,0.01
28,3,3,rect,256,0.5,0.23999997973442078,<function dropout at 0x7fdbbbd36a60>,0.37499999999999994,10.0
29,3,3,rect,256,0.5,0.23999997973442078,<function dropout at 0x7fdbbbd36a60>,0.37499999999999994,1.0
30,3,3,rect,256,0.5,0.3199999928474426,<function dropout at 0x7fdbbbd36a60>,0.28125,0.1
31,3,3,rect,256,0.5,0.3799999952316284,<function dropout at 0x7fdbbbd36a60>,0.5625000000000001,0.01
32,3,3,rect,512,0.0,0.23999997973442078,<function dropout at 0x7fdbbbd36a60>,0.37499999999999994,10.0
33,3,3,rect,512,0.0,0.23999997973442078,<function dropout at 0x7fdbbbd36a60>,0.37499999999999994,1.0
34,3,3,rect,512,0.0,0.30000001192092896,<function dropout at 0x7fdbbbd36a60>,0.31875000000000003,0.1
35,3,3,rect,512,0.0,0.3199999928474426,<function dropout at 0x7fdbbbd36a60>,0.35625,0.01
36,3,3,rect,512,0.5,0.23999997973442078,<function dropout at 0x7fdbbbd36a60>,0.37499999999999994,10.0
37,3,3,rect,512,0.5,0.23999997973442078,<function dropout at 0x7fdbbbd36a60>,0.37499999999999994,1.0
38,3,3,rect,512,0.5,0.3799999952316284,<function dropout at 0x7fdbbbd36a60>,0.35,0.1
39,3,3,rect,512,0.5,0.36000001430511475,<function dropout at 0x7fdbbbd36a60>,0.36250000000000004,0.01
40,3,3,rect,1024,0.0,0.23999997973442078,<function dropout at 0x7fdbbbd36a60>,0.37499999999999994,10.0
41,3,3,rect,1024,0.0,0.23999997973442078,<function dropout at 0x7fdbbbd36a60>,0.37499999999999994,1.0
42,3,3,rect,1024,0.0,0.3799999952316284,<function dropout at 0x7fdbbbd36a60>,0.31875,0.1
43,3,3,rect,1024,0.0,0.2799999713897705,<function dropout at 0x7fdbbbd36a60>,0.36874999999999997,0.01
44,3,3,rect,1024,0.5,0.23999997973442078,<function dropout at 0x7fdbbbd36a60>,0.37499999999999994,10.0
45,3,3,rect,1024,0.5,0.23999997973442078,<function dropout at 0x7fdbbbd36a60>,0.37499999999999994,1.0
46,3,3,rect,1024,0.5,0.25999999046325684,<function dropout at 0x7fdbbbd36a60>,0.275,0.1
47,3,3,rect,1024,0.5,0.25999999046325684,<function dropout at 0x7fdbbbd36a60>,0.24375,0.01
48,4,3,rect,256,0.0,0.23999997973442078,<function dropout at 0x7fdbbbd36a60>,0.37499999999999994,10.0
49,4,3,rect,256,0.0,0.23999997973442078,<function dropout at 0x7fdbbbd36a60>,0.37499999999999994,1.0
50,4,3,rect,256,0.0,0.30000001192092896,<function dropout at 0x7fdbbbd36a60>,0.3375,0.1
51,4,3,rect,256,0.0,0.3999999761581421,<function dropout at 0x7fdbbbd36a60>,0.42499999999999993,0.01
52,4,3,rect,256,0.5,0.23999997973442078,<function dropout at 0x7fdbbbd36a60>,0.37499999999999994,10.0
53,4,3,rect,256,0.5,0.23999997973442078,<function dropout at 0x7fdbbbd36a60>,0.37499999999999994,1.0
54,4,3,rect,256,0.5,0.30000001192092896,<function dropout at 0x7fdbbbd36a60>,0.3,0.1
55,4,3,rect,256,0.5,0.30000001192092896,<function dropout at 0x7fdbbbd36a60>,0.29375,0.01
56,4,3,rect,512,0.0,0.23999997973442078,<function dropout at 0x7fdbbbd36a60>,0.37499999999999994,10.0
57,4,3,rect,512,0.0,0.23999997973442078,<function dropout at 0x7fdbbbd36a60>,0.37499999999999994,1.0
58,4,3,rect,512,0.0,0.3199999928474426,<function dropout at 0x7fdbbbd36a60>,0.25625,0.1
59,4,3,rect,512,0.0,0.35999998450279236,<function dropout at 0x7fdbbbd36a60>,0.29375,0.01
60,4,3,rect,512,0.5,0.23999997973442078,<function dropout at 0x7fdbbbd36a60>,0.37499999999999994,10.0
61,4,3,rect,512,0.5,0.23999997973442078,<function dropout at 0x7fdbbbd36a60>,0.37499999999999994,1.0
62,4,3,rect,512,0.5,0.29999998211860657,<function dropout at 0x7fdbbbd36a60>,0.23750000000000004,0.1
63,4,3,rect,512,0.5,0.3799999952316284,<function dropout at 0x7fdbbbd36a60>,0.17500000000000004,0.01
64,4,3,rect,1024,0.0,0.23999997973442078,<function dropout at 0x7fdbbbd36a60>,0.37499999999999994,10.0
65,4,3,rect,1024,0.0,0.23999997973442078,<function dropout at 0x7fdbbbd36a60>,0.37499999999999994,1.0
66,4,3,rect,1024,0.0,0.3399999737739563,<function dropout at 0x7fdbbbd36a60>,0.25,0.1
67,4,3,rect,1024,0.0,0.25999999046325684,<function dropout at 0x7fdbbbd36a60>,0.275,0.01
68,4,3,rect,1024,0.5,0.23999997973442078,<function dropout at 0x7fdbbbd36a60>,0.37499999999999994,10.0
69,4,3,rect,1024,0.5,0.23999997973442078,<function dropout at 0x7fdbbbd36a60>,0.37499999999999994,1.0
70,4,3,rect,1024,0.5,0.23999997973442078,<function dropout at 0x7fdbbbd36a60>,0.37499999999999994,0.1
71,4,3,rect,1024,0.5,0.23999999463558197,<function dropout at 0x7fdbbbd36a60>,0.19375000000000003,0.01
72,8,3,rect,256,0.0,0.23999997973442078,<function dropout at 0x7fdbbbd36a60>,0.37499999999999994,10.0
73,8,3,rect,256,0.0,0.23999997973442078,<function dropout at 0x7fdbbbd36a60>,0.37499999999999994,1.0
74,8,3,rect,256,0.0,0.3199999928474426,<function dropout at 0x7fdbbbd36a60>,0.2625,0.1
75,8,3,rect,256,0.0,0.3199999928474426,<function dropout at 0x7fdbbbd36a60>,0.26875,0.01
76,8,3,rect,256,0.5,0.23999997973442078,<function dropout at 0x7fdbbbd36a60>,0.37499999999999994,10.0
77,8,3,rect,256,0.5,0.23999997973442078,<function dropout at 0x7fdbbbd36a60>,0.37499999999999994,1.0
78,8,3,rect,256,0.5,0.23999997973442078,<function dropout at 0x7fdbbbd36a60>,0.37499999999999994,0.1
79,8,3,rect,256,0.5,0.3199999928474426,<function dropout at 0x7fdbbbd36a60>,0.35,0.01
80,8,3,rect,512,0.0,0.23999997973442078,<function dropout at 0x7fdbbbd36a60>,0.37499999999999994,10.0
81,8,3,rect,512,0.0,0.23999997973442078,<function dropout at 0x7fdbbbd36a60>,0.37499999999999994,1.0
82,8,3,rect,512,0.0,0.36000001430511475,<function dropout at 0x7fdbbbd36a60>,0.275,0.1
83,8,3,rect,512,0.0,0.3399999737739563,<function dropout at 0x7fdbbbd36a60>,0.28125,0.01
84,8,3,rect,512,0.5,0.23999997973442078,<function dropout at 0x7fdbbbd36a60>,0.37499999999999994,10.0
85,8,3,rect,512,0.5,0.23999997973442078,<function dropout at 0x7fdbbbd36a60>,0.37499999999999994,1.0
86,8,3,rect,512,0.5,0.23999997973442078,<function dropout at 0x7fdbbbd36a60>,0.37499999999999994,0.1
87,8,3,rect,512,0.5,0.2799999713897705,<function dropout at 0x7fdbbbd36a60>,0.36874999999999997,0.01
88,8,3,rect,1024,0.0,0.23999997973442078,<function dropout at 0x7fdbbbd36a60>,0.37499999999999994,10.0
89,8,3,rect,1024,0.0,0.23999997973442078,<function dropout at 0x7fdbbbd36a60>,0.37499999999999994,1.0
90,8,3,rect,1024,0.0,0.23999997973442078,<function dropout at 0x7fdbbbd36a60>,0.37499999999999994,0.1
91,8,3,rect,1024,0.0,0.2800000011920929,<function dropout at 0x7fdbbbd36a60>,0.2875,0.01
92,8,3,rect,1024,0.5,0.23999997973442078,<function dropout at 0x7fdbbbd36a60>,0.37499999999999994,10.0
93,8,3,rect,1024,0.5,0.23999997973442078,<function dropout at 0x7fdbbbd36a60>,0.37499999999999994,1.0
94,8,3,rect,1024,0.5,0.23999997973442078,<function dropout at 0x7fdbbbd36a60>,0.37499999999999994,0.1
95,8,3,rect,1024,0.5,0.3199999928474426,<function dropout at 0x7fdbbbd36a60>,0.33125000000000004,0.01
96,16,3,rect,256,0.0,0.23999997973442078,<function dropout at 0x7fdbbbd36a60>,0.37499999999999994,10.0
97,16,3,rect,256,0.0,0.23999997973442078,<function dropout at 0x7fdbbbd36a60>,0.37499999999999994,1.0
98,16,3,rect,256,0.0,0.23999997973442078,<function dropout at 0x7fdbbbd36a60>,0.37499999999999994,0.1
99,16,3,rect,256,0.0,0.25999999046325684,<function dropout at 0x7fdbbbd36a60>,0.39375000000000004,0.01
100,16,3,rect,256,0.5,0.23999997973442078,<function dropout at 0x7fdbbbd36a60>,0.37499999999999994,10.0
101,16,3,rect,256,0.5,0.23999997973442078,<function dropout at 0x7fdbbbd36a60>,0.37499999999999994,1.0
102,16,3,rect,256,0.5,0.23999997973442078,<function dropout at 0x7fdbbbd36a60>,0.37499999999999994,0.1
103,16,3,rect,256,0.5,0.3199999928474426,<function dropout at 0x7fdbbbd36a60>,0.26875000000000004,0.01
104,16,3,rect,512,0.0,0.23999997973442078,<function dropout at 0x7fdbbbd36a60>,0.37499999999999994,10.0
105,16,3,rect,512,0.0,0.23999997973442078,<function dropout at 0x7fdbbbd36a60>,0.37499999999999994,1.0
106,16,3,rect,512,0.0,0.23999997973442078,<function dropout at 0x7fdbbbd36a60>,0.37499999999999994,0.1
107,16,3,rect,512,0.0,0.23999999463558197,<function dropout at 0x7fdbbbd36a60>,0.30000000000000004,0.01
108,16,3,rect,512,0.5,0.23999997973442078,<function dropout at 0x7fdbbbd36a60>,0.37499999999999994,10.0
109,16,3,rect,512,0.5,0.23999997973442078,<function dropout at 0x7fdbbbd36a60>,0.37499999999999994,1.0
110,16,3,rect,512,0.5,0.23999997973442078,<function dropout at 0x7fdbbbd36a60>,0.37499999999999994,0.1
111,16,3,rect,512,0.5,0.23999997973442078,<function dropout at 0x7fdbbbd36a60>,0.37499999999999994,0.01
112,16,3,rect,1024,0.0,0.23999997973442078,<function dropout at 0x7fdbbbd36a60>,0.37499999999999994,10.0
113,16,3,rect,1024,0.0,0.23999997973442078,<function dropout at 0x7fdbbbd36a60>,0.37499999999999994,1.0
114,16,3,rect,1024,0.0,0.23999997973442078,<function dropout at 0x7fdbbbd36a60>,0.37499999999999994,0.1
115,16,3,rect,1024,0.0,0.24000000953674316,<function dropout at 0x7fdbbbd36a60>,0.30000000000000004,0.01
116,16,3,rect,1024,0.5,0.23999997973442078,<function dropout at 0x7fdbbbd36a60>,0.37499999999999994,10.0
117,16,3,rect,1024,0.5,0.23999997973442078,<function dropout at 0x7fdbbbd36a60>,0.37499999999999994,1.0
118,16,3,rect,1024,0.5,0.23999997973442078,<function dropout at 0x7fdbbbd36a60>,0.37499999999999994,0.1
119,16,3,rect,1024,0.5,0.23999997973442078,<function dropout at 0x7fdbbbd36a60>,0.37499999999999994,0.01
120,32,3,rect,256,0.0,0.23999997973442078,<function dropout at 0x7fdbbbd36a60>,0.37499999999999994,10.0
121,32,3,rect,256,0.0,0.23999997973442078,<function dropout at 0x7fdbbbd36a60>,0.37499999999999994,1.0
122,32,3,rect,256,0.0,0.23999997973442078,<function dropout at 0x7fdbbbd36a60>,0.37499999999999994,0.1
123,32,3,rect,256,0.0,0.37999996542930603,<function dropout at 0x7fdbbbd36a60>,0.31875,0.01
124,32,3,rect,256,0.5,0.23999997973442078,<function dropout at 0x7fdbbbd36a60>,0.37499999999999994,10.0
125,32,3,rect,256,0.5,0.23999997973442078,<function dropout at 0x7fdbbbd36a60>,0.37499999999999994,1.0
126,32,3,rect,256,0.5,0.23999997973442078,<function dropout at 0x7fdbbbd36a60>,0.37499999999999994,0.1
127,32,3,rect,256,0.5,0.23999997973442078,<function dropout at 0x7fdbbbd36a60>,0.37499999999999994,0.01
128,32,3,rect,512,0.0,0.23999997973442078,<function dropout at 0x7fdbbbd36a60>,0.37499999999999994,10.0
129,32,3,rect,512,0.0,0.23999997973442078,<function dropout at 0x7fdbbbd36a60>,0.37499999999999994,1.0
130,32,3,rect,512,0.0,0.23999997973442078,<function dropout at 0x7fdbbbd36a60>,0.37499999999999994,0.1
131,32,3,rect,512,0.0,0.29999998211860657,<function dropout at 0x7fdbbbd36a60>,0.43750000000000006,0.01
132,32,3,rect,512,0.5,0.23999997973442078,<function dropout at 0x7fdbbbd36a60>,0.37499999999999994,10.0
133,32,3,rect,512,0.5,0.23999997973442078,<function dropout at 0x7fdbbbd36a60>,0.37499999999999994,1.0
134,32,3,rect,512,0.5,0.23999997973442078,<function dropout at 0x7fdbbbd36a60>,0.37499999999999994,0.1
135,32,3,rect,512,0.5,0.23999997973442078,<function dropout at 0x7fdbbbd36a60>,0.37499999999999994,0.01
136,32,3,rect,1024,0.0,0.23999997973442078,<function dropout at 0x7fdbbbd36a60>,0.37499999999999994,10.0
137,32,3,rect,1024,0.0,0.23999997973442078,<function dropout at 0x7fdbbbd36a60>,0.37499999999999994,1.0
138,32,3,rect,1024,0.0,0.23999997973442078,<function dropout at 0x7fdbbbd36a60>,0.37499999999999994,0.1
139,32,3,rect,1024,0.0,0.23999999463558197,<function dropout at 0x7fdbbbd36a60>,0.31250000000000006,0.01
140,32,3,rect,1024,0.5,0.23999997973442078,<function dropout at 0x7fdbbbd36a60>,0.37499999999999994,10.0
141,32,3,rect,1024,0.5,0.23999997973442078,<function dropout at 0x7fdbbbd36a60>,0.37499999999999994,1.0
142,32,3,rect,1024,0.5,0.23999997973442078,<function dropout at 0x7fdbbbd36a60>,0.37499999999999994,0.1
143,32,3,rect,1024,0.5,0.23999997973442078,<function dropout at 0x7fdbbbd36a60>,0.37499999999999994,0.01
