,activationFn,nstart,valAccuracy,dR,dropoutFn,nlayers,layerForm,testAccuracy,learningrate
0,3,256,0.1266666777431965,0.0,<function dropout at 0x7f515fd1da60>,2,rect,0.0,10.0
1,3,256,0.1466666758060455,0.0,<function dropout at 0x7f515fd1da60>,2,rect,0.0,1.0
2,3,256,0.8666667342185974,0.0,<function dropout at 0x7f515fd1da60>,2,rect,0.7837837934494019,0.1
3,3,256,0.8666667342185974,0.0,<function dropout at 0x7f515fd1da60>,2,rect,0.8378378748893738,0.01
4,3,256,0.06666667014360429,0.0,<function dropout at 0x7f515fd1da60>,3,rect,0.0,10.0
5,3,256,0.10666667297482493,0.0,<function dropout at 0x7f515fd1da60>,3,rect,0.0,1.0
6,3,256,0.8666667342185974,0.0,<function dropout at 0x7f515fd1da60>,3,rect,0.7567567825317383,0.1
7,3,256,0.8666667342185974,0.0,<function dropout at 0x7f515fd1da60>,3,rect,0.8378378748893738,0.01
8,3,256,0.06666667014360429,0.0,<function dropout at 0x7f515fd1da60>,4,rect,0.0,10.0
9,3,256,0.06666667014360429,0.0,<function dropout at 0x7f515fd1da60>,4,rect,0.0,1.0
10,3,256,0.8666667342185974,0.0,<function dropout at 0x7f515fd1da60>,4,rect,0.7027027010917664,0.1
11,3,256,0.8666667342185974,0.0,<function dropout at 0x7f515fd1da60>,4,rect,0.7837838530540466,0.01
12,3,256,0.06666667014360429,0.0,<function dropout at 0x7f515fd1da60>,8,rect,0.0,10.0
13,3,256,0.06666667014360429,0.0,<function dropout at 0x7f515fd1da60>,8,rect,0.0,1.0
14,3,256,0.8666667342185974,0.0,<function dropout at 0x7f515fd1da60>,8,rect,0.7567567825317383,0.1
15,3,256,0.7333333492279052,0.0,<function dropout at 0x7f515fd1da60>,8,rect,0.7567567825317383,0.01
16,3,256,0.06666667014360429,0.0,<function dropout at 0x7f515fd1da60>,16,rect,0.0,10.0
17,3,256,0.06666667014360429,0.0,<function dropout at 0x7f515fd1da60>,16,rect,0.0,1.0
