,nstart,nlayers,valAccuracy,dropoutFn,testAccuracy,activationFn,dR,layerForm,learningrate
0,256,2,0.6812749087810516,<function dropout at 0x7fb51a8c6a60>,0.6781818270683289,3,0.0,rect,10.0
1,256,2,0.6812749266624449,<function dropout at 0x7fb51a8c6a60>,0.6781818270683289,3,0.0,rect,1.0
2,256,2,0.7880478143692018,<function dropout at 0x7fb51a8c6a60>,0.7800000309944153,3,0.0,rect,0.1
3,256,2,0.7888446688652039,<function dropout at 0x7fb51a8c6a60>,0.7709090709686279,3,0.0,rect,0.01
4,256,2,0.6812749266624452,<function dropout at 0x7fb51a8c6a60>,0.6781818270683289,3,0.5,rect,10.0
5,256,2,0.681274938583374,<function dropout at 0x7fb51a8c6a60>,0.6781818270683289,3,0.5,rect,1.0
6,256,2,0.7868526339530946,<function dropout at 0x7fb51a8c6a60>,0.7709091305732727,3,0.5,rect,0.1
7,256,2,0.7896414458751677,<function dropout at 0x7fb51a8c6a60>,0.778181791305542,3,0.5,rect,0.01
8,256,3,0.681274938583374,<function dropout at 0x7fb51a8c6a60>,0.6781818270683289,3,0.0,rect,10.0
9,256,3,0.6812749207019806,<function dropout at 0x7fb51a8c6a60>,0.6781818270683289,3,0.0,rect,1.0
10,256,3,0.7848605751991272,<function dropout at 0x7fb51a8c6a60>,0.7799999713897705,3,0.0,rect,0.1
11,256,3,0.7856573820114138,<function dropout at 0x7fb51a8c6a60>,0.7909091711044312,3,0.0,rect,0.01
12,256,3,0.6812749326229095,<function dropout at 0x7fb51a8c6a60>,0.6781818270683289,3,0.5,rect,10.0
13,256,3,0.681274938583374,<function dropout at 0x7fb51a8c6a60>,0.6781818270683289,3,0.5,rect,1.0
14,256,3,0.7896414577960968,<function dropout at 0x7fb51a8c6a60>,0.778181791305542,3,0.5,rect,0.1
15,256,3,0.7924302756786348,<function dropout at 0x7fb51a8c6a60>,0.7890908718109131,3,0.5,rect,0.01
16,256,4,0.6812749326229095,<function dropout at 0x7fb51a8c6a60>,0.6781818270683289,3,0.0,rect,10.0
17,256,4,0.6812749385833741,<function dropout at 0x7fb51a8c6a60>,0.6781818270683289,3,0.0,rect,1.0
18,256,4,0.7836653530597687,<function dropout at 0x7fb51a8c6a60>,0.7763636112213135,3,0.0,rect,0.1
