,nstart,valAccuracy,dropoutFn,dR,testAccuracy,nlayers,learningrate,layerForm,activationFn
0,256,0.5627906918525697,<function dropout at 0x7f27343c0a60>,0.0,0.6477272510528564,2,10.0,cone,3
1,256,0.6046511530876161,<function dropout at 0x7f27343c0a60>,0.0,0.6477272510528564,2,1.0,cone,3
2,256,0.8976744294166565,<function dropout at 0x7f27343c0a60>,0.0,0.9090908765792847,2,0.1,cone,3
3,256,0.9302325248718261,<function dropout at 0x7f27343c0a60>,0.0,0.8977272510528564,2,0.01,cone,3
4,256,0.395348846912384,<function dropout at 0x7f27343c0a60>,0.0,0.35227274894714355,3,10.0,cone,3
5,256,0.395348846912384,<function dropout at 0x7f27343c0a60>,0.0,0.35227274894714355,3,1.0,cone,3
6,256,0.9720930099487307,<function dropout at 0x7f27343c0a60>,0.0,0.9318181872367859,3,0.1,cone,3
7,256,0.9279069483280181,<function dropout at 0x7f27343c0a60>,0.0,0.8636363744735718,3,0.01,cone,3
8,256,0.395348846912384,<function dropout at 0x7f27343c0a60>,0.0,0.35227274894714355,4,10.0,cone,3
9,256,0.5627906918525697,<function dropout at 0x7f27343c0a60>,0.0,0.6477272510528564,4,1.0,cone,3
10,256,0.9767441749572756,<function dropout at 0x7f27343c0a60>,0.0,0.9204545021057129,4,0.1,cone,3
11,256,0.9069767594337463,<function dropout at 0x7f27343c0a60>,0.0,0.8409091234207153,4,0.01,cone,3
12,256,0.395348846912384,<function dropout at 0x7f27343c0a60>,0.0,0.35227274894714355,8,10.0,cone,3
13,256,0.6046511530876161,<function dropout at 0x7f27343c0a60>,0.0,0.6477272510528564,8,1.0,cone,3
14,256,0.9069767475128175,<function dropout at 0x7f27343c0a60>,0.0,0.9204545021057129,8,0.1,cone,3
15,256,0.9302325248718261,<function dropout at 0x7f27343c0a60>,0.0,0.9204545021057129,8,0.01,cone,3
16,256,0.395348846912384,<function dropout at 0x7f27343c0a60>,0.0,0.35227274894714355,16,10.0,cone,3
17,256,0.6046511530876161,<function dropout at 0x7f27343c0a60>,0.0,0.6477272510528564,16,1.0,cone,3
18,256,0.9651162683963778,<function dropout at 0x7f27343c0a60>,0.0,0.9204545021057129,16,0.1,cone,3
19,256,0.8604651093482972,<function dropout at 0x7f27343c0a60>,0.0,0.8522727489471436,16,0.01,cone,3
20,256,0.395348846912384,<function dropout at 0x7f27343c0a60>,0.0,0.35227274894714355,32,10.0,cone,3
21,256,0.6046511530876161,<function dropout at 0x7f27343c0a60>,0.0,0.6477272510528564,32,1.0,cone,3
22,256,0.8976743936538695,<function dropout at 0x7f27343c0a60>,0.0,0.8636363744735718,32,0.1,cone,3
23,256,0.8837209284305574,<function dropout at 0x7f27343c0a60>,0.0,0.7727273106575012,32,0.01,cone,3
24,256,0.395348846912384,<function dropout at 0x7f27343c0a60>,0.5,0.35227274894714355,2,10.0,cone,3
25,256,0.4325581490993499,<function dropout at 0x7f27343c0a60>,0.5,0.35227274894714355,2,1.0,cone,3
26,256,0.9325581073760987,<function dropout at 0x7f27343c0a60>,0.5,0.8977272510528564,2,0.1,cone,3
27,256,0.8837209343910216,<function dropout at 0x7f27343c0a60>,0.5,0.8977272510528564,2,0.01,cone,3
28,256,0.395348846912384,<function dropout at 0x7f27343c0a60>,0.5,0.35227274894714355,3,10.0,cone,3
29,256,0.395348846912384,<function dropout at 0x7f27343c0a60>,0.5,0.35227274894714355,3,1.0,cone,3
30,256,0.939534866809845,<function dropout at 0x7f27343c0a60>,0.5,0.8977272510528564,3,0.1,cone,3
31,256,0.9302325248718261,<function dropout at 0x7f27343c0a60>,0.5,0.8977272510528564,3,0.01,cone,3
32,256,0.395348846912384,<function dropout at 0x7f27343c0a60>,0.5,0.35227274894714355,4,10.0,cone,3
33,256,0.41627907752990717,<function dropout at 0x7f27343c0a60>,0.5,0.35227274894714355,4,1.0,cone,3
34,256,0.9232557773590088,<function dropout at 0x7f27343c0a60>,0.5,0.9090908765792847,4,0.1,cone,3
35,256,0.9069767594337463,<function dropout at 0x7f27343c0a60>,0.5,0.8181818723678589,4,0.01,cone,3
36,256,0.395348846912384,<function dropout at 0x7f27343c0a60>,0.5,0.35227274894714355,8,10.0,cone,3
