,learningrate,nlayers,activationFn,nstart,layerForm,dR,valAccuracy,testAccuracy,dropoutFn
0,10.0,2,3,256,rect,0.0,0.217391312122345,0.4399999976158142,<function dropout at 0x7f1debf71a60>
1,10.0,2,3,256,rect,0.5,0.217391312122345,0.4399999976158142,<function dropout at 0x7f1debf71a60>
2,10.0,2,3,512,rect,0.0,0.217391312122345,0.4399999976158142,<function dropout at 0x7f1debf71a60>
3,10.0,2,3,512,rect,0.5,0.2347826182842255,0.4399999976158142,<function dropout at 0x7f1debf71a60>
4,10.0,2,3,1024,rect,0.0,0.217391312122345,0.4399999976158142,<function dropout at 0x7f1debf71a60>
5,10.0,2,3,1024,rect,0.5,0.217391312122345,0.4399999976158142,<function dropout at 0x7f1debf71a60>
6,10.0,3,3,256,rect,0.0,0.217391312122345,0.4399999976158142,<function dropout at 0x7f1debf71a60>
7,10.0,3,3,256,rect,0.5,0.217391312122345,0.4399999976158142,<function dropout at 0x7f1debf71a60>
8,10.0,3,3,512,rect,0.0,0.217391312122345,0.4399999976158142,<function dropout at 0x7f1debf71a60>
9,10.0,3,3,512,rect,0.5,0.217391312122345,0.4399999976158142,<function dropout at 0x7f1debf71a60>
10,10.0,3,3,1024,rect,0.0,0.217391312122345,0.4399999976158142,<function dropout at 0x7f1debf71a60>
11,10.0,3,3,1024,rect,0.5,0.217391312122345,0.4399999976158142,<function dropout at 0x7f1debf71a60>
12,10.0,4,3,256,rect,0.0,0.217391312122345,0.4399999976158142,<function dropout at 0x7f1debf71a60>
13,10.0,4,3,256,rect,0.5,0.217391312122345,0.4399999976158142,<function dropout at 0x7f1debf71a60>
14,10.0,4,3,512,rect,0.0,0.217391312122345,0.4399999976158142,<function dropout at 0x7f1debf71a60>
15,10.0,4,3,512,rect,0.5,0.217391312122345,0.4399999976158142,<function dropout at 0x7f1debf71a60>
16,10.0,4,3,1024,rect,0.0,0.217391312122345,0.4399999976158142,<function dropout at 0x7f1debf71a60>
17,10.0,4,3,1024,rect,0.5,0.217391312122345,0.4399999976158142,<function dropout at 0x7f1debf71a60>
18,10.0,8,3,256,rect,0.0,0.217391312122345,0.4399999976158142,<function dropout at 0x7f1debf71a60>
19,10.0,8,3,256,rect,0.5,0.217391312122345,0.4399999976158142,<function dropout at 0x7f1debf71a60>
20,10.0,8,3,512,rect,0.0,0.217391312122345,0.4399999976158142,<function dropout at 0x7f1debf71a60>
21,10.0,8,3,512,rect,0.5,0.217391312122345,0.4399999976158142,<function dropout at 0x7f1debf71a60>
22,10.0,8,3,1024,rect,0.0,0.217391312122345,0.4399999976158142,<function dropout at 0x7f1debf71a60>
23,10.0,8,3,1024,rect,0.5,0.217391312122345,0.4399999976158142,<function dropout at 0x7f1debf71a60>
24,10.0,16,3,256,rect,0.0,0.217391312122345,0.4399999976158142,<function dropout at 0x7f1debf71a60>
25,10.0,16,3,256,rect,0.5,0.217391312122345,0.4399999976158142,<function dropout at 0x7f1debf71a60>
26,10.0,16,3,512,rect,0.0,0.217391312122345,0.4399999976158142,<function dropout at 0x7f1debf71a60>
27,10.0,16,3,512,rect,0.5,0.217391312122345,0.4399999976158142,<function dropout at 0x7f1debf71a60>
28,10.0,16,3,1024,rect,0.0,0.217391312122345,0.4399999976158142,<function dropout at 0x7f1debf71a60>
29,10.0,16,3,1024,rect,0.5,0.217391312122345,0.4399999976158142,<function dropout at 0x7f1debf71a60>
30,10.0,32,3,256,rect,0.0,0.217391312122345,0.4399999976158142,<function dropout at 0x7f1debf71a60>
31,10.0,32,3,256,rect,0.5,0.217391312122345,0.4399999976158142,<function dropout at 0x7f1debf71a60>
32,10.0,32,3,512,rect,0.0,0.217391312122345,0.4399999976158142,<function dropout at 0x7f1debf71a60>
33,10.0,32,3,512,rect,0.5,0.217391312122345,0.4399999976158142,<function dropout at 0x7f1debf71a60>
34,10.0,32,3,1024,rect,0.0,0.217391312122345,0.4399999976158142,<function dropout at 0x7f1debf71a60>
35,10.0,32,3,1024,rect,0.5,0.217391312122345,0.4399999976158142,<function dropout at 0x7f1debf71a60>
36,1.0,2,3,256,rect,0.0,0.2347826182842255,0.4399999976158142,<function dropout at 0x7f1debf71a60>
37,1.0,2,3,256,rect,0.5,0.217391312122345,0.4399999976158142,<function dropout at 0x7f1debf71a60>
38,1.0,2,3,512,rect,0.0,0.217391312122345,0.4399999976158142,<function dropout at 0x7f1debf71a60>
39,1.0,2,3,512,rect,0.5,0.23043479025363925,0.4399999976158142,<function dropout at 0x7f1debf71a60>
40,1.0,2,3,1024,rect,0.0,0.23043478727340702,0.4399999976158142,<function dropout at 0x7f1debf71a60>
41,1.0,2,3,1024,rect,0.5,0.217391312122345,0.4399999976158142,<function dropout at 0x7f1debf71a60>
42,1.0,3,3,256,rect,0.0,0.217391312122345,0.4399999976158142,<function dropout at 0x7f1debf71a60>
43,1.0,3,3,256,rect,0.5,0.2347826182842255,0.4399999976158142,<function dropout at 0x7f1debf71a60>
44,1.0,3,3,512,rect,0.0,0.217391312122345,0.4399999976158142,<function dropout at 0x7f1debf71a60>
45,1.0,3,3,512,rect,0.5,0.217391312122345,0.4399999976158142,<function dropout at 0x7f1debf71a60>
46,1.0,3,3,1024,rect,0.0,0.217391312122345,0.4399999976158142,<function dropout at 0x7f1debf71a60>
47,1.0,3,3,1024,rect,0.5,0.217391312122345,0.4399999976158142,<function dropout at 0x7f1debf71a60>
48,1.0,4,3,256,rect,0.0,0.2347826182842255,0.4399999976158142,<function dropout at 0x7f1debf71a60>
49,1.0,4,3,256,rect,0.5,0.217391312122345,0.4399999976158142,<function dropout at 0x7f1debf71a60>
50,1.0,4,3,512,rect,0.0,0.217391312122345,0.4399999976158142,<function dropout at 0x7f1debf71a60>
51,1.0,4,3,512,rect,0.5,0.217391312122345,0.4399999976158142,<function dropout at 0x7f1debf71a60>
52,1.0,4,3,1024,rect,0.0,0.217391312122345,0.4399999976158142,<function dropout at 0x7f1debf71a60>
53,1.0,4,3,1024,rect,0.5,0.217391312122345,0.4399999976158142,<function dropout at 0x7f1debf71a60>
54,1.0,8,3,256,rect,0.0,0.217391312122345,0.4399999976158142,<function dropout at 0x7f1debf71a60>
55,1.0,8,3,256,rect,0.5,0.217391312122345,0.4399999976158142,<function dropout at 0x7f1debf71a60>
56,1.0,8,3,512,rect,0.0,0.217391312122345,0.4399999976158142,<function dropout at 0x7f1debf71a60>
57,1.0,8,3,512,rect,0.5,0.217391312122345,0.4399999976158142,<function dropout at 0x7f1debf71a60>
58,1.0,8,3,1024,rect,0.0,0.217391312122345,0.4399999976158142,<function dropout at 0x7f1debf71a60>
59,1.0,8,3,1024,rect,0.5,0.217391312122345,0.4399999976158142,<function dropout at 0x7f1debf71a60>
60,1.0,16,3,256,rect,0.0,0.217391312122345,0.4399999976158142,<function dropout at 0x7f1debf71a60>
61,1.0,16,3,256,rect,0.5,0.217391312122345,0.4399999976158142,<function dropout at 0x7f1debf71a60>
62,1.0,16,3,512,rect,0.0,0.217391312122345,0.4399999976158142,<function dropout at 0x7f1debf71a60>
63,1.0,16,3,512,rect,0.5,0.217391312122345,0.4399999976158142,<function dropout at 0x7f1debf71a60>
64,1.0,16,3,1024,rect,0.0,0.217391312122345,0.4399999976158142,<function dropout at 0x7f1debf71a60>
65,1.0,16,3,1024,rect,0.5,0.217391312122345,0.4399999976158142,<function dropout at 0x7f1debf71a60>
66,1.0,32,3,256,rect,0.0,0.217391312122345,0.4399999976158142,<function dropout at 0x7f1debf71a60>
67,1.0,32,3,256,rect,0.5,0.217391312122345,0.4399999976158142,<function dropout at 0x7f1debf71a60>
68,1.0,32,3,512,rect,0.0,0.217391312122345,0.4399999976158142,<function dropout at 0x7f1debf71a60>
69,1.0,32,3,512,rect,0.5,0.217391312122345,0.4399999976158142,<function dropout at 0x7f1debf71a60>
70,1.0,32,3,1024,rect,0.0,0.217391312122345,0.4399999976158142,<function dropout at 0x7f1debf71a60>
71,1.0,32,3,1024,rect,0.5,0.217391312122345,0.4399999976158142,<function dropout at 0x7f1debf71a60>
72,0.1,2,3,256,rect,0.0,0.8173913478851318,0.8399999737739563,<function dropout at 0x7f1debf71a60>
73,0.1,2,3,256,rect,0.5,0.7608695924282073,0.7199999690055847,<function dropout at 0x7f1debf71a60>
74,0.1,2,3,512,rect,0.0,0.6869565367698669,0.7999999523162842,<function dropout at 0x7f1debf71a60>
75,0.1,2,3,512,rect,0.5,0.84782612323761,0.7200000286102295,<function dropout at 0x7f1debf71a60>
76,0.1,2,3,1024,rect,0.0,0.7739130854606627,0.7999999523162842,<function dropout at 0x7f1debf71a60>
77,0.1,2,3,1024,rect,0.5,0.8173913478851319,0.7199999690055847,<function dropout at 0x7f1debf71a60>
78,0.1,3,3,256,rect,0.0,0.7739130854606627,0.7199999690055847,<function dropout at 0x7f1debf71a60>
79,0.1,3,3,256,rect,0.5,0.7434782803058624,0.7200000286102295,<function dropout at 0x7f1debf71a60>
80,0.1,3,3,512,rect,0.0,0.8173913478851319,0.7999999523162842,<function dropout at 0x7f1debf71a60>
81,0.1,3,3,512,rect,0.5,0.7739130854606627,0.7200000286102295,<function dropout at 0x7f1debf71a60>
82,0.1,3,3,1024,rect,0.0,0.8260869979858398,0.7599999904632568,<function dropout at 0x7f1debf71a60>
83,0.1,3,3,1024,rect,0.5,0.7173913538455963,0.6799999475479126,<function dropout at 0x7f1debf71a60>
84,0.1,4,3,256,rect,0.0,0.7521739542484283,0.7199999690055847,<function dropout at 0x7f1debf71a60>
85,0.1,4,3,256,rect,0.5,0.7130434989929199,0.7599999904632568,<function dropout at 0x7f1debf71a60>
86,0.1,4,3,512,rect,0.0,0.7826087474822997,0.7999999523162842,<function dropout at 0x7f1debf71a60>
87,0.1,4,3,512,rect,0.5,0.6434782564640045,0.6399999856948853,<function dropout at 0x7f1debf71a60>
88,0.1,4,3,1024,rect,0.0,0.7391304373741149,0.7599999904632568,<function dropout at 0x7f1debf71a60>
89,0.1,4,3,1024,rect,0.5,0.4913043469190598,0.6799999475479126,<function dropout at 0x7f1debf71a60>
90,0.1,8,3,256,rect,0.0,0.7826087474822997,0.7999999523162842,<function dropout at 0x7f1debf71a60>
91,0.1,8,3,256,rect,0.5,0.22608696222305302,0.4399999976158142,<function dropout at 0x7f1debf71a60>
92,0.1,8,3,512,rect,0.0,0.7565217614173888,0.7599999904632568,<function dropout at 0x7f1debf71a60>
93,0.1,8,3,512,rect,0.5,0.217391312122345,0.4399999976158142,<function dropout at 0x7f1debf71a60>
94,0.1,8,3,1024,rect,0.0,0.26521739363670355,0.4399999976158142,<function dropout at 0x7f1debf71a60>
95,0.1,8,3,1024,rect,0.5,0.217391312122345,0.4399999976158142,<function dropout at 0x7f1debf71a60>
96,0.1,16,3,256,rect,0.0,0.217391312122345,0.4399999976158142,<function dropout at 0x7f1debf71a60>
97,0.1,16,3,256,rect,0.5,0.217391312122345,0.4399999976158142,<function dropout at 0x7f1debf71a60>
98,0.1,16,3,512,rect,0.0,0.217391312122345,0.4399999976158142,<function dropout at 0x7f1debf71a60>
99,0.1,16,3,512,rect,0.5,0.217391312122345,0.4399999976158142,<function dropout at 0x7f1debf71a60>
100,0.1,16,3,1024,rect,0.0,0.217391312122345,0.4399999976158142,<function dropout at 0x7f1debf71a60>
101,0.1,16,3,1024,rect,0.5,0.217391312122345,0.4399999976158142,<function dropout at 0x7f1debf71a60>
102,0.1,32,3,256,rect,0.0,0.217391312122345,0.4399999976158142,<function dropout at 0x7f1debf71a60>
103,0.1,32,3,256,rect,0.5,0.217391312122345,0.4399999976158142,<function dropout at 0x7f1debf71a60>
