,dropoutFn,activationFn,nlayers,nstart,valAccuracy,dR,learningrate,testAccuracy,layerForm
59,<function dropout at 0x7ff938806a60>,3,4,512,0.9285714626312257,0.0,0.01,0.7599999904632568,cone
60,<function dropout at 0x7ff938806a60>,3,4,512,0.0,0.5,10.0,0.0,cone
61,<function dropout at 0x7ff938806a60>,3,4,512,0.0063492067158222205,0.5,1.0,0.05999999865889549,cone
62,<function dropout at 0x7ff938806a60>,3,4,512,0.8761905312538147,0.5,0.1,0.6200000047683716,cone
63,<function dropout at 0x7ff938806a60>,3,4,512,0.8412699103355407,0.5,0.01,0.7599999904632568,cone
64,<function dropout at 0x7ff938806a60>,3,4,1024,0.0,0.0,10.0,0.0,cone
65,<function dropout at 0x7ff938806a60>,3,4,1024,0.07460318803787232,0.0,1.0,0.7599999904632568,cone
66,<function dropout at 0x7ff938806a60>,3,4,1024,0.9134921312332154,0.0,0.1,0.7400000095367432,cone
67,<function dropout at 0x7ff938806a60>,3,4,1024,0.9206349849700927,0.0,0.01,0.7599999904632568,cone
68,<function dropout at 0x7ff938806a60>,3,4,1024,0.0,0.5,10.0,0.0,cone
69,<function dropout at 0x7ff938806a60>,3,4,1024,0.0730158805847168,0.5,1.0,0.7300000190734863,cone
70,<function dropout at 0x7ff938806a60>,3,4,1024,0.8888889491558075,0.5,0.1,0.7599999904632568,cone
71,<function dropout at 0x7ff938806a60>,3,4,1024,0.8523810029029848,0.5,0.01,0.7599999904632568,cone
72,<function dropout at 0x7ff938806a60>,3,8,256,0.0,0.0,10.0,0.0,cone
73,<function dropout at 0x7ff938806a60>,3,8,256,0.07460318803787232,0.0,1.0,0.7599999904632568,cone
74,<function dropout at 0x7ff938806a60>,3,8,256,0.9071429252624512,0.0,0.1,0.75,cone
75,<function dropout at 0x7ff938806a60>,3,8,256,0.8944445192813872,0.0,0.01,0.13999998569488525,cone
76,<function dropout at 0x7ff938806a60>,3,8,256,0.0,0.5,10.0,0.0,cone
77,<function dropout at 0x7ff938806a60>,3,8,256,0.0,0.5,1.0,0.0,cone
78,<function dropout at 0x7ff938806a60>,3,8,256,0.7460318803787233,0.5,0.1,0.7599999904632568,cone
79,<function dropout at 0x7ff938806a60>,3,8,256,0.7460318803787233,0.5,0.01,0.7599999904632568,cone
80,<function dropout at 0x7ff938806a60>,3,8,512,0.0,0.0,10.0,0.0,cone
81,<function dropout at 0x7ff938806a60>,3,8,512,0.0,0.0,1.0,0.0,cone
82,<function dropout at 0x7ff938806a60>,3,8,512,0.931746107339859,0.0,0.1,0.7400000095367432,cone
83,<function dropout at 0x7ff938806a60>,3,8,512,0.9119048297405243,0.0,0.01,0.7599999904632568,cone
84,<function dropout at 0x7ff938806a60>,3,8,512,0.0,0.5,10.0,0.0,cone
85,<function dropout at 0x7ff938806a60>,3,8,512,0.0,0.5,1.0,0.0,cone
86,<function dropout at 0x7ff938806a60>,3,8,512,0.7460318803787233,0.5,0.1,0.7599999904632568,cone
87,<function dropout at 0x7ff938806a60>,3,8,512,0.7841270685195924,0.5,0.01,0.7599999904632568,cone
88,<function dropout at 0x7ff938806a60>,3,8,1024,0.0,0.0,10.0,0.0,cone
89,<function dropout at 0x7ff938806a60>,3,8,1024,0.0,0.0,1.0,0.0,cone
90,<function dropout at 0x7ff938806a60>,3,8,1024,0.923015946149826,0.0,0.1,0.75,cone
91,<function dropout at 0x7ff938806a60>,3,8,1024,0.9246032297611236,0.0,0.01,0.7400000095367432,cone
92,<function dropout at 0x7ff938806a60>,3,8,1024,0.0,0.5,10.0,0.0,cone
93,<function dropout at 0x7ff938806a60>,3,8,1024,0.0,0.5,1.0,0.0,cone
94,<function dropout at 0x7ff938806a60>,3,8,1024,0.7460318803787233,0.5,0.1,0.7599999904632568,cone
95,<function dropout at 0x7ff938806a60>,3,8,1024,0.7460318803787233,0.5,0.01,0.7599999904632568,cone
96,<function dropout at 0x7ff938806a60>,3,16,256,0.0,0.0,10.0,0.0,cone
97,<function dropout at 0x7ff938806a60>,3,16,256,0.0,0.0,1.0,0.0,cone
98,<function dropout at 0x7ff938806a60>,3,16,256,0.9166667461395263,0.0,0.1,0.75,cone
99,<function dropout at 0x7ff938806a60>,3,16,256,0.8896826028823852,0.0,0.01,0.14999999105930328,cone
100,<function dropout at 0x7ff938806a60>,3,16,256,0.0,0.5,10.0,0.0,cone
101,<function dropout at 0x7ff938806a60>,3,16,256,0.0,0.5,1.0,0.0,cone
102,<function dropout at 0x7ff938806a60>,3,16,256,0.7460318803787233,0.5,0.1,0.7599999904632568,cone
103,<function dropout at 0x7ff938806a60>,3,16,256,0.7460318803787233,0.5,0.01,0.7599999904632568,cone
104,<function dropout at 0x7ff938806a60>,3,16,512,0.0,0.0,10.0,0.0,cone
105,<function dropout at 0x7ff938806a60>,3,16,512,0.7460318803787233,0.0,1.0,0.7599999904632568,cone
106,<function dropout at 0x7ff938806a60>,3,16,512,0.8968254685401916,0.0,0.1,0.07000000029802322,cone
107,<function dropout at 0x7ff938806a60>,3,16,512,0.9000000238418578,0.0,0.01,0.7400000095367432,cone
108,<function dropout at 0x7ff938806a60>,3,16,512,0.0,0.5,10.0,0.0,cone
109,<function dropout at 0x7ff938806a60>,3,16,512,0.0,0.5,1.0,0.0,cone
110,<function dropout at 0x7ff938806a60>,3,16,512,0.7460318803787233,0.5,0.1,0.7599999904632568,cone
111,<function dropout at 0x7ff938806a60>,3,16,512,0.7460318803787233,0.5,0.01,0.7599999904632568,cone
112,<function dropout at 0x7ff938806a60>,3,16,1024,0.0,0.0,10.0,0.0,cone
113,<function dropout at 0x7ff938806a60>,3,16,1024,0.0,0.0,1.0,0.0,cone
114,<function dropout at 0x7ff938806a60>,3,16,1024,0.8952381491661071,0.0,0.1,0.4000000059604645,cone
115,<function dropout at 0x7ff938806a60>,3,16,1024,0.9119048357009888,0.0,0.01,0.7599999904632568,cone
116,<function dropout at 0x7ff938806a60>,3,16,1024,0.0,0.5,10.0,0.0,cone
117,<function dropout at 0x7ff938806a60>,3,16,1024,0.0,0.5,1.0,0.0,cone
118,<function dropout at 0x7ff938806a60>,3,16,1024,0.0,0.5,0.1,0.0,cone
119,<function dropout at 0x7ff938806a60>,3,16,1024,0.7460318803787233,0.5,0.01,0.7599999904632568,cone
120,<function dropout at 0x7ff938806a60>,3,32,256,0.0,0.0,10.0,0.0,cone
121,<function dropout at 0x7ff938806a60>,3,32,256,0.7460318803787233,0.0,1.0,0.7599999904632568,cone
122,<function dropout at 0x7ff938806a60>,3,32,256,0.8484127700328827,0.0,0.1,0.4399999976158142,cone
123,<function dropout at 0x7ff938806a60>,3,32,256,0.857936578989029,0.0,0.01,0.07999999821186066,cone
124,<function dropout at 0x7ff938806a60>,3,32,256,0.0,0.5,10.0,0.0,cone
125,<function dropout at 0x7ff938806a60>,3,32,256,0.0,0.5,1.0,0.0,cone
126,<function dropout at 0x7ff938806a60>,3,32,256,0.0,0.5,0.1,0.0,cone
127,<function dropout at 0x7ff938806a60>,3,32,256,0.0,0.5,0.01,0.0,cone
128,<function dropout at 0x7ff938806a60>,3,32,512,0.6761905975639821,0.0,10.0,0.7599999904632568,cone
129,<function dropout at 0x7ff938806a60>,3,32,512,0.0,0.0,1.0,0.0,cone
130,<function dropout at 0x7ff938806a60>,3,32,512,0.833333432674408,0.0,0.1,0.7599999904632568,cone
131,<function dropout at 0x7ff938806a60>,3,32,512,0.7896825969219207,0.0,0.01,0.75,cone
132,<function dropout at 0x7ff938806a60>,3,32,512,0.0,0.5,10.0,0.0,cone
133,<function dropout at 0x7ff938806a60>,3,32,512,0.0,0.5,1.0,0.0,cone
134,<function dropout at 0x7ff938806a60>,3,32,512,0.0,0.5,0.1,0.0,cone
135,<function dropout at 0x7ff938806a60>,3,32,512,0.0,0.5,0.01,0.0,cone
136,<function dropout at 0x7ff938806a60>,3,32,1024,0.0,0.0,10.0,0.0,cone
137,<function dropout at 0x7ff938806a60>,3,32,1024,0.0,0.0,1.0,0.0,cone
138,<function dropout at 0x7ff938806a60>,3,32,1024,0.7730159401893616,0.0,0.1,0.7599999904632568,cone
139,<function dropout at 0x7ff938806a60>,3,32,1024,0.9000000596046447,0.0,0.01,0.1899999976158142,cone
140,<function dropout at 0x7ff938806a60>,3,32,1024,0.0,0.5,10.0,0.0,cone
141,<function dropout at 0x7ff938806a60>,3,32,1024,0.0,0.5,1.0,0.0,cone
142,<function dropout at 0x7ff938806a60>,3,32,1024,0.0,0.5,0.1,0.0,cone
143,<function dropout at 0x7ff938806a60>,3,32,1024,0.0,0.5,0.01,0.0,cone
