,valAccuracy,nstart,learningrate,dR,dropoutFn,activationFn,nlayers,layerForm,testAccuracy
0,0.0,256,10.0,0.0,<function dropout at 0x7f2a82f3da60>,3,2,cone,0.009999999776482582
1,0.0,256,10.0,0.0,<function dropout at 0x7f2a82f3da60>,3,3,cone,0.009999999776482582
2,0.0,256,10.0,0.0,<function dropout at 0x7f2a82f3da60>,3,4,cone,0.009999999776482582
3,0.0,256,10.0,0.0,<function dropout at 0x7f2a82f3da60>,3,8,cone,0.009999999776482582
4,0.0,256,10.0,0.0,<function dropout at 0x7f2a82f3da60>,3,16,cone,0.009999999776482582
5,0.0,256,10.0,0.0,<function dropout at 0x7f2a82f3da60>,3,32,cone,0.009999999776482582
6,0.0,256,10.0,0.5,<function dropout at 0x7f2a82f3da60>,3,2,cone,0.009999999776482582
7,0.0,256,10.0,0.5,<function dropout at 0x7f2a82f3da60>,3,3,cone,0.009999999776482582
8,0.0,256,10.0,0.5,<function dropout at 0x7f2a82f3da60>,3,4,cone,0.009999999776482582
9,0.0,256,10.0,0.5,<function dropout at 0x7f2a82f3da60>,3,8,cone,0.009999999776482582
10,0.0,256,10.0,0.5,<function dropout at 0x7f2a82f3da60>,3,16,cone,0.009999999776482582
11,0.0,256,10.0,0.5,<function dropout at 0x7f2a82f3da60>,3,32,cone,0.009999999776482582
12,0.0,256,1.0,0.0,<function dropout at 0x7f2a82f3da60>,3,2,cone,0.0
13,0.001595744676887989,256,1.0,0.0,<function dropout at 0x7f2a82f3da60>,3,3,cone,0.009999999776482582
14,0.0,256,1.0,0.0,<function dropout at 0x7f2a82f3da60>,3,4,cone,0.009999999776482582
15,0.0,256,1.0,0.0,<function dropout at 0x7f2a82f3da60>,3,8,cone,0.009999999776482582
16,0.0,256,1.0,0.0,<function dropout at 0x7f2a82f3da60>,3,16,cone,0.009999999776482582
17,0.0,256,1.0,0.0,<function dropout at 0x7f2a82f3da60>,3,32,cone,0.009999999776482582
18,0.0005319148767739534,256,1.0,0.5,<function dropout at 0x7f2a82f3da60>,3,2,cone,0.0024999999441206455
19,0.001595744676887989,256,1.0,0.5,<function dropout at 0x7f2a82f3da60>,3,3,cone,0.009999999776482582
20,0.0010638297535479069,256,1.0,0.5,<function dropout at 0x7f2a82f3da60>,3,4,cone,0.009999999776482582
21,0.0,256,1.0,0.5,<function dropout at 0x7f2a82f3da60>,3,8,cone,0.009999999776482582
22,0.0,256,1.0,0.5,<function dropout at 0x7f2a82f3da60>,3,16,cone,0.009999999776482582
23,0.0,256,1.0,0.5,<function dropout at 0x7f2a82f3da60>,3,32,cone,0.009999999776482582
24,0.5686170339584351,256,0.1,0.0,<function dropout at 0x7f2a82f3da60>,3,2,cone,0.6349999904632568
25,0.6095744788646698,256,0.1,0.0,<function dropout at 0x7f2a82f3da60>,3,3,cone,0.5849999785423279
26,0.6462765991687774,256,0.1,0.0,<function dropout at 0x7f2a82f3da60>,3,4,cone,0.6599999070167542
27,0.6441489398479461,256,0.1,0.0,<function dropout at 0x7f2a82f3da60>,3,8,cone,0.6574999690055847
28,0.6340425670146942,256,0.1,0.0,<function dropout at 0x7f2a82f3da60>,3,16,cone,0.6899999380111694
29,0.3106382891535759,256,0.1,0.0,<function dropout at 0x7f2a82f3da60>,3,32,cone,0.33249998092651367
30,0.569148963689804,256,0.1,0.5,<function dropout at 0x7f2a82f3da60>,3,2,cone,0.6324999928474426
31,0.5702127873897553,256,0.1,0.5,<function dropout at 0x7f2a82f3da60>,3,3,cone,0.6124999523162842
