,dR,testAccuracy,learningrate,nstart,activationFn,layerForm,valAccuracy,dropoutFn,nlayers
0,0.0,0.07059510052204132,10.0,256,3,cone,0.07530647665262225,<function dropout at 0x7f1dd6c89a60>,2
1,0.0,0.9270713329315186,10.0,256,3,cone,0.9264448523521422,<function dropout at 0x7f1dd6c89a60>,3
2,0.0,0.021295215934515,10.0,256,3,cone,0.024518388696014883,<function dropout at 0x7f1dd6c89a60>,4
3,0.0,0.021295215934515,10.0,256,3,cone,0.024518387392163284,<function dropout at 0x7f1dd6c89a60>,8
4,0.0,0.021295215934515,10.0,256,3,cone,0.02451838832348585,<function dropout at 0x7f1dd6c89a60>,16
5,0.0,0.021295215934515,10.0,256,3,cone,0.024518388882279397,<function dropout at 0x7f1dd6c89a60>,32
6,0.0,0.021295215934515,10.0,512,3,cone,0.024518389254808426,<function dropout at 0x7f1dd6c89a60>,2
7,0.0,0.021295215934515,10.0,512,3,cone,0.02451838850975037,<function dropout at 0x7f1dd6c89a60>,3
8,0.0,0.02129521779716015,10.0,512,3,cone,0.024518389254808426,<function dropout at 0x7f1dd6c89a60>,4
9,0.0,0.021295215934515,10.0,512,3,cone,0.024518387950956823,<function dropout at 0x7f1dd6c89a60>,8
10,0.0,0.021295215934515,10.0,512,3,cone,0.024518388696014883,<function dropout at 0x7f1dd6c89a60>,16
11,0.0,0.9270712733268738,10.0,512,3,cone,0.8387040290981531,<function dropout at 0x7f1dd6c89a60>,32
12,0.0,0.9270713329315186,10.0,1024,3,cone,0.9264448881149291,<function dropout at 0x7f1dd6c89a60>,2
13,0.0,0.021295215934515,10.0,1024,3,cone,0.024518387950956823,<function dropout at 0x7f1dd6c89a60>,3
14,0.0,0.021295215934515,10.0,1024,3,cone,0.024518389254808426,<function dropout at 0x7f1dd6c89a60>,4
15,0.0,0.02129521779716015,10.0,1024,3,cone,0.024518388696014883,<function dropout at 0x7f1dd6c89a60>,8
16,0.0,0.021295215934515,10.0,1024,3,cone,0.024518389254808426,<function dropout at 0x7f1dd6c89a60>,16
17,0.0,0.021295215934515,10.0,1024,3,cone,0.02451838850975037,<function dropout at 0x7f1dd6c89a60>,32
18,0.0,0.9787049293518066,1.0,256,3,cone,0.976357239484787,<function dropout at 0x7f1dd6c89a60>,2
19,0.0,0.9769546389579773,1.0,256,3,cone,0.9788091003894805,<function dropout at 0x7f1dd6c89a60>,3
20,0.0,0.9789965748786926,1.0,256,3,cone,0.9791593551635742,<function dropout at 0x7f1dd6c89a60>,4
21,0.0,0.021295215934515,1.0,256,3,cone,0.02451838906854391,<function dropout at 0x7f1dd6c89a60>,8
22,0.0,0.9270713329315186,1.0,256,3,cone,0.9264448165893555,<function dropout at 0x7f1dd6c89a60>,16
23,0.0,0.9270713329315186,1.0,256,3,cone,0.9264448642730712,<function dropout at 0x7f1dd6c89a60>,32
24,0.0,0.9749125242233276,1.0,512,3,cone,0.9754815876483918,<function dropout at 0x7f1dd6c89a60>,2
25,0.0,0.05163360759615898,1.0,512,3,cone,0.049036775529384624,<function dropout at 0x7f1dd6c89a60>,3
26,0.0,0.9781213998794556,1.0,512,3,cone,0.9728546142578127,<function dropout at 0x7f1dd6c89a60>,4
27,0.0,0.05163360759615898,1.0,512,3,cone,0.04903677590191365,<function dropout at 0x7f1dd6c89a60>,8
28,0.0,0.05163360759615898,1.0,512,3,cone,0.049036777764558795,<function dropout at 0x7f1dd6c89a60>,16
29,0.0,0.021295215934515,1.0,512,3,cone,0.3852889399975539,<function dropout at 0x7f1dd6c89a60>,32
30,0.0,0.9270712733268738,1.0,1024,3,cone,0.9264448285102844,<function dropout at 0x7f1dd6c89a60>,2
31,0.0,0.9270712733268738,1.0,1024,3,cone,0.9264448285102844,<function dropout at 0x7f1dd6c89a60>,3
32,0.0,0.021295215934515,1.0,1024,3,cone,0.024518387578427794,<function dropout at 0x7f1dd6c89a60>,4
33,0.0,0.021295215934515,1.0,1024,3,cone,0.024518389254808426,<function dropout at 0x7f1dd6c89a60>,8
34,0.0,0.021295215934515,1.0,1024,3,cone,0.024518387764692312,<function dropout at 0x7f1dd6c89a60>,16
35,0.0,0.02129521779716015,1.0,1024,3,cone,0.024518388696014883,<function dropout at 0x7f1dd6c89a60>,32
