,learningrate,testAccuracy,activationFn,valAccuracy,dropoutFn,layerForm,nstart,nlayers,dR
0,10.0,0.009999999776482582,3,0.004926108289510011,<function dropout at 0x7f1f18a23a60>,rect,256,2,0.0
1,10.0,0.009999999776482582,3,0.004926108289510011,<function dropout at 0x7f1f18a23a60>,rect,256,2,0.5
2,10.0,0.009999999776482582,3,0.004926108289510011,<function dropout at 0x7f1f18a23a60>,rect,256,3,0.0
3,10.0,0.009999999776482582,3,0.004926108289510011,<function dropout at 0x7f1f18a23a60>,rect,256,3,0.5
4,10.0,0.009999999776482582,3,0.004926108289510011,<function dropout at 0x7f1f18a23a60>,rect,256,4,0.0
5,10.0,0.009999999776482582,3,0.004926108289510011,<function dropout at 0x7f1f18a23a60>,rect,256,4,0.5
6,10.0,0.009999999776482582,3,0.004926108289510011,<function dropout at 0x7f1f18a23a60>,rect,256,8,0.0
7,10.0,0.009999999776482582,3,0.004926108289510011,<function dropout at 0x7f1f18a23a60>,rect,256,8,0.5
8,10.0,0.009999999776482582,3,0.004926108289510011,<function dropout at 0x7f1f18a23a60>,rect,256,16,0.0
9,10.0,0.009999999776482582,3,0.004926108289510011,<function dropout at 0x7f1f18a23a60>,rect,256,16,0.5
10,10.0,0.009999999776482582,3,0.004926108289510011,<function dropout at 0x7f1f18a23a60>,rect,256,32,0.0
11,10.0,0.009999999776482582,3,0.004926108289510011,<function dropout at 0x7f1f18a23a60>,rect,256,32,0.5
12,10.0,0.009999999776482582,3,0.004926108289510011,<function dropout at 0x7f1f18a23a60>,rect,512,2,0.0
13,10.0,0.009999999776482582,3,0.004926108289510011,<function dropout at 0x7f1f18a23a60>,rect,512,2,0.5
14,10.0,0.009999999776482582,3,0.004926108289510011,<function dropout at 0x7f1f18a23a60>,rect,512,3,0.0
15,10.0,0.009999999776482582,3,0.004926108289510011,<function dropout at 0x7f1f18a23a60>,rect,512,3,0.5
16,10.0,0.009999999776482582,3,0.004926108289510011,<function dropout at 0x7f1f18a23a60>,rect,512,4,0.0
17,10.0,0.009999999776482582,3,0.004926108289510011,<function dropout at 0x7f1f18a23a60>,rect,512,4,0.5
18,10.0,0.009999999776482582,3,0.004926108289510011,<function dropout at 0x7f1f18a23a60>,rect,512,8,0.0
19,10.0,0.009999999776482582,3,0.004926108289510011,<function dropout at 0x7f1f18a23a60>,rect,512,8,0.5
20,10.0,0.009999999776482582,3,0.004926108289510011,<function dropout at 0x7f1f18a23a60>,rect,512,16,0.0
21,10.0,0.009999999776482582,3,0.004926108289510011,<function dropout at 0x7f1f18a23a60>,rect,512,16,0.5
22,10.0,0.009999999776482582,3,0.004926108289510011,<function dropout at 0x7f1f18a23a60>,rect,512,32,0.0
23,10.0,0.009999999776482582,3,0.004926108289510011,<function dropout at 0x7f1f18a23a60>,rect,512,32,0.5
24,10.0,0.009999999776482582,3,0.004926108289510011,<function dropout at 0x7f1f18a23a60>,rect,1024,2,0.0
25,10.0,0.009999999776482582,3,0.004926108289510011,<function dropout at 0x7f1f18a23a60>,rect,1024,2,0.5
26,10.0,0.009999999776482582,3,0.004926108289510011,<function dropout at 0x7f1f18a23a60>,rect,1024,3,0.0
27,10.0,0.009999999776482582,3,0.004926108289510011,<function dropout at 0x7f1f18a23a60>,rect,1024,3,0.5
28,10.0,0.009999999776482582,3,0.004926108289510011,<function dropout at 0x7f1f18a23a60>,rect,1024,4,0.0
29,10.0,0.009999999776482582,3,0.004926108289510011,<function dropout at 0x7f1f18a23a60>,rect,1024,4,0.5
30,10.0,0.009999999776482582,3,0.004926108289510011,<function dropout at 0x7f1f18a23a60>,rect,1024,8,0.0
31,10.0,0.009999999776482582,3,0.004926108289510011,<function dropout at 0x7f1f18a23a60>,rect,1024,8,0.5
32,10.0,0.009999999776482582,3,0.004926108289510011,<function dropout at 0x7f1f18a23a60>,rect,1024,16,0.0
33,10.0,0.009999999776482582,3,0.004926108289510011,<function dropout at 0x7f1f18a23a60>,rect,1024,16,0.5
34,10.0,0.009999999776482582,3,0.004926108289510011,<function dropout at 0x7f1f18a23a60>,rect,1024,32,0.0
35,10.0,0.009999999776482582,3,0.004926108289510011,<function dropout at 0x7f1f18a23a60>,rect,1024,32,0.5
36,1.0,0.8149999380111694,3,0.8325123190879823,<function dropout at 0x7f1f18a23a60>,rect,256,2,0.0
37,1.0,0.7249999642372131,3,0.7280788242816925,<function dropout at 0x7f1f18a23a60>,rect,256,2,0.5
38,1.0,0.8249999284744263,3,0.8261084139347077,<function dropout at 0x7f1f18a23a60>,rect,256,3,0.0
39,1.0,0.09749999642372131,3,0.149261080659926,<function dropout at 0x7f1f18a23a60>,rect,256,3,0.5
40,1.0,0.8224999904632568,3,0.8330049514770508,<function dropout at 0x7f1f18a23a60>,rect,256,4,0.0
41,1.0,0.009999999776482582,3,0.013300492521375417,<function dropout at 0x7f1f18a23a60>,rect,256,4,0.5
42,1.0,0.009999999776482582,3,0.004926108289510011,<function dropout at 0x7f1f18a23a60>,rect,256,8,0.0
43,1.0,0.009999999776482582,3,0.004926108289510011,<function dropout at 0x7f1f18a23a60>,rect,256,8,0.5
44,1.0,0.009999999776482582,3,0.004926108289510011,<function dropout at 0x7f1f18a23a60>,rect,256,16,0.0
45,1.0,0.009999999776482582,3,0.004926108289510011,<function dropout at 0x7f1f18a23a60>,rect,256,16,0.5
46,1.0,0.009999999776482582,3,0.004926108289510011,<function dropout at 0x7f1f18a23a60>,rect,256,32,0.0
47,1.0,0.009999999776482582,3,0.004926108289510011,<function dropout at 0x7f1f18a23a60>,rect,256,32,0.5
48,1.0,0.8125,3,0.8349753677845002,<function dropout at 0x7f1f18a23a60>,rect,512,2,0.0
49,1.0,0.6225000023841858,3,0.6384236574172972,<function dropout at 0x7f1f18a23a60>,rect,512,2,0.5
50,1.0,0.009999999776482582,3,0.02019704398699106,<function dropout at 0x7f1f18a23a60>,rect,512,3,0.0
51,1.0,0.009999999776482582,3,0.018226600857451564,<function dropout at 0x7f1f18a23a60>,rect,512,3,0.5
52,1.0,0.009999999776482582,3,0.004926108289510011,<function dropout at 0x7f1f18a23a60>,rect,512,4,0.0
53,1.0,0.009999999776482582,3,0.005418719118461012,<function dropout at 0x7f1f18a23a60>,rect,512,4,0.5
54,1.0,0.009999999776482582,3,0.004926108289510011,<function dropout at 0x7f1f18a23a60>,rect,512,8,0.0
55,1.0,0.009999999776482582,3,0.004926108289510011,<function dropout at 0x7f1f18a23a60>,rect,512,8,0.5
56,1.0,0.009999999776482582,3,0.004926108289510011,<function dropout at 0x7f1f18a23a60>,rect,512,16,0.0
57,1.0,0.009999999776482582,3,0.004926108289510011,<function dropout at 0x7f1f18a23a60>,rect,512,16,0.5
58,1.0,0.009999999776482582,3,0.004926108289510011,<function dropout at 0x7f1f18a23a60>,rect,512,32,0.0
59,1.0,0.009999999776482582,3,0.004926108289510011,<function dropout at 0x7f1f18a23a60>,rect,512,32,0.5
60,1.0,0.009999999776482582,3,0.030541873490437875,<function dropout at 0x7f1f18a23a60>,rect,1024,2,0.0
61,1.0,0.009999999776482582,3,0.01773399012163282,<function dropout at 0x7f1f18a23a60>,rect,1024,2,0.5
62,1.0,0.009999999776482582,3,0.004926108289510011,<function dropout at 0x7f1f18a23a60>,rect,1024,3,0.0
63,1.0,0.009999999776482582,3,0.005418719118461012,<function dropout at 0x7f1f18a23a60>,rect,1024,3,0.5
64,1.0,0.009999999776482582,3,0.004926108289510011,<function dropout at 0x7f1f18a23a60>,rect,1024,4,0.0
65,1.0,0.009999999776482582,3,0.004926108289510011,<function dropout at 0x7f1f18a23a60>,rect,1024,4,0.5
66,1.0,0.009999999776482582,3,0.004926108289510011,<function dropout at 0x7f1f18a23a60>,rect,1024,8,0.0
67,1.0,0.009999999776482582,3,0.004926108289510011,<function dropout at 0x7f1f18a23a60>,rect,1024,8,0.5
68,1.0,0.009999999776482582,3,0.004926108289510011,<function dropout at 0x7f1f18a23a60>,rect,1024,16,0.0
69,1.0,0.009999999776482582,3,0.004926108289510011,<function dropout at 0x7f1f18a23a60>,rect,1024,16,0.5
70,1.0,0.009999999776482582,3,0.004926108289510011,<function dropout at 0x7f1f18a23a60>,rect,1024,32,0.0
71,1.0,0.009999999776482582,3,0.004926108289510011,<function dropout at 0x7f1f18a23a60>,rect,1024,32,0.5
72,0.1,0.8324999809265137,3,0.8379310429096222,<function dropout at 0x7f1f18a23a60>,rect,256,2,0.0
73,0.1,0.8075000047683716,3,0.8108374416828155,<function dropout at 0x7f1f18a23a60>,rect,256,2,0.5
74,0.1,0.8300000429153442,3,0.8576354682445526,<function dropout at 0x7f1f18a23a60>,rect,256,3,0.0
75,0.1,0.8200000524520874,3,0.8162561416625977,<function dropout at 0x7f1f18a23a60>,rect,256,3,0.5
76,0.1,0.7899999618530273,3,0.830541878938675,<function dropout at 0x7f1f18a23a60>,rect,256,4,0.0
77,0.1,0.7575000524520874,3,0.7487684845924378,<function dropout at 0x7f1f18a23a60>,rect,256,4,0.5
78,0.1,0.8025000095367432,3,0.7921182870864869,<function dropout at 0x7f1f18a23a60>,rect,256,8,0.0
