,testAccuracy,nlayers,dropoutFn,layerForm,dR,activationFn,nstart,learningrate,valAccuracy
53,0.390625,4,<function dropout at 0x7f899017aa60>,rect,0.0,3,512,1.0,0.3584905862808228
54,0.7734375,4,<function dropout at 0x7f899017aa60>,rect,0.0,3,512,0.1,0.7169811367988587
55,0.78125,4,<function dropout at 0x7f899017aa60>,rect,0.0,3,512,0.01,0.8132075726985932
56,0.390625,4,<function dropout at 0x7f899017aa60>,rect,0.0,3,1024,10.0,0.3584905862808228
57,0.390625,4,<function dropout at 0x7f899017aa60>,rect,0.0,3,1024,1.0,0.3584905862808228
58,0.7890625,4,<function dropout at 0x7f899017aa60>,rect,0.0,3,1024,0.1,0.7622641623020172
59,0.8125,4,<function dropout at 0x7f899017aa60>,rect,0.0,3,1024,0.01,0.8113207995891571
60,0.390625,4,<function dropout at 0x7f899017aa60>,rect,0.5,3,256,10.0,0.3584905862808228
61,0.390625,4,<function dropout at 0x7f899017aa60>,rect,0.5,3,256,1.0,0.3584905862808228
62,0.75,4,<function dropout at 0x7f899017aa60>,rect,0.5,3,256,0.1,0.7792452812194826
63,0.734375,4,<function dropout at 0x7f899017aa60>,rect,0.5,3,256,0.01,0.722641521692276
64,0.390625,4,<function dropout at 0x7f899017aa60>,rect,0.5,3,512,10.0,0.3584905862808228
65,0.390625,4,<function dropout at 0x7f899017aa60>,rect,0.5,3,512,1.0,0.3584905862808228
66,0.75,4,<function dropout at 0x7f899017aa60>,rect,0.5,3,512,0.1,0.7358490645885468
67,0.7265625,4,<function dropout at 0x7f899017aa60>,rect,0.5,3,512,0.01,0.7622641742229462
68,0.390625,4,<function dropout at 0x7f899017aa60>,rect,0.5,3,1024,10.0,0.3584905862808228
69,0.390625,4,<function dropout at 0x7f899017aa60>,rect,0.5,3,1024,1.0,0.3584905862808228
70,0.71875,4,<function dropout at 0x7f899017aa60>,rect,0.5,3,1024,0.1,0.726415091753006
71,0.7734375,4,<function dropout at 0x7f899017aa60>,rect,0.5,3,1024,0.01,0.7716981410980224
72,0.390625,8,<function dropout at 0x7f899017aa60>,rect,0.0,3,256,10.0,0.3584905862808228
73,0.390625,8,<function dropout at 0x7f899017aa60>,rect,0.0,3,256,1.0,0.3584905862808228
74,0.7734375,8,<function dropout at 0x7f899017aa60>,rect,0.0,3,256,0.1,0.7075471580028533
75,0.78125,8,<function dropout at 0x7f899017aa60>,rect,0.0,3,256,0.01,0.652830183506012
76,0.390625,8,<function dropout at 0x7f899017aa60>,rect,0.0,3,512,10.0,0.3584905862808228
77,0.390625,8,<function dropout at 0x7f899017aa60>,rect,0.0,3,512,1.0,0.3584905862808228
78,0.390625,8,<function dropout at 0x7f899017aa60>,rect,0.0,3,512,0.1,0.44339623451232923
79,0.7421875,8,<function dropout at 0x7f899017aa60>,rect,0.0,3,512,0.01,0.7528302133083344
80,0.390625,8,<function dropout at 0x7f899017aa60>,rect,0.0,3,1024,10.0,0.3584905862808228
81,0.390625,8,<function dropout at 0x7f899017aa60>,rect,0.0,3,1024,1.0,0.3584905862808228
82,0.390625,8,<function dropout at 0x7f899017aa60>,rect,0.0,3,1024,0.1,0.3584905862808228
