,testAccuracy,nstart,nlayers,activationFn,dR,learningrate,valAccuracy,dropoutFn,layerForm
0,0.30769234895706177,256,2,3,0.0,10.0,0.2564102709293365,<function dropout at 0x7f7cc7cdaa60>,rect
1,0.30769234895706177,256,2,3,0.0,1.0,0.2564102709293365,<function dropout at 0x7f7cc7cdaa60>,rect
2,0.9780219793319702,256,2,3,0.0,0.1,0.9999999999999999,<function dropout at 0x7f7cc7cdaa60>,rect
3,0.9450550079345703,256,2,3,0.0,0.01,0.9743589758872985,<function dropout at 0x7f7cc7cdaa60>,rect
4,0.30769234895706177,256,2,3,0.5,10.0,0.2564102709293365,<function dropout at 0x7f7cc7cdaa60>,rect
5,0.30769234895706177,256,2,3,0.5,1.0,0.2564102709293365,<function dropout at 0x7f7cc7cdaa60>,rect
6,0.9670330286026001,256,2,3,0.5,0.1,0.9974358975887297,<function dropout at 0x7f7cc7cdaa60>,rect
7,0.9560439586639404,256,2,3,0.5,0.01,0.9743589758872985,<function dropout at 0x7f7cc7cdaa60>,rect
8,0.30769234895706177,256,3,3,0.0,10.0,0.2564102709293365,<function dropout at 0x7f7cc7cdaa60>,rect
9,0.30769234895706177,256,3,3,0.0,1.0,0.2564102709293365,<function dropout at 0x7f7cc7cdaa60>,rect
10,0.9450550079345703,256,3,3,0.0,0.1,0.9999999999999999,<function dropout at 0x7f7cc7cdaa60>,rect
11,0.9780219793319702,256,3,3,0.0,0.01,0.9999999999999999,<function dropout at 0x7f7cc7cdaa60>,rect
12,0.30769234895706177,256,3,3,0.5,10.0,0.2564102709293365,<function dropout at 0x7f7cc7cdaa60>,rect
13,0.30769234895706177,256,3,3,0.5,1.0,0.2564102709293365,<function dropout at 0x7f7cc7cdaa60>,rect
14,0.9560439586639404,256,3,3,0.5,0.1,0.9999999999999999,<function dropout at 0x7f7cc7cdaa60>,rect
15,0.9560439586639404,256,3,3,0.5,0.01,0.9743589758872985,<function dropout at 0x7f7cc7cdaa60>,rect
16,0.30769234895706177,256,4,3,0.0,10.0,0.2564102709293365,<function dropout at 0x7f7cc7cdaa60>,rect
17,0.30769234895706177,256,4,3,0.0,1.0,0.2564102709293365,<function dropout at 0x7f7cc7cdaa60>,rect
18,0.9560439586639404,256,4,3,0.0,0.1,0.9999999999999999,<function dropout at 0x7f7cc7cdaa60>,rect
19,0.9890110492706299,256,4,3,0.0,0.01,0.9743589758872985,<function dropout at 0x7f7cc7cdaa60>,rect
