,layerForm,dropoutFn,nlayers,dR,learningrate,activationFn,nstart,testAccuracy,valAccuracy
40,rect,<function dropout at 0x7fe45d1dfa60>,3,0.5,1.0,3,512,0.49339932203292847,0.48351654410362255
41,rect,<function dropout at 0x7fe45d1dfa60>,3,0.5,1.0,3,1024,0.49339932203292847,0.48351654410362255
42,rect,<function dropout at 0x7fe45d1dfa60>,3,0.5,0.1,3,256,0.5445545315742493,0.538461571931839
43,rect,<function dropout at 0x7fe45d1dfa60>,3,0.5,0.1,3,512,0.5181518197059631,0.5505494773387908
44,rect,<function dropout at 0x7fe45d1dfa60>,3,0.5,0.1,3,1024,0.5198020339012146,0.5186813473701476
45,rect,<function dropout at 0x7fe45d1dfa60>,3,0.5,0.01,3,256,0.5,0.4714286029338836
46,rect,<function dropout at 0x7fe45d1dfa60>,3,0.5,0.01,3,512,0.4884489178657532,0.49450552761554706
47,rect,<function dropout at 0x7fe45d1dfa60>,3,0.5,0.01,3,1024,0.476897656917572,0.5186813473701476
48,rect,<function dropout at 0x7fe45d1dfa60>,4,0.0,10.0,3,256,0.49339932203292847,0.48351654410362255
49,rect,<function dropout at 0x7fe45d1dfa60>,4,0.0,10.0,3,512,0.49339932203292847,0.48351654410362255
50,rect,<function dropout at 0x7fe45d1dfa60>,4,0.0,10.0,3,1024,0.49339932203292847,0.48351654410362255
51,rect,<function dropout at 0x7fe45d1dfa60>,4,0.0,1.0,3,256,0.49339932203292847,0.48351654410362255
52,rect,<function dropout at 0x7fe45d1dfa60>,4,0.0,1.0,3,512,0.49339932203292847,0.48351654410362255
53,rect,<function dropout at 0x7fe45d1dfa60>,4,0.0,1.0,3,1024,0.49339932203292847,0.48351654410362255
54,rect,<function dropout at 0x7fe45d1dfa60>,4,0.0,0.1,3,256,0.5231024026870728,0.5362637639045714
55,rect,<function dropout at 0x7fe45d1dfa60>,4,0.0,0.1,3,512,0.49339932203292847,0.48901104032993326
56,rect,<function dropout at 0x7fe45d1dfa60>,4,0.0,0.1,3,1024,0.49339932203292847,0.4857143431901933
57,rect,<function dropout at 0x7fe45d1dfa60>,4,0.0,0.01,3,256,0.5445544719696045,0.5406593680381774
58,rect,<function dropout at 0x7fe45d1dfa60>,4,0.0,0.01,3,512,0.5115512013435364,0.5406593680381774
59,rect,<function dropout at 0x7fe45d1dfa60>,4,0.0,0.01,3,1024,0.4983498454093933,0.5560439825057982
60,rect,<function dropout at 0x7fe45d1dfa60>,4,0.5,10.0,3,256,0.49339932203292847,0.48351654410362255
61,rect,<function dropout at 0x7fe45d1dfa60>,4,0.5,10.0,3,512,0.49339932203292847,0.48351654410362255
62,rect,<function dropout at 0x7fe45d1dfa60>,4,0.5,10.0,3,1024,0.49339932203292847,0.48351654410362255
63,rect,<function dropout at 0x7fe45d1dfa60>,4,0.5,1.0,3,256,0.49339938163757324,0.48351654410362255
64,rect,<function dropout at 0x7fe45d1dfa60>,4,0.5,1.0,3,512,0.49339932203292847,0.48351654410362255
65,rect,<function dropout at 0x7fe45d1dfa60>,4,0.5,1.0,3,1024,0.49339938163757324,0.48351654410362255
66,rect,<function dropout at 0x7fe45d1dfa60>,4,0.5,0.1,3,256,0.5363036394119263,0.5120879411697387
