,learningrate,testAccuracy,valAccuracy,activationFn,nlayers,nstart,dropoutFn,dR,layerForm
0,10.0,0.33620691299438477,0.35306555330753336,3,2,256,<function dropout at 0x7fa904f1aa60>,0.0,rect
1,10.0,0.33620691299438477,0.3530655503273011,3,2,256,<function dropout at 0x7fa904f1aa60>,0.5,rect
2,10.0,0.33620691299438477,0.3530655503273011,3,2,512,<function dropout at 0x7fa904f1aa60>,0.0,rect
3,10.0,0.3362068831920624,0.3530655533075333,3,2,512,<function dropout at 0x7fa904f1aa60>,0.5,rect
4,10.0,0.3362068831920624,0.3530655533075333,3,2,1024,<function dropout at 0x7fa904f1aa60>,0.0,rect
5,10.0,0.33620691299438477,0.3530655503273011,3,2,1024,<function dropout at 0x7fa904f1aa60>,0.5,rect
6,10.0,0.33620691299438477,0.3530655503273011,3,3,256,<function dropout at 0x7fa904f1aa60>,0.0,rect
7,10.0,0.3362068831920624,0.3530655503273011,3,3,256,<function dropout at 0x7fa904f1aa60>,0.5,rect
8,10.0,0.33620691299438477,0.3530655503273011,3,3,512,<function dropout at 0x7fa904f1aa60>,0.0,rect
9,10.0,0.3362068831920624,0.3530655652284623,3,3,512,<function dropout at 0x7fa904f1aa60>,0.5,rect
10,10.0,0.3362068831920624,0.3530655503273011,3,3,1024,<function dropout at 0x7fa904f1aa60>,0.0,rect
11,10.0,0.3362068831920624,0.3530655503273011,3,3,1024,<function dropout at 0x7fa904f1aa60>,0.5,rect
12,10.0,0.3362068831920624,0.3530655503273011,3,4,256,<function dropout at 0x7fa904f1aa60>,0.0,rect
13,10.0,0.3362068831920624,0.3530655503273011,3,4,256,<function dropout at 0x7fa904f1aa60>,0.5,rect
14,10.0,0.33620691299438477,0.3530655503273011,3,4,512,<function dropout at 0x7fa904f1aa60>,0.0,rect
15,10.0,0.3362068831920624,0.3530655503273011,3,4,512,<function dropout at 0x7fa904f1aa60>,0.5,rect
16,10.0,0.3362068831920624,0.3530655503273011,3,4,1024,<function dropout at 0x7fa904f1aa60>,0.0,rect
17,10.0,0.3362068831920624,0.3530655503273011,3,4,1024,<function dropout at 0x7fa904f1aa60>,0.5,rect
18,10.0,0.33620691299438477,0.3530655533075333,3,8,256,<function dropout at 0x7fa904f1aa60>,0.0,rect
19,10.0,0.3362068831920624,0.3530655503273011,3,8,256,<function dropout at 0x7fa904f1aa60>,0.5,rect
