,nlayers,activationFn,layerForm,learningrate,dropoutFn,nstart,dR,valAccuracy,testAccuracy
0,2,3,rect,10.0,<function dropout at 0x7fc3c713ba60>,256,0.0,0.4519999980926514,0.5522388219833374
1,2,3,rect,10.0,<function dropout at 0x7fc3c713ba60>,256,0.5,0.4399999976158142,0.5522388219833374
2,2,3,rect,10.0,<function dropout at 0x7fc3c713ba60>,512,0.0,0.4519999921321869,0.5522388219833374
3,2,3,rect,10.0,<function dropout at 0x7fc3c713ba60>,512,0.5,0.4399999976158142,0.5522388219833374
4,2,3,rect,10.0,<function dropout at 0x7fc3c713ba60>,1024,0.0,0.4399999976158142,0.5522388219833374
5,2,3,rect,10.0,<function dropout at 0x7fc3c713ba60>,1024,0.5,0.4399999976158142,0.5522388219833374
6,2,3,rect,1.0,<function dropout at 0x7fc3c713ba60>,256,0.0,0.4399999976158142,0.5522388219833374
7,2,3,rect,1.0,<function dropout at 0x7fc3c713ba60>,256,0.5,0.4519999980926514,0.5522388219833374
8,2,3,rect,1.0,<function dropout at 0x7fc3c713ba60>,512,0.0,0.4519999980926514,0.5522388219833374
9,2,3,rect,1.0,<function dropout at 0x7fc3c713ba60>,512,0.5,0.4519999980926514,0.5522388219833374
10,2,3,rect,1.0,<function dropout at 0x7fc3c713ba60>,1024,0.0,0.44799999594688417,0.5522388219833374
11,2,3,rect,1.0,<function dropout at 0x7fc3c713ba60>,1024,0.5,0.4519999980926514,0.5522388219833374
12,2,3,rect,0.1,<function dropout at 0x7fc3c713ba60>,256,0.0,0.7999999642372131,0.8507462739944458
13,2,3,rect,0.1,<function dropout at 0x7fc3c713ba60>,256,0.5,0.7759999692440034,0.8358209133148193
14,2,3,rect,0.1,<function dropout at 0x7fc3c713ba60>,512,0.0,0.7639999806880952,0.8805969953536987
15,2,3,rect,0.1,<function dropout at 0x7fc3c713ba60>,512,0.5,0.7479999840259552,0.7761193513870239
16,2,3,rect,0.1,<function dropout at 0x7fc3c713ba60>,1024,0.0,0.7999999523162841,0.8358208537101746
17,2,3,rect,0.1,<function dropout at 0x7fc3c713ba60>,1024,0.5,0.7599999845027924,0.7910447120666504
18,2,3,rect,0.01,<function dropout at 0x7fc3c713ba60>,256,0.0,0.759999990463257,0.8208955526351929
19,2,3,rect,0.01,<function dropout at 0x7fc3c713ba60>,256,0.5,0.7999999761581421,0.8208955526351929
20,2,3,rect,0.01,<function dropout at 0x7fc3c713ba60>,512,0.0,0.7679999828338624,0.8208955526351929
21,2,3,rect,0.01,<function dropout at 0x7fc3c713ba60>,512,0.5,0.7679999828338624,0.8358209133148193
22,2,3,rect,0.01,<function dropout at 0x7fc3c713ba60>,1024,0.0,0.8199999630451202,0.8208954930305481
23,2,3,rect,0.01,<function dropout at 0x7fc3c713ba60>,1024,0.5,0.759999990463257,0.8208955526351929
24,3,3,rect,10.0,<function dropout at 0x7fc3c713ba60>,256,0.0,0.4399999976158142,0.5522388219833374
25,3,3,rect,10.0,<function dropout at 0x7fc3c713ba60>,256,0.5,0.4399999976158142,0.5522388219833374
26,3,3,rect,10.0,<function dropout at 0x7fc3c713ba60>,512,0.0,0.4399999976158142,0.5522388219833374
27,3,3,rect,10.0,<function dropout at 0x7fc3c713ba60>,512,0.5,0.4399999976158142,0.5522388219833374
28,3,3,rect,10.0,<function dropout at 0x7fc3c713ba60>,1024,0.0,0.4399999976158142,0.5522388219833374
29,3,3,rect,10.0,<function dropout at 0x7fc3c713ba60>,1024,0.5,0.4399999976158142,0.5522388219833374
30,3,3,rect,1.0,<function dropout at 0x7fc3c713ba60>,256,0.0,0.4519999980926514,0.5522388219833374
31,3,3,rect,1.0,<function dropout at 0x7fc3c713ba60>,256,0.5,0.4519999980926514,0.5522388219833374
32,3,3,rect,1.0,<function dropout at 0x7fc3c713ba60>,512,0.0,0.4399999976158142,0.5522388219833374
33,3,3,rect,1.0,<function dropout at 0x7fc3c713ba60>,512,0.5,0.4519999980926514,0.5522388219833374
34,3,3,rect,1.0,<function dropout at 0x7fc3c713ba60>,1024,0.0,0.4399999976158142,0.5522388219833374
35,3,3,rect,1.0,<function dropout at 0x7fc3c713ba60>,1024,0.5,0.4399999976158142,0.5522388219833374
36,3,3,rect,0.1,<function dropout at 0x7fc3c713ba60>,256,0.0,0.7799999833106996,0.7910447120666504
37,3,3,rect,0.1,<function dropout at 0x7fc3c713ba60>,256,0.5,0.7759999752044678,0.8059701323509216
38,3,3,rect,0.1,<function dropout at 0x7fc3c713ba60>,512,0.0,0.7679999828338624,0.8358209133148193
39,3,3,rect,0.1,<function dropout at 0x7fc3c713ba60>,512,0.5,0.7679999768733979,0.8208954930305481
40,3,3,rect,0.1,<function dropout at 0x7fc3c713ba60>,1024,0.0,0.7639999866485596,0.8507462739944458
41,3,3,rect,0.1,<function dropout at 0x7fc3c713ba60>,1024,0.5,0.7959999680519103,0.8507462739944458
42,3,3,rect,0.01,<function dropout at 0x7fc3c713ba60>,256,0.0,0.8559999823570251,0.8507462739944458
43,3,3,rect,0.01,<function dropout at 0x7fc3c713ba60>,256,0.5,0.759999990463257,0.8656716346740723
44,3,3,rect,0.01,<function dropout at 0x7fc3c713ba60>,512,0.0,0.807999962568283,0.8208955526351929
45,3,3,rect,0.01,<function dropout at 0x7fc3c713ba60>,512,0.5,0.759999990463257,0.8358209133148193
46,3,3,rect,0.01,<function dropout at 0x7fc3c713ba60>,1024,0.0,0.7839999675750733,0.8656716346740723
47,3,3,rect,0.01,<function dropout at 0x7fc3c713ba60>,1024,0.5,0.7759999752044678,0.8358209133148193
48,4,3,rect,10.0,<function dropout at 0x7fc3c713ba60>,256,0.0,0.4399999976158142,0.5522388219833374
49,4,3,rect,10.0,<function dropout at 0x7fc3c713ba60>,256,0.5,0.4399999976158142,0.5522388219833374
50,4,3,rect,10.0,<function dropout at 0x7fc3c713ba60>,512,0.0,0.4399999976158142,0.5522388219833374
51,4,3,rect,10.0,<function dropout at 0x7fc3c713ba60>,512,0.5,0.4399999976158142,0.5522388219833374
52,4,3,rect,10.0,<function dropout at 0x7fc3c713ba60>,1024,0.0,0.4399999976158142,0.5522388219833374
53,4,3,rect,10.0,<function dropout at 0x7fc3c713ba60>,1024,0.5,0.4399999976158142,0.5522388219833374
54,4,3,rect,1.0,<function dropout at 0x7fc3c713ba60>,256,0.0,0.4399999976158142,0.5522388219833374
55,4,3,rect,1.0,<function dropout at 0x7fc3c713ba60>,256,0.5,0.4399999976158142,0.5522388219833374
56,4,3,rect,1.0,<function dropout at 0x7fc3c713ba60>,512,0.0,0.4399999976158142,0.5522388219833374
57,4,3,rect,1.0,<function dropout at 0x7fc3c713ba60>,512,0.5,0.4399999976158142,0.5522388219833374
58,4,3,rect,1.0,<function dropout at 0x7fc3c713ba60>,1024,0.0,0.4399999976158142,0.5522388219833374
59,4,3,rect,1.0,<function dropout at 0x7fc3c713ba60>,1024,0.5,0.4399999976158142,0.5522388219833374
60,4,3,rect,0.1,<function dropout at 0x7fc3c713ba60>,256,0.0,0.7679999709129335,0.8208955526351929
61,4,3,rect,0.1,<function dropout at 0x7fc3c713ba60>,256,0.5,0.7719999790191651,0.8208954930305481
62,4,3,rect,0.1,<function dropout at 0x7fc3c713ba60>,512,0.0,0.7959999620914459,0.8358209133148193
63,4,3,rect,0.1,<function dropout at 0x7fc3c713ba60>,512,0.5,0.7759999752044678,0.8507462739944458
64,4,3,rect,0.1,<function dropout at 0x7fc3c713ba60>,1024,0.0,0.7639999866485596,0.8358209133148193
65,4,3,rect,0.1,<function dropout at 0x7fc3c713ba60>,1024,0.5,0.46799999475479126,0.5522388219833374
66,4,3,rect,0.01,<function dropout at 0x7fc3c713ba60>,256,0.0,0.7719999730587006,0.8059701323509216
67,4,3,rect,0.01,<function dropout at 0x7fc3c713ba60>,256,0.5,0.7719999790191652,0.8208955526351929
