,nlayers,activationFn,layerForm,learningrate,dropoutFn,nstart,dR,valAccuracy,testAccuracy
68,4,3,rect,0.01,<function dropout at 0x7fc3c713ba60>,512,0.0,0.8239999651908874,0.8358209133148193
69,4,3,rect,0.01,<function dropout at 0x7fc3c713ba60>,512,0.5,0.7879999637603761,0.8358209133148193
70,4,3,rect,0.01,<function dropout at 0x7fc3c713ba60>,1024,0.0,0.7999999523162841,0.8059701323509216
71,4,3,rect,0.01,<function dropout at 0x7fc3c713ba60>,1024,0.5,0.775999975204468,0.8059701323509216
72,8,3,rect,10.0,<function dropout at 0x7fc3c713ba60>,256,0.0,0.4399999976158142,0.5522388219833374
73,8,3,rect,10.0,<function dropout at 0x7fc3c713ba60>,256,0.5,0.4399999976158142,0.5522388219833374
74,8,3,rect,10.0,<function dropout at 0x7fc3c713ba60>,512,0.0,0.4399999976158142,0.5522388219833374
75,8,3,rect,10.0,<function dropout at 0x7fc3c713ba60>,512,0.5,0.4399999976158142,0.5522388219833374
76,8,3,rect,10.0,<function dropout at 0x7fc3c713ba60>,1024,0.0,0.4399999976158142,0.5522388219833374
77,8,3,rect,10.0,<function dropout at 0x7fc3c713ba60>,1024,0.5,0.4399999976158142,0.5522388219833374
78,8,3,rect,1.0,<function dropout at 0x7fc3c713ba60>,256,0.0,0.4399999976158142,0.5522388219833374
79,8,3,rect,1.0,<function dropout at 0x7fc3c713ba60>,256,0.5,0.4399999976158142,0.5522388219833374
80,8,3,rect,1.0,<function dropout at 0x7fc3c713ba60>,512,0.0,0.4399999976158142,0.5522388219833374
81,8,3,rect,1.0,<function dropout at 0x7fc3c713ba60>,512,0.5,0.4399999976158142,0.5522388219833374
82,8,3,rect,1.0,<function dropout at 0x7fc3c713ba60>,1024,0.0,0.4399999976158142,0.5522388219833374
83,8,3,rect,1.0,<function dropout at 0x7fc3c713ba60>,1024,0.5,0.4399999976158142,0.5522388219833374
84,8,3,rect,0.1,<function dropout at 0x7fc3c713ba60>,256,0.0,0.7519999861717226,0.8208955526351929
85,8,3,rect,0.1,<function dropout at 0x7fc3c713ba60>,256,0.5,0.4399999976158142,0.5522388219833374
86,8,3,rect,0.1,<function dropout at 0x7fc3c713ba60>,512,0.0,0.48399999737739563,0.5522388219833374
87,8,3,rect,0.1,<function dropout at 0x7fc3c713ba60>,512,0.5,0.4399999976158142,0.5522388219833374
88,8,3,rect,0.1,<function dropout at 0x7fc3c713ba60>,1024,0.0,0.4519999980926514,0.5522388219833374
89,8,3,rect,0.1,<function dropout at 0x7fc3c713ba60>,1024,0.5,0.4399999976158142,0.5522388219833374
90,8,3,rect,0.01,<function dropout at 0x7fc3c713ba60>,256,0.0,0.759999990463257,0.8507462739944458
91,8,3,rect,0.01,<function dropout at 0x7fc3c713ba60>,256,0.5,0.8119999706745148,0.7910447120666504
92,8,3,rect,0.01,<function dropout at 0x7fc3c713ba60>,512,0.0,0.7839999735355377,0.8507462739944458
93,8,3,rect,0.01,<function dropout at 0x7fc3c713ba60>,512,0.5,0.7999999642372131,0.7910447120666504
94,8,3,rect,0.01,<function dropout at 0x7fc3c713ba60>,1024,0.0,0.7679999828338624,0.8208954930305481
95,8,3,rect,0.01,<function dropout at 0x7fc3c713ba60>,1024,0.5,0.7919999599456787,0.8358209133148193
96,16,3,rect,10.0,<function dropout at 0x7fc3c713ba60>,256,0.0,0.4399999976158142,0.5522388219833374
97,16,3,rect,10.0,<function dropout at 0x7fc3c713ba60>,256,0.5,0.4399999976158142,0.5522388219833374
98,16,3,rect,10.0,<function dropout at 0x7fc3c713ba60>,512,0.0,0.4399999976158142,0.5522388219833374
99,16,3,rect,10.0,<function dropout at 0x7fc3c713ba60>,512,0.5,0.4399999976158142,0.5522388219833374
100,16,3,rect,10.0,<function dropout at 0x7fc3c713ba60>,1024,0.0,0.4399999976158142,0.5522388219833374
101,16,3,rect,10.0,<function dropout at 0x7fc3c713ba60>,1024,0.5,0.4399999976158142,0.5522388219833374
102,16,3,rect,1.0,<function dropout at 0x7fc3c713ba60>,256,0.0,0.4399999976158142,0.5522388219833374
103,16,3,rect,1.0,<function dropout at 0x7fc3c713ba60>,256,0.5,0.4399999976158142,0.5522388219833374
104,16,3,rect,1.0,<function dropout at 0x7fc3c713ba60>,512,0.0,0.4399999976158142,0.5522388219833374
105,16,3,rect,1.0,<function dropout at 0x7fc3c713ba60>,512,0.5,0.4399999976158142,0.5522388219833374
106,16,3,rect,1.0,<function dropout at 0x7fc3c713ba60>,1024,0.0,0.4399999976158142,0.5522388219833374
107,16,3,rect,1.0,<function dropout at 0x7fc3c713ba60>,1024,0.5,0.4399999976158142,0.5522388219833374
108,16,3,rect,0.1,<function dropout at 0x7fc3c713ba60>,256,0.0,0.4519999980926514,0.5522388219833374
109,16,3,rect,0.1,<function dropout at 0x7fc3c713ba60>,256,0.5,0.4399999976158142,0.5522388219833374
110,16,3,rect,0.1,<function dropout at 0x7fc3c713ba60>,512,0.0,0.4399999976158142,0.5522388219833374
111,16,3,rect,0.1,<function dropout at 0x7fc3c713ba60>,512,0.5,0.4399999976158142,0.5522388219833374
112,16,3,rect,0.1,<function dropout at 0x7fc3c713ba60>,1024,0.0,0.4399999976158142,0.5522388219833374
113,16,3,rect,0.1,<function dropout at 0x7fc3c713ba60>,1024,0.5,0.4399999976158142,0.5522388219833374
114,16,3,rect,0.01,<function dropout at 0x7fc3c713ba60>,256,0.0,0.7319999754428864,0.8358208537101746
115,16,3,rect,0.01,<function dropout at 0x7fc3c713ba60>,256,0.5,0.5640000015497207,0.447761207818985
116,16,3,rect,0.01,<function dropout at 0x7fc3c713ba60>,512,0.0,0.7999999523162841,0.8656716346740723
117,16,3,rect,0.01,<function dropout at 0x7fc3c713ba60>,512,0.5,0.4399999976158142,0.5522388219833374
118,16,3,rect,0.01,<function dropout at 0x7fc3c713ba60>,1024,0.0,0.759999990463257,0.8507462739944458
119,16,3,rect,0.01,<function dropout at 0x7fc3c713ba60>,1024,0.5,0.4399999976158142,0.5522388219833374
120,32,3,rect,10.0,<function dropout at 0x7fc3c713ba60>,256,0.0,0.4399999976158142,0.5522388219833374
121,32,3,rect,10.0,<function dropout at 0x7fc3c713ba60>,256,0.5,0.4399999976158142,0.5522388219833374
122,32,3,rect,10.0,<function dropout at 0x7fc3c713ba60>,512,0.0,0.4399999976158142,0.5522388219833374
123,32,3,rect,10.0,<function dropout at 0x7fc3c713ba60>,512,0.5,0.4399999976158142,0.5522388219833374
124,32,3,rect,10.0,<function dropout at 0x7fc3c713ba60>,1024,0.0,0.4399999976158142,0.5522388219833374
125,32,3,rect,10.0,<function dropout at 0x7fc3c713ba60>,1024,0.5,0.4399999976158142,0.5522388219833374
126,32,3,rect,1.0,<function dropout at 0x7fc3c713ba60>,256,0.0,0.4399999976158142,0.5522388219833374
127,32,3,rect,1.0,<function dropout at 0x7fc3c713ba60>,256,0.5,0.4399999976158142,0.5522388219833374
128,32,3,rect,1.0,<function dropout at 0x7fc3c713ba60>,512,0.0,0.4399999976158142,0.5522388219833374
129,32,3,rect,1.0,<function dropout at 0x7fc3c713ba60>,512,0.5,0.4399999976158142,0.5522388219833374
130,32,3,rect,1.0,<function dropout at 0x7fc3c713ba60>,1024,0.0,0.4399999976158142,0.5522388219833374
131,32,3,rect,1.0,<function dropout at 0x7fc3c713ba60>,1024,0.5,0.4399999976158142,0.5522388219833374
132,32,3,rect,0.1,<function dropout at 0x7fc3c713ba60>,256,0.0,0.4399999976158142,0.5522388219833374
133,32,3,rect,0.1,<function dropout at 0x7fc3c713ba60>,256,0.5,0.4399999976158142,0.5522388219833374
134,32,3,rect,0.1,<function dropout at 0x7fc3c713ba60>,512,0.0,0.4399999976158142,0.5522388219833374
135,32,3,rect,0.1,<function dropout at 0x7fc3c713ba60>,512,0.5,0.4399999976158142,0.5522388219833374
136,32,3,rect,0.1,<function dropout at 0x7fc3c713ba60>,1024,0.0,0.4399999976158142,0.5522388219833374
137,32,3,rect,0.1,<function dropout at 0x7fc3c713ba60>,1024,0.5,0.4399999976158142,0.5522388219833374
138,32,3,rect,0.01,<function dropout at 0x7fc3c713ba60>,256,0.0,0.7679999828338624,0.8059701323509216
139,32,3,rect,0.01,<function dropout at 0x7fc3c713ba60>,256,0.5,0.4399999976158142,0.5522388219833374
140,32,3,rect,0.01,<function dropout at 0x7fc3c713ba60>,512,0.0,0.7799999833106995,0.8805969953536987
141,32,3,rect,0.01,<function dropout at 0x7fc3c713ba60>,512,0.5,0.4399999976158142,0.5522388219833374
142,32,3,rect,0.01,<function dropout at 0x7fc3c713ba60>,1024,0.0,0.7639999866485597,0.8358209133148193
143,32,3,rect,0.01,<function dropout at 0x7fc3c713ba60>,1024,0.5,0.4399999976158142,0.5522388219833374
