,nlayers,dropoutFn,testAccuracy,learningrate,valAccuracy,dR,layerForm,activationFn,nstart
34,3,<function dropout at 0x7f769db9ea60>,0.07692307978868484,1.0,0.04687499999999999,0.5,cone,3,512
35,3,<function dropout at 0x7f769db9ea60>,0.46153849363327026,1.0,0.515625,0.5,cone,3,1024
36,3,<function dropout at 0x7f769db9ea60>,0.9679487347602844,0.1,0.9921874999999999,0.0,cone,3,256
37,3,<function dropout at 0x7f769db9ea60>,0.9807692766189575,0.1,0.9796874999999999,0.0,cone,3,512
38,3,<function dropout at 0x7f769db9ea60>,0.9743589758872986,0.1,0.99375,0.0,cone,3,1024
39,3,<function dropout at 0x7f769db9ea60>,0.9102564454078674,0.1,0.9375,0.5,cone,3,256
40,3,<function dropout at 0x7f769db9ea60>,0.9102563858032227,0.1,0.9375,0.5,cone,3,512
41,3,<function dropout at 0x7f769db9ea60>,0.9294871687889099,0.1,0.9765625,0.5,cone,3,1024
42,3,<function dropout at 0x7f769db9ea60>,0.9038462042808533,0.01,0.9531250000000001,0.0,cone,3,256
43,3,<function dropout at 0x7f769db9ea60>,0.9294872283935547,0.01,0.9687500000000002,0.0,cone,3,512
44,3,<function dropout at 0x7f769db9ea60>,0.9551281929016113,0.01,0.9999999999999999,0.0,cone,3,1024
45,3,<function dropout at 0x7f769db9ea60>,0.9102564454078674,0.01,0.9312499999999999,0.5,cone,3,256
46,3,<function dropout at 0x7f769db9ea60>,0.8782051801681519,0.01,0.9375,0.5,cone,3,512
47,3,<function dropout at 0x7f769db9ea60>,0.9102563858032227,0.01,0.9328124999999999,0.5,cone,3,1024
48,4,<function dropout at 0x7f769db9ea60>,0.07692307978868484,10.0,0.04687499999999999,0.0,cone,3,256
49,4,<function dropout at 0x7f769db9ea60>,0.07692307978868484,10.0,0.04687499999999999,0.0,cone,3,512
50,4,<function dropout at 0x7f769db9ea60>,0.07692307978868484,10.0,0.04687499999999999,0.0,cone,3,1024
51,4,<function dropout at 0x7f769db9ea60>,0.07692307978868484,10.0,0.04687499999999999,0.5,cone,3,256
52,4,<function dropout at 0x7f769db9ea60>,0.07692307978868484,10.0,0.04687499999999999,0.5,cone,3,512
53,4,<function dropout at 0x7f769db9ea60>,0.07692307978868484,10.0,0.04687499999999999,0.5,cone,3,1024
54,4,<function dropout at 0x7f769db9ea60>,0.46153849363327026,1.0,0.43750000000000006,0.0,cone,3,256
55,4,<function dropout at 0x7f769db9ea60>,0.07692307978868484,1.0,0.04687499999999999,0.0,cone,3,512
56,4,<function dropout at 0x7f769db9ea60>,0.07692307978868484,1.0,0.05156249999999999,0.0,cone,3,1024
57,4,<function dropout at 0x7f769db9ea60>,0.07692307978868484,1.0,0.08593749999999999,0.5,cone,3,256
58,4,<function dropout at 0x7f769db9ea60>,0.07692307978868484,1.0,0.08593749999999999,0.5,cone,3,512
59,4,<function dropout at 0x7f769db9ea60>,0.07692307978868484,1.0,0.04687499999999999,0.5,cone,3,1024
60,4,<function dropout at 0x7f769db9ea60>,0.9679487347602844,0.1,0.9859374999999999,0.0,cone,3,256
61,4,<function dropout at 0x7f769db9ea60>,0.942307710647583,0.1,0.9671875,0.0,cone,3,512
62,4,<function dropout at 0x7f769db9ea60>,0.9615384936332703,0.1,0.9656250000000002,0.0,cone,3,1024
63,4,<function dropout at 0x7f769db9ea60>,0.9102563858032227,0.1,0.9390625,0.5,cone,3,256
64,4,<function dropout at 0x7f769db9ea60>,0.9102563858032227,0.1,0.9375,0.5,cone,3,512
65,4,<function dropout at 0x7f769db9ea60>,0.9743589758872986,0.1,0.98125,0.5,cone,3,1024
66,4,<function dropout at 0x7f769db9ea60>,0.9166666269302368,0.01,0.9531250000000001,0.0,cone,3,256
67,4,<function dropout at 0x7f769db9ea60>,0.9358974695205688,0.01,0.9843749999999999,0.0,cone,3,512
68,4,<function dropout at 0x7f769db9ea60>,0.942307710647583,0.01,0.9687500000000002,0.0,cone,3,1024
69,4,<function dropout at 0x7f769db9ea60>,0.9102564454078674,0.01,0.9515625000000002,0.5,cone,3,256
70,4,<function dropout at 0x7f769db9ea60>,0.8782051801681519,0.01,0.9375,0.5,cone,3,512
71,4,<function dropout at 0x7f769db9ea60>,0.8974359631538391,0.01,0.9375,0.5,cone,3,1024
72,8,<function dropout at 0x7f769db9ea60>,0.07692307978868484,10.0,0.04687499999999999,0.0,cone,3,256
73,8,<function dropout at 0x7f769db9ea60>,0.46153849363327026,10.0,0.43750000000000006,0.0,cone,3,512
74,8,<function dropout at 0x7f769db9ea60>,0.07692307978868484,10.0,0.04687499999999999,0.0,cone,3,1024
75,8,<function dropout at 0x7f769db9ea60>,0.07692307978868484,10.0,0.04687499999999999,0.5,cone,3,256
76,8,<function dropout at 0x7f769db9ea60>,0.07692307978868484,10.0,0.04687499999999999,0.5,cone,3,512
77,8,<function dropout at 0x7f769db9ea60>,0.07692307978868484,10.0,0.04687499999999999,0.5,cone,3,1024
78,8,<function dropout at 0x7f769db9ea60>,0.46153849363327026,1.0,0.49218750000000006,0.0,cone,3,256
79,8,<function dropout at 0x7f769db9ea60>,0.46153849363327026,1.0,0.515625,0.0,cone,3,512
80,8,<function dropout at 0x7f769db9ea60>,0.07692307978868484,1.0,0.04687499999999999,0.0,cone,3,1024
81,8,<function dropout at 0x7f769db9ea60>,0.07692307978868484,1.0,0.04687499999999999,0.5,cone,3,256
82,8,<function dropout at 0x7f769db9ea60>,0.07692307978868484,1.0,0.04687499999999999,0.5,cone,3,512
83,8,<function dropout at 0x7f769db9ea60>,0.07692307978868484,1.0,0.04687499999999999,0.5,cone,3,1024
84,8,<function dropout at 0x7f769db9ea60>,0.9871794581413269,0.1,0.9874999999999998,0.0,cone,3,256
85,8,<function dropout at 0x7f769db9ea60>,0.9166666865348816,0.1,0.9718750000000002,0.0,cone,3,512
86,8,<function dropout at 0x7f769db9ea60>,0.9487179517745972,0.1,0.9875000000000002,0.0,cone,3,1024
87,8,<function dropout at 0x7f769db9ea60>,0.8974359035491943,0.1,0.9171874999999998,0.5,cone,3,256
88,8,<function dropout at 0x7f769db9ea60>,0.44871801137924194,0.1,0.5062500000000001,0.5,cone,3,512
89,8,<function dropout at 0x7f769db9ea60>,0.9038461446762085,0.1,0.9375,0.5,cone,3,1024
90,8,<function dropout at 0x7f769db9ea60>,0.9679487347602844,0.01,0.9874999999999998,0.0,cone,3,256
91,8,<function dropout at 0x7f769db9ea60>,0.9743590354919434,0.01,0.9999999999999999,0.0,cone,3,512
92,8,<function dropout at 0x7f769db9ea60>,0.9679486751556396,0.01,0.9796874999999999,0.0,cone,3,1024
93,8,<function dropout at 0x7f769db9ea60>,0.4871795177459717,0.01,0.4390625000000001,0.5,cone,3,256
94,8,<function dropout at 0x7f769db9ea60>,0.865384578704834,0.01,0.9171874999999999,0.5,cone,3,512
95,8,<function dropout at 0x7f769db9ea60>,0.8012820482254028,0.01,0.8125000000000001,0.5,cone,3,1024
96,16,<function dropout at 0x7f769db9ea60>,0.07692307978868484,10.0,0.04687499999999999,0.0,cone,3,256
97,16,<function dropout at 0x7f769db9ea60>,0.46153849363327026,10.0,0.43750000000000006,0.0,cone,3,512
98,16,<function dropout at 0x7f769db9ea60>,0.07692307978868484,10.0,0.04687499999999999,0.0,cone,3,1024
99,16,<function dropout at 0x7f769db9ea60>,0.07692307978868484,10.0,0.04687499999999999,0.5,cone,3,256
100,16,<function dropout at 0x7f769db9ea60>,0.07692307978868484,10.0,0.04687499999999999,0.5,cone,3,512
101,16,<function dropout at 0x7f769db9ea60>,0.07692307978868484,10.0,0.04687499999999999,0.5,cone,3,1024
102,16,<function dropout at 0x7f769db9ea60>,0.4615384638309479,1.0,0.49218750000000006,0.0,cone,3,256
103,16,<function dropout at 0x7f769db9ea60>,0.07692307978868484,1.0,0.04687499999999999,0.0,cone,3,512
104,16,<function dropout at 0x7f769db9ea60>,0.46153849363327026,1.0,0.49218750000000006,0.0,cone,3,1024
105,16,<function dropout at 0x7f769db9ea60>,0.07692307978868484,1.0,0.04687499999999999,0.5,cone,3,256
106,16,<function dropout at 0x7f769db9ea60>,0.07692307978868484,1.0,0.04687499999999999,0.5,cone,3,512
107,16,<function dropout at 0x7f769db9ea60>,0.07692307978868484,1.0,0.04687499999999999,0.5,cone,3,1024
108,16,<function dropout at 0x7f769db9ea60>,0.9743589758872986,0.1,0.9749999999999999,0.0,cone,3,256
109,16,<function dropout at 0x7f769db9ea60>,0.9807692766189575,0.1,0.9999999999999999,0.0,cone,3,512
110,16,<function dropout at 0x7f769db9ea60>,0.9743589758872986,0.1,0.9671875000000002,0.0,cone,3,1024
111,16,<function dropout at 0x7f769db9ea60>,0.46153849363327026,0.1,0.46093750000000006,0.5,cone,3,256
112,16,<function dropout at 0x7f769db9ea60>,0.07692307978868484,0.1,0.17968750000000008,0.5,cone,3,512
113,16,<function dropout at 0x7f769db9ea60>,0.07692307978868484,0.1,0.04687499999999999,0.5,cone,3,1024
114,16,<function dropout at 0x7f769db9ea60>,0.9102564454078674,0.01,0.9671875000000002,0.0,cone,3,256
115,16,<function dropout at 0x7f769db9ea60>,0.9551281929016113,0.01,0.9828124999999999,0.0,cone,3,512
116,16,<function dropout at 0x7f769db9ea60>,0.9807692766189575,0.01,0.996875,0.0,cone,3,1024
117,16,<function dropout at 0x7f769db9ea60>,0.4615384638309479,0.01,0.50625,0.5,cone,3,256
118,16,<function dropout at 0x7f769db9ea60>,0.4294871985912323,0.01,0.5125000000000001,0.5,cone,3,512
119,16,<function dropout at 0x7f769db9ea60>,0.5512821078300476,0.01,0.6203124999999999,0.5,cone,3,1024
120,32,<function dropout at 0x7f769db9ea60>,0.07692307978868484,10.0,0.04687499999999999,0.0,cone,3,256
121,32,<function dropout at 0x7f769db9ea60>,0.07692307978868484,10.0,0.04687499999999999,0.0,cone,3,512
122,32,<function dropout at 0x7f769db9ea60>,0.07692307978868484,10.0,0.04687499999999999,0.0,cone,3,1024
123,32,<function dropout at 0x7f769db9ea60>,0.07692307978868484,10.0,0.04687499999999999,0.5,cone,3,256
124,32,<function dropout at 0x7f769db9ea60>,0.07692307978868484,10.0,0.04687499999999999,0.5,cone,3,512
125,32,<function dropout at 0x7f769db9ea60>,0.07692307978868484,10.0,0.04687499999999999,0.5,cone,3,1024
126,32,<function dropout at 0x7f769db9ea60>,0.46153849363327026,1.0,0.48437500000000006,0.0,cone,3,256
127,32,<function dropout at 0x7f769db9ea60>,0.46153849363327026,1.0,0.47656250000000006,0.0,cone,3,512
128,32,<function dropout at 0x7f769db9ea60>,0.07692307978868484,1.0,0.04687499999999999,0.0,cone,3,1024
129,32,<function dropout at 0x7f769db9ea60>,0.07692307978868484,1.0,0.04687499999999999,0.5,cone,3,256
130,32,<function dropout at 0x7f769db9ea60>,0.07692307978868484,1.0,0.04687499999999999,0.5,cone,3,512
131,32,<function dropout at 0x7f769db9ea60>,0.07692307978868484,1.0,0.04687499999999999,0.5,cone,3,1024
132,32,<function dropout at 0x7f769db9ea60>,0.8717948794364929,0.1,0.875,0.0,cone,3,256
133,32,<function dropout at 0x7f769db9ea60>,0.884615421295166,0.1,0.9031250000000001,0.0,cone,3,512
134,32,<function dropout at 0x7f769db9ea60>,0.9871794581413269,0.1,0.9734374999999998,0.0,cone,3,1024
135,32,<function dropout at 0x7f769db9ea60>,0.4807692766189575,0.1,0.5359375000000001,0.5,cone,3,256
136,32,<function dropout at 0x7f769db9ea60>,0.07692307978868484,0.1,0.04687499999999999,0.5,cone,3,512
137,32,<function dropout at 0x7f769db9ea60>,0.07692307978868484,0.1,0.04687499999999999,0.5,cone,3,1024
138,32,<function dropout at 0x7f769db9ea60>,0.9038461446762085,0.01,0.9468750000000001,0.0,cone,3,256
139,32,<function dropout at 0x7f769db9ea60>,0.8974359631538391,0.01,0.9,0.0,cone,3,512
140,32,<function dropout at 0x7f769db9ea60>,0.9038461446762085,0.01,0.9296875,0.0,cone,3,1024
141,32,<function dropout at 0x7f769db9ea60>,0.576923131942749,0.01,0.5765625000000001,0.5,cone,3,256
142,32,<function dropout at 0x7f769db9ea60>,0.46153849363327026,0.01,0.4453125,0.5,cone,3,512
143,32,<function dropout at 0x7f769db9ea60>,0.07692307978868484,0.01,0.04687499999999999,0.5,cone,3,1024
