,learningrate,testAccuracy,layerForm,dropoutFn,nstart,activationFn,dR,valAccuracy,nlayers
0,10.0,0.5581395626068115,cone,<function dropout at 0x7fda7d170a60>,256,3,0.0,0.5294117927551268,2
1,10.0,0.44186046719551086,cone,<function dropout at 0x7fda7d170a60>,256,3,0.0,0.4705882370471954,3
2,10.0,0.4418604373931885,cone,<function dropout at 0x7fda7d170a60>,256,3,0.0,0.4705882370471954,4
3,10.0,0.44186046719551086,cone,<function dropout at 0x7fda7d170a60>,256,3,0.0,0.4705882370471954,8
4,10.0,0.44186046719551086,cone,<function dropout at 0x7fda7d170a60>,256,3,0.0,0.5117647260427475,16
5,10.0,0.44186049699783325,cone,<function dropout at 0x7fda7d170a60>,256,3,0.0,0.4705882370471954,32
6,10.0,0.44186049699783325,cone,<function dropout at 0x7fda7d170a60>,256,3,0.5,0.4764705926179885,2
7,10.0,0.4418604373931885,cone,<function dropout at 0x7fda7d170a60>,256,3,0.5,0.4705882370471954,3
8,10.0,0.44186046719551086,cone,<function dropout at 0x7fda7d170a60>,256,3,0.5,0.4705882370471954,4
9,10.0,0.44186046719551086,cone,<function dropout at 0x7fda7d170a60>,256,3,0.5,0.4705882370471954,8
10,10.0,0.44186046719551086,cone,<function dropout at 0x7fda7d170a60>,256,3,0.5,0.4705882370471954,16
11,10.0,0.44186046719551086,cone,<function dropout at 0x7fda7d170a60>,256,3,0.5,0.4705882370471954,32
12,10.0,0.44186046719551086,cone,<function dropout at 0x7fda7d170a60>,512,3,0.0,0.4764705926179885,2
13,10.0,0.44186046719551086,cone,<function dropout at 0x7fda7d170a60>,512,3,0.0,0.4705882370471954,3
14,10.0,0.44186046719551086,cone,<function dropout at 0x7fda7d170a60>,512,3,0.0,0.4705882370471954,4
15,10.0,0.44186046719551086,cone,<function dropout at 0x7fda7d170a60>,512,3,0.0,0.4705882370471954,8
16,10.0,0.44186046719551086,cone,<function dropout at 0x7fda7d170a60>,512,3,0.0,0.4705882370471954,16
17,10.0,0.44186046719551086,cone,<function dropout at 0x7fda7d170a60>,512,3,0.0,0.4705882370471954,32
18,10.0,0.44186046719551086,cone,<function dropout at 0x7fda7d170a60>,512,3,0.5,0.4705882400274276,2
19,10.0,0.4418604373931885,cone,<function dropout at 0x7fda7d170a60>,512,3,0.5,0.4705882400274276,3
20,10.0,0.44186046719551086,cone,<function dropout at 0x7fda7d170a60>,512,3,0.5,0.4705882370471954,4
21,10.0,0.44186049699783325,cone,<function dropout at 0x7fda7d170a60>,512,3,0.5,0.4705882370471954,8
