,layerForm,testAccuracy,dropoutFn,dR,activationFn,nstart,learningrate,nlayers,valAccuracy
0,rect,0.20512820780277252,<function dropout at 0x7fab724a2a60>,0.0,3,256,10.0,2,0.20000000000000007
1,rect,0.20512820780277252,<function dropout at 0x7fab724a2a60>,0.0,3,256,10.0,3,0.12499999999999999
2,rect,0.20512820780277252,<function dropout at 0x7fab724a2a60>,0.0,3,256,10.0,4,0.12499999999999999
3,rect,0.20512820780277252,<function dropout at 0x7fab724a2a60>,0.0,3,256,10.0,8,0.12499999999999999
4,rect,0.20512820780277252,<function dropout at 0x7fab724a2a60>,0.0,3,256,10.0,16,0.12499999999999999
5,rect,0.20512820780277252,<function dropout at 0x7fab724a2a60>,0.0,3,256,10.0,32,0.12499999999999999
6,rect,0.20512820780277252,<function dropout at 0x7fab724a2a60>,0.0,3,256,1.0,2,0.12499999999999999
7,rect,0.20512820780277252,<function dropout at 0x7fab724a2a60>,0.0,3,256,1.0,3,0.12499999999999999
8,rect,0.20512820780277252,<function dropout at 0x7fab724a2a60>,0.0,3,256,1.0,4,0.12499999999999999
9,rect,0.20512820780277252,<function dropout at 0x7fab724a2a60>,0.0,3,256,1.0,8,0.12499999999999999
10,rect,0.20512820780277252,<function dropout at 0x7fab724a2a60>,0.0,3,256,1.0,16,0.12499999999999999
11,rect,0.20512820780277252,<function dropout at 0x7fab724a2a60>,0.0,3,256,1.0,32,0.12499999999999999
12,rect,0.8461538553237915,<function dropout at 0x7fab724a2a60>,0.0,3,256,0.1,2,0.9999999999999999
13,rect,0.8461538553237915,<function dropout at 0x7fab724a2a60>,0.0,3,256,0.1,3,0.9999999999999999
14,rect,0.8461538553237915,<function dropout at 0x7fab724a2a60>,0.0,3,256,0.1,4,0.9250000000000002
15,rect,0.8461538553237915,<function dropout at 0x7fab724a2a60>,0.0,3,256,0.1,8,0.9125000000000001
16,rect,0.20512820780277252,<function dropout at 0x7fab724a2a60>,0.0,3,256,0.1,16,0.20000000000000007
17,rect,0.20512820780277252,<function dropout at 0x7fab724a2a60>,0.0,3,256,0.1,32,0.12499999999999999
18,rect,0.7948718070983887,<function dropout at 0x7fab724a2a60>,0.0,3,256,0.01,2,0.9999999999999999
19,rect,0.8205128312110901,<function dropout at 0x7fab724a2a60>,0.0,3,256,0.01,3,0.9999999999999999
20,rect,0.8717948794364929,<function dropout at 0x7fab724a2a60>,0.0,3,256,0.01,4,0.9999999999999999
21,rect,0.8205128312110901,<function dropout at 0x7fab724a2a60>,0.0,3,256,0.01,8,0.8750000000000001
