,nstart,testAccuracy,valAccuracy,dropoutFn,activationFn,nlayers,learningrate,layerForm,dR
29,256,0.6029412746429443,0.5869565606117249,<function dropout at 0x7f5990effa60>,3,8,0.1,rect,0.5
30,256,0.6029412746429443,0.8217391133308412,<function dropout at 0x7f5990effa60>,3,8,0.01,rect,0.0
31,256,0.7058824300765991,0.795652163028717,<function dropout at 0x7f5990effa60>,3,8,0.01,rect,0.5
32,256,0.6029412746429443,0.5869565606117249,<function dropout at 0x7f5990effa60>,3,16,10.0,rect,0.0
33,256,0.6029412746429443,0.5869565606117249,<function dropout at 0x7f5990effa60>,3,16,10.0,rect,0.5
34,256,0.6029412746429443,0.5869565606117249,<function dropout at 0x7f5990effa60>,3,16,1.0,rect,0.0
35,256,0.6029412746429443,0.5869565606117249,<function dropout at 0x7f5990effa60>,3,16,1.0,rect,0.5
36,256,0.6029412746429443,0.5891304731369018,<function dropout at 0x7f5990effa60>,3,16,0.1,rect,0.0
37,256,0.6029412746429443,0.5869565606117249,<function dropout at 0x7f5990effa60>,3,16,0.1,rect,0.5
38,256,0.6029412746429443,0.8043478131294249,<function dropout at 0x7f5990effa60>,3,16,0.01,rect,0.0
39,256,0.75,0.4956521779298783,<function dropout at 0x7f5990effa60>,3,16,0.01,rect,0.5
40,256,0.6029412746429443,0.5869565606117249,<function dropout at 0x7f5990effa60>,3,32,10.0,rect,0.0
41,256,0.6029412746429443,0.5869565606117249,<function dropout at 0x7f5990effa60>,3,32,10.0,rect,0.5
42,256,0.6029412746429443,0.5869565606117249,<function dropout at 0x7f5990effa60>,3,32,1.0,rect,0.0
43,256,0.6029412746429443,0.5869565606117249,<function dropout at 0x7f5990effa60>,3,32,1.0,rect,0.5
44,256,0.6029412746429443,0.5869565606117249,<function dropout at 0x7f5990effa60>,3,32,0.1,rect,0.0
45,256,0.6029412746429443,0.5869565606117249,<function dropout at 0x7f5990effa60>,3,32,0.1,rect,0.5
46,256,0.2647058963775635,0.7434782624244689,<function dropout at 0x7f5990effa60>,3,32,0.01,rect,0.0
47,256,0.6029412746429443,0.5869565606117249,<function dropout at 0x7f5990effa60>,3,32,0.01,rect,0.5
48,512,0.6029412746429443,0.5869565606117249,<function dropout at 0x7f5990effa60>,3,2,10.0,rect,0.0
49,512,0.6029412746429443,0.5869565606117249,<function dropout at 0x7f5990effa60>,3,2,10.0,rect,0.5
50,512,0.6029412746429443,0.5869565606117249,<function dropout at 0x7f5990effa60>,3,2,1.0,rect,0.0
51,512,0.6029412746429443,0.5869565606117249,<function dropout at 0x7f5990effa60>,3,2,1.0,rect,0.5
52,512,0.6029412746429443,0.819565200805664,<function dropout at 0x7f5990effa60>,3,2,0.1,rect,0.0
53,512,0.6029412746429443,0.806521725654602,<function dropout at 0x7f5990effa60>,3,2,0.1,rect,0.5
54,512,0.6029412746429443,0.8043478131294249,<function dropout at 0x7f5990effa60>,3,2,0.01,rect,0.0
55,512,0.6029412746429443,0.7782608628273012,<function dropout at 0x7f5990effa60>,3,2,0.01,rect,0.5
56,512,0.6029412746429443,0.5869565606117249,<function dropout at 0x7f5990effa60>,3,3,10.0,rect,0.0
57,512,0.6029412746429443,0.5869565606117249,<function dropout at 0x7f5990effa60>,3,3,10.0,rect,0.5
58,512,0.6029412746429443,0.5869565606117249,<function dropout at 0x7f5990effa60>,3,3,1.0,rect,0.0
59,512,0.6029412746429443,0.5869565606117249,<function dropout at 0x7f5990effa60>,3,3,1.0,rect,0.5
60,512,0.6029412746429443,0.8086956381797792,<function dropout at 0x7f5990effa60>,3,3,0.1,rect,0.0
61,512,0.617647111415863,0.813043463230133,<function dropout at 0x7f5990effa60>,3,3,0.1,rect,0.5
62,512,0.617647111415863,0.765217387676239,<function dropout at 0x7f5990effa60>,3,3,0.01,rect,0.0
63,512,0.6029412746429443,0.776086950302124,<function dropout at 0x7f5990effa60>,3,3,0.01,rect,0.5
64,512,0.6029412746429443,0.5869565606117249,<function dropout at 0x7f5990effa60>,3,4,10.0,rect,0.0
65,512,0.6029412746429443,0.5869565606117249,<function dropout at 0x7f5990effa60>,3,4,10.0,rect,0.5
66,512,0.6029412746429443,0.5869565606117249,<function dropout at 0x7f5990effa60>,3,4,1.0,rect,0.0
67,512,0.6029412746429443,0.5869565606117249,<function dropout at 0x7f5990effa60>,3,4,1.0,rect,0.5
68,512,0.6029412746429443,0.773913037776947,<function dropout at 0x7f5990effa60>,3,4,0.1,rect,0.0
69,512,0.6764706373214722,0.8152173757553101,<function dropout at 0x7f5990effa60>,3,4,0.1,rect,0.5
70,512,0.6029412746429443,0.7586956501007079,<function dropout at 0x7f5990effa60>,3,4,0.01,rect,0.0
71,512,0.6029412746429443,0.7695652127265932,<function dropout at 0x7f5990effa60>,3,4,0.01,rect,0.5
72,512,0.6029412746429443,0.5869565606117249,<function dropout at 0x7f5990effa60>,3,8,10.0,rect,0.0
73,512,0.6029412746429443,0.5869565606117249,<function dropout at 0x7f5990effa60>,3,8,10.0,rect,0.5
74,512,0.6029412746429443,0.5869565606117249,<function dropout at 0x7f5990effa60>,3,8,1.0,rect,0.0
75,512,0.6029412746429443,0.5869565606117249,<function dropout at 0x7f5990effa60>,3,8,1.0,rect,0.5
76,512,0.6029412746429443,0.5869565606117249,<function dropout at 0x7f5990effa60>,3,8,0.1,rect,0.0
77,512,0.6029412746429443,0.5869565606117249,<function dropout at 0x7f5990effa60>,3,8,0.1,rect,0.5
78,512,0.6029412746429443,0.723913049697876,<function dropout at 0x7f5990effa60>,3,8,0.01,rect,0.0
79,512,0.6029412746429443,0.7717391252517701,<function dropout at 0x7f5990effa60>,3,8,0.01,rect,0.5
80,512,0.6029412746429443,0.5869565606117249,<function dropout at 0x7f5990effa60>,3,16,10.0,rect,0.0
81,512,0.6029412746429443,0.5869565606117249,<function dropout at 0x7f5990effa60>,3,16,10.0,rect,0.5
82,512,0.6029412746429443,0.5869565606117249,<function dropout at 0x7f5990effa60>,3,16,1.0,rect,0.0
83,512,0.6029412746429443,0.5869565606117249,<function dropout at 0x7f5990effa60>,3,16,1.0,rect,0.5
84,512,0.6029412746429443,0.5869565606117249,<function dropout at 0x7f5990effa60>,3,16,0.1,rect,0.0
85,512,0.6029412746429443,0.5869565606117249,<function dropout at 0x7f5990effa60>,3,16,0.1,rect,0.5
86,512,0.6029412746429443,0.7173913121223449,<function dropout at 0x7f5990effa60>,3,16,0.01,rect,0.0
87,512,0.6029412746429443,0.5869565606117249,<function dropout at 0x7f5990effa60>,3,16,0.01,rect,0.5
88,512,0.6029412746429443,0.5869565606117249,<function dropout at 0x7f5990effa60>,3,32,10.0,rect,0.0
89,512,0.6029412746429443,0.5869565606117249,<function dropout at 0x7f5990effa60>,3,32,10.0,rect,0.5
90,512,0.6029412746429443,0.5869565606117249,<function dropout at 0x7f5990effa60>,3,32,1.0,rect,0.0
91,512,0.6029412746429443,0.5869565606117249,<function dropout at 0x7f5990effa60>,3,32,1.0,rect,0.5
92,512,0.6029412746429443,0.5869565606117249,<function dropout at 0x7f5990effa60>,3,32,0.1,rect,0.0
93,512,0.6029412746429443,0.5869565606117249,<function dropout at 0x7f5990effa60>,3,32,0.1,rect,0.5
94,512,0.6029412746429443,0.7173913121223451,<function dropout at 0x7f5990effa60>,3,32,0.01,rect,0.0
95,512,0.6029412746429443,0.5869565606117249,<function dropout at 0x7f5990effa60>,3,32,0.01,rect,0.5
96,1024,0.6029412746429443,0.5869565606117249,<function dropout at 0x7f5990effa60>,3,2,10.0,rect,0.0
97,1024,0.6029412746429443,0.5869565606117249,<function dropout at 0x7f5990effa60>,3,2,10.0,rect,0.5
98,1024,0.6029412746429443,0.5869565606117249,<function dropout at 0x7f5990effa60>,3,2,1.0,rect,0.0
99,1024,0.6029412746429443,0.5869565606117249,<function dropout at 0x7f5990effa60>,3,2,1.0,rect,0.5
100,1024,0.617647111415863,0.7652173876762391,<function dropout at 0x7f5990effa60>,3,2,0.1,rect,0.0
101,1024,0.6029412746429443,0.806521725654602,<function dropout at 0x7f5990effa60>,3,2,0.1,rect,0.5
102,1024,0.6029412746429443,0.7739130377769472,<function dropout at 0x7f5990effa60>,3,2,0.01,rect,0.0
103,1024,0.6029412746429443,0.8021739006042481,<function dropout at 0x7f5990effa60>,3,2,0.01,rect,0.5
104,1024,0.6029412746429443,0.5869565606117249,<function dropout at 0x7f5990effa60>,3,3,10.0,rect,0.0
105,1024,0.6029412746429443,0.5869565606117249,<function dropout at 0x7f5990effa60>,3,3,10.0,rect,0.5
106,1024,0.6029412746429443,0.5869565606117249,<function dropout at 0x7f5990effa60>,3,3,1.0,rect,0.0
107,1024,0.6029412746429443,0.5869565606117249,<function dropout at 0x7f5990effa60>,3,3,1.0,rect,0.5
108,1024,0.6029412746429443,0.776086950302124,<function dropout at 0x7f5990effa60>,3,3,0.1,rect,0.0
109,1024,0.6029412746429443,0.8065217256546021,<function dropout at 0x7f5990effa60>,3,3,0.1,rect,0.5
110,1024,0.6029412746429443,0.7521739125251772,<function dropout at 0x7f5990effa60>,3,3,0.01,rect,0.0
111,1024,0.6470588445663452,0.786956512928009,<function dropout at 0x7f5990effa60>,3,3,0.01,rect,0.5
112,1024,0.6029412746429443,0.5869565606117249,<function dropout at 0x7f5990effa60>,3,4,10.0,rect,0.0
113,1024,0.6029412746429443,0.5869565606117249,<function dropout at 0x7f5990effa60>,3,4,10.0,rect,0.5
114,1024,0.6029412746429443,0.5869565606117249,<function dropout at 0x7f5990effa60>,3,4,1.0,rect,0.0
115,1024,0.6029412746429443,0.5869565606117249,<function dropout at 0x7f5990effa60>,3,4,1.0,rect,0.5
116,1024,0.6029412746429443,0.7695652127265932,<function dropout at 0x7f5990effa60>,3,4,0.1,rect,0.0
117,1024,0.6029412746429443,0.8130434632301332,<function dropout at 0x7f5990effa60>,3,4,0.1,rect,0.5
118,1024,0.6029412746429443,0.7804347753524781,<function dropout at 0x7f5990effa60>,3,4,0.01,rect,0.0
119,1024,0.6029412746429443,0.813043463230133,<function dropout at 0x7f5990effa60>,3,4,0.01,rect,0.5
120,1024,0.6029412746429443,0.5869565606117249,<function dropout at 0x7f5990effa60>,3,8,10.0,rect,0.0
121,1024,0.6029412746429443,0.5869565606117249,<function dropout at 0x7f5990effa60>,3,8,10.0,rect,0.5
122,1024,0.6029412746429443,0.5869565606117249,<function dropout at 0x7f5990effa60>,3,8,1.0,rect,0.0
123,1024,0.6029412746429443,0.5869565606117249,<function dropout at 0x7f5990effa60>,3,8,1.0,rect,0.5
124,1024,0.6029412746429443,0.5869565606117249,<function dropout at 0x7f5990effa60>,3,8,0.1,rect,0.0
125,1024,0.6029412746429443,0.5869565606117249,<function dropout at 0x7f5990effa60>,3,8,0.1,rect,0.5
126,1024,0.6029412746429443,0.7913043379783631,<function dropout at 0x7f5990effa60>,3,8,0.01,rect,0.0
127,1024,0.3970588445663452,0.726086962223053,<function dropout at 0x7f5990effa60>,3,8,0.01,rect,0.5
128,1024,0.6029412746429443,0.5869565606117249,<function dropout at 0x7f5990effa60>,3,16,10.0,rect,0.0
129,1024,0.6029412746429443,0.5869565606117249,<function dropout at 0x7f5990effa60>,3,16,10.0,rect,0.5
130,1024,0.6029412746429443,0.5869565606117249,<function dropout at 0x7f5990effa60>,3,16,1.0,rect,0.0
131,1024,0.6029412746429443,0.5869565606117249,<function dropout at 0x7f5990effa60>,3,16,1.0,rect,0.5
132,1024,0.6029412746429443,0.5869565606117249,<function dropout at 0x7f5990effa60>,3,16,0.1,rect,0.0
133,1024,0.6029412746429443,0.5869565606117249,<function dropout at 0x7f5990effa60>,3,16,0.1,rect,0.5
134,1024,0.5882353782653809,0.8065217256546019,<function dropout at 0x7f5990effa60>,3,16,0.01,rect,0.0
135,1024,0.6029412746429443,0.5869565606117249,<function dropout at 0x7f5990effa60>,3,16,0.01,rect,0.5
136,1024,0.6029412746429443,0.5869565606117249,<function dropout at 0x7f5990effa60>,3,32,10.0,rect,0.0
137,1024,0.6029412746429443,0.5869565606117249,<function dropout at 0x7f5990effa60>,3,32,10.0,rect,0.5
138,1024,0.6029412746429443,0.5869565606117249,<function dropout at 0x7f5990effa60>,3,32,1.0,rect,0.0
139,1024,0.6029412746429443,0.5869565606117249,<function dropout at 0x7f5990effa60>,3,32,1.0,rect,0.5
140,1024,0.6029412746429443,0.5869565606117249,<function dropout at 0x7f5990effa60>,3,32,0.1,rect,0.0
141,1024,0.6029412746429443,0.5869565606117249,<function dropout at 0x7f5990effa60>,3,32,0.1,rect,0.5
142,1024,0.5735294818878174,0.7391304373741149,<function dropout at 0x7f5990effa60>,3,32,0.01,rect,0.0
143,1024,0.6029412746429443,0.5869565606117249,<function dropout at 0x7f5990effa60>,3,32,0.01,rect,0.5
