,nstart,testAccuracy,valAccuracy,dropoutFn,activationFn,nlayers,learningrate,layerForm,dR
0,256,0.6029412746429443,0.5869565606117249,<function dropout at 0x7f5990effa60>,3,2,10.0,rect,0.0
1,256,0.6029412746429443,0.5869565606117249,<function dropout at 0x7f5990effa60>,3,2,10.0,rect,0.5
2,256,0.6029412746429443,0.5913043856620789,<function dropout at 0x7f5990effa60>,3,2,1.0,rect,0.0
3,256,0.6029412746429443,0.5869565606117249,<function dropout at 0x7f5990effa60>,3,2,1.0,rect,0.5
4,256,0.6029412746429443,0.782608687877655,<function dropout at 0x7f5990effa60>,3,2,0.1,rect,0.0
5,256,0.617647111415863,0.786956512928009,<function dropout at 0x7f5990effa60>,3,2,0.1,rect,0.5
6,256,0.6029412746429443,0.782608687877655,<function dropout at 0x7f5990effa60>,3,2,0.01,rect,0.0
7,256,0.6029412746429443,0.7717391252517702,<function dropout at 0x7f5990effa60>,3,2,0.01,rect,0.5
8,256,0.6029412746429443,0.5869565606117249,<function dropout at 0x7f5990effa60>,3,3,10.0,rect,0.0
9,256,0.6029412746429443,0.5869565606117249,<function dropout at 0x7f5990effa60>,3,3,10.0,rect,0.5
10,256,0.6029412746429443,0.5869565606117249,<function dropout at 0x7f5990effa60>,3,3,1.0,rect,0.0
11,256,0.6029412746429443,0.5869565606117249,<function dropout at 0x7f5990effa60>,3,3,1.0,rect,0.5
12,256,0.617647111415863,0.8304347634315492,<function dropout at 0x7f5990effa60>,3,3,0.1,rect,0.0
13,256,0.6764706373214722,0.79347825050354,<function dropout at 0x7f5990effa60>,3,3,0.1,rect,0.5
14,256,0.6029412746429443,0.799999988079071,<function dropout at 0x7f5990effa60>,3,3,0.01,rect,0.0
15,256,0.6029412746429443,0.7608695626258851,<function dropout at 0x7f5990effa60>,3,3,0.01,rect,0.5
16,256,0.6029412746429443,0.5869565606117249,<function dropout at 0x7f5990effa60>,3,4,10.0,rect,0.0
17,256,0.6029412746429443,0.5869565606117249,<function dropout at 0x7f5990effa60>,3,4,10.0,rect,0.5
18,256,0.6029412746429443,0.5869565606117249,<function dropout at 0x7f5990effa60>,3,4,1.0,rect,0.0
19,256,0.6029412746429443,0.5869565606117249,<function dropout at 0x7f5990effa60>,3,4,1.0,rect,0.5
20,256,0.6029412746429443,0.8195652008056642,<function dropout at 0x7f5990effa60>,3,4,0.1,rect,0.0
21,256,0.6029412746429443,0.8130434632301332,<function dropout at 0x7f5990effa60>,3,4,0.1,rect,0.5
22,256,0.617647111415863,0.808695638179779,<function dropout at 0x7f5990effa60>,3,4,0.01,rect,0.0
23,256,0.6029412746429443,0.8043478131294249,<function dropout at 0x7f5990effa60>,3,4,0.01,rect,0.5
24,256,0.6029412746429443,0.5869565606117249,<function dropout at 0x7f5990effa60>,3,8,10.0,rect,0.0
25,256,0.6029412746429443,0.5869565606117249,<function dropout at 0x7f5990effa60>,3,8,10.0,rect,0.5
26,256,0.6029412746429443,0.5869565606117249,<function dropout at 0x7f5990effa60>,3,8,1.0,rect,0.0
27,256,0.6029412746429443,0.5869565606117249,<function dropout at 0x7f5990effa60>,3,8,1.0,rect,0.5
28,256,0.6029412746429443,0.7891304254531861,<function dropout at 0x7f5990effa60>,3,8,0.1,rect,0.0
