,learningrate,valAccuracy,nstart,dropoutFn,layerForm,activationFn,testAccuracy,nlayers,dR
60,1.0,0.4789473801851273,1024,<function dropout at 0x7f7f93d85a60>,rect,3,0.5,2,0.0
61,1.0,0.4736842215061188,1024,<function dropout at 0x7f7f93d85a60>,rect,3,0.5,2,0.5
62,1.0,0.4736842215061188,1024,<function dropout at 0x7f7f93d85a60>,rect,3,0.5,3,0.0
63,1.0,0.4736842215061188,1024,<function dropout at 0x7f7f93d85a60>,rect,3,0.5,3,0.5
64,1.0,0.4736842215061188,1024,<function dropout at 0x7f7f93d85a60>,rect,3,0.5,4,0.0
65,1.0,0.4736842215061188,1024,<function dropout at 0x7f7f93d85a60>,rect,3,0.5,4,0.5
66,1.0,0.4736842215061188,1024,<function dropout at 0x7f7f93d85a60>,rect,3,0.5,8,0.0
67,1.0,0.4736842215061188,1024,<function dropout at 0x7f7f93d85a60>,rect,3,0.5,8,0.5
68,1.0,0.4736842215061188,1024,<function dropout at 0x7f7f93d85a60>,rect,3,0.5,16,0.0
69,1.0,0.4736842215061188,1024,<function dropout at 0x7f7f93d85a60>,rect,3,0.5,16,0.5
70,1.0,0.4736842215061188,1024,<function dropout at 0x7f7f93d85a60>,rect,3,0.5,32,0.0
71,1.0,0.4736842215061188,1024,<function dropout at 0x7f7f93d85a60>,rect,3,0.5,32,0.5
72,0.1,0.8842105627059937,256,<function dropout at 0x7f7f93d85a60>,rect,3,0.7546296119689941,2,0.0
73,0.1,0.7000000119209291,256,<function dropout at 0x7f7f93d85a60>,rect,3,0.7430555820465088,2,0.5
74,0.1,0.8736842393875122,256,<function dropout at 0x7f7f93d85a60>,rect,3,0.733796238899231,3,0.0
75,0.1,0.8157894849777222,256,<function dropout at 0x7f7f93d85a60>,rect,3,0.8171296715736389,3,0.5
76,0.1,0.4789473801851273,256,<function dropout at 0x7f7f93d85a60>,rect,3,0.5,4,0.0
77,0.1,0.4789473801851273,256,<function dropout at 0x7f7f93d85a60>,rect,3,0.5,4,0.5
78,0.1,0.4789473801851273,256,<function dropout at 0x7f7f93d85a60>,rect,3,0.5,8,0.0
79,0.1,0.4736842215061188,256,<function dropout at 0x7f7f93d85a60>,rect,3,0.5,8,0.5
80,0.1,0.4736842215061188,256,<function dropout at 0x7f7f93d85a60>,rect,3,0.5,16,0.0
81,0.1,0.4736842215061188,256,<function dropout at 0x7f7f93d85a60>,rect,3,0.5,16,0.5
82,0.1,0.4736842215061188,256,<function dropout at 0x7f7f93d85a60>,rect,3,0.5,32,0.0
83,0.1,0.4736842215061188,256,<function dropout at 0x7f7f93d85a60>,rect,3,0.5,32,0.5
84,0.1,0.9263158202171327,512,<function dropout at 0x7f7f93d85a60>,rect,3,0.7523148655891418,2,0.0
85,0.1,0.9421052813529969,512,<function dropout at 0x7f7f93d85a60>,rect,3,0.8240740895271301,2,0.5
86,0.1,0.4789473801851273,512,<function dropout at 0x7f7f93d85a60>,rect,3,0.5,3,0.0
87,0.1,0.4842105388641358,512,<function dropout at 0x7f7f93d85a60>,rect,3,0.5,3,0.5
