,nstart,nlayers,valAccuracy,activationFn,learningrate,testAccuracy,dropoutFn,dR,layerForm
23,256,4,0.31534091532230374,3,0.01,0.32999998331069946,<function dropout at 0x7ffbc4e32a60>,0.5,rect
24,256,8,0.0,3,10.0,0.009999999776482582,<function dropout at 0x7ffbc4e32a60>,0.0,rect
25,256,8,0.0,3,10.0,0.009999999776482582,<function dropout at 0x7ffbc4e32a60>,0.5,rect
26,256,8,0.0,3,1.0,0.009999999776482582,<function dropout at 0x7ffbc4e32a60>,0.0,rect
27,256,8,0.0,3,1.0,0.009999999776482582,<function dropout at 0x7ffbc4e32a60>,0.5,rect
28,256,8,0.6732954740524292,3,0.1,0.6974999308586121,<function dropout at 0x7ffbc4e32a60>,0.0,rect
29,256,8,0.008522727526724339,3,0.1,0.01249999925494194,<function dropout at 0x7ffbc4e32a60>,0.5,rect
30,256,8,0.6386363983154296,3,0.01,0.6299999952316284,<function dropout at 0x7ffbc4e32a60>,0.0,rect
31,256,8,0.04034090954810381,3,0.01,0.057499997317790985,<function dropout at 0x7ffbc4e32a60>,0.5,rect
32,256,16,0.0,3,10.0,0.009999999776482582,<function dropout at 0x7ffbc4e32a60>,0.0,rect
33,256,16,0.0,3,10.0,0.009999999776482582,<function dropout at 0x7ffbc4e32a60>,0.5,rect
34,256,16,0.0,3,1.0,0.009999999776482582,<function dropout at 0x7ffbc4e32a60>,0.0,rect
35,256,16,0.0,3,1.0,0.009999999776482582,<function dropout at 0x7ffbc4e32a60>,0.5,rect
36,256,16,0.6778409481048583,3,0.1,0.6774999499320984,<function dropout at 0x7ffbc4e32a60>,0.0,rect
37,256,16,0.0,3,0.1,0.009999999776482582,<function dropout at 0x7ffbc4e32a60>,0.5,rect
38,256,16,0.6875000119209289,3,0.01,0.6575000286102295,<function dropout at 0x7ffbc4e32a60>,0.0,rect
39,256,16,0.010227273032069205,3,0.01,0.007499999832361937,<function dropout at 0x7ffbc4e32a60>,0.5,rect
40,256,32,0.0,3,10.0,0.009999999776482582,<function dropout at 0x7ffbc4e32a60>,0.0,rect
41,256,32,0.0,3,10.0,0.009999999776482582,<function dropout at 0x7ffbc4e32a60>,0.5,rect
42,256,32,0.0,3,1.0,0.009999999776482582,<function dropout at 0x7ffbc4e32a60>,0.0,rect
43,256,32,0.0,3,1.0,0.009999999776482582,<function dropout at 0x7ffbc4e32a60>,0.5,rect
44,256,32,0.4261363714933395,3,0.1,0.4375,<function dropout at 0x7ffbc4e32a60>,0.0,rect
45,256,32,0.0,3,0.1,0.009999999776482582,<function dropout at 0x7ffbc4e32a60>,0.5,rect
46,256,32,0.6198863625526428,3,0.01,0.6325000524520874,<function dropout at 0x7ffbc4e32a60>,0.0,rect
47,256,32,0.0,3,0.01,0.009999999776482582,<function dropout at 0x7ffbc4e32a60>,0.5,rect
48,512,2,0.0,3,10.0,0.009999999776482582,<function dropout at 0x7ffbc4e32a60>,0.0,rect
49,512,2,0.0,3,10.0,0.009999999776482582,<function dropout at 0x7ffbc4e32a60>,0.5,rect
50,512,2,0.0005681818351149559,3,1.0,0.009999999776482582,<function dropout at 0x7ffbc4e32a60>,0.0,rect
51,512,2,0.0005681818351149559,3,1.0,0.009999999776482582,<function dropout at 0x7ffbc4e32a60>,0.5,rect
52,512,2,0.621590930223465,3,0.1,0.6624999046325684,<function dropout at 0x7ffbc4e32a60>,0.0,rect
53,512,2,0.6232954919338226,3,0.1,0.6024999618530273,<function dropout at 0x7ffbc4e32a60>,0.5,rect
54,512,2,0.510227283835411,3,0.01,0.5299999117851257,<function dropout at 0x7ffbc4e32a60>,0.0,rect
55,512,2,0.4443181782960893,3,0.01,0.44999998807907104,<function dropout at 0x7ffbc4e32a60>,0.5,rect
56,512,3,0.0,3,10.0,0.009999999776482582,<function dropout at 0x7ffbc4e32a60>,0.0,rect
57,512,3,0.0,3,10.0,0.009999999776482582,<function dropout at 0x7ffbc4e32a60>,0.5,rect
58,512,3,0.0,3,1.0,0.009999999776482582,<function dropout at 0x7ffbc4e32a60>,0.0,rect
59,512,3,0.0,3,1.0,0.009999999776482582,<function dropout at 0x7ffbc4e32a60>,0.5,rect
60,512,3,0.6738636553287506,3,0.1,0.6875,<function dropout at 0x7ffbc4e32a60>,0.0,rect
61,512,3,0.636931824684143,3,0.1,0.60999995470047,<function dropout at 0x7ffbc4e32a60>,0.5,rect
62,512,3,0.5125000298023225,3,0.01,0.5400000214576721,<function dropout at 0x7ffbc4e32a60>,0.0,rect
63,512,3,0.4448863714933396,3,0.01,0.44749999046325684,<function dropout at 0x7ffbc4e32a60>,0.5,rect
64,512,4,0.0,3,10.0,0.009999999776482582,<function dropout at 0x7ffbc4e32a60>,0.0,rect
65,512,4,0.0,3,10.0,0.009999999776482582,<function dropout at 0x7ffbc4e32a60>,0.5,rect
66,512,4,0.0,3,1.0,0.009999999776482582,<function dropout at 0x7ffbc4e32a60>,0.0,rect
67,512,4,0.0,3,1.0,0.009999999776482582,<function dropout at 0x7ffbc4e32a60>,0.5,rect
68,512,4,0.6318181872367858,3,0.1,0.5924999713897705,<function dropout at 0x7ffbc4e32a60>,0.0,rect
69,512,4,0.5988636612892152,3,0.1,0.5799999833106995,<function dropout at 0x7ffbc4e32a60>,0.5,rect
70,512,4,0.5659090995788575,3,0.01,0.5424999594688416,<function dropout at 0x7ffbc4e32a60>,0.0,rect
71,512,4,0.40625001788139353,3,0.01,0.4374999701976776,<function dropout at 0x7ffbc4e32a60>,0.5,rect
72,512,8,0.0,3,10.0,0.009999999776482582,<function dropout at 0x7ffbc4e32a60>,0.0,rect
73,512,8,0.0,3,10.0,0.009999999776482582,<function dropout at 0x7ffbc4e32a60>,0.5,rect
74,512,8,0.0,3,1.0,0.009999999776482582,<function dropout at 0x7ffbc4e32a60>,0.0,rect
