,dR,learningrate,layerForm,testAccuracy,nlayers,nstart,activationFn,valAccuracy,dropoutFn
0,0.0,10.0,rect,0.7637733221054077,2,256,3,0.7517905950546266,<function dropout at 0x7f95c6548a60>
1,0.0,10.0,rect,0.7637733817100525,2,512,3,0.7517905831336976,<function dropout at 0x7f95c6548a60>
2,0.0,10.0,rect,0.7637733817100525,2,1024,3,0.7517905950546266,<function dropout at 0x7f95c6548a60>
3,0.0,10.0,rect,0.7637733817100525,3,256,3,0.7517906129360201,<function dropout at 0x7f95c6548a60>
4,0.0,10.0,rect,0.7637733221054077,3,512,3,0.7517906010150911,<function dropout at 0x7f95c6548a60>
5,0.0,10.0,rect,0.7637733817100525,3,1024,3,0.7517905890941622,<function dropout at 0x7f95c6548a60>
6,0.0,10.0,rect,0.7637733817100525,4,256,3,0.7517905890941622,<function dropout at 0x7f95c6548a60>
7,0.0,10.0,rect,0.7637733817100525,4,512,3,0.7517905950546266,<function dropout at 0x7f95c6548a60>
8,0.0,10.0,rect,0.7637733817100525,4,1024,3,0.7517906188964846,<function dropout at 0x7f95c6548a60>
9,0.0,10.0,rect,0.7637733817100525,8,256,3,0.7517906010150911,<function dropout at 0x7f95c6548a60>
10,0.0,10.0,rect,0.7637733817100525,8,512,3,0.7517905950546266,<function dropout at 0x7f95c6548a60>
11,0.0,10.0,rect,0.7637733817100525,8,1024,3,0.7517905950546265,<function dropout at 0x7f95c6548a60>
12,0.0,10.0,rect,0.7637733817100525,16,256,3,0.7517905771732332,<function dropout at 0x7f95c6548a60>
13,0.0,10.0,rect,0.7637733817100525,16,512,3,0.7517905890941621,<function dropout at 0x7f95c6548a60>
14,0.0,10.0,rect,0.7637733221054077,16,1024,3,0.7517906129360201,<function dropout at 0x7f95c6548a60>
15,0.0,10.0,rect,0.7637733817100525,32,256,3,0.7517905771732332,<function dropout at 0x7f95c6548a60>
16,0.0,10.0,rect,0.7637733817100525,32,512,3,0.7517906010150911,<function dropout at 0x7f95c6548a60>
17,0.0,10.0,rect,0.7637733817100525,32,1024,3,0.7517905890941622,<function dropout at 0x7f95c6548a60>
18,0.0,1.0,rect,0.7637733221054077,2,256,3,0.751790624856949,<function dropout at 0x7f95c6548a60>
19,0.0,1.0,rect,0.7637733817100525,2,512,3,0.7517905831336976,<function dropout at 0x7f95c6548a60>
20,0.0,1.0,rect,0.7637733817100525,2,1024,3,0.751790624856949,<function dropout at 0x7f95c6548a60>
21,0.0,1.0,rect,0.7637733221054077,3,256,3,0.751790601015091,<function dropout at 0x7f95c6548a60>
22,0.0,1.0,rect,0.7637733817100525,3,512,3,0.7517906069755556,<function dropout at 0x7f95c6548a60>
23,0.0,1.0,rect,0.7637733817100525,3,1024,3,0.7517905712127686,<function dropout at 0x7f95c6548a60>
24,0.0,1.0,rect,0.7637733817100525,4,256,3,0.7517905831336976,<function dropout at 0x7f95c6548a60>
25,0.0,1.0,rect,0.7637733817100525,4,512,3,0.7517905950546266,<function dropout at 0x7f95c6548a60>
26,0.0,1.0,rect,0.7637733221054077,4,1024,3,0.7517905831336976,<function dropout at 0x7f95c6548a60>
27,0.0,1.0,rect,0.7637733817100525,8,256,3,0.7517905831336976,<function dropout at 0x7f95c6548a60>
28,0.0,1.0,rect,0.7637733817100525,8,512,3,0.7517905890941622,<function dropout at 0x7f95c6548a60>
29,0.0,1.0,rect,0.7637733817100525,8,1024,3,0.7517906069755556,<function dropout at 0x7f95c6548a60>
30,0.0,1.0,rect,0.7637733817100525,16,256,3,0.7517906010150912,<function dropout at 0x7f95c6548a60>
31,0.0,1.0,rect,0.7637733817100525,16,512,3,0.751790601015091,<function dropout at 0x7f95c6548a60>
32,0.0,1.0,rect,0.7637733817100525,16,1024,3,0.7517905831336976,<function dropout at 0x7f95c6548a60>
33,0.0,1.0,rect,0.7637733817100525,32,256,3,0.7517905950546266,<function dropout at 0x7f95c6548a60>
34,0.0,1.0,rect,0.7637733221054077,32,512,3,0.7517905950546266,<function dropout at 0x7f95c6548a60>
