,activationFn,learningrate,layerForm,dR,nstart,testAccuracy,valAccuracy,dropoutFn,nlayers
0,3,10.0,cone,0.0,256,0.320754736661911,0.3179487526416779,<function dropout at 0x7f1e11838a60>,2
1,3,10.0,cone,0.0,256,0.3207547068595886,0.3179487556219101,<function dropout at 0x7f1e11838a60>,3
2,3,10.0,cone,0.0,256,0.320754736661911,0.31794875860214233,<function dropout at 0x7f1e11838a60>,4
3,3,10.0,cone,0.0,256,0.3207547068595886,0.31794874966144565,<function dropout at 0x7f1e11838a60>,8
4,3,10.0,cone,0.0,256,0.3207547068595886,0.31794875860214233,<function dropout at 0x7f1e11838a60>,16
5,3,10.0,cone,0.0,256,0.3207547068595886,0.31794875860214233,<function dropout at 0x7f1e11838a60>,32
6,3,10.0,cone,0.0,512,0.3207547068595886,0.3179487526416779,<function dropout at 0x7f1e11838a60>,2
7,3,10.0,cone,0.0,512,0.320754736661911,0.31794874966144565,<function dropout at 0x7f1e11838a60>,3
8,3,10.0,cone,0.0,512,0.320754736661911,0.3179487556219101,<function dropout at 0x7f1e11838a60>,4
9,3,10.0,cone,0.0,512,0.3207547068595886,0.31794875860214233,<function dropout at 0x7f1e11838a60>,8
10,3,10.0,cone,0.0,512,0.3207547068595886,0.31794875860214233,<function dropout at 0x7f1e11838a60>,16
11,3,10.0,cone,0.0,512,0.3207547068595886,0.3179487347602845,<function dropout at 0x7f1e11838a60>,32
12,3,10.0,cone,0.0,1024,0.320754736661911,0.3179487556219101,<function dropout at 0x7f1e11838a60>,2
13,3,10.0,cone,0.0,1024,0.3207547068595886,0.3179487556219101,<function dropout at 0x7f1e11838a60>,3
14,3,10.0,cone,0.0,1024,0.320754736661911,0.3179487556219101,<function dropout at 0x7f1e11838a60>,4
15,3,10.0,cone,0.0,1024,0.3207547068595886,0.3179487556219101,<function dropout at 0x7f1e11838a60>,8
16,3,10.0,cone,0.0,1024,0.3207547068595886,0.3179487526416779,<function dropout at 0x7f1e11838a60>,16
17,3,10.0,cone,0.0,1024,0.3207547068595886,0.31794875860214233,<function dropout at 0x7f1e11838a60>,32
18,3,10.0,cone,0.5,256,0.3207547068595886,0.31794874072074897,<function dropout at 0x7f1e11838a60>,2
19,3,10.0,cone,0.5,256,0.3207547068595886,0.3179487526416779,<function dropout at 0x7f1e11838a60>,3
20,3,10.0,cone,0.5,256,0.3207547068595886,0.31794875860214233,<function dropout at 0x7f1e11838a60>,4
21,3,10.0,cone,0.5,256,0.320754736661911,0.31794875860214233,<function dropout at 0x7f1e11838a60>,8
22,3,10.0,cone,0.5,256,0.320754736661911,0.3179487526416779,<function dropout at 0x7f1e11838a60>,16
23,3,10.0,cone,0.5,256,0.320754736661911,0.31794875860214233,<function dropout at 0x7f1e11838a60>,32
24,3,10.0,cone,0.5,512,0.320754736661911,0.31794875860214233,<function dropout at 0x7f1e11838a60>,2
25,3,10.0,cone,0.5,512,0.320754736661911,0.31794875860214233,<function dropout at 0x7f1e11838a60>,3
26,3,10.0,cone,0.5,512,0.3207547068595886,0.3179487556219101,<function dropout at 0x7f1e11838a60>,4
27,3,10.0,cone,0.5,512,0.320754736661911,0.3179487347602845,<function dropout at 0x7f1e11838a60>,8
28,3,10.0,cone,0.5,512,0.3207547068595886,0.31794875860214233,<function dropout at 0x7f1e11838a60>,16
29,3,10.0,cone,0.5,512,0.320754736661911,0.31794872879982,<function dropout at 0x7f1e11838a60>,32
30,3,10.0,cone,0.5,1024,0.3207547068595886,0.3179487466812134,<function dropout at 0x7f1e11838a60>,2
31,3,10.0,cone,0.5,1024,0.3207547068595886,0.31794874966144565,<function dropout at 0x7f1e11838a60>,3
32,3,10.0,cone,0.5,1024,0.3207547068595886,0.3179487556219101,<function dropout at 0x7f1e11838a60>,4
33,3,10.0,cone,0.5,1024,0.3207547068595886,0.3179487437009812,<function dropout at 0x7f1e11838a60>,8
34,3,10.0,cone,0.5,1024,0.3207547068595886,0.31794875860214233,<function dropout at 0x7f1e11838a60>,16
35,3,10.0,cone,0.5,1024,0.3207547068595886,0.31794875860214233,<function dropout at 0x7f1e11838a60>,32
36,3,1.0,cone,0.0,256,0.5552560091018677,0.5010256707668305,<function dropout at 0x7f1e11838a60>,2
37,3,1.0,cone,0.0,256,0.28840968012809753,0.29743590950965887,<function dropout at 0x7f1e11838a60>,3
38,3,1.0,cone,0.0,256,0.320754736661911,0.31794875860214233,<function dropout at 0x7f1e11838a60>,4
39,3,1.0,cone,0.0,256,0.3207547068595886,0.31794875860214233,<function dropout at 0x7f1e11838a60>,8
40,3,1.0,cone,0.0,256,0.3207547068595886,0.3179487556219101,<function dropout at 0x7f1e11838a60>,16
41,3,1.0,cone,0.0,256,0.3207547068595886,0.31794875860214233,<function dropout at 0x7f1e11838a60>,32
42,3,1.0,cone,0.0,512,0.3207547068595886,0.31794875860214233,<function dropout at 0x7f1e11838a60>,2
43,3,1.0,cone,0.0,512,0.3207547068595886,0.31794875860214233,<function dropout at 0x7f1e11838a60>,3
44,3,1.0,cone,0.0,512,0.3207547068595886,0.3179487526416779,<function dropout at 0x7f1e11838a60>,4
45,3,1.0,cone,0.0,512,0.3207547068595886,0.31794875860214233,<function dropout at 0x7f1e11838a60>,8
46,3,1.0,cone,0.0,512,0.3207547068595886,0.31794875860214233,<function dropout at 0x7f1e11838a60>,16
47,3,1.0,cone,0.0,512,0.3207547068595886,0.31794875860214233,<function dropout at 0x7f1e11838a60>,32
