,dR,valAccuracy,testAccuracy,activationFn,nstart,dropoutFn,nlayers,learningrate,layerForm
0,0.0,0.41238937973976125,0.3294117748737335,3,256,<function dropout at 0x7f442f77aa60>,2,10.0,rect
1,0.0,0.3628318607807159,0.3294117748737335,3,256,<function dropout at 0x7f442f77aa60>,2,1.0,rect
2,0.0,0.8761061489582063,0.8352941274642944,3,256,<function dropout at 0x7f442f77aa60>,2,0.1,rect
3,0.0,0.7902654886245729,0.7647058963775635,3,256,<function dropout at 0x7f442f77aa60>,2,0.01,rect
4,0.0,0.3628318607807159,0.3294117748737335,3,256,<function dropout at 0x7f442f77aa60>,3,10.0,rect
5,0.0,0.39026548564434044,0.3294117748737335,3,256,<function dropout at 0x7f442f77aa60>,3,1.0,rect
6,0.0,0.8610619127750396,0.8274509906768799,3,256,<function dropout at 0x7f442f77aa60>,3,0.1,rect
7,0.0,0.8415928721427918,0.8196078538894653,3,256,<function dropout at 0x7f442f77aa60>,3,0.01,rect
8,0.0,0.3628318607807159,0.3294117748737335,3,256,<function dropout at 0x7f442f77aa60>,4,10.0,rect
9,0.0,0.3628318607807159,0.3294117748737335,3,256,<function dropout at 0x7f442f77aa60>,4,1.0,rect
10,0.0,0.851327407360077,0.8313725590705872,3,256,<function dropout at 0x7f442f77aa60>,4,0.1,rect
11,0.0,0.8486725389957428,0.8313725590705872,3,256,<function dropout at 0x7f442f77aa60>,4,0.01,rect
12,0.0,0.3628318607807159,0.3294117748737335,3,256,<function dropout at 0x7f442f77aa60>,8,10.0,rect
13,0.0,0.3628318607807159,0.3294117748737335,3,256,<function dropout at 0x7f442f77aa60>,8,1.0,rect
14,0.0,0.8610619127750396,0.8039215803146362,3,256,<function dropout at 0x7f442f77aa60>,8,0.1,rect
15,0.0,0.8734512746334077,0.8196078538894653,3,256,<function dropout at 0x7f442f77aa60>,8,0.01,rect
16,0.0,0.3628318607807159,0.3294117748737335,3,256,<function dropout at 0x7f442f77aa60>,16,10.0,rect
17,0.0,0.3628318607807159,0.3294117748737335,3,256,<function dropout at 0x7f442f77aa60>,16,1.0,rect
18,0.0,0.39026548564434044,0.3294117748737335,3,256,<function dropout at 0x7f442f77aa60>,16,0.1,rect
19,0.0,0.8646017491817475,0.7882353067398071,3,256,<function dropout at 0x7f442f77aa60>,16,0.01,rect
20,0.0,0.3628318607807159,0.3294117748737335,3,256,<function dropout at 0x7f442f77aa60>,32,10.0,rect
21,0.0,0.3628318607807159,0.3294117748737335,3,256,<function dropout at 0x7f442f77aa60>,32,1.0,rect
22,0.0,0.3628318607807159,0.3294117748737335,3,256,<function dropout at 0x7f442f77aa60>,32,0.1,rect
23,0.0,0.8150442481040955,0.772549033164978,3,256,<function dropout at 0x7f442f77aa60>,32,0.01,rect
24,0.0,0.39026548564434044,0.3294117748737335,3,512,<function dropout at 0x7f442f77aa60>,2,10.0,rect
25,0.0,0.39026548564434044,0.3294117748737335,3,512,<function dropout at 0x7f442f77aa60>,2,1.0,rect
26,0.0,0.856637144088745,0.8078431487083435,3,512,<function dropout at 0x7f442f77aa60>,2,0.1,rect
27,0.0,0.8646017372608185,0.8078431487083435,3,512,<function dropout at 0x7f442f77aa60>,2,0.01,rect
28,0.0,0.3628318607807159,0.3294117748737335,3,512,<function dropout at 0x7f442f77aa60>,3,10.0,rect
29,0.0,0.3628318607807159,0.3294117748737335,3,512,<function dropout at 0x7f442f77aa60>,3,1.0,rect
30,0.0,0.8646017253398895,0.7843137383460999,3,512,<function dropout at 0x7f442f77aa60>,3,0.1,rect
31,0.0,0.8778760671615602,0.8392156958580017,3,512,<function dropout at 0x7f442f77aa60>,3,0.01,rect
32,0.0,0.3628318607807159,0.3294117748737335,3,512,<function dropout at 0x7f442f77aa60>,4,10.0,rect
33,0.0,0.3628318607807159,0.3294117748737335,3,512,<function dropout at 0x7f442f77aa60>,4,1.0,rect
34,0.0,0.870796424150467,0.800000011920929,3,512,<function dropout at 0x7f442f77aa60>,4,0.1,rect
35,0.0,0.8548672318458558,0.8235294222831726,3,512,<function dropout at 0x7f442f77aa60>,4,0.01,rect
36,0.0,0.3628318607807159,0.3294117748737335,3,512,<function dropout at 0x7f442f77aa60>,8,10.0,rect
37,0.0,0.3628318607807159,0.3294117748737335,3,512,<function dropout at 0x7f442f77aa60>,8,1.0,rect
38,0.0,0.3769911497831344,0.3294117748737335,3,512,<function dropout at 0x7f442f77aa60>,8,0.1,rect
39,0.0,0.875221198797226,0.7921568751335144,3,512,<function dropout at 0x7f442f77aa60>,8,0.01,rect
40,0.0,0.3628318607807159,0.3294117748737335,3,512,<function dropout at 0x7f442f77aa60>,16,10.0,rect
41,0.0,0.3628318607807159,0.3294117748737335,3,512,<function dropout at 0x7f442f77aa60>,16,1.0,rect
42,0.0,0.3628318607807159,0.3294117748737335,3,512,<function dropout at 0x7f442f77aa60>,16,0.1,rect
43,0.0,0.8681415736675263,0.8117647171020508,3,512,<function dropout at 0x7f442f77aa60>,16,0.01,rect
44,0.0,0.3628318607807159,0.3294117748737335,3,512,<function dropout at 0x7f442f77aa60>,32,10.0,rect
45,0.0,0.3628318607807159,0.3294117748737335,3,512,<function dropout at 0x7f442f77aa60>,32,1.0,rect
46,0.0,0.3628318607807159,0.3294117748737335,3,512,<function dropout at 0x7f442f77aa60>,32,0.1,rect
47,0.0,0.8451327323913574,0.7882353067398071,3,512,<function dropout at 0x7f442f77aa60>,32,0.01,rect
48,0.0,0.39026548564434044,0.3294117748737335,3,1024,<function dropout at 0x7f442f77aa60>,2,10.0,rect
49,0.0,0.39026548564434044,0.3294117748737335,3,1024,<function dropout at 0x7f442f77aa60>,2,1.0,rect
50,0.0,0.8389380335807799,0.6313725709915161,3,1024,<function dropout at 0x7f442f77aa60>,2,0.1,rect
51,0.0,0.8530973076820372,0.8392156958580017,3,1024,<function dropout at 0x7f442f77aa60>,2,0.01,rect
52,0.0,0.3628318607807159,0.3294117748737335,3,1024,<function dropout at 0x7f442f77aa60>,3,10.0,rect
53,0.0,0.3628318607807159,0.3294117748737335,3,1024,<function dropout at 0x7f442f77aa60>,3,1.0,rect
54,0.0,0.8610619127750396,0.7921568751335144,3,1024,<function dropout at 0x7f442f77aa60>,3,0.1,rect
55,0.0,0.862831825017929,0.8156862854957581,3,1024,<function dropout at 0x7f442f77aa60>,3,0.01,rect
56,0.0,0.3628318607807159,0.3294117748737335,3,1024,<function dropout at 0x7f442f77aa60>,4,10.0,rect
57,0.0,0.3628318607807159,0.3294117748737335,3,1024,<function dropout at 0x7f442f77aa60>,4,1.0,rect
58,0.0,0.42477875351905814,0.3294117748737335,3,1024,<function dropout at 0x7f442f77aa60>,4,0.1,rect
59,0.0,0.8548672378063201,0.843137264251709,3,1024,<function dropout at 0x7f442f77aa60>,4,0.01,rect
60,0.0,0.3628318607807159,0.3294117748737335,3,1024,<function dropout at 0x7f442f77aa60>,8,10.0,rect
61,0.0,0.3628318607807159,0.3294117748737335,3,1024,<function dropout at 0x7f442f77aa60>,8,1.0,rect
62,0.0,0.39026548564434044,0.3294117748737335,3,1024,<function dropout at 0x7f442f77aa60>,8,0.1,rect
63,0.0,0.8690265119075777,0.8078431487083435,3,1024,<function dropout at 0x7f442f77aa60>,8,0.01,rect
64,0.0,0.3628318607807159,0.3294117748737335,3,1024,<function dropout at 0x7f442f77aa60>,16,10.0,rect
65,0.0,0.3628318607807159,0.3294117748737335,3,1024,<function dropout at 0x7f442f77aa60>,16,1.0,rect
66,0.0,0.3628318607807159,0.3294117748737335,3,1024,<function dropout at 0x7f442f77aa60>,16,0.1,rect
67,0.0,0.8557521998882294,0.7960784435272217,3,1024,<function dropout at 0x7f442f77aa60>,16,0.01,rect
68,0.0,0.3628318607807159,0.3294117748737335,3,1024,<function dropout at 0x7f442f77aa60>,32,10.0,rect
69,0.0,0.3628318607807159,0.3294117748737335,3,1024,<function dropout at 0x7f442f77aa60>,32,1.0,rect
70,0.0,0.3628318607807159,0.3294117748737335,3,1024,<function dropout at 0x7f442f77aa60>,32,0.1,rect
71,0.0,0.8283185899257659,0.6823529601097107,3,1024,<function dropout at 0x7f442f77aa60>,32,0.01,rect
72,0.5,0.39026548564434044,0.3294117748737335,3,256,<function dropout at 0x7f442f77aa60>,2,10.0,rect
73,0.5,0.39026548564434044,0.3294117748737335,3,256,<function dropout at 0x7f442f77aa60>,2,1.0,rect
74,0.5,0.8017699122428894,0.772549033164978,3,256,<function dropout at 0x7f442f77aa60>,2,0.1,rect
75,0.5,0.7610619127750398,0.7215686440467834,3,256,<function dropout at 0x7f442f77aa60>,2,0.01,rect
76,0.5,0.3628318607807159,0.3294117748737335,3,256,<function dropout at 0x7f442f77aa60>,3,10.0,rect
77,0.5,0.39026548564434044,0.3294117748737335,3,256,<function dropout at 0x7f442f77aa60>,3,1.0,rect
78,0.5,0.8221238732337953,0.7607843279838562,3,256,<function dropout at 0x7f442f77aa60>,3,0.1,rect
79,0.5,0.7610619485378265,0.6784313917160034,3,256,<function dropout at 0x7f442f77aa60>,3,0.01,rect
80,0.5,0.3628318607807159,0.3294117748737335,3,256,<function dropout at 0x7f442f77aa60>,4,10.0,rect
81,0.5,0.3628318607807159,0.3294117748737335,3,256,<function dropout at 0x7f442f77aa60>,4,1.0,rect
82,0.5,0.832743340730667,0.7529411911964417,3,256,<function dropout at 0x7f442f77aa60>,4,0.1,rect
83,0.5,0.7442477762699127,0.658823549747467,3,256,<function dropout at 0x7f442f77aa60>,4,0.01,rect
84,0.5,0.3628318607807159,0.3294117748737335,3,256,<function dropout at 0x7f442f77aa60>,8,10.0,rect
85,0.5,0.3628318607807159,0.3294117748737335,3,256,<function dropout at 0x7f442f77aa60>,8,1.0,rect
86,0.5,0.6876106023788453,0.658823549747467,3,256,<function dropout at 0x7f442f77aa60>,8,0.1,rect
87,0.5,0.6831858098506927,0.6313725709915161,3,256,<function dropout at 0x7f442f77aa60>,8,0.01,rect
88,0.5,0.3628318607807159,0.3294117748737335,3,256,<function dropout at 0x7f442f77aa60>,16,10.0,rect
89,0.5,0.3628318607807159,0.3294117748737335,3,256,<function dropout at 0x7f442f77aa60>,16,1.0,rect
