,dropoutFn,layerForm,dR,learningrate,valAccuracy,nstart,nlayers,activationFn,testAccuracy
0,<function dropout at 0x7f6c16353a60>,cone,0.0,10.0,0.625,256,2,3,0.5
1,<function dropout at 0x7f6c16353a60>,cone,0.0,10.0,0.625,256,3,3,0.5
2,<function dropout at 0x7f6c16353a60>,cone,0.0,10.0,0.625,256,4,3,0.5
3,<function dropout at 0x7f6c16353a60>,cone,0.0,10.0,0.37499999999999994,256,8,3,0.5000000596046448
4,<function dropout at 0x7f6c16353a60>,cone,0.0,10.0,0.55,256,16,3,0.5
5,<function dropout at 0x7f6c16353a60>,cone,0.0,10.0,0.625,256,32,3,0.5
6,<function dropout at 0x7f6c16353a60>,cone,0.0,10.0,0.625,512,2,3,0.5
7,<function dropout at 0x7f6c16353a60>,cone,0.0,10.0,0.625,512,3,3,0.5
8,<function dropout at 0x7f6c16353a60>,cone,0.0,10.0,0.625,512,4,3,0.5
9,<function dropout at 0x7f6c16353a60>,cone,0.0,10.0,0.625,512,8,3,0.5
10,<function dropout at 0x7f6c16353a60>,cone,0.0,10.0,0.525,512,16,3,0.5
11,<function dropout at 0x7f6c16353a60>,cone,0.0,10.0,0.625,512,32,3,0.5
12,<function dropout at 0x7f6c16353a60>,cone,0.0,10.0,0.625,1024,2,3,0.5
13,<function dropout at 0x7f6c16353a60>,cone,0.0,10.0,0.625,1024,3,3,0.5
14,<function dropout at 0x7f6c16353a60>,cone,0.0,10.0,0.625,1024,4,3,0.5
15,<function dropout at 0x7f6c16353a60>,cone,0.0,10.0,0.625,1024,8,3,0.5
16,<function dropout at 0x7f6c16353a60>,cone,0.0,10.0,0.625,1024,16,3,0.5
17,<function dropout at 0x7f6c16353a60>,cone,0.0,10.0,0.625,1024,32,3,0.5
18,<function dropout at 0x7f6c16353a60>,cone,0.0,1.0,0.625,256,2,3,0.45370373129844666
19,<function dropout at 0x7f6c16353a60>,cone,0.0,1.0,0.525,256,3,3,0.5
20,<function dropout at 0x7f6c16353a60>,cone,0.0,1.0,0.5,256,4,3,0.5578703880310059
21,<function dropout at 0x7f6c16353a60>,cone,0.0,1.0,0.525,256,8,3,0.49768519401550293
22,<function dropout at 0x7f6c16353a60>,cone,0.0,1.0,0.625,256,16,3,0.5
23,<function dropout at 0x7f6c16353a60>,cone,0.0,1.0,0.525,256,32,3,0.5000000596046448
24,<function dropout at 0x7f6c16353a60>,cone,0.0,1.0,0.625,512,2,3,0.5
25,<function dropout at 0x7f6c16353a60>,cone,0.0,1.0,0.625,512,3,3,0.5
26,<function dropout at 0x7f6c16353a60>,cone,0.0,1.0,0.625,512,4,3,0.5
27,<function dropout at 0x7f6c16353a60>,cone,0.0,1.0,0.475,512,8,3,0.49768519401550293
28,<function dropout at 0x7f6c16353a60>,cone,0.0,1.0,0.625,512,16,3,0.5
29,<function dropout at 0x7f6c16353a60>,cone,0.0,1.0,0.475,512,32,3,0.5
30,<function dropout at 0x7f6c16353a60>,cone,0.0,1.0,0.625,1024,2,3,0.5509259700775146
31,<function dropout at 0x7f6c16353a60>,cone,0.0,1.0,0.625,1024,3,3,0.5
32,<function dropout at 0x7f6c16353a60>,cone,0.0,1.0,0.37499999999999994,1024,4,3,0.5000000596046448
33,<function dropout at 0x7f6c16353a60>,cone,0.0,1.0,0.625,1024,8,3,0.5
34,<function dropout at 0x7f6c16353a60>,cone,0.0,1.0,0.625,1024,16,3,0.5
35,<function dropout at 0x7f6c16353a60>,cone,0.0,1.0,0.625,1024,32,3,0.5
36,<function dropout at 0x7f6c16353a60>,cone,0.0,0.1,0.8437500000000001,256,2,3,0.6273148059844971
37,<function dropout at 0x7f6c16353a60>,cone,0.0,0.1,0.8875000000000002,256,3,3,0.6435185670852661
