,nlayers,valAccuracy,dropoutFn,layerForm,learningrate,activationFn,testAccuracy,nstart,dR
0,2,0.17169811576604843,<function dropout at 0x7ff6c017ea60>,rect,10.0,3,0.1654135286808014,256,0.0
1,2,0.16981132328510284,<function dropout at 0x7ff6c017ea60>,rect,10.0,3,0.1654135286808014,256,0.5
2,2,0.16981132328510284,<function dropout at 0x7ff6c017ea60>,rect,10.0,3,0.16541354358196259,512,0.0
3,2,0.16981132328510284,<function dropout at 0x7ff6c017ea60>,rect,10.0,3,0.16541354358196259,512,0.5
4,2,0.16981132328510284,<function dropout at 0x7ff6c017ea60>,rect,10.0,3,0.1654135286808014,1024,0.0
5,2,0.16981132328510284,<function dropout at 0x7ff6c017ea60>,rect,10.0,3,0.16541354358196259,1024,0.5
6,2,0.16981132328510284,<function dropout at 0x7ff6c017ea60>,rect,1.0,3,0.1654135286808014,256,0.0
7,2,0.16981132328510284,<function dropout at 0x7ff6c017ea60>,rect,1.0,3,0.1654135286808014,256,0.5
8,2,0.19811321049928665,<function dropout at 0x7ff6c017ea60>,rect,1.0,3,0.1654135286808014,512,0.0
9,2,0.20377358943223955,<function dropout at 0x7ff6c017ea60>,rect,1.0,3,0.16541354358196259,512,0.5
10,2,0.16981132328510284,<function dropout at 0x7ff6c017ea60>,rect,1.0,3,0.1654135286808014,1024,0.0
11,2,0.17358490824699402,<function dropout at 0x7ff6c017ea60>,rect,1.0,3,0.1654135286808014,1024,0.5
12,2,0.9169811367988586,<function dropout at 0x7ff6c017ea60>,rect,0.1,3,0.8947368860244751,256,0.0
13,2,0.8698113620281221,<function dropout at 0x7ff6c017ea60>,rect,0.1,3,0.8796992301940918,256,0.5
14,2,0.922641509771347,<function dropout at 0x7ff6c017ea60>,rect,0.1,3,0.8796992301940918,512,0.0
15,2,0.8773585259914399,<function dropout at 0x7ff6c017ea60>,rect,0.1,3,0.8872181177139282,512,0.5
16,2,0.9169811367988586,<function dropout at 0x7ff6c017ea60>,rect,0.1,3,0.9097744226455688,1024,0.0
17,2,0.898113226890564,<function dropout at 0x7ff6c017ea60>,rect,0.1,3,0.8872180581092834,1024,0.5
18,2,0.8811320483684542,<function dropout at 0x7ff6c017ea60>,rect,0.01,3,0.8421052694320679,256,0.0
19,2,0.8490566015243529,<function dropout at 0x7ff6c017ea60>,rect,0.01,3,0.8270676136016846,256,0.5
20,2,0.8641509771347048,<function dropout at 0x7ff6c017ea60>,rect,0.01,3,0.8721804618835449,512,0.0
21,2,0.8584905862808229,<function dropout at 0x7ff6c017ea60>,rect,0.01,3,0.8571428656578064,512,0.5
22,2,0.8754717350006106,<function dropout at 0x7ff6c017ea60>,rect,0.01,3,0.8721804618835449,1024,0.0
23,2,0.8660377740859987,<function dropout at 0x7ff6c017ea60>,rect,0.01,3,0.8571429252624512,1024,0.5
24,3,0.16981132328510284,<function dropout at 0x7ff6c017ea60>,rect,10.0,3,0.1654135286808014,256,0.0
25,3,0.16981132328510284,<function dropout at 0x7ff6c017ea60>,rect,10.0,3,0.1654135286808014,256,0.5
26,3,0.16981132328510284,<function dropout at 0x7ff6c017ea60>,rect,10.0,3,0.1654135286808014,512,0.0
27,3,0.16981132328510284,<function dropout at 0x7ff6c017ea60>,rect,10.0,3,0.16541354358196259,512,0.5
28,3,0.16981132328510284,<function dropout at 0x7ff6c017ea60>,rect,10.0,3,0.16541354358196259,1024,0.0
29,3,0.16981132328510284,<function dropout at 0x7ff6c017ea60>,rect,10.0,3,0.16541354358196259,1024,0.5
30,3,0.16981132328510284,<function dropout at 0x7ff6c017ea60>,rect,1.0,3,0.1654135286808014,256,0.0
31,3,0.16981132328510284,<function dropout at 0x7ff6c017ea60>,rect,1.0,3,0.1654135286808014,256,0.5
32,3,0.16981132328510284,<function dropout at 0x7ff6c017ea60>,rect,1.0,3,0.16541354358196259,512,0.0
33,3,0.16981132328510284,<function dropout at 0x7ff6c017ea60>,rect,1.0,3,0.16541354358196259,512,0.5
34,3,0.16981132328510284,<function dropout at 0x7ff6c017ea60>,rect,1.0,3,0.1654135286808014,1024,0.0
35,3,0.16981132328510284,<function dropout at 0x7ff6c017ea60>,rect,1.0,3,0.1654135286808014,1024,0.5
36,3,0.9188679277896881,<function dropout at 0x7ff6c017ea60>,rect,0.1,3,0.9097744226455688,256,0.0
37,3,0.8811321020126344,<function dropout at 0x7ff6c017ea60>,rect,0.1,3,0.8947368860244751,256,0.5
38,3,0.9188679277896881,<function dropout at 0x7ff6c017ea60>,rect,0.1,3,0.9172932505607605,512,0.0
39,3,0.898113226890564,<function dropout at 0x7ff6c017ea60>,rect,0.1,3,0.8872180581092834,512,0.5
40,3,0.9132075548171997,<function dropout at 0x7ff6c017ea60>,rect,0.1,3,0.9097744226455688,1024,0.0
41,3,0.8773585200309755,<function dropout at 0x7ff6c017ea60>,rect,0.1,3,0.9097744226455688,1024,0.5
42,3,0.8679245710372927,<function dropout at 0x7ff6c017ea60>,rect,0.01,3,0.8496240973472595,256,0.0
43,3,0.8867924809455873,<function dropout at 0x7ff6c017ea60>,rect,0.01,3,0.8571429252624512,256,0.5
44,3,0.8867924809455873,<function dropout at 0x7ff6c017ea60>,rect,0.01,3,0.8947368860244751,512,0.0
45,3,0.8584905862808228,<function dropout at 0x7ff6c017ea60>,rect,0.01,3,0.834586501121521,512,0.5
46,3,0.8584905862808229,<function dropout at 0x7ff6c017ea60>,rect,0.01,3,0.8796992301940918,1024,0.0
47,3,0.8547169983386994,<function dropout at 0x7ff6c017ea60>,rect,0.01,3,0.8571428656578064,1024,0.5
48,4,0.16981132328510284,<function dropout at 0x7ff6c017ea60>,rect,10.0,3,0.16541354358196259,256,0.0
49,4,0.16981132328510284,<function dropout at 0x7ff6c017ea60>,rect,10.0,3,0.1654135286808014,256,0.5
50,4,0.16981132328510284,<function dropout at 0x7ff6c017ea60>,rect,10.0,3,0.1654135286808014,512,0.0
51,4,0.16981132328510284,<function dropout at 0x7ff6c017ea60>,rect,10.0,3,0.16541354358196259,512,0.5
52,4,0.16981132328510284,<function dropout at 0x7ff6c017ea60>,rect,10.0,3,0.1654135286808014,1024,0.0
53,4,0.16981132328510284,<function dropout at 0x7ff6c017ea60>,rect,10.0,3,0.1654135286808014,1024,0.5
54,4,0.16981132328510284,<function dropout at 0x7ff6c017ea60>,rect,1.0,3,0.1654135286808014,256,0.0
55,4,0.16981132328510284,<function dropout at 0x7ff6c017ea60>,rect,1.0,3,0.1654135286808014,256,0.5
56,4,0.16981132328510284,<function dropout at 0x7ff6c017ea60>,rect,1.0,3,0.16541354358196259,512,0.0
57,4,0.16981132328510284,<function dropout at 0x7ff6c017ea60>,rect,1.0,3,0.16541354358196259,512,0.5
58,4,0.16981132328510284,<function dropout at 0x7ff6c017ea60>,rect,1.0,3,0.1654135286808014,1024,0.0
59,4,0.16981132328510284,<function dropout at 0x7ff6c017ea60>,rect,1.0,3,0.1654135286808014,1024,0.5
60,4,0.9207547187805175,<function dropout at 0x7ff6c017ea60>,rect,0.1,3,0.9172931909561157,256,0.0
61,4,0.9056603908538818,<function dropout at 0x7ff6c017ea60>,rect,0.1,3,0.9097744226455688,256,0.5
62,4,0.922641509771347,<function dropout at 0x7ff6c017ea60>,rect,0.1,3,0.8947368860244751,512,0.0
63,4,0.8886792719364167,<function dropout at 0x7ff6c017ea60>,rect,0.1,3,0.8796992301940918,512,0.5
64,4,0.9207547187805175,<function dropout at 0x7ff6c017ea60>,rect,0.1,3,0.9097744226455688,1024,0.0
