,nstart,activationFn,nlayers,layerForm,valAccuracy,learningrate,dR,dropoutFn,testAccuracy
0,256,3,2,rect,0.0,10.0,0.0,<function dropout at 0x7f2dd26eea60>,0.75
1,256,3,2,rect,0.0,10.0,0.5,<function dropout at 0x7f2dd26eea60>,0.75
2,256,3,2,rect,0.1,1.0,0.0,<function dropout at 0x7f2dd26eea60>,0.25
3,256,3,2,rect,0.0,1.0,0.5,<function dropout at 0x7f2dd26eea60>,0.75
4,256,3,2,rect,0.9999999999999999,0.1,0.0,<function dropout at 0x7f2dd26eea60>,0.75
5,256,3,2,rect,0.4,0.1,0.5,<function dropout at 0x7f2dd26eea60>,0.5
6,256,3,2,rect,0.9999999999999999,0.01,0.0,<function dropout at 0x7f2dd26eea60>,0.75
7,256,3,2,rect,0.9999999999999999,0.01,0.5,<function dropout at 0x7f2dd26eea60>,0.75
8,256,3,3,rect,0.0,10.0,0.0,<function dropout at 0x7f2dd26eea60>,0.75
9,256,3,3,rect,0.0,10.0,0.5,<function dropout at 0x7f2dd26eea60>,0.75
10,256,3,3,rect,0.1,1.0,0.0,<function dropout at 0x7f2dd26eea60>,0.25
11,256,3,3,rect,0.0,1.0,0.5,<function dropout at 0x7f2dd26eea60>,0.75
12,256,3,3,rect,0.2,0.1,0.0,<function dropout at 0x7f2dd26eea60>,0.75
13,256,3,3,rect,0.05,0.1,0.5,<function dropout at 0x7f2dd26eea60>,0.5
14,256,3,3,rect,0.9999999999999999,0.01,0.0,<function dropout at 0x7f2dd26eea60>,0.75
15,256,3,3,rect,0.9999999999999999,0.01,0.5,<function dropout at 0x7f2dd26eea60>,0.5
16,256,3,4,rect,0.0,10.0,0.0,<function dropout at 0x7f2dd26eea60>,0.75
17,256,3,4,rect,0.0,10.0,0.5,<function dropout at 0x7f2dd26eea60>,0.75
18,256,3,4,rect,0.0,1.0,0.0,<function dropout at 0x7f2dd26eea60>,0.75
19,256,3,4,rect,0.0,1.0,0.5,<function dropout at 0x7f2dd26eea60>,0.75
20,256,3,4,rect,0.2,0.1,0.0,<function dropout at 0x7f2dd26eea60>,0.5
21,256,3,4,rect,0.1,0.1,0.5,<function dropout at 0x7f2dd26eea60>,0.25
22,256,3,4,rect,0.9999999999999999,0.01,0.0,<function dropout at 0x7f2dd26eea60>,1.0
23,256,3,4,rect,0.9999999999999999,0.01,0.5,<function dropout at 0x7f2dd26eea60>,1.0
24,256,3,8,rect,0.0,10.0,0.0,<function dropout at 0x7f2dd26eea60>,0.75
25,256,3,8,rect,0.0,10.0,0.5,<function dropout at 0x7f2dd26eea60>,0.75
