,activationFn,nlayers,dR,learningrate,dropoutFn,nstart,valAccuracy,layerForm,testAccuracy
0,3,2,0.0,10.0,<function dropout at 0x7f2106835a60>,256,0.2677419275045395,rect,0.19480520486831665
1,3,2,0.0,10.0,<function dropout at 0x7f2106835a60>,512,0.25806450843811035,rect,0.19480520486831665
2,3,2,0.0,10.0,<function dropout at 0x7f2106835a60>,1024,0.25806450843811035,rect,0.19480520486831665
3,3,2,0.0,1.0,<function dropout at 0x7f2106835a60>,256,0.2774193465709687,rect,0.19480520486831665
4,3,2,0.0,1.0,<function dropout at 0x7f2106835a60>,512,0.2645161211490631,rect,0.19480520486831665
5,3,2,0.0,1.0,<function dropout at 0x7f2106835a60>,1024,0.2774193465709687,rect,0.19480520486831665
6,3,2,0.0,0.1,<function dropout at 0x7f2106835a60>,256,0.8258064150810244,rect,0.8311688303947449
7,3,2,0.0,0.1,<function dropout at 0x7f2106835a60>,512,0.8258064150810241,rect,0.8051947951316833
8,3,2,0.0,0.1,<function dropout at 0x7f2106835a60>,1024,0.7838709354400634,rect,0.8051947951316833
9,3,2,0.0,0.01,<function dropout at 0x7f2106835a60>,256,0.7290322482585906,rect,0.8181818127632141
10,3,2,0.0,0.01,<function dropout at 0x7f2106835a60>,512,0.7387096762657165,rect,0.8181818127632141
11,3,2,0.0,0.01,<function dropout at 0x7f2106835a60>,1024,0.7516128957271575,rect,0.8311688303947449
12,3,2,0.5,10.0,<function dropout at 0x7f2106835a60>,256,0.25806450843811035,rect,0.19480520486831665
13,3,2,0.5,10.0,<function dropout at 0x7f2106835a60>,512,0.25806450843811035,rect,0.19480520486831665
14,3,2,0.5,10.0,<function dropout at 0x7f2106835a60>,1024,0.25806450843811035,rect,0.19480520486831665
15,3,2,0.5,1.0,<function dropout at 0x7f2106835a60>,256,0.25806450843811035,rect,0.19480520486831665
16,3,2,0.5,1.0,<function dropout at 0x7f2106835a60>,512,0.2774193465709687,rect,0.19480520486831665
17,3,2,0.5,1.0,<function dropout at 0x7f2106835a60>,1024,0.25806450843811035,rect,0.19480520486831665
18,3,2,0.5,0.1,<function dropout at 0x7f2106835a60>,256,0.7516128957271575,rect,0.8181818127632141
19,3,2,0.5,0.1,<function dropout at 0x7f2106835a60>,512,0.7838709354400634,rect,0.8181818127632141
20,3,2,0.5,0.1,<function dropout at 0x7f2106835a60>,1024,0.7419354736804962,rect,0.714285671710968
21,3,2,0.5,0.01,<function dropout at 0x7f2106835a60>,256,0.7387096822261809,rect,0.7662337422370911
22,3,2,0.5,0.01,<function dropout at 0x7f2106835a60>,512,0.7580645024776458,rect,0.8051947951316833
23,3,2,0.5,0.01,<function dropout at 0x7f2106835a60>,1024,0.7354838609695434,rect,0.8181818127632141
24,3,3,0.0,10.0,<function dropout at 0x7f2106835a60>,256,0.25806450843811035,rect,0.19480520486831665
25,3,3,0.0,10.0,<function dropout at 0x7f2106835a60>,512,0.25806450843811035,rect,0.19480520486831665
26,3,3,0.0,10.0,<function dropout at 0x7f2106835a60>,1024,0.25806450843811035,rect,0.19480520486831665
27,3,3,0.0,1.0,<function dropout at 0x7f2106835a60>,256,0.2612903147935867,rect,0.19480520486831665
28,3,3,0.0,1.0,<function dropout at 0x7f2106835a60>,512,0.2612903147935867,rect,0.19480520486831665
29,3,3,0.0,1.0,<function dropout at 0x7f2106835a60>,1024,0.25806450843811035,rect,0.19480520486831665
30,3,3,0.0,0.1,<function dropout at 0x7f2106835a60>,256,0.8258064150810243,rect,0.8181818127632141
31,3,3,0.0,0.1,<function dropout at 0x7f2106835a60>,512,0.8129031956195832,rect,0.7922077775001526
32,3,3,0.0,0.1,<function dropout at 0x7f2106835a60>,1024,0.7870967507362365,rect,0.8311688303947449
33,3,3,0.0,0.01,<function dropout at 0x7f2106835a60>,256,0.7612903118133544,rect,0.7922077775001526
34,3,3,0.0,0.01,<function dropout at 0x7f2106835a60>,512,0.7645161151885985,rect,0.8051947951316833
35,3,3,0.0,0.01,<function dropout at 0x7f2106835a60>,1024,0.7709677219390868,rect,0.8181818127632141
36,3,3,0.5,10.0,<function dropout at 0x7f2106835a60>,256,0.25806450843811035,rect,0.19480520486831665
37,3,3,0.5,10.0,<function dropout at 0x7f2106835a60>,512,0.25806450843811035,rect,0.19480520486831665
38,3,3,0.5,10.0,<function dropout at 0x7f2106835a60>,1024,0.25806450843811035,rect,0.19480520486831665
39,3,3,0.5,1.0,<function dropout at 0x7f2106835a60>,256,0.2774193465709687,rect,0.19480520486831665
40,3,3,0.5,1.0,<function dropout at 0x7f2106835a60>,512,0.25806450843811035,rect,0.19480520486831665
41,3,3,0.5,1.0,<function dropout at 0x7f2106835a60>,1024,0.25806450843811035,rect,0.19480520486831665
42,3,3,0.5,0.1,<function dropout at 0x7f2106835a60>,256,0.751612901687622,rect,0.8051947951316833
