,nlayers,layerForm,dR,valAccuracy,testAccuracy,activationFn,nstart,learningrate,dropoutFn
48,4,cone,0.0,0.1923076957464218,0.4399999976158142,3,256,10.0,<function dropout at 0x7fbea79b5a60>
49,4,cone,0.0,0.1961538508534431,0.4399999976158142,3,256,1.0,<function dropout at 0x7fbea79b5a60>
50,4,cone,0.0,0.7115384936332703,0.6399999856948853,3,256,0.1,<function dropout at 0x7fbea79b5a60>
51,4,cone,0.0,0.7307692766189576,0.7199999690055847,3,256,0.01,<function dropout at 0x7fbea79b5a60>
52,4,cone,0.0,0.1923076957464218,0.4399999976158142,3,512,10.0,<function dropout at 0x7fbea79b5a60>
53,4,cone,0.0,0.21153846830129622,0.4399999976158142,3,512,1.0,<function dropout at 0x7fbea79b5a60>
54,4,cone,0.0,0.7576923668384551,0.6399999856948853,3,512,0.1,<function dropout at 0x7fbea79b5a60>
55,4,cone,0.0,0.6538461446762086,0.6399999856948853,3,512,0.01,<function dropout at 0x7fbea79b5a60>
56,4,cone,0.0,0.1923076957464218,0.4399999976158142,3,1024,10.0,<function dropout at 0x7fbea79b5a60>
57,4,cone,0.0,0.21153846830129622,0.4399999976158142,3,1024,1.0,<function dropout at 0x7fbea79b5a60>
58,4,cone,0.0,0.7653846859931945,0.7599999904632568,3,1024,0.1,<function dropout at 0x7fbea79b5a60>
59,4,cone,0.0,0.7307692766189576,0.6399999856948853,3,1024,0.01,<function dropout at 0x7fbea79b5a60>
60,4,cone,0.5,0.1923076957464218,0.4399999976158142,3,256,10.0,<function dropout at 0x7fbea79b5a60>
61,4,cone,0.5,0.1923076957464218,0.4399999976158142,3,256,1.0,<function dropout at 0x7fbea79b5a60>
62,4,cone,0.5,0.7923077821731568,0.6399999856948853,3,256,0.1,<function dropout at 0x7fbea79b5a60>
63,4,cone,0.5,0.6346153914928436,0.5199999809265137,3,256,0.01,<function dropout at 0x7fbea79b5a60>
64,4,cone,0.5,0.1923076957464218,0.4399999976158142,3,512,10.0,<function dropout at 0x7fbea79b5a60>
65,4,cone,0.5,0.1923076957464218,0.4399999976158142,3,512,1.0,<function dropout at 0x7fbea79b5a60>
66,4,cone,0.5,0.7461539030075074,0.6399999856948853,3,512,0.1,<function dropout at 0x7fbea79b5a60>
67,4,cone,0.5,0.6538461446762086,0.7199999690055847,3,512,0.01,<function dropout at 0x7fbea79b5a60>
68,4,cone,0.5,0.1923076957464218,0.4399999976158142,3,1024,10.0,<function dropout at 0x7fbea79b5a60>
69,4,cone,0.5,0.1923076957464218,0.4399999976158142,3,1024,1.0,<function dropout at 0x7fbea79b5a60>
70,4,cone,0.5,0.7346154391765595,0.6799999475479126,3,1024,0.1,<function dropout at 0x7fbea79b5a60>
71,4,cone,0.5,0.6923077106475829,0.6799999475479126,3,1024,0.01,<function dropout at 0x7fbea79b5a60>
72,8,cone,0.0,0.1923076957464218,0.4399999976158142,3,256,10.0,<function dropout at 0x7fbea79b5a60>
73,8,cone,0.0,0.1923076957464218,0.4399999976158142,3,256,1.0,<function dropout at 0x7fbea79b5a60>
74,8,cone,0.0,0.6923077225685119,0.6000000238418579,3,256,0.1,<function dropout at 0x7fbea79b5a60>
75,8,cone,0.0,0.6153846383094786,0.5999999642372131,3,256,0.01,<function dropout at 0x7fbea79b5a60>
76,8,cone,0.0,0.1923076957464218,0.4399999976158142,3,512,10.0,<function dropout at 0x7fbea79b5a60>
77,8,cone,0.0,0.1923076957464218,0.4399999976158142,3,512,1.0,<function dropout at 0x7fbea79b5a60>
78,8,cone,0.0,0.7538462162017824,0.7199999690055847,3,512,0.1,<function dropout at 0x7fbea79b5a60>
79,8,cone,0.0,0.6923077106475829,0.5999999642372131,3,512,0.01,<function dropout at 0x7fbea79b5a60>
80,8,cone,0.0,0.1923076957464218,0.4399999976158142,3,1024,10.0,<function dropout at 0x7fbea79b5a60>
81,8,cone,0.0,0.1923076957464218,0.4399999976158142,3,1024,1.0,<function dropout at 0x7fbea79b5a60>
82,8,cone,0.0,0.7692308425903319,0.6799999475479126,3,1024,0.1,<function dropout at 0x7fbea79b5a60>
83,8,cone,0.0,0.7692308425903319,0.5199999809265137,3,1024,0.01,<function dropout at 0x7fbea79b5a60>
84,8,cone,0.5,0.1923076957464218,0.4399999976158142,3,256,10.0,<function dropout at 0x7fbea79b5a60>
85,8,cone,0.5,0.1923076957464218,0.4399999976158142,3,256,1.0,<function dropout at 0x7fbea79b5a60>
86,8,cone,0.5,0.38461542129516596,0.0,3,256,0.1,<function dropout at 0x7fbea79b5a60>
87,8,cone,0.5,0.04615384824573993,0.0,3,256,0.01,<function dropout at 0x7fbea79b5a60>
88,8,cone,0.5,0.1923076957464218,0.4399999976158142,3,512,10.0,<function dropout at 0x7fbea79b5a60>
89,8,cone,0.5,0.1923076957464218,0.4399999976158142,3,512,1.0,<function dropout at 0x7fbea79b5a60>
90,8,cone,0.5,0.34615387618541715,0.0,3,512,0.1,<function dropout at 0x7fbea79b5a60>
91,8,cone,0.5,0.35000002384185785,0.4399999976158142,3,512,0.01,<function dropout at 0x7fbea79b5a60>
