,nlayers,nstart,dR,activationFn,layerForm,learningrate,dropoutFn,testAccuracy,valAccuracy
0,2,256,0.0,3,rect,10.0,<function dropout at 0x7fb5fd439a60>,0.1428571343421936,0.18000000566244126
1,2,256,0.0,3,rect,1.0,<function dropout at 0x7fb5fd439a60>,0.1428571343421936,0.17777778208255768
2,2,256,0.0,3,rect,0.1,<function dropout at 0x7fb5fd439a60>,0.27619045972824097,0.8933333873748779
3,2,256,0.0,3,rect,0.01,<function dropout at 0x7fb5fd439a60>,0.26619046926498413,0.911111116409302
4,2,256,0.5,3,rect,10.0,<function dropout at 0x7fb5fd439a60>,0.1428571343421936,0.18222222775220873
5,2,256,0.5,3,rect,1.0,<function dropout at 0x7fb5fd439a60>,0.1428571343421936,0.17777778208255768
6,2,256,0.5,3,rect,0.1,<function dropout at 0x7fb5fd439a60>,0.3038095235824585,0.8933333873748779
7,2,256,0.5,3,rect,0.01,<function dropout at 0x7fb5fd439a60>,0.23380953073501587,0.8977778196334841
8,2,512,0.0,3,rect,10.0,<function dropout at 0x7fb5fd439a60>,0.1428571343421936,0.17777778208255768
9,2,512,0.0,3,rect,1.0,<function dropout at 0x7fb5fd439a60>,0.1428571343421936,0.17777778208255768
10,2,512,0.0,3,rect,0.1,<function dropout at 0x7fb5fd439a60>,0.24571427702903748,0.911111116409302
11,2,512,0.0,3,rect,0.01,<function dropout at 0x7fb5fd439a60>,0.20619048178195953,0.911111116409302
12,2,512,0.5,3,rect,10.0,<function dropout at 0x7fb5fd439a60>,0.1428571343421936,0.17777778208255768
13,2,512,0.5,3,rect,1.0,<function dropout at 0x7fb5fd439a60>,0.1428571343421936,0.17777778208255768
14,2,512,0.5,3,rect,0.1,<function dropout at 0x7fb5fd439a60>,0.2923809587955475,0.9111111283302308
15,2,512,0.5,3,rect,0.01,<function dropout at 0x7fb5fd439a60>,0.29333335161209106,0.8866667270660399
16,2,1024,0.0,3,rect,10.0,<function dropout at 0x7fb5fd439a60>,0.1428571343421936,0.17777778208255768
17,2,1024,0.0,3,rect,1.0,<function dropout at 0x7fb5fd439a60>,0.1428571343421936,0.17777778357267382
18,2,1024,0.0,3,rect,0.1,<function dropout at 0x7fb5fd439a60>,0.28761905431747437,0.895555603504181
19,2,1024,0.0,3,rect,0.01,<function dropout at 0x7fb5fd439a60>,0.2890476584434509,0.911111116409302
20,2,1024,0.5,3,rect,10.0,<function dropout at 0x7fb5fd439a60>,0.1428571343421936,0.17777778208255768
21,2,1024,0.5,3,rect,1.0,<function dropout at 0x7fb5fd439a60>,0.1428571343421936,0.17777778208255768
22,2,1024,0.5,3,rect,0.1,<function dropout at 0x7fb5fd439a60>,0.2914285659790039,0.8644444823265076
23,2,1024,0.5,3,rect,0.01,<function dropout at 0x7fb5fd439a60>,0.2928571403026581,0.8888889551162719
24,3,256,0.0,3,rect,10.0,<function dropout at 0x7fb5fd439a60>,0.1428571343421936,0.17777778208255768
25,3,256,0.0,3,rect,1.0,<function dropout at 0x7fb5fd439a60>,0.1428571343421936,0.17777778208255768
26,3,256,0.0,3,rect,0.1,<function dropout at 0x7fb5fd439a60>,0.25333330035209656,0.904444468021393
