,layerForm,learningrate,nlayers,activationFn,dropoutFn,nstart,dR,testAccuracy,valAccuracy
48,rect,1.0,4,3,<function dropout at 0x7f01a67b9a60>,256,0.0,0.40469205379486084,0.4299363195896149
49,rect,1.0,4,3,<function dropout at 0x7f01a67b9a60>,256,0.5,0.40469205379486084,0.4299363195896149
50,rect,1.0,4,3,<function dropout at 0x7f01a67b9a60>,512,0.0,0.40469205379486084,0.4299363195896149
51,rect,1.0,4,3,<function dropout at 0x7f01a67b9a60>,512,0.5,0.40469205379486084,0.4299363195896149
52,rect,1.0,4,3,<function dropout at 0x7f01a67b9a60>,1024,0.0,0.40469205379486084,0.4299363195896149
53,rect,1.0,4,3,<function dropout at 0x7f01a67b9a60>,1024,0.5,0.40469205379486084,0.4299363195896149
54,rect,1.0,8,3,<function dropout at 0x7f01a67b9a60>,256,0.0,0.40469205379486084,0.4299363166093827
55,rect,1.0,8,3,<function dropout at 0x7f01a67b9a60>,256,0.5,0.40469205379486084,0.4299363166093827
56,rect,1.0,8,3,<function dropout at 0x7f01a67b9a60>,512,0.0,0.40469205379486084,0.4299363195896149
57,rect,1.0,8,3,<function dropout at 0x7f01a67b9a60>,512,0.5,0.40469205379486084,0.4299363195896149
58,rect,1.0,8,3,<function dropout at 0x7f01a67b9a60>,1024,0.0,0.40469205379486084,0.4299363166093827
59,rect,1.0,8,3,<function dropout at 0x7f01a67b9a60>,1024,0.5,0.40469205379486084,0.4299363195896149
60,rect,1.0,16,3,<function dropout at 0x7f01a67b9a60>,256,0.0,0.40469205379486084,0.4299363195896149
61,rect,1.0,16,3,<function dropout at 0x7f01a67b9a60>,256,0.5,0.40469205379486084,0.429936307668686
62,rect,1.0,16,3,<function dropout at 0x7f01a67b9a60>,512,0.0,0.40469205379486084,0.4299363195896149
63,rect,1.0,16,3,<function dropout at 0x7f01a67b9a60>,512,0.5,0.40469205379486084,0.4299363195896149
64,rect,1.0,16,3,<function dropout at 0x7f01a67b9a60>,1024,0.0,0.40469205379486084,0.4299363195896149
65,rect,1.0,16,3,<function dropout at 0x7f01a67b9a60>,1024,0.5,0.40469205379486084,0.4299363195896149
66,rect,1.0,32,3,<function dropout at 0x7f01a67b9a60>,256,0.0,0.40469205379486084,0.429936307668686
67,rect,1.0,32,3,<function dropout at 0x7f01a67b9a60>,256,0.5,0.40469205379486084,0.4299363166093827
68,rect,1.0,32,3,<function dropout at 0x7f01a67b9a60>,512,0.0,0.40469205379486084,0.4299363166093827
69,rect,1.0,32,3,<function dropout at 0x7f01a67b9a60>,512,0.5,0.40469205379486084,0.4299363195896149
70,rect,1.0,32,3,<function dropout at 0x7f01a67b9a60>,1024,0.0,0.4046921133995056,0.4299363195896149
71,rect,1.0,32,3,<function dropout at 0x7f01a67b9a60>,1024,0.5,0.40469205379486084,0.4299363195896149
72,rect,0.1,2,3,<function dropout at 0x7f01a67b9a60>,256,0.0,0.9288856387138367,0.9020700812339785
73,rect,0.1,2,3,<function dropout at 0x7f01a67b9a60>,256,0.5,0.8695014715194702,0.8581210076808928
