,nlayers,layerForm,dropoutFn,dR,valAccuracy,nstart,learningrate,activationFn,testAccuracy
46,3,cone,<function dropout at 0x7fd6dd2f3a60>,0.5,0.9102272927761078,1024,0.1,3,0.91558438539505
47,3,cone,<function dropout at 0x7fd6dd2f3a60>,0.5,0.8079545497894288,1024,0.01,3,0.8376622796058655
48,4,cone,<function dropout at 0x7fd6dd2f3a60>,0.0,0.07954545319080353,256,10.0,3,0.09090908616781235
49,4,cone,<function dropout at 0x7fd6dd2f3a60>,0.0,0.10340909175574779,256,1.0,3,0.09090909361839294
50,4,cone,<function dropout at 0x7fd6dd2f3a60>,0.0,0.9772727489471434,256,0.1,3,0.9935064911842346
51,4,cone,<function dropout at 0x7fd6dd2f3a60>,0.0,0.9261364340782164,256,0.01,3,0.948051929473877
52,4,cone,<function dropout at 0x7fd6dd2f3a60>,0.0,0.07954545319080353,512,10.0,3,0.09090908616781235
53,4,cone,<function dropout at 0x7fd6dd2f3a60>,0.0,0.07954545319080353,512,1.0,3,0.09090909361839294
54,4,cone,<function dropout at 0x7fd6dd2f3a60>,0.0,0.9647727608680724,512,0.1,3,0.9978354573249817
55,4,cone,<function dropout at 0x7fd6dd2f3a60>,0.0,0.9250000715255736,512,0.01,3,0.9675324559211731
56,4,cone,<function dropout at 0x7fd6dd2f3a60>,0.0,0.07954545319080353,1024,10.0,3,0.09090908616781235
57,4,cone,<function dropout at 0x7fd6dd2f3a60>,0.0,0.07954545319080353,1024,1.0,3,0.09090908616781235
58,4,cone,<function dropout at 0x7fd6dd2f3a60>,0.0,0.9772727489471434,1024,0.1,3,0.9956709146499634
59,4,cone,<function dropout at 0x7fd6dd2f3a60>,0.0,0.9409091472625731,1024,0.01,3,0.976190447807312
60,4,cone,<function dropout at 0x7fd6dd2f3a60>,0.5,0.07954545319080353,256,10.0,3,0.09090908616781235
61,4,cone,<function dropout at 0x7fd6dd2f3a60>,0.5,0.07954545319080353,256,1.0,3,0.09090908616781235
62,4,cone,<function dropout at 0x7fd6dd2f3a60>,0.5,0.7795454621315003,256,0.1,3,0.8376623392105103
63,4,cone,<function dropout at 0x7fd6dd2f3a60>,0.5,0.3784091055393219,256,0.01,3,0.48917749524116516
64,4,cone,<function dropout at 0x7fd6dd2f3a60>,0.5,0.07954545319080353,512,10.0,3,0.09090909361839294
65,4,cone,<function dropout at 0x7fd6dd2f3a60>,0.5,0.07954545319080353,512,1.0,3,0.09090909361839294
66,4,cone,<function dropout at 0x7fd6dd2f3a60>,0.5,0.8113636672496798,512,0.1,3,0.7965368032455444
67,4,cone,<function dropout at 0x7fd6dd2f3a60>,0.5,0.546590930223465,512,0.01,3,0.662337601184845
68,4,cone,<function dropout at 0x7fd6dd2f3a60>,0.5,0.07954545319080353,1024,10.0,3,0.09090909361839294
69,4,cone,<function dropout at 0x7fd6dd2f3a60>,0.5,0.07954545319080353,1024,1.0,3,0.09090908616781235
70,4,cone,<function dropout at 0x7fd6dd2f3a60>,0.5,0.869318187236786,1024,0.1,3,0.9264069199562073
71,4,cone,<function dropout at 0x7fd6dd2f3a60>,0.5,0.6761363446712494,1024,0.01,3,0.761904776096344
72,8,cone,<function dropout at 0x7fd6dd2f3a60>,0.0,0.07954545319080353,256,10.0,3,0.09090908616781235
73,8,cone,<function dropout at 0x7fd6dd2f3a60>,0.0,0.07954545319080353,256,1.0,3,0.09090909361839294
74,8,cone,<function dropout at 0x7fd6dd2f3a60>,0.0,0.9659091234207152,256,0.1,3,0.9935064315795898
75,8,cone,<function dropout at 0x7fd6dd2f3a60>,0.0,0.954545497894287,256,0.01,3,0.9826840162277222
76,8,cone,<function dropout at 0x7fd6dd2f3a60>,0.0,0.07954545319080353,512,10.0,3,0.09090909361839294
77,8,cone,<function dropout at 0x7fd6dd2f3a60>,0.0,0.07954545319080353,512,1.0,3,0.09090908616781235
78,8,cone,<function dropout at 0x7fd6dd2f3a60>,0.0,0.9772727489471434,512,0.1,3,0.9935064911842346
79,8,cone,<function dropout at 0x7fd6dd2f3a60>,0.0,0.9511364102363585,512,0.01,3,0.9891774654388428
80,8,cone,<function dropout at 0x7fd6dd2f3a60>,0.0,0.07954545319080353,1024,10.0,3,0.09090909361839294
81,8,cone,<function dropout at 0x7fd6dd2f3a60>,0.0,0.07954545319080353,1024,1.0,3,0.09090908616781235
