,activationFn,dR,learningrate,dropoutFn,nlayers,testAccuracy,nstart,valAccuracy,layerForm
0,3,0.0,10.0,<function dropout at 0x7f720a9fda60>,2,0.7755101919174194,256,0.8000000119209291,rect
1,3,0.0,10.0,<function dropout at 0x7f720a9fda60>,2,0.7755101919174194,512,0.8000000119209291,rect
2,3,0.0,10.0,<function dropout at 0x7f720a9fda60>,2,0.7755101919174194,1024,0.8000000119209291,rect
3,3,0.0,10.0,<function dropout at 0x7f720a9fda60>,3,0.7755101919174194,256,0.8000000119209291,rect
4,3,0.0,10.0,<function dropout at 0x7f720a9fda60>,3,0.7755101919174194,512,0.8000000119209291,rect
5,3,0.0,10.0,<function dropout at 0x7f720a9fda60>,3,0.7755101919174194,1024,0.8000000119209291,rect
6,3,0.0,10.0,<function dropout at 0x7f720a9fda60>,4,0.7755101919174194,256,0.8000000119209291,rect
7,3,0.0,10.0,<function dropout at 0x7f720a9fda60>,4,0.7755101919174194,512,0.8000000119209291,rect
8,3,0.0,10.0,<function dropout at 0x7f720a9fda60>,4,0.7755101919174194,1024,0.8000000119209291,rect
9,3,0.0,10.0,<function dropout at 0x7f720a9fda60>,8,0.7755101919174194,256,0.8000000119209291,rect
10,3,0.0,10.0,<function dropout at 0x7f720a9fda60>,8,0.7755101919174194,512,0.8000000119209291,rect
11,3,0.0,10.0,<function dropout at 0x7f720a9fda60>,8,0.7755101919174194,1024,0.8000000119209291,rect
12,3,0.0,10.0,<function dropout at 0x7f720a9fda60>,16,0.7755101919174194,256,0.8000000119209291,rect
13,3,0.0,10.0,<function dropout at 0x7f720a9fda60>,16,0.7755101919174194,512,0.8000000119209291,rect
14,3,0.0,10.0,<function dropout at 0x7f720a9fda60>,16,0.7755101919174194,1024,0.8000000119209291,rect
15,3,0.0,10.0,<function dropout at 0x7f720a9fda60>,32,0.7755101919174194,256,0.8000000119209291,rect
16,3,0.0,10.0,<function dropout at 0x7f720a9fda60>,32,0.7755101919174194,512,0.8000000119209291,rect
17,3,0.0,10.0,<function dropout at 0x7f720a9fda60>,32,0.7755101919174194,1024,0.8000000119209291,rect
18,3,0.0,1.0,<function dropout at 0x7f720a9fda60>,2,0.7755101919174194,256,0.8000000119209291,rect
19,3,0.0,1.0,<function dropout at 0x7f720a9fda60>,2,0.7755101919174194,512,0.8000000119209291,rect
20,3,0.0,1.0,<function dropout at 0x7f720a9fda60>,2,0.7755101919174194,1024,0.8000000119209291,rect
21,3,0.0,1.0,<function dropout at 0x7f720a9fda60>,3,0.7755101919174194,256,0.8000000119209291,rect
22,3,0.0,1.0,<function dropout at 0x7f720a9fda60>,3,0.7755101919174194,512,0.8000000119209291,rect
23,3,0.0,1.0,<function dropout at 0x7f720a9fda60>,3,0.7755101919174194,1024,0.8000000119209291,rect
24,3,0.0,1.0,<function dropout at 0x7f720a9fda60>,4,0.7755101919174194,256,0.8000000119209291,rect
25,3,0.0,1.0,<function dropout at 0x7f720a9fda60>,4,0.7755101919174194,512,0.8000000119209291,rect
26,3,0.0,1.0,<function dropout at 0x7f720a9fda60>,4,0.7755101919174194,1024,0.8000000119209291,rect
27,3,0.0,1.0,<function dropout at 0x7f720a9fda60>,8,0.7755101919174194,256,0.8000000119209291,rect
