,learningrate,activationFn,dR,testAccuracy,dropoutFn,valAccuracy,nlayers,nstart,layerForm
0,10.0,3,0.0,0.5005406141281128,<function dropout at 0x7f129a8eda60>,0.5130111575126649,2,256,rect
1,10.0,3,0.0,0.5005406141281128,<function dropout at 0x7f129a8eda60>,0.5130111575126649,2,512,rect
2,10.0,3,0.0,0.500540554523468,<function dropout at 0x7f129a8eda60>,0.5130111575126649,2,1024,rect
3,10.0,3,0.0,0.5005406141281128,<function dropout at 0x7f129a8eda60>,0.5130111634731294,3,256,rect
4,10.0,3,0.0,0.500540554523468,<function dropout at 0x7f129a8eda60>,0.5130111575126649,3,512,rect
5,10.0,3,0.0,0.500540554523468,<function dropout at 0x7f129a8eda60>,0.5130111575126649,3,1024,rect
6,10.0,3,0.0,0.5005406141281128,<function dropout at 0x7f129a8eda60>,0.5130111753940584,4,256,rect
7,10.0,3,0.0,0.5005406141281128,<function dropout at 0x7f129a8eda60>,0.5130111575126649,4,512,rect
8,10.0,3,0.0,0.5005406141281128,<function dropout at 0x7f129a8eda60>,0.5130111575126649,4,1024,rect
9,10.0,3,0.0,0.500540554523468,<function dropout at 0x7f129a8eda60>,0.5130111575126649,8,256,rect
10,10.0,3,0.0,0.5005406141281128,<function dropout at 0x7f129a8eda60>,0.5130111634731294,8,512,rect
11,10.0,3,0.0,0.5005406141281128,<function dropout at 0x7f129a8eda60>,0.5130111634731294,8,1024,rect
12,10.0,3,0.0,0.500540554523468,<function dropout at 0x7f129a8eda60>,0.5130111575126649,16,256,rect
13,10.0,3,0.0,0.500540554523468,<function dropout at 0x7f129a8eda60>,0.5130111575126649,16,512,rect
14,10.0,3,0.0,0.5005406141281128,<function dropout at 0x7f129a8eda60>,0.5130111575126649,16,1024,rect
15,10.0,3,0.0,0.500540554523468,<function dropout at 0x7f129a8eda60>,0.5130111575126649,32,256,rect
16,10.0,3,0.0,0.5005404949188232,<function dropout at 0x7f129a8eda60>,0.5130111575126649,32,512,rect
17,10.0,3,0.0,0.5005406141281128,<function dropout at 0x7f129a8eda60>,0.5130111575126649,32,1024,rect
18,10.0,3,0.5,0.5005406141281128,<function dropout at 0x7f129a8eda60>,0.5130111575126649,2,256,rect
19,10.0,3,0.5,0.5005406141281128,<function dropout at 0x7f129a8eda60>,0.5130111575126649,2,512,rect
20,10.0,3,0.5,0.500540554523468,<function dropout at 0x7f129a8eda60>,0.5130111575126649,2,1024,rect
21,10.0,3,0.5,0.500540554523468,<function dropout at 0x7f129a8eda60>,0.5130111694335938,3,256,rect
22,10.0,3,0.5,0.5005406141281128,<function dropout at 0x7f129a8eda60>,0.5130111575126649,3,512,rect
23,10.0,3,0.5,0.500540554523468,<function dropout at 0x7f129a8eda60>,0.5130111575126649,3,1024,rect
