,valAccuracy,dR,nstart,dropoutFn,nlayers,activationFn,layerForm,testAccuracy,learningrate
0,0.28484849333763124,0.0,256,<function dropout at 0x7f5d97862a60>,2,3,cone,0.19480520486831665,10.0
1,0.29090909957885747,0.0,256,<function dropout at 0x7f5d97862a60>,2,3,cone,0.3246753215789795,1.0
2,0.8303030729293824,0.0,256,<function dropout at 0x7f5d97862a60>,2,3,cone,0.8051947951316833,0.1
3,0.7878787517547606,0.0,256,<function dropout at 0x7f5d97862a60>,2,3,cone,0.7922077775001526,0.01
4,0.24242424964904782,0.0,256,<function dropout at 0x7f5d97862a60>,3,3,cone,0.19480520486831665,10.0
5,0.2515151590108871,0.0,256,<function dropout at 0x7f5d97862a60>,3,3,cone,0.19480520486831665,1.0
6,0.8272727727890016,0.0,256,<function dropout at 0x7f5d97862a60>,3,3,cone,0.7922077775001526,0.1
7,0.7878787517547606,0.0,256,<function dropout at 0x7f5d97862a60>,3,3,cone,0.7922077775001526,0.01
8,0.24242424964904782,0.0,256,<function dropout at 0x7f5d97862a60>,4,3,cone,0.19480520486831665,10.0
9,0.48484849929809565,0.0,256,<function dropout at 0x7f5d97862a60>,4,3,cone,0.48051947355270386,1.0
10,0.8242424607276917,0.0,256,<function dropout at 0x7f5d97862a60>,4,3,cone,0.7922077775001526,0.1
11,0.818181872367859,0.0,256,<function dropout at 0x7f5d97862a60>,4,3,cone,0.8051947951316833,0.01
12,0.24242424964904782,0.0,256,<function dropout at 0x7f5d97862a60>,8,3,cone,0.19480520486831665,10.0
13,0.40000001192092893,0.0,256,<function dropout at 0x7f5d97862a60>,8,3,cone,0.3246753215789795,1.0
14,0.8121212244033815,0.0,256,<function dropout at 0x7f5d97862a60>,8,3,cone,0.8311688303947449,0.1
15,0.8545454740524293,0.0,256,<function dropout at 0x7f5d97862a60>,8,3,cone,0.7792207598686218,0.01
16,0.24242424964904782,0.0,256,<function dropout at 0x7f5d97862a60>,16,3,cone,0.19480520486831665,10.0
17,0.463636377453804,0.0,256,<function dropout at 0x7f5d97862a60>,16,3,cone,0.48051947355270386,1.0
