,nstart,nlayers,testAccuracy,dropoutFn,learningrate,valAccuracy,activationFn,layerForm,dR
0,256,2,0.40469205379486084,<function dropout at 0x7fb226ac9a60>,10.0,0.41140214502811434,3,cone,0.0
1,256,2,0.40469205379486084,<function dropout at 0x7fb226ac9a60>,10.0,0.4114021420478821,3,cone,0.5
2,256,2,0.912756621837616,<function dropout at 0x7fb226ac9a60>,1.0,0.9030816793441773,3,cone,0.0
3,256,2,0.8980938792228699,<function dropout at 0x7fb226ac9a60>,1.0,0.8728814005851745,3,cone,0.5
4,256,2,0.9244868159294128,<function dropout at 0x7fb226ac9a60>,0.1,0.9110940039157869,3,cone,0.0
5,256,2,0.8680352568626404,<function dropout at 0x7fb226ac9a60>,0.1,0.8742681026458741,3,cone,0.5
6,256,2,0.8841642141342163,<function dropout at 0x7fb226ac9a60>,0.01,0.8807395994663239,3,cone,0.0
7,256,2,0.7368035316467285,<function dropout at 0x7fb226ac9a60>,0.01,0.7673343539237976,3,cone,0.5
8,256,3,0.40469205379486084,<function dropout at 0x7fb226ac9a60>,10.0,0.41140214502811434,3,cone,0.0
9,256,3,0.40469205379486084,<function dropout at 0x7fb226ac9a60>,10.0,0.4114021390676499,3,cone,0.5
10,256,3,0.40469205379486084,<function dropout at 0x7fb226ac9a60>,1.0,0.4114021360874176,3,cone,0.0
11,256,3,0.3841642439365387,<function dropout at 0x7fb226ac9a60>,1.0,0.40585515201091765,3,cone,0.5
12,256,3,0.912756621837616,<function dropout at 0x7fb226ac9a60>,0.1,0.9047765910625457,3,cone,0.0
13,256,3,0.8526393175125122,<function dropout at 0x7fb226ac9a60>,0.1,0.8548536121845247,3,cone,0.5
14,256,3,0.8885630965232849,<function dropout at 0x7fb226ac9a60>,0.01,0.8881356060504914,3,cone,0.0
15,256,3,0.6957478523254395,<function dropout at 0x7fb226ac9a60>,0.01,0.7311247825622559,3,cone,0.5
16,256,4,0.40469205379486084,<function dropout at 0x7fb226ac9a60>,10.0,0.4114021360874176,3,cone,0.0
17,256,4,0.40469205379486084,<function dropout at 0x7fb226ac9a60>,10.0,0.411402153968811,3,cone,0.5
18,256,4,0.1510263979434967,<function dropout at 0x7fb226ac9a60>,1.0,0.129429891705513,3,cone,0.0
19,256,4,0.40469205379486084,<function dropout at 0x7fb226ac9a60>,1.0,0.4114021390676499,3,cone,0.5
20,256,4,0.9076246619224548,<function dropout at 0x7fb226ac9a60>,0.1,0.8975346565246581,3,cone,0.0
21,256,4,0.8438416719436646,<function dropout at 0x7fb226ac9a60>,0.1,0.8488443613052369,3,cone,0.5
22,256,4,0.8980938792228699,<function dropout at 0x7fb226ac9a60>,0.01,0.8935285210609437,3,cone,0.0
23,256,4,0.6341641545295715,<function dropout at 0x7fb226ac9a60>,0.01,0.6842835009098053,3,cone,0.5
24,256,8,0.40469205379486084,<function dropout at 0x7fb226ac9a60>,10.0,0.4114021420478821,3,cone,0.0
25,256,8,0.40469205379486084,<function dropout at 0x7fb226ac9a60>,10.0,0.4114021360874176,3,cone,0.5
26,256,8,0.1510263830423355,<function dropout at 0x7fb226ac9a60>,1.0,0.12942988872528077,3,cone,0.0
27,256,8,0.40469205379486084,<function dropout at 0x7fb226ac9a60>,1.0,0.41140214800834657,3,cone,0.5
28,256,8,0.9083577990531921,<function dropout at 0x7fb226ac9a60>,0.1,0.8833590388298035,3,cone,0.0
29,256,8,0.43841642141342163,<function dropout at 0x7fb226ac9a60>,0.1,0.453466871380806,3,cone,0.5
30,256,8,0.9186217188835144,<function dropout at 0x7fb226ac9a60>,0.01,0.9016949176788329,3,cone,0.0
31,256,8,0.4992668628692627,<function dropout at 0x7fb226ac9a60>,0.01,0.5010785788297653,3,cone,0.5
