,dropoutFn,learningrate,activationFn,dR,nstart,layerForm,testAccuracy,valAccuracy,nlayers
0,<function dropout at 0x7ff85f21aa60>,10.0,3,0.0,256,cone,0.250980406999588,0.23663365542888637,2
1,<function dropout at 0x7ff85f21aa60>,10.0,3,0.0,256,cone,0.250980406999588,0.22772276401519773,3
2,<function dropout at 0x7ff85f21aa60>,10.0,3,0.0,256,cone,0.250980406999588,0.22772276401519773,4
3,<function dropout at 0x7ff85f21aa60>,10.0,3,0.0,256,cone,0.6901960968971252,0.6732673048973082,8
4,<function dropout at 0x7ff85f21aa60>,10.0,3,0.0,256,cone,0.250980406999588,0.22772276401519773,16
5,<function dropout at 0x7ff85f21aa60>,10.0,3,0.0,256,cone,0.250980406999588,0.22772276401519773,32
6,<function dropout at 0x7ff85f21aa60>,10.0,3,0.0,512,cone,0.6901960968971252,0.6732673048973082,2
7,<function dropout at 0x7ff85f21aa60>,10.0,3,0.0,512,cone,0.250980406999588,0.22772276401519773,3
8,<function dropout at 0x7ff85f21aa60>,10.0,3,0.0,512,cone,0.2509804368019104,0.22772276401519773,4
9,<function dropout at 0x7ff85f21aa60>,10.0,3,0.0,512,cone,0.250980406999588,0.22772276401519773,8
10,<function dropout at 0x7ff85f21aa60>,10.0,3,0.0,512,cone,0.250980406999588,0.22772276401519773,16
11,<function dropout at 0x7ff85f21aa60>,10.0,3,0.0,512,cone,0.6901960968971252,0.6732673048973082,32
12,<function dropout at 0x7ff85f21aa60>,10.0,3,0.0,1024,cone,0.250980406999588,0.22772276401519773,2
13,<function dropout at 0x7ff85f21aa60>,10.0,3,0.0,1024,cone,0.250980406999588,0.22772276401519773,3
14,<function dropout at 0x7ff85f21aa60>,10.0,3,0.0,1024,cone,0.250980406999588,0.22772276401519773,4
15,<function dropout at 0x7ff85f21aa60>,10.0,3,0.0,1024,cone,0.250980406999588,0.22772276401519773,8
16,<function dropout at 0x7ff85f21aa60>,10.0,3,0.0,1024,cone,0.250980406999588,0.22772276401519773,16
17,<function dropout at 0x7ff85f21aa60>,10.0,3,0.0,1024,cone,0.2509804368019104,0.22772276401519773,32
18,<function dropout at 0x7ff85f21aa60>,10.0,3,0.5,256,cone,0.250980406999588,0.27227721810340877,2
19,<function dropout at 0x7ff85f21aa60>,10.0,3,0.5,256,cone,0.250980406999588,0.22772276401519773,3
20,<function dropout at 0x7ff85f21aa60>,10.0,3,0.5,256,cone,0.250980406999588,0.22772276401519773,4
21,<function dropout at 0x7ff85f21aa60>,10.0,3,0.5,256,cone,0.250980406999588,0.22772276401519773,8
22,<function dropout at 0x7ff85f21aa60>,10.0,3,0.5,256,cone,0.250980406999588,0.22772276401519773,16
23,<function dropout at 0x7ff85f21aa60>,10.0,3,0.5,256,cone,0.250980406999588,0.22772276401519773,32
24,<function dropout at 0x7ff85f21aa60>,10.0,3,0.5,512,cone,0.250980406999588,0.22772276401519773,2
25,<function dropout at 0x7ff85f21aa60>,10.0,3,0.5,512,cone,0.250980406999588,0.22772276401519773,3
26,<function dropout at 0x7ff85f21aa60>,10.0,3,0.5,512,cone,0.250980406999588,0.22772276401519773,4
27,<function dropout at 0x7ff85f21aa60>,10.0,3,0.5,512,cone,0.250980406999588,0.22772276401519773,8
28,<function dropout at 0x7ff85f21aa60>,10.0,3,0.5,512,cone,0.250980406999588,0.22772276401519773,16
29,<function dropout at 0x7ff85f21aa60>,10.0,3,0.5,512,cone,0.250980406999588,0.22772276401519773,32
30,<function dropout at 0x7ff85f21aa60>,10.0,3,0.5,1024,cone,0.250980406999588,0.22772276401519773,2
31,<function dropout at 0x7ff85f21aa60>,10.0,3,0.5,1024,cone,0.2509804368019104,0.22772276401519773,3
32,<function dropout at 0x7ff85f21aa60>,10.0,3,0.5,1024,cone,0.2509804368019104,0.22772276401519773,4
33,<function dropout at 0x7ff85f21aa60>,10.0,3,0.5,1024,cone,0.250980406999588,0.22772276401519773,8
34,<function dropout at 0x7ff85f21aa60>,10.0,3,0.5,1024,cone,0.250980406999588,0.22772276401519773,16
35,<function dropout at 0x7ff85f21aa60>,10.0,3,0.5,1024,cone,0.250980406999588,0.22772276401519773,32
36,<function dropout at 0x7ff85f21aa60>,1.0,3,0.0,256,cone,0.250980406999588,0.2831683069467545,2
37,<function dropout at 0x7ff85f21aa60>,1.0,3,0.0,256,cone,0.250980406999588,0.2306930601596832,3
38,<function dropout at 0x7ff85f21aa60>,1.0,3,0.0,256,cone,0.2509804368019104,0.22772276401519773,4
39,<function dropout at 0x7ff85f21aa60>,1.0,3,0.0,256,cone,0.250980406999588,0.27227721810340877,8
40,<function dropout at 0x7ff85f21aa60>,1.0,3,0.0,256,cone,0.250980406999588,0.27227721810340877,16
41,<function dropout at 0x7ff85f21aa60>,1.0,3,0.0,256,cone,0.250980406999588,0.22772276401519773,32
42,<function dropout at 0x7ff85f21aa60>,1.0,3,0.0,512,cone,0.250980406999588,0.3168316721916199,2
43,<function dropout at 0x7ff85f21aa60>,1.0,3,0.0,512,cone,0.250980406999588,0.2297029614448547,3
44,<function dropout at 0x7ff85f21aa60>,1.0,3,0.0,512,cone,0.250980406999588,0.22772276401519773,4
45,<function dropout at 0x7ff85f21aa60>,1.0,3,0.0,512,cone,0.250980406999588,0.22772276401519773,8
46,<function dropout at 0x7ff85f21aa60>,1.0,3,0.0,512,cone,0.250980406999588,0.22772276401519773,16
47,<function dropout at 0x7ff85f21aa60>,1.0,3,0.0,512,cone,0.250980406999588,0.22772276401519773,32
48,<function dropout at 0x7ff85f21aa60>,1.0,3,0.0,1024,cone,0.250980406999588,0.26237623095512386,2
49,<function dropout at 0x7ff85f21aa60>,1.0,3,0.0,1024,cone,0.250980406999588,0.22772276401519773,3
50,<function dropout at 0x7ff85f21aa60>,1.0,3,0.0,1024,cone,0.250980406999588,0.22772276401519773,4
51,<function dropout at 0x7ff85f21aa60>,1.0,3,0.0,1024,cone,0.250980406999588,0.22772276401519773,8
52,<function dropout at 0x7ff85f21aa60>,1.0,3,0.0,1024,cone,0.6901960968971252,0.6732673048973082,16
53,<function dropout at 0x7ff85f21aa60>,1.0,3,0.0,1024,cone,0.250980406999588,0.22772276401519773,32
54,<function dropout at 0x7ff85f21aa60>,1.0,3,0.5,256,cone,0.6901960968971252,0.6732673048973082,2
55,<function dropout at 0x7ff85f21aa60>,1.0,3,0.5,256,cone,0.250980406999588,0.22871286273002622,3
56,<function dropout at 0x7ff85f21aa60>,1.0,3,0.5,256,cone,0.2509804368019104,0.27227721810340877,4
57,<function dropout at 0x7ff85f21aa60>,1.0,3,0.5,256,cone,0.250980406999588,0.22772276401519773,8
58,<function dropout at 0x7ff85f21aa60>,1.0,3,0.5,256,cone,0.2509804368019104,0.22772276401519773,16
59,<function dropout at 0x7ff85f21aa60>,1.0,3,0.5,256,cone,0.250980406999588,0.22772276401519773,32
60,<function dropout at 0x7ff85f21aa60>,1.0,3,0.5,512,cone,0.250980406999588,0.2752475142478943,2
61,<function dropout at 0x7ff85f21aa60>,1.0,3,0.5,512,cone,0.250980406999588,0.2653465270996094,3
62,<function dropout at 0x7ff85f21aa60>,1.0,3,0.5,512,cone,0.250980406999588,0.22772276401519773,4
63,<function dropout at 0x7ff85f21aa60>,1.0,3,0.5,512,cone,0.250980406999588,0.22772276401519773,8
64,<function dropout at 0x7ff85f21aa60>,1.0,3,0.5,512,cone,0.250980406999588,0.22772276401519773,16
65,<function dropout at 0x7ff85f21aa60>,1.0,3,0.5,512,cone,0.250980406999588,0.22772276401519773,32
66,<function dropout at 0x7ff85f21aa60>,1.0,3,0.5,1024,cone,0.250980406999588,0.2811881065368652,2
67,<function dropout at 0x7ff85f21aa60>,1.0,3,0.5,1024,cone,0.2509804368019104,0.22772276401519773,3
68,<function dropout at 0x7ff85f21aa60>,1.0,3,0.5,1024,cone,0.250980406999588,0.22772276401519773,4
69,<function dropout at 0x7ff85f21aa60>,1.0,3,0.5,1024,cone,0.250980406999588,0.22772276401519773,8
70,<function dropout at 0x7ff85f21aa60>,1.0,3,0.5,1024,cone,0.250980406999588,0.22772276401519773,16
71,<function dropout at 0x7ff85f21aa60>,1.0,3,0.5,1024,cone,0.250980406999588,0.22772276401519773,32
72,<function dropout at 0x7ff85f21aa60>,0.1,3,0.0,256,cone,0.9411764740943909,0.8574256658554077,2
73,<function dropout at 0x7ff85f21aa60>,0.1,3,0.0,256,cone,0.9372549057006836,0.8435642838478089,3
74,<function dropout at 0x7ff85f21aa60>,0.1,3,0.0,256,cone,0.9137254953384399,0.8425741851329805,4
75,<function dropout at 0x7ff85f21aa60>,0.1,3,0.0,256,cone,0.9215686321258545,0.8702969491481781,8
